ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Backscatter,DE-1588,SE-1631,DE-1631,SE-1588,Xray-La,continuum
1234,445.346,3988.815,3988.815,4036.514,3333.871,2011.999,1410.221,0.000,312.984,0.000,0.000,3.131,0.000,0.000,108.680,76.255,76.843,36.363,0.000,0.000
1235,445.712,4029.690,4029.690,4051.655,3329.351,2028.037,1408.662,0.000,313.985,0.000,0.000,3.127,0.000,0.000,108.557,76.170,76.757,36.322,0.000,0.000
1236,446.078,3928.824,3928.824,4067.023,3324.831,2044.337,1407.114,0.000,314.938,0.000,0.000,3.124,0.000,0.000,108.436,76.085,76.671,36.281,0.000,0.000
1237,446.444,4039.238,4039.238,4082.592,3320.311,2060.875,1405.577,0.000,315.840,0.000,0.000,3.120,0.000,0.000,108.315,76.000,76.585,36.241,0.000,0.000
1238,446.810,3873.121,3873.121,4098.333,3315.790,2077.626,1404.051,0.000,316.689,0.000,0.000,3.117,0.000,0.000,108.195,75.915,76.500,36.200,0.000,0.000
1239,447.177,3994.136,3994.136,4114.220,3311.270,2094.564,1402.538,0.000,317.482,0.000,0.000,3.113,0.000,0.000,108.076,75.832,76.416,36.160,0.000,0.000
1240,447.543,3931.824,3931.824,4130.223,3306.750,2111.663,1401.036,0.000,318.218,0.000,0.000,3.110,0.000,0.000,107.957,75.748,76.332,36.121,0.000,0.000
1241,447.909,4101.232,4101.232,4146.315,3302.230,2128.895,1399.548,0.000,318.893,0.000,0.000,3.107,0.000,0.000,107.839,75.665,76.248,36.081,0.000,0.000
1242,448.275,3916.466,3916.466,4162.464,3297.709,2146.231,1398.072,0.000,319.507,0.000,0.000,3.103,0.000,0.000,107.721,75.583,76.165,36.042,0.000,0.000
1243,448.642,4072.498,4072.498,4178.641,3293.189,2163.644,1396.609,0.000,320.058,0.000,0.000,3.100,0.000,0.000,107.604,75.501,76.083,36.003,0.000,0.000
1244,449.008,4104.344,4104.344,4194.815,3288.669,2181.104,1395.161,0.000,320.543,0.000,0.000,3.097,0.000,0.000,107.488,75.420,76.001,35.964,0.000,0.000
1245,449.374,4177.834,4177.834,4210.956,3284.149,2198.581,1393.726,0.000,320.961,0.000,0.000,3.093,0.000,0.000,107.373,75.339,75.919,35.925,0.000,0.000
1246,449.740,3962.568,3962.568,4227.031,3279.629,2216.045,1392.306,0.000,321.311,0.000,0.000,3.090,0.000,0.000,107.258,75.258,75.838,35.887,0.000,0.000
1247,450.107,4152.242,4152.242,4243.008,3275.108,2233.464,1390.901,0.000,321.591,0.000,0.000,3.087,0.000,0.000,107.144,75.178,75.757,35.849,0.000,0.000
1248,450.473,4129.981,4129.981,4258.857,3270.588,2250.807,1389.511,0.000,321.801,0.000,0.000,3.083,0.000,0.000,107.031,75.098,75.677,35.811,0.000,0.000
1249,450.839,4249.835,4249.835,4274.543,3266.068,2268.043,1388.137,0.000,321.938,0.000,0.000,3.080,0.000,0.000,106.918,75.019,75.597,35.773,0.000,0.000
1250,451.206,4107.393,4107.393,4290.036,3261.548,2285.140,1386.780,0.000,322.002,0.000,0.000,3.077,0.000,0.000,106.806,74.940,75.518,35.736,0.000,0.000
1251,451.572,4119.968,4119.968,4305.302,3257.027,2302.065,1385.440,0.000,321.992,0.000,0.000,3.074,0.000,0.000,106.694,74.862,75.439,35.698,0.000,0.000
1252,451.938,4218.767,4218.767,4320.310,3252.507,2318.787,1384.117,0.000,321.908,0.000,0.000,3.070,0.000,0.000,106.583,74.784,75.361,35.661,0.000,0.000
1253,452.304,4222.485,4222.485,4335.027,3247.987,2335.272,1382.813,0.000,321.750,0.000,0.000,3.067,0.000,0.000,106.473,74.707,75.283,35.624,0.000,0.000
1254,452.671,4281.844,4281.844,4349.421,3243.467,2351.489,1381.528,0.000,321.516,0.000,0.000,3.064,0.000,0.000,106.363,74.630,75.205,35.587,0.000,0.000
1255,453.037,4443.052,4443.052,4363.460,3238.946,2367.406,1380.262,0.000,321.206,0.000,0.000,3.061,0.000,0.000,106.254,74.554,75.128,35.551,0.000,0.000
1256,453.403,4354.272,4354.272,4377.113,3234.426,2382.989,1379.017,0.000,320.822,0.000,0.000,3.058,0.000,0.000,106.145,74.477,75.051,35.515,0.000,0.000
1257,453.769,4277.903,4277.903,4390.349,3229.906,2398.208,1377.794,0.000,320.362,0.000,0.000,3.055,0.000,0.000,106.038,74.402,74.975,35.479,0.000,0.000
1258,454.136,4330.826,4330.826,4403.138,3225.386,2413.031,1376.592,0.000,319.828,0.000,0.000,3.052,0.000,0.000,105.930,74.326,74.899,35.443,0.000,0.000
1259,454.502,4319.320,4319.320,4415.449,3220.866,2427.426,1375.414,0.000,319.219,0.000,0.000,3.049,0.000,0.000,105.823,74.251,74.823,35.407,0.000,0.000
1260,454.868,4306.795,4306.795,4427.255,3216.345,2441.364,1374.259,0.000,318.536,0.000,0.000,3.046,0.000,0.000,105.717,74.177,74.748,35.371,0.000,0.000
1261,455.235,4207.747,4207.747,4438.525,3211.825,2454.813,1373.130,0.000,317.780,0.000,0.000,3.042,0.000,0.000,105.611,74.102,74.673,35.336,0.000,0.000
1262,455.601,4372.246,4372.246,4449.234,3207.305,2467.745,1372.027,0.000,316.953,0.000,0.000,3.039,0.000,0.000,105.506,74.028,74.599,35.301,0.000,0.000
1263,455.967,4202.013,4202.013,4459.355,3202.785,2480.130,1370.952,0.000,316.054,0.000,0.000,3.036,0.000,0.000,105.401,73.955,74.524,35.265,0.000,0.000
1264,456.334,4518.518,4518.518,4468.862,3198.264,2491.942,1369.905,0.000,315.085,0.000,0.000,3.033,0.000,0.000,105.296,73.881,74.451,35.230,0.000,0.000
1265,456.700,4443.151,4443.151,4477.730,3193.744,2503.152,1368.889,0.000,314.048,0.000,0.000,3.030,0.000,0.000,105.192,73.808,74.377,35.196,0.000,0.000
1266,457.066,4350.616,4350.616,4485.938,3189.224,2513.735,1367.905,0.000,312.945,0.000,0.000,3.027,0.000,0.000,105.088,73.735,74.304,35.161,0.000,0.000
1267,457.433,4328.334,4328.334,4493.462,3184.704,2523.666,1366.954,0.000,311.776,0.000,0.000,3.024,0.000,0.000,104.985,73.663,74.230,35.126,0.000,0.000
1268,457.799,4326.210,4326.210,4500.283,3180.184,2532.921,1366.038,0.000,310.543,0.000,0.000,3.021,0.000,0.000,104.882,73.591,74.158,35.092,0.000,0.000
1269,458.165,4394.978,4394.978,4506.381,3175.663,2541.478,1365.158,0.000,309.248,0.000,0.000,3.018,0.000,0.000,104.779,73.519,74.085,35.057,0.000,0.000
1270,458.532,4319.271,4319.271,4511.739,3171.143,2549.315,1364.318,0.000,307.894,0.000,0.000,3.016,0.000,0.000,104.676,73.447,74.012,35.023,0.000,0.000
1271,458.898,4476.586,4476.586,4516.341,3166.623,2556.411,1363.519,0.000,306.482,0.000,0.000,3.013,0.000,0.000,104.574,73.375,73.940,34.989,0.000,0.000
1272,459.264,4291.133,4291.133,4520.172,3162.103,2562.749,1362.762,0.000,305.015,0.000,0.000,3.010,0.000,0.000,104.472,73.303,73.868,34.955,0.000,0.000
1273,459.631,4412.168,4412.168,4523.220,3157.582,2568.311,1362.051,0.000,303.494,0.000,0.000,3.007,0.000,0.000,104.370,73.232,73.796,34.921,0.000,0.000
1274,459.997,4433.634,4433.634,4525.474,3153.062,2573.082,1361.387,0.000,301.923,0.000,0.000,3.004,0.000,0.000,104.269,73.161,73.724,34.887,0.000,0.000
1275,460.363,4406.394,4406.394,4526.924,3148.542,2577.047,1360.774,0.000,300.303,0.000,0.000,3.001,0.000,0.000,104.167,73.089,73.653,34.853,0.000,0.000
1276,460.730,4260.775,4260.775,4527.563,3144.022,2580.193,1360.214,0.000,298.637,0.000,0.000,2.998,0.000,0.000,104.066,73.018,73.581,34.819,0.000,0.000
1277,461.096,4305.041,4305.041,4527.386,3139.502,2582.510,1359.710,0.000,296.928,0.000,0.000,2.995,0.000,0.000,103.965,72.947,73.509,34.785,0.000,0.000
1278,461.462,4357.933,4357.933,4526.389,3134.981,2583.989,1359.265,0.000,295.178,0.000,0.000,2.992,0.000,0.000,103.864,72.876,73.438,34.751,0.000,0.000
1279,461.829,4405.661,4405.661,4524.570,3130.461,2584.621,1358.882,0.000,293.389,0.000,0.000,2.989,0.000,0.000,103.762,72.805,73.366,34.717,0.000,0.000
1280,462.195,4422.665,4422.665,4521.930,3125.941,2584.402,1358.566,0.000,291.565,0.000,0.000,2.986,0.000,0.000,103.661,72.734,73.295,34.683,0.000,0.000
1281,462.561,4375.396,4375.396,4518.470,3121.421,2583.327,1358.318,0.000,289.709,0.000,0.000,2.983,0.000,0.000,103.560,72.663,73.223,34.650,0.000,0.000
1282,462.928,4465.396,4465.396,4514.195,3116.900,2581.394,1358.144,0.000,287.822,0.000,0.000,2.980,0.000,0.000,103.459,72.592,73.151,34.616,0.000,0.000
1283,463.294,4363.118,4363.118,4509.111,3112.380,2578.602,1358.046,0.000,285.908,0.000,0.000,2.978,0.000,0.000,103.357,72.521,73.080,34.582,0.000,0.000
1284,463.661,4313.485,4313.485,4503.226,3107.860,2574.952,1358.031,0.000,283.970,0.000,0.000,2.975,0.000,0.000,103.256,72.450,73.008,34.548,0.000,0.000
1285,464.027,4463.385,4463.385,4496.550,3103.340,2570.448,1358.100,0.000,282.010,0.000,0.000,2.972,0.000,0.000,103.154,72.379,72.936,34.514,0.000,0.000
1286,464.393,4318.063,4318.063,4489.095,3098.819,2565.094,1358.261,0.000,280.031,0.000,0.000,2.969,0.000,0.000,103.052,72.307,72.864,34.480,0.000,0.000
1287,464.760,4225.408,4225.408,4480.875,3094.299,2558.897,1358.516,0.000,278.035,0.000,0.000,2.966,0.000,0.000,102.950,72.236,72.792,34.446,0.000,0.000
1288,465.126,4356.835,4356.835,4471.906,3089.779,2551.865,1358.871,0.000,276.026,0.000,0.000,2.963,0.000,0.000,102.848,72.164,72.720,34.411,0.000,0.000
1289,465.493,4271.129,4271.129,4462.205,3085.259,2544.008,1359.332,0.000,274.007,0.000,0.000,2.960,0.000,0.000,102.746,72.092,72.647,34.377,0.000,0.000
1290,465.859,4420.976,4420.976,4451.794,3080.739,2535.337,1359.904,0.000,271.978,0.000,0.000,2.957,0.000,0.000,102.643,72.020,72.575,34.343,0.000,0.000
1291,466.225,4358.042,4358.042,4440.692,3076.218,2525.866,1360.593,0.000,269.945,0.000,0.000,2.954,0.000,0.000,102.540,71.948,72.502,34.308,0.000,0.000
1292,466.592,4419.161,4419.161,4428.923,3071.698,2515.609,1361.404,0.000,267.908,0.000,0.000,2.951,0.000,0.000,102.437,71.875,72.429,34.274,0.000,0.000
1293,466.958,4326.787,4326.787,4416.511,3067.178,2504.584,1362.343,0.000,265.870,0.000,0.000,2.948,0.000,0.000,102.333,71.802,72.355,34.239,0.000,0.000
1294,467.325,4385.461,4385.461,4403.485,3062.658,2492.806,1363.419,0.000,263.834,0.000,0.000,2.945,0.000,0.000,102.229,71.729,72.282,34.204,0.000,0.000
1295,467.691,4429.313,4429.313,4389.871,3058.137,2480.297,1364.635,0.000,261.803,0.000,0.000,2.942,0.000,0.000,102.124,71.656,72.208,34.169,0.000,0.000
1296,468.058,4257.995,4257.995,4375.700,3053.617,2467.076,1366.001,0.000,259.777,0.000,0.000,2.939,0.000,0.000,102.020,71.582,72.134,34.134,0.000,0.000
1297,468.424,4300.864,4300.864,4361.002,3049.097,2453.165,1367.523,0.000,257.761,0.000,0.000,2.936,0.000,0.000,101.914,71.508,72.059,34.099,0.000,0.000
1298,468.790,4302.852,4302.852,4345.810,3044.577,2438.588,1369.207,0.000,255.755,0.000,0.000,2.933,0.000,0.000,101.808,71.434,71.985,34.064,0.000,0.000
1299,469.157,4181.779,4181.779,4330.158,3040.057,2423.368,1371.063,0.000,253.762,0.000,0.000,2.930,0.000,0.000,101.702,71.360,71.910,34.028,0.000,0.000
1300,469.523,4207.521,4207.521,4314.082,3035.536,2407.531,1373.097,0.000,251.783,0.000,0.000,2.927,0.000,0.000,101.596,71.285,71.834,33.992,0.000,0.000
1301,469.890,4369.305,4369.305,4297.617,3031.016,2391.104,1375.318,0.000,249.822,0.000,0.000,2.924,0.000,0.000,101.488,71.210,71.758,33.956,0.000,0.000
1302,470.256,4233.100,4233.100,4280.800,3026.496,2374.114,1377.733,0.000,247.879,0.000,0.000,2.921,0.000,0.000,101.381,71.134,71.682,33.920,0.000,0.000
1303,470.623,4294.319,4294.319,4263.671,3021.976,2356.588,1380.353,0.000,245.956,0.000,0.000,2.918,0.000,0.000,101.272,71.058,71.606,33.884,0.000,0.000
1304,470.989,4165.168,4165.168,4246.268,3017.455,2338.557,1383.184,0.000,244.054,0.000,0.000,2.915,0.000,0.000,101.164,70.982,71.529,33.848,0.000,0.000
1305,471.356,4261.830,4261.830,4228.630,3012.935,2320.048,1386.236,0.000,242.176,0.000,0.000,2.911,0.000,0.000,101.055,70.905,71.451,33.811,0.000,0.000
1306,471.722,4103.366,4103.366,4210.799,3008.415,2301.093,1389.518,0.000,240.323,0.000,0.000,2.908,0.000,0.000,100.945,70.828,71.374,33.775,0.000,0.000
1307,472.089,4151.094,4151.094,4192.816,3003.895,2281.723,1393.039,0.000,238.495,0.000,0.000,2.905,0.000,0.000,100.834,70.751,71.296,33.738,0.000,0.000
1308,472.455,4123.364,4123.364,4174.723,2999.375,2261.967,1396.808,0.000,236.695,0.000,0.000,2.902,0.000,0.000,100.723,70.673,71.217,33.701,0.000,0.000
1309,472.822,4201.780,4201.780,4156.560,2994.854,2241.858,1400.836,0.000,234.922,0.000,0.000,2.899,0.000,0.000,100.612,70.595,71.139,33.663,0.000,0.000
1310,473.188,4105.856,4105.856,4138.372,2990.334,2221.427,1405.132,0.000,233.180,0.000,0.000,2.896,0.000,0.000,100.500,70.516,71.059,33.626,0.000,0.000
1311,473.554,4148.517,4148.517,4120.199,2985.814,2200.707,1409.705,0.000,231.467,0.000,0.000,2.892,0.000,0.000,100.387,70.437,70.980,33.588,0.000,0.000
1312,473.921,4195.409,4195.409,4102.086,2981.294,2179.727,1414.566,0.000,229.785,0.000,0.000,2.889,0.000,0.000,100.274,70.358,70.900,33.550,0.000,0.000
1313,474.288,4091.731,4091.731,4084.073,2976.773,2158.522,1419.724,0.000,228.135,0.000,0.000,2.886,0.000,0.000,100.161,70.278,70.819,33.512,0.000,0.000
