spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S24_Cs137_P25,G1S24,known,3.1499,1.7748,1.004920,-0.653,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,2,38,31,,0,,13.1134,,11.937,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.970,"опор 2; усиление 1.00492, ноль -1.97 кэВ (-0.653 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.38 кэВ калибровки, свет -2.12 кэВ (по съёмке: опор 2 из 2 (35.2…662.0 кэВ), нуль света кан 0.73), растяжение 1.00039 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S24_Na22_P25,G1S24,known,6.2179,2.4936,0.998593,-1.371,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,5,60,63,,0,,17.7357,,6.007,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,-4.108,"опор 2; усиление 0.99859, ноль -4.11 кэВ (-1.371 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.46 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.00664 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S24_Th228_P25,G1S24,known,4.3507,2.0858,1.005736,-1.458,0,0,0,1,"НАЙДЕНА, применена",1,1,1,15,8,118,125,,0,,8.6197,,7.621,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,7,-4.395,"опор 7; усиление 1.00574, ноль -4.39 кэВ (-1.458 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -3.44 кэВ калибровки, свет -5.84 кэВ (по съёмке: опор 4 из 12 (80.2…584.6 кэВ), нуль света кан 2.02), растяжение 0.99908 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S24_Y88_P25,G1S24,known,2.0791,1.4419,1.004869,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,10,5,78,78,,0,,2.3778,,5.690,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,2,2,0.000,"опор 2; усиление 1.00487, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.60 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00141 по 1836.1 кэВ",NaI:Tl,1.0000,line
G1S24_Am241_P5,G1S24,known,5.8466,2.4180,0.891818,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,4,3,26,31,,0,,325.1089,,31.091,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.89182, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -14.71 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 1, нехватка), растяжение 1.24707 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S24_Ba133_P5,G1S24,known,17.3489,4.1652,1.000392,-0.670,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,3,60,47,,0,,609.1466,,26.727,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-1.983,"опор 3; усиление 1.00039, ноль -1.98 кэВ (-0.670 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.40 кэВ калибровки, свет -2.33 кэВ (по съёмке: опор 4 из 6 (32.4…358.1 кэВ), нуль света кан 0.83), растяжение 1.01054 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S24_Bi207_P5,G1S24,known,21.1767,4.6018,0.992920,-0.110,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,8,95,94,,0,,214.0473,,12.027,sample,"распад 1, атомных 2, линий 20; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1770, DE-1770, SE-1460, DE-1460",1,0,0,3,4,-0.320,"опор 4; усиление 0.99292, ноль -0.32 кэВ (-0.110 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 1.35 кэВ калибровки, свет -4.58 кэВ (по съёмке: опор 2 из 4 (77.1…570.7 кэВ), нуль света кан 1.59), растяжение 0.99666 по 1770.2 кэВ",NaI:Tl,1.0000,line
G1S24_Cd109_P5,G1S24,known,3.2567,1.8046,1.001505,-0.548,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,28,31,,0,,18.3183,,54.263,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.645,"опор 2; усиление 1.00150, ноль -1.64 кэВ (-0.548 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.70 кэВ калибровки, свет -1.66 кэВ (по съёмке: опор 2 из 2 (24.0…91.7 кэВ), нуль света кан 0.61), растяжение 1.05620 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S24_Co60_P5,G1S24,known,11.6629,3.4151,1.001409,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,7,64,63,,0,,101.1481,,13.817,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00141, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 3.09 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 0.99768 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S24_Cs137_P5,G1S24,known,13.7747,3.7114,0.998215,-0.597,0,0,0,1,"НАЙДЕНА, применена",1,1,1,7,2,37,47,,0,,188.0053,,18.771,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.744,"опор 2; усиление 0.99822, ноль -1.74 кэВ (-0.597 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -2.95 кэВ калибровки, свет -2.32 кэВ (по съёмке: опор 2 из 2 (34.5…662.0 кэВ), нуль света кан 0.81), растяжение 1.00095 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S24_Eu152_P5,G1S24,known,31.1938,5.5851,1.008274,-0.630,0,0,0,1,"НАЙДЕНА, применена",1,1,1,13,10,268,266,,0,,1286.2919,,17.245,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,2,5,-1.856,"опор 5; усиление 1.00827, ноль -1.86 кэВ (-0.630 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.00 кэВ калибровки, свет -2.32 кэВ (по съёмке: опор 4 из 12 (42.8…346.3 кэВ), нуль света кан 0.82), растяжение 1.00184 по 1457.6 кэВ",NaI:Tl,1.0000,line
