spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S16_Am241_P25,G1S16,known,Am-241,26.345,17.513,14.657,-2.856,0.231,0.2559,23.89,8,12,0,share,2.284
G1S16_Am241_P25,G1S16,known,Am-241,59.541,54.616,54.610,-0.006,0.179,0.9371,261.04,20,26,1,,3.843
G1S16_Ba133_P25,G1S16,known,Ba-133,30.973,28.755,28.833,0.078,0.122,0.8252,275.27,10,14,1,,2.444
G1S16_Ba133_P25,G1S16,known,Ba-133,53.162,54.314,55.022,0.709,0.321,0.2045,20.02,18,24,0,share,3.697
G1S16_Ba133_P25,G1S16,known,Ba-133,80.998,80.442,82.587,2.145,0.222,0.8219,206.50,26,34,0,outlier,3.778
G1S16_Ba133_P25,G1S16,known,Ba-133,160.612,160.418,165.054,4.636,1.016,0.0506,12.32,52,64,0,share,3.178
G1S16_Ba133_P25,G1S16,known,Ba-133,302.851,302.875,303.437,0.562,0.529,0.6391,110.59,99,117,1,,2.469
G1S16_Ba133_P25,G1S16,known,Ba-133,356.013,357.018,356.375,-0.643,0.575,0.8848,233.32,117,137,1,,2.120
G1S16_Cd109_P25,G1S16,known,Cd-109,22.163,20.498,20.479,-0.019,0.109,0.7706,84.67,7,11,1,,2.093
G1S16_Cd109_P25,G1S16,known,Cd-109,88.034,91.055,91.112,0.057,0.345,0.7082,27.14,30,38,1,,3.727
G1S16_Ce139_P25,G1S16,known,Ce-139,33.442,31.761,31.708,-0.053,0.144,0.7910,52.92,11,15,1,,2.212
G1S16_Ce139_P25,G1S16,known,Ce-139,165.858,168.839,168.910,0.072,0.375,0.9305,68.13,55,67,1,,3.136
G1S16_Co60_P25,G1S16,known,Ann-511,511.000,515.655,521.176,5.521,3.530,0.0355,6.82,166,192,0,share,1.268
G1S16_Co60_P25,G1S16,known,Co-60,1173.228,1173.639,1173.203,-0.435,1.255,0.9028,212.98,378,420,1,,-4.309
G1S16_Co60_P25,G1S16,known,Co-60,1332.492,1330.514,1330.936,0.423,1.357,0.9884,212.68,429,473,1,,-5.821
G1S16_Cs137_P25,G1S16,known,Cs-137,32.193,31.924,32.172,0.248,0.132,0.7552,119.46,11,15,1,,2.462
G1S16_Cs137_P25,G1S16,known,Cs-137,661.657,662.216,661.674,-0.542,0.858,0.9853,382.59,215,243,1,,0.000
G1S16_Eu152_P25,G1S16,known,Eu-152,40.117,37.106,37.002,-0.104,0.145,0.6666,294.01,13,19,1,,2.871
G1S16_Eu152_P25,G1S16,known,Eu-152,121.782,120.533,123.255,2.722,0.286,0.7119,245.99,40,50,0,outlier,3.333
G1S16_Eu152_P25,G1S16,known,Eu-152,244.697,243.171,245.456,2.285,0.465,0.3965,92.07,79,95,0,share,2.705
G1S16_Eu152_P25,G1S16,known,Eu-152,295.939,295.572,257.067,-38.505,19.581,0.0364,2.12,96,114,0,z,2.506
G1S16_Eu152_P25,G1S16,known,Eu-152,344.279,343.976,345.410,1.434,0.559,0.7236,213.88,113,131,1,,2.207
G1S16_Eu152_P25,G1S16,known,Eu-152,411.117,412.552,414.730,2.178,1.009,0.1601,24.49,135,157,0,share,1.880
G1S16_Eu152_P25,G1S16,known,Eu-152,443.961,444.225,444.506,0.281,0.889,0.2016,32.44,144,166,0,share,1.702
G1S16_Eu152_P25,G1S16,known,Eu-152,563.986,575.257,574.951,-0.306,4.360,0.0821,5.38,187,213,0,share,0.865
G1S16_Eu152_P25,G1S16,known,Eu-152,688.670,685.462,687.377,1.915,1.769,0.1051,17.23,221,251,0,share,-0.185
G1S16_Eu152_P25,G1S16,known,Eu-152,778.905,779.631,779.494,-0.137,0.993,0.5187,85.88,252,284,1,,-0.855
G1S16_Eu152_P25,G1S16,known,Eu-152,867.380,869.927,867.439,-2.488,1.549,0.2561,25.27,281,315,0,share,-1.580
G1S16_Eu152_P25,G1S16,known,Eu-152,964.057,966.201,965.451,-0.751,1.135,0.6352,91.20,312,348,1,,-2.442
G1S16_Eu152_P25,G1S16,known,Eu-152,1112.076,1102.603,1101.496,-1.106,1.216,0.7732,126.20,355,395,1,,-3.752
G1S16_Eu152_P25,G1S16,known,Eu-152,1212.948,1214.796,1245.830,31.034,6.906,0.1975,8.60,391,433,0,share,-4.676
G1S16_Eu152_P25,G1S16,known,Eu-152,1299.142,1302.963,1301.316,-1.647,2.603,0.3157,19.43,419,463,0,share,-5.496
G1S16_Eu152_P25,G1S16,known,Eu-152,1408.013,1411.057,1411.326,0.269,1.427,0.9369,108.77,453,499,1,,-6.428
G1S16_Mn54_P25,G1S16,known,Mn-54,834.848,832.486,832.464,-0.022,0.994,0.9853,228.55,271,303,1,,-1.306
G1S16_Na22_P25,G1S16,known,Ann-511,511.000,510.306,510.186,-0.120,0.720,0.9222,621.41,167,191,1,,1.268
G1S16_Na22_P25,G1S16,known,Na-22,1274.537,1272.798,1273.000,0.203,1.313,0.9851,289.29,410,454,1,,-5.258
G1S16_Th228_P25,G1S16,known,Th-228,39.857,36.618,,,,0.0940,-0.78,13,19,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,77.108,75.676,75.596,-0.080,0.259,0.6430,48.58,26,34,1,,3.819
G1S16_Th228_P25,G1S16,known,Th-228,115.183,113.943,,,,0.0592,-1.20,38,48,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,166.410,165.436,161.468,-3.968,4.737,0.0081,2.41,55,67,0,z,3.131
G1S16_Th228_P25,G1S16,known,Th-228,238.632,237.846,238.797,0.952,0.470,0.8101,69.31,78,94,1,,2.719
G1S16_Th228_P25,G1S16,known,Th-228,300.087,298.687,297.340,-1.347,2.268,0.2606,7.13,97,115,0,share,2.484
G1S16_Th228_P25,G1S16,known,Th-228,452.980,455.160,,,,0.0543,-1.42,149,171,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,510.770,510.787,512.300,1.513,1.431,0.5687,16.39,167,191,1,,1.270
G1S16_Th228_P25,G1S16,known,Th-228,583.187,584.935,583.385,-1.550,0.927,0.8860,40.57,191,217,1,,0.707
G1S16_Th228_P25,G1S16,known,Th-228,727.330,729.028,727.609,-1.418,2.482,0.6872,11.13,237,267,1,,-0.463
G1S16_Th228_P25,G1S16,known,Th-228,860.557,861.218,865.444,4.226,4.601,0.6009,6.62,279,313,1,,-1.522
G1S16_Th228_P25,G1S16,known,Th-228,1078.620,1079.215,,,,0.1682,-0.78,349,387,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,1512.700,1511.051,,,,0.0447,-0.29,486,534,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,1620.500,1621.462,1664.063,42.601,43.825,0.1344,1.47,521,571,0,z,-8.165
G1S16_Th228_P25,G1S16,known,Th-228,1806.000,1802.577,,,,0.0093,-0.84,579,633,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,2614.511,2614.676,2614.183,-0.493,2.412,0.9865,28.84,845,913,1,,-17.385
G1S16_Y88_P25,G1S16,known,Y-88,898.042,896.426,895.466,-0.959,1.333,0.9000,31.40,291,325,1,,-1.846
G1S16_Y88_P25,G1S16,known,Y-88,1836.063,1839.171,1840.485,1.314,2.166,0.9798,27.59,592,646,1,,-10.024
G1S16_Am241_P5,G1S16,known,Am-241,26.345,16.656,14.111,-2.545,0.127,0.2455,63.56,8,12,0,share,2.284
G1S16_Am241_P5,G1S16,known,Am-241,59.541,54.086,54.021,-0.066,0.178,0.9453,702.39,20,26,1,,3.843
G1S16_Ba133_P5,G1S16,known,Ba-133,30.973,28.636,28.734,0.098,0.122,0.8191,992.33,10,14,1,,2.444
G1S16_Ba133_P5,G1S16,known,Ba-133,53.162,53.985,56.922,2.938,0.188,0.2198,87.31,18,24,0,share,3.697
G1S16_Ba133_P5,G1S16,known,Ba-133,80.998,79.896,82.601,2.705,0.221,0.8496,792.32,26,34,0,outlier,3.778
G1S16_Ba133_P5,G1S16,known,Ba-133,160.612,159.218,161.956,2.738,0.349,0.0485,128.42,52,64,0,share,3.178
G1S16_Ba133_P5,G1S16,known,Ba-133,302.851,300.490,300.870,0.380,0.512,0.6527,397.21,99,117,1,,2.469
G1S16_Ba133_P5,G1S16,known,Ba-133,356.013,354.178,353.483,-0.695,0.569,0.8608,795.95,117,137,1,,2.120
G1S16_Cd109_P5,G1S16,known,Cd-109,22.163,19.041,19.074,0.033,0.102,0.7661,317.70,7,11,1,,2.093
G1S16_Cd109_P5,G1S16,known,Cd-109,88.034,90.928,90.884,-0.044,0.242,0.9175,213.67,30,38,1,,3.727
G1S16_Ce139_P5,G1S16,known,Ce-139,33.442,31.031,30.947,-0.084,0.130,0.7878,210.10,11,15,1,,2.212
G1S16_Ce139_P5,G1S16,known,Ce-139,165.858,168.968,169.089,0.121,0.353,0.9650,344.71,55,67,1,,3.136
G1S16_Co57_P5,G1S16,known,Co-57,122.061,124.195,124.206,0.012,0.306,0.8607,66.46,41,51,1,,3.330
G1S16_Co60_P5,G1S16,known,Ann-511,511.000,507.152,506.034,-1.119,3.622,0.0198,5.98,166,190,0,share,1.268
G1S16_Co60_P5,G1S16,known,Co-60,1173.228,1172.845,1172.433,-0.412,1.236,0.9051,572.18,380,420,1,,-4.309
G1S16_Co60_P5,G1S16,known,Co-60,1332.492,1331.410,1331.929,0.519,1.342,0.9733,562.71,430,474,1,,-5.821
G1S16_Cs137_P5,G1S16,known,Cs-137,32.193,25.148,25.175,0.027,0.124,0.6902,402.78,11,15,1,,2.462
G1S16_Cs137_P5,G1S16,known,Cs-137,661.657,658.628,658.626,-0.002,0.845,0.9883,1294.59,215,243,1,,0.000
G1S16_Eu152_P5,G1S16,known,Eu-152,40.117,36.867,36.873,0.006,0.146,0.6820,777.41,13,19,1,,2.871
G1S16_Eu152_P5,G1S16,known,Eu-152,121.782,120.348,123.486,3.137,0.287,0.7708,713.86,40,50,0,outlier,3.333
G1S16_Eu152_P5,G1S16,known,Eu-152,244.697,243.052,244.955,1.904,0.446,0.4274,281.45,79,95,0,share,2.705
G1S16_Eu152_P5,G1S16,known,Eu-152,344.279,343.921,346.319,2.397,0.557,0.7783,550.07,113,131,0,outlier,2.207
G1S16_Eu152_P5,G1S16,known,Eu-152,411.117,412.514,413.495,0.981,0.705,0.1845,61.05,135,157,0,share,1.880
G1S16_Eu152_P5,G1S16,known,Eu-152,443.961,444.200,445.307,1.106,0.699,0.2186,77.95,144,166,0,share,1.702
