spectrum,det,part,component,kind,detected,decay_s,dt_decay_s,mda_decay_s,degenerate,collinearity,mda_peak_counts,total_yield_pct
G1S24_Cs137_P25,G1S24,known,Cs-137,single,1,7.9999E+004,1.1125E+002,2.2479E+002,0,0.3687,1082.2,93.0229
G1S24_Na22_P25,G1S24,known,Na-22,single,1,1.2570E+005,1.9488E+002,3.9717E+002,0,0.5266,943.4,100.0808
G1S24_Th228_P25,G1S24,known,Th-228,chain,1,2.7279E+004,8.1820E+001,1.6446E+002,0,0.5698,6662.7,237.9770
G1S24_Y88_P25,G1S24,known,Y-88,single,1,2.6760E+004,4.8422E+001,9.8308E+001,0,0.5948,487.7,256.3332
G1S24_Am241_P5,G1S24,known,Am-241,single,1,7.6912E+004,5.7947E+001,1.1653E+002,0,0.0960,4785.5,74.8095
G1S24_Ba133_P5,G1S24,known,Ba-133,single,1,1.0814E+004,2.3550E+001,4.7467E+001,0,0.6685,30880.3,264.8544
G1S24_Bi207_P5,G1S24,known,Bi-207,single,1,6.4186E+004,4.5853E+001,9.2861E+001,0,0.4534,14047.9,288.3569
G1S24_Cd109_P5,G1S24,known,Cd-109,single,1,1.2239E+003,3.5526E+000,7.4785E+000,0,0.0074,265.9,116.3035
G1S24_Co60_P5,G1S24,known,Co-60,single,1,3.8707E+004,4.7900E+001,9.6681E+001,0,0.5922,3706.0,199.8440
G1S24_Cs137_P5,G1S24,known,Cs-137,single,1,7.0123E+004,2.8867E+001,5.9262E+001,0,0.2250,2025.0,93.0229
G1S24_Eu152_P5,G1S24,known,Eu-152,single,1,9.3626E+004,1.4992E+002,3.0149E+002,0,0.7419,114423.9,242.9866
G1S24_Na22_P5,G1S24,known,Na-22,single,1,1.0462E+005,3.3146E+002,6.7244E+002,0,0.6981,11154.2,100.0808
G1S24_Th228_P5,G1S24,known,Th-228,chain,1,7.1475E+004,9.0053E+001,1.8082E+002,0,0.6780,70368.4,237.9770
G1S24_Y88_P5,G1S24,known,Y-88,single,1,2.3664E+004,2.1583E+001,4.3750E+001,0,0.6278,2084.5,256.3332
G1S24_Zn65_P5,G1S24,known,Zn-65,single,1,6.9274E+002,4.8119E+000,9.8430E+000,0,0.3904,109.2,90.7876
