spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
AS80_Th232Medal,AS80x80,known,Th-232,39.857,33.968,,,,0.0077,-128.03,114,140,0,z,0.000
AS80_Th232Medal,AS80x80,known,Xray-Pb,74.969,69.619,71.561,1.943,0.157,0.4536,666.34,200,242,0,share,3.837
AS80_Th232Medal,AS80x80,known,Xray-Pb,86.022,82.825,80.988,-1.837,0.179,0.1986,342.33,235,281,0,share,3.744
AS80_Th232Medal,AS80x80,known,Th-232,129.065,127.814,130.483,2.669,0.284,0.0387,49.57,342,406,0,share,3.324
AS80_Th232Medal,AS80x80,known,Th-232,153.977,152.380,150.951,-1.429,0.458,0.0141,22.45,403,477,0,share,3.224
AS80_Th232Medal,AS80x80,known,Th-232,238.632,238.719,239.148,0.429,0.389,0.5434,1049.94,618,724,1,,2.719
AS80_Th232Medal,AS80x80,known,Th-232,270.245,274.657,273.387,-1.271,0.472,0.1203,72.18,711,829,0,share,2.622
AS80_Th232Medal,AS80x80,known,Th-232,300.087,301.148,305.458,4.310,0.519,0.0963,65.05,775,901,0,share,2.484
AS80_Th232Medal,AS80x80,known,Th-232,338.320,339.341,341.770,2.429,0.516,0.3462,453.03,875,1015,0,share,2.249
AS80_Th232Medal,AS80x80,known,Th-232,409.462,415.271,412.630,-2.641,0.806,0.0750,33.37,1067,1233,0,share,1.888
AS80_Th232Medal,AS80x80,known,Th-232,463.004,469.859,469.563,-0.296,0.694,0.1595,121.78,1209,1393,0,share,1.588
AS80_Th232Medal,AS80x80,known,Th-232,510.770,517.962,521.832,3.871,0.744,0.2217,175.35,1332,1532,0,share,1.270
AS80_Th232Medal,AS80x80,known,Th-232,583.187,594.020,585.419,-8.601,0.827,0.5461,616.82,1526,1750,0,outlier,0.707
AS80_Th232Medal,AS80x80,known,Th-232,727.330,744.788,736.183,-8.604,1.030,0.2484,178.48,1914,2184,0,share,-0.463
AS80_Th232Medal,AS80x80,known,Th-232,911.204,931.397,911.461,-19.936,1.256,0.4469,432.14,2383,2709,0,share,-1.962
AS80_Th232Medal,AS80x80,known,Th-232,1078.620,1112.196,1117.834,5.637,1.627,0.0453,62.82,2799,3171,0,share,-3.454
AS80_Th232Medal,AS80x80,known,Th-232,1247.080,1276.624,,,,0.0290,-8.52,3195,3611,0,z,0.000
AS80_Th232Medal,AS80x80,known,Th-232,1588.200,1643.897,1632.085,-11.812,2.176,0.2899,114.06,4032,4538,0,share,-7.895
AS80_Th232Medal,AS80x80,known,Th-232,2614.511,2653.782,2652.418,-1.364,2.107,0.7652,388.74,6580,7342,1,,-17.385
AS80_Cs137_0cm,AS80x80,known,Cs-137,32.193,27.430,,,,0.7249,-33.14,75,95,0,z,0.000
AS80_Cs137_0cm,AS80x80,known,Cs-137,661.657,654.525,654.515,-0.009,0.918,0.9660,1655.79,1680,1932,1,,0.000
AS80_Lu176,AS80x80,known,Lu-176,55.786,52.488,,,,0.2254,-47.34,141,189,0,z,0.000
AS80_Lu176,AS80x80,known,Lu-176,88.340,85.388,85.512,0.124,0.381,0.1201,22.42,223,287,0,share,3.724
AS80_Lu176,AS80x80,known,Lu-176,201.830,200.050,200.336,0.287,0.401,0.7280,305.76,514,622,1,,2.759
AS80_Lu176,AS80x80,known,Lu-176,306.780,305.184,304.857,-0.327,0.525,0.8537,383.61,782,924,1,,2.447
