spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
ASN16_Lu176,ASN16,known,Lu-176,55.786,54.426,61.554,7.128,0.228,0.1702,139.64,130,190,0,share,3.735
ASN16_Lu176,ASN16,known,Lu-176,88.340,87.728,86.027,-1.702,0.289,0.1929,90.78,213,287,0,share,4.175
ASN16_Lu176,ASN16,known,Lu-176,201.830,201.250,201.768,0.519,0.417,0.8689,997.90,499,609,1,,3.177
ASN16_Lu176,ASN16,known,Lu-176,306.780,305.154,304.630,-0.525,0.516,0.9123,944.31,760,896,1,,2.705
ASN16_Lu176_P0,ASN16,known,Lu-176,55.786,51.642,60.400,8.757,0.676,0.1983,13.10,131,185,0,share,3.735
ASN16_Lu176_P0,ASN16,known,Lu-176,88.340,85.580,103.204,17.624,11.555,0.2414,1.65,211,279,0,z,4.175
ASN16_Lu176_P0,ASN16,known,Lu-176,201.830,201.550,202.893,1.343,0.426,0.8687,83.91,493,601,1,,3.177
ASN16_Lu176_P0,ASN16,known,Lu-176,306.780,307.697,306.301,-1.396,0.532,0.9418,90.66,755,889,1,,2.705
