spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S24_Cs137_P25,G1S24,known,Cs-137,32.193,33.137,33.105,-0.032,0.153,0.7154,164.81,10,16,1,,2.462
G1S24_Cs137_P25,G1S24,known,Cs-137,661.657,663.331,663.401,0.071,0.941,0.9788,551.45,213,245,1,,0.000
G1S24_Na22_P25,G1S24,known,Ann-511,511.000,503.454,503.551,0.097,0.785,0.9227,1121.67,166,192,1,,1.268
G1S24_Na22_P25,G1S24,known,Na-22,1274.537,1262.631,1262.480,-0.151,1.386,0.9771,528.37,409,455,1,,-5.258
G1S24_Th228_P25,G1S24,known,Th-228,39.857,40.788,,,,0.0913,-0.20,13,19,0,z,0.000
G1S24_Th228_P25,G1S24,known,Th-228,77.108,79.012,79.218,0.206,0.252,0.6100,324.23,26,34,1,,3.819
G1S24_Th228_P25,G1S24,known,Th-228,115.183,118.402,141.929,23.528,2.231,0.0435,11.26,38,50,0,share,3.425
G1S24_Th228_P25,G1S24,known,Th-228,166.410,168.164,176.672,8.507,2.569,0.0060,6.06,54,68,0,share,3.131
G1S24_Th228_P25,G1S24,known,Th-228,238.632,240.212,240.662,0.450,0.494,0.7747,445.40,77,95,1,,2.719
G1S24_Th228_P25,G1S24,known,Th-228,300.087,300.248,299.853,-0.395,0.641,0.2173,61.14,95,115,0,share,2.484
G1S24_Th228_P25,G1S24,known,Th-228,510.770,511.893,512.117,0.224,0.818,0.5031,117.73,166,192,1,,1.270
G1S24_Th228_P25,G1S24,known,Th-228,583.187,585.750,583.755,-1.995,0.873,0.8375,261.18,189,219,1,,0.707
G1S24_Th228_P25,G1S24,known,Th-228,727.330,729.298,727.617,-1.682,1.039,0.6308,92.00,235,269,1,,-0.463
G1S24_Th228_P25,G1S24,known,Th-228,860.557,861.009,859.890,-1.119,1.203,0.5739,61.19,278,314,1,,-1.522
G1S24_Th228_P25,G1S24,known,Th-228,1078.620,1078.164,1078.312,0.148,4.353,0.1383,8.96,347,389,0,share,-3.454
G1S24_Th228_P25,G1S24,known,Th-228,1620.500,1618.023,1631.467,13.444,4.876,0.1289,10.42,520,574,0,share,-8.165
G1S24_Th228_P25,G1S24,known,Th-228,1806.000,1806.318,,,,0.0088,-3.61,580,638,0,z,0.000
