spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S24_Cs137_P25,G1S24,known,Cs-137,single,99.997,273.40,1.7748,7.9999E+004,385136.4,1.1125E+002,2.2479E+002,,,0,100.000
G1S24_Na22_P25,G1S24,known,Na-22,single,30.308,206.26,2.4936,1.2570E+005,298574.7,1.9488E+002,3.9717E+002,,,0,17.178
G1S24_Na22_P25,G1S24,known,Ann-511,nuisance,69.691,296.64,2.4936,2.5888E+005,1439525.7,,,,,0,82.822
G1S24_Th228_P25,G1S24,known,Th-228,single,0.860,232.43,2.0858,2.7279E+004,11896.7,8.1820E+001,1.6446E+002,,,0,1.190
G1S24_Th228_P25,G1S24,known,Ra-224,single,2.738,232.43,2.0858,2.7279E+004,30866.2,,,,,0,3.088
G1S24_Th228_P25,G1S24,known,Rn-220,single,0.061,232.43,2.0858,2.7279E+004,386.4,,,,,0,0.039
G1S24_Th228_P25,G1S24,known,Po-216,single,0.001,232.43,2.0858,2.7279E+004,5.2,,,,,0,0.001
G1S24_Th228_P25,G1S24,known,Pb-212,single,45.791,232.43,2.0858,2.7279E+004,570669.6,,,,,0,57.100
G1S24_Th228_P25,G1S24,known,Bi-212,single,7.983,232.43,2.0858,2.7279E+004,80279.6,,,,,0,8.033
G1S24_Th228_P25,G1S24,known,Tl-208,single,42.566,232.43,2.0858,2.7279E+004,305322.9,,,,,0,30.550
G1S24_Y88_P25,G1S24,known,Y-88,single,98.268,215.83,1.4419,2.6760E+004,132750.2,4.8422E+001,9.8308E+001,,,0,97.021
G1S24_Y88_P25,G1S24,known,Ann-511,nuisance,1.732,13.09,1.4419,8.0346E+002,4075.8,,,,,0,2.979
G1S24_Am241_P5,G1S24,known,Am-241,single,99.860,185.02,2.4180,7.6912E+004,3158533.5,5.7947E+001,1.1653E+002,,,0,100.000
G1S24_Ba133_P5,G1S24,known,Ba-133,single,99.985,135.47,4.1652,1.0814E+004,7035548.3,2.3550E+001,4.7467E+001,,,0,100.000
G1S24_Bi207_P5,G1S24,known,Bi-207,single,98.012,323.35,4.6018,6.4186E+004,9710044.7,4.5853E+001,9.2861E+001,,,0,97.280
G1S24_Bi207_P5,G1S24,known,Esc-NaI,nuisance,1.787,17.70,4.6018,6.9895E+004,256606.4,,,,,0,2.571
G1S24_Bi207_P5,G1S24,known,Ann-511,nuisance,0.201,4.25,4.6018,3.5729E+002,14856.9,,,,,0,0.149
G1S24_Cd109_P5,G1S24,known,Cd-109,single,98.390,46.19,1.8046,1.2239E+003,43523.0,3.5526E+000,7.4785E+000,,,0,100.000
G1S24_Co60_P5,G1S24,known,Co-60,single,100.000,313.20,3.4151,3.8707E+004,1483739.5,4.7900E+001,9.6681E+001,,,0,100.000
G1S24_Cs137_P5,G1S24,known,Cs-137,single,99.885,291.30,3.7114,7.0123E+004,2396070.6,2.8867E+001,5.9262E+001,,,0,100.000
G1S24_Cs137_P5,G1S24,known,pile-up,nuisance,0.115,4.61,3.7114,2.4981E+000,0.0,,,,,0,0.000
G1S24_Eu152_P5,G1S24,known,Eu-152,single,98.621,235.70,5.5851,9.3626E+004,35533651.0,1.4992E+002,3.0149E+002,,,0,98.455
G1S24_Eu152_P5,G1S24,known,Esc-NaI,nuisance,1.371,15.54,5.5851,4.1322E+005,557578.1,,,,,0,1.545
G1S24_Na22_P5,G1S24,known,Na-22,single,28.561,122.50,6.0478,1.0462E+005,1735433.7,3.3146E+002,6.7244E+002,,,0,15.569
G1S24_Na22_P5,G1S24,known,Ann-511,nuisance,70.910,165.83,6.0478,2.2612E+005,9411554.3,,,,,0,84.431
G1S24_Na22_P5,G1S24,known,pile-up,nuisance,0.529,3.60,6.0478,5.8070E+001,0.0,,,,,0,0.000
G1S24_Th228_P5,G1S24,known,Th-228,single,1.041,340.00,4.5182,7.1475E+004,341527.1,9.0053E+001,1.8082E+002,,,0,1.346
G1S24_Th228_P5,G1S24,known,Ra-224,single,2.851,340.00,4.5182,7.1475E+004,788971.2,,,,,0,3.110
G1S24_Th228_P5,G1S24,known,Rn-220,single,0.053,340.00,4.5182,7.1475E+004,8535.5,,,,,0,0.034
G1S24_Th228_P5,G1S24,known,Po-216,single,0.001,340.00,4.5182,7.1475E+004,114.6,,,,,0,0.000
G1S24_Th228_P5,G1S24,known,Pb-212,single,50.918,340.00,4.5182,7.1475E+004,15390799.8,,,,,0,60.665
G1S24_Th228_P5,G1S24,known,Bi-212,single,7.761,340.00,4.5182,7.1475E+004,2089195.2,,,,,0,8.235
G1S24_Th228_P5,G1S24,known,Tl-208,single,37.376,340.00,4.5182,7.1475E+004,6750981.9,,,,,0,26.610
G1S24_Y88_P5,G1S24,known,Y-88,single,98.699,312.33,2.7890,2.3664E+004,1127471.0,2.1583E+001,4.3750E+001,,,0,97.796
G1S24_Y88_P5,G1S24,known,Ann-511,nuisance,1.301,15.76,2.7890,4.9705E+002,25408.4,,,,,0,2.204
G1S24_Zn65_P5,G1S24,known,Zn-65,single,92.185,86.14,1.0731,6.9274E+002,7686.8,4.8119E+000,9.8430E+000,,,0,86.904
G1S24_Zn65_P5,G1S24,known,Ann-511,nuisance,7.620,17.45,1.0731,2.4245E+001,1158.3,,,,,0,13.096
