spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S16_Am241_P25,G1S16,known,Am-241,single,99.975,143.08,1.2547,1.1674E+005,88926.5,3.7627E+002,7.5928E+002,,,0,100.000
G1S16_Ba133_P25,G1S16,known,Ba-133,single,99.728,175.36,1.6346,2.4809E+004,308881.5,6.3750E+001,1.2895E+002,,,0,99.690
G1S16_Ba133_P25,G1S16,known,Esc-NaI,nuisance,0.267,3.01,1.6346,8.3496E+003,959.4,,,,,0,0.310
G1S16_Cd109_P25,G1S16,known,Cd-109,single,99.776,62.74,1.1607,6.8114E+003,14538.4,2.4819E+001,5.2564E+001,,,0,100.000
G1S16_Ce139_P25,G1S16,known,Ce-139,single,99.384,65.09,1.0926,1.8555E+003,15380.8,2.8059E+001,5.6677E+001,,,0,100.000
G1S16_Co60_P25,G1S16,known,Co-60,single,99.621,259.08,1.2880,3.6942E+004,112549.8,3.3204E+001,6.7860E+001,,,0,99.323
G1S16_Co60_P25,G1S16,known,Ann-511,nuisance,0.378,3.68,1.2880,2.4466E+002,767.1,,,,,0,0.677
G1S16_Cs137_P25,G1S16,known,Cs-137,single,99.999,271.34,1.4349,7.4033E+004,185531.8,5.7933E+001,1.1845E+002,,,0,100.000
G1S16_Eu152_P25,G1S16,known,Eu-152,single,99.560,188.19,1.8723,2.8735E+004,628826.9,1.0085E+002,2.0296E+002,,,0,99.479
G1S16_Eu152_P25,G1S16,known,Esc-NaI,nuisance,0.438,3.80,1.8723,4.8905E+004,3290.4,,,,,0,0.521
G1S16_Mn54_P25,G1S16,known,Mn-54,single,99.994,187.34,1.2783,2.8377E+004,55842.8,6.3493E+001,1.2900E+002,,,0,100.000
G1S16_Na22_P25,G1S16,known,Na-22,single,29.934,159.13,2.0377,6.6141E+004,88547.3,1.3296E+002,2.7259E+002,,,0,16.908
G1S16_Na22_P25,G1S16,known,Ann-511,nuisance,70.065,238.53,2.0377,1.3892E+005,435150.7,,,,,0,83.092
G1S16_Th228_P25,G1S16,known,Th-228,single,0.886,90.72,1.0865,2.3136E+003,475.2,2.9144E+001,5.8666E+001,,,0,1.205
G1S16_Th228_P25,G1S16,known,Ra-224,single,2.729,90.72,1.0865,2.3136E+003,1225.6,,,,,0,3.109
G1S16_Th228_P25,G1S16,known,Rn-220,single,0.061,90.72,1.0865,2.3136E+003,15.4,,,,,0,0.039
G1S16_Th228_P25,G1S16,known,Po-216,single,0.001,90.72,1.0865,2.3136E+003,0.2,,,,,0,0.001
G1S16_Th228_P25,G1S16,known,Pb-212,single,46.406,90.72,1.0865,2.3136E+003,22664.5,,,,,0,57.499
G1S16_Th228_P25,G1S16,known,Bi-212,single,8.134,90.72,1.0865,2.3136E+003,3251.3,,,,,0,8.248
G1S16_Th228_P25,G1S16,known,Tl-208,single,41.784,90.72,1.0865,2.3136E+003,11785.3,,,,,0,29.899
G1S16_Y88_P25,G1S16,known,Y-88,single,100.000,47.57,1.0370,5.9839E+002,3623.6,1.3536E+001,2.7482E+001,,,0,100.000
G1S16_Am241_P5,G1S16,known,Am-241,single,99.874,226.15,1.6439,9.1349E+004,620339.7,7.1809E+001,1.4506E+002,,,0,100.000
G1S16_Ba133_P5,G1S16,known,Ba-133,single,99.990,172.19,3.3949,2.0883E+004,4030638.8,4.4231E+001,8.9175E+001,,,0,100.000
G1S16_Cd109_P5,G1S16,known,Cd-109,single,99.879,77.69,1.8866,6.0628E+003,215486.4,9.4623E+000,1.9365E+001,,,0,100.000
G1S16_Ce139_P5,G1S16,known,Ce-139,single,98.928,123.97,1.8133,1.5514E+003,212545.5,3.0400E+000,6.2215E+000,,,0,99.278
G1S16_Ce139_P5,G1S16,known,Esc-NaI,nuisance,0.758,7.58,1.8133,2.3736E+003,1544.9,,,,,0,0.722
G1S16_Co57_P5,G1S16,known,Co-57,single,97.752,61.43,1.0027,6.3116E+001,6482.5,6.1947E-001,1.2693E+000,,,0,100.000
G1S16_Co60_P5,G1S16,known,Co-60,single,100.000,294.66,3.1027,3.1872E+004,799456.0,2.1387E+001,4.3623E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,Cs-137,single,99.893,390.64,2.8846,6.3915E+004,2175480.1,1.7410E+001,3.5682E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,pile-up,nuisance,0.107,6.16,2.8846,2.2852E+000,0.0,,,,,0,0.000
G1S16_Eu152_P5,G1S16,known,Eu-152,single,98.513,192.01,3.7874,2.3223E+004,3787365.9,6.3331E+001,1.2758E+002,,,0,98.290
G1S16_Eu152_P5,G1S16,known,Esc-NaI,nuisance,1.484,8.65,3.7874,1.1356E+005,65890.1,,,,,0,1.710
