spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S16_Am241_P25,G1S16,known,1.5742,1.2547,0.869914,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,2,3,29,31,,0,,3.7627,,17.251,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86991, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.92 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.20027 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S16_Ba133_P25,G1S16,known,2.6719,1.6346,1.000786,-0.465,0,0,0,1,"НАЙДЕНА, применена",1,1,1,10,3,61,297,,0,,15.0879,,20.469,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,2,3,-1.366,"опор 3; усиление 1.00079, ноль -1.37 кэВ (-0.465 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.15 кэВ калибровки, свет -2.60 кэВ (по съёмке: опор 4 из 6 (32.3…358.1 кэВ), нуль света кан 0.92), растяжение 1.00659 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S16_Cd109_P25,G1S16,known,1.3473,1.1607,0.991209,-0.046,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,3,39,31,,0,,2.4759,,31.859,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-0.138,"опор 2; усиление 0.99121, ноль -0.14 кэВ (-0.046 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.87 кэВ калибровки, свет -0.39 кэВ (по съёмке: опор 2 из 2 (24.0…91.6 кэВ), нуль света кан 0.14), растяжение 1.05058 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S16_Ce139_P25,G1S16,known,1.1937,1.0926,1.007046,-0.570,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,3,45,47,,0,,1.5635,,21.332,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.684,"опор 2; усиление 1.00705, ноль -1.68 кэВ (-0.570 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.11 кэВ калибровки, свет -0.95 кэВ (по съёмке: опор 2 из 2 (36.7…169.2 кэВ), нуль света кан 0.34), растяжение 1.02492 по 165.9 кэВ",NaI:Tl,1.0000,line
G1S16_Co60_P25,G1S16,known,1.6590,1.2880,1.003252,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,7,87,94,,0,,2.0107,,5.166,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,2,2,0.000,"опор 2; усиление 1.00325, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 0.95 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 0.99929 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S16_Cs137_P25,G1S16,known,2.0589,1.4349,1.002641,-0.492,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,2,39,31,,0,,3.1639,,7.343,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.451,"опор 2; усиление 1.00264, ноль -1.45 кэВ (-0.492 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.05 кэВ калибровки, свет -2.08 кэВ (по съёмке: опор 2 из 2 (34.6…661.9 кэВ), нуль света кан 0.72), растяжение 1.00297 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S16_Eu152_P25,G1S16,known,3.5055,1.8723,1.007004,-0.083,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,10,265,266,,0,,18.1659,,15.098,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,2,6,-0.245,"опор 6; усиление 1.00700, ноль -0.24 кэВ (-0.083 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.62 кэВ калибровки, свет -1.58 кэВ (по съёмке: опор 4 из 15 (42.9…346.3 кэВ), нуль света кан 0.56), растяжение 1.00414 по 1457.6 кэВ",NaI:Tl,1.0000,line
G1S16_Mn54_P25,G1S16,known,1.6339,1.2783,0.999654,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,7,2,54,63,,0,,1.9818,,8.216,sample,"распад 1, атомных 1, линий 4; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.99965, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.96 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 1, нехватка), растяжение 1.01433 по 834.8 кэВ",NaI:Tl,1.0000,line
G1S16_Na22_P25,G1S16,known,4.1524,2.0377,1.003186,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,5,74,78,,0,,8.7660,,7.517,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,0.000,"опор 2; усиление 1.00319, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.97 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.00625 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S16_Th228_P25,G1S16,known,1.1806,1.0865,1.008254,-0.943,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,8,121,109,,0,,1.3862,,12.522,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,7,-2.794,"опор 7; усиление 1.00825, ноль -2.79 кэВ (-0.943 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.92 кэВ калибровки, свет -6.28 кэВ (по съёмке: опор 5 из 10 (80.1…584.6 кэВ), нуль света кан 2.17), растяжение 1.00101 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S16_Y88_P25,G1S16,known,1.0755,1.0370,1.007072,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,5,92,94,,0,,1.2855,,27.402,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,1,2,0.000,"опор 2; усиление 1.00707, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.94 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00650 по 1836.1 кэВ",NaI:Tl,1.0000,line
G1S16_Am241_P5,G1S16,known,2.7025,1.6439,0.864405,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,3,3,29,31,,0,,18.6778,,16.436,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86441, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.03 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.21888 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S16_Ba133_P5,G1S16,known,11.5255,3.3949,0.993164,-0.469,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,3,53,63,,0,,296.9092,,25.376,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-1.360,"опор 3; усиление 0.99316, ноль -1.36 кэВ (-0.469 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.84 кэВ калибровки, свет -2.43 кэВ (по съёмке: опор 4 из 6 (32.3…358.0 кэВ), нуль света кан 0.86), растяжение 1.00623 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S16_Cd109_P5,G1S16,known,3.5591,1.8866,1.000125,-0.371,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,25,0,,0,,32.2560,,36.276,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.103,"опор 2; усиление 1.00012, ноль -1.10 кэВ (-0.371 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.35 кэВ калибровки, свет -0.81 кэВ (по съёмке: опор 2 из 2 (24.1…91.8 кэВ), нуль света кан 0.29), растяжение 1.06245 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S16_Ce139_P5,G1S16,known,3.2881,1.8133,1.006272,-0.479,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,3,31,31,,0,,14.9703,,23.976,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,2,2,-1.417,"опор 2; усиление 1.00627, ноль -1.42 кэВ (-0.479 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.89 кэВ калибровки, свет -0.50 кэВ (по съёмке: опор 2 из 2 (36.2…169.1 кэВ), нуль света кан 0.18), растяжение 1.03243 по 165.9 кэВ",NaI:Tl,1.0000,line
G1S16_Co57_P5,G1S16,known,1.0053,1.0027,0.995916,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,52,47,,0,,1.2340,,17.442,sample,"распад 1, атомных 2, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.99592, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.36 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 1, нехватка), растяжение 1.05394 по 136.5 кэВ",NaI:Tl,1.0000,line
G1S16_Co60_P5,G1S16,known,9.6269,3.1027,1.003870,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,7,68,78,,0,,57.1249,,13.990,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00387, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.06 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00980 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S16_Cs137_P5,G1S16,known,8.3208,2.8846,0.993574,0.384,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,2,39,31,,0,,51.3847,,10.160,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,1.137,"опор 2; усиление 0.99357, ноль 1.14 кэВ (0.384 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -10.86 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.01641 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S16_Eu152_P5,G1S16,known,14.3442,3.7874,1.007248,-0.064,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,10,272,281,,0,,223.1066,,21.152,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,2,4,-0.191,"опор 4; усиление 1.00725, ноль -0.19 кэВ (-0.064 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.03 кэВ калибровки, свет -1.68 кэВ (по съёмке: опор 4 из 15 (42.9…346.4 кэВ), нуль света кан 0.59), растяжение 1.00435 по 1457.6 кэВ",NaI:Tl,1.0000,line
G1S16_Mn54_P5,G1S16,known,2.8428,1.6861,1.005584,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,6,2,41,31,,0,,5.4492,,8.302,sample,"распад 1, атомных 1, линий 4; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 1.00558, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -43.75 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 1, нехватка), растяжение 1.05240 по 834.8 кэВ",NaI:Tl,1.0000,line
G1S16_Na22_P5,G1S16,known,13.9004,3.7283,0.988773,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,5,61,63,,0,,72.2750,,11.792,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,0.000,"опор 2; усиление 0.98877, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 6.94 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 0.99455 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S16_Th228_P5,G1S16,known,4.4808,2.1168,1.016299,-0.751,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,8,132,141,,0,,14.3475,,19.386,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,4,-2.254,"опор 4; усиление 1.01630, ноль -2.25 кэВ (-0.751 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -16.72 кэВ калибровки, свет -7.55 кэВ (по съёмке: опор 5 из 14 (80.3…584.8 кэВ), нуль света кан 2.60), растяжение 1.00350 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S16_Y88_P5,G1S16,known,1.3350,1.1554,1.008743,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,5,83,78,,0,,1.5334,,10.975,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,2,2,0.000,"опор 2; усиление 1.00874, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.08 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00712 по 1836.1 кэВ",NaI:Tl,1.0000,line
