spectrum,peak_kev,fwhm_kev,winner,cand_name,cand_kev,cand_intensity_pct,cand_miss_kev,cand_miss_fwhm
AS80_Charoite,135.914,14.109,Ac-228,Eu-152,125.000,28.53,10.914,0.7736
AS80_Charoite,135.914,14.109,Ac-228,U-235,145.000,10.96,9.086,0.6440
AS80_Charoite,135.914,14.109,Ac-228,Pu-238,152.000,0.0009,16.086,1.1402
AS80_Charoite,135.914,14.109,Ac-228,Ac-228,129.065,2.42,6.849,0.4854
AS80_Charoite,254.727,23.954,Eu-152,U-237,208.005,21.2,46.722,1.9505
AS80_Charoite,254.727,23.954,Eu-152,Ac-228,211.000,3.89,43.727,1.8255
AS80_Charoite,254.727,23.954,Eu-152,Np-239,228.000,10.73,26.727,1.1158
AS80_Charoite,254.727,23.954,Eu-152,Pb-212,238.000,43.6,16.727,0.6983
AS80_Charoite,254.727,23.954,Eu-152,Pb-214,241.000,7.2615,13.727,0.5730
AS80_Charoite,254.727,23.954,Eu-152,Eu-152,244.000,7.55,10.727,0.4478
AS80_Charoite,254.727,23.954,Eu-152,Np-239,277.000,14.505,22.273,0.9298
AS80_Charoite,254.727,23.954,Eu-152,I-131,284.000,6.1207,29.273,1.2221
AS80_Charoite,254.727,23.954,Eu-152,Pb-214,295.000,18.4672,40.273,1.6813
AS80_Charoite,364.662,30.183,I-131,Lu-176,307.000,93.6,57.662,1.9104
AS80_Charoite,364.662,30.183,I-131,Np-239,315.000,1.6,49.662,1.6453
AS80_Charoite,364.662,30.183,I-131,Ac-228,338.000,11.27,26.662,0.8833
AS80_Charoite,364.662,30.183,I-131,Eu-152,345.000,26.59,19.662,0.6514
AS80_Charoite,364.662,30.183,I-131,Pb-214,353.000,35.7166,11.662,0.3864
AS80_Charoite,364.662,30.183,I-131,Ba-133,358.000,62.05,6.662,0.2207
AS80_Charoite,364.662,30.183,I-131,I-131,364.000,81.5,0.662,0.0219
AS80_Charoite,364.662,30.183,I-131,Pu-239,375.000,0.0016,10.338,0.3425
AS80_Charoite,364.662,30.183,I-131,Pu-241,400.000,0,35.338,1.1708
AS80_Charoite,364.662,30.183,I-131,Ac-228,409.000,1.92,44.338,1.4690
AS80_Charoite,364.662,30.183,I-131,Ac-228,328.000,2.95,36.662,1.2146
AS80_Charoite,621.975,47.592,Ag-108m,Tl-208,583.000,30.549,38.975,0.8189
AS80_Charoite,621.975,47.592,Ag-108m,Bi-214,609.000,45.44,12.975,0.2726
AS80_Charoite,621.975,47.592,Ag-108m,Ag-108m,614.000,89.8,7.975,0.1676
AS80_Charoite,621.975,47.592,Ag-108m,I-131,636.000,7.1557,14.025,0.2947
AS80_Charoite,621.975,47.592,Ag-108m,Cs-137,662.000,85.1,40.025,0.8410
AS80_Charoite,768.327,35.533,Bi-214,I-131,722.000,1.7686,46.327,1.3038
AS80_Charoite,768.327,35.533,Bi-214,Bi-212,727.330,6.67,40.997,1.1538
AS80_Charoite,768.327,35.533,Bi-214,Ac-228,726.863,0.62,41.464,1.1669
AS80_Charoite,768.327,35.533,Bi-214,Pa-234m,766.000,0.317,2.327,0.0655
AS80_Charoite,768.327,35.533,Bi-214,Eu-152,780.000,12.93,11.673,0.3285
AS80_Charoite,768.327,35.533,Bi-214,Ac-228,794.000,4.25,25.673,0.7225
AS80_Charoite,768.327,35.533,Bi-214,Cs-134,798.000,85.46,29.673,0.8351
AS80_Charoite,768.327,35.533,Bi-214,Ac-228,835.000,1.61,66.673,1.8764
AS80_Charoite,768.327,35.533,Bi-214,Bi-214,768.360,4.89,0.033,0.0009
AS80_Charoite,958.535,61.402,Ac-228,Ac-228,911.000,25.8,47.535,0.7742
AS80_Charoite,958.535,61.402,Ac-228,Ac-228,964.000,4.99,5.465,0.0890
AS80_Charoite,958.535,61.402,Ac-228,Ac-228,968.000,15.8,9.465,0.1541
AS80_Charoite,958.535,61.402,Ac-228,Pa-234m,1001.000,0.842,42.465,0.6916
AS80_Charoite,1171.210,82.205,Co-60,Eu-152,1111.000,13.67,60.210,0.7324
