ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI,Ann-511
0,1.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,4.082,0.000,0.000,0.005,0.005,0.005,0.000,0.000
2,6.821,0.000,0.000,0.175,0.175,0.171,0.003,0.000
3,9.561,0.000,0.000,0.961,0.961,0.940,0.019,0.001
4,12.302,0.000,0.000,1.644,1.644,1.609,0.033,0.002
5,15.045,4.125,4.125,5.910,5.910,5.784,0.118,0.008
6,17.790,82.625,82.625,18.169,18.169,17.781,0.363,0.025
7,20.536,661.250,661.250,36.789,36.789,36.003,0.735,0.051
8,23.283,3009.343,3009.343,6286.792,6286.756,6152.437,125.614,8.742
9,26.032,7185.030,7185.030,12508.454,12507.392,12240.166,250.898,17.391
10,28.782,16037.966,16037.966,18736.421,18721.546,18321.554,388.836,26.032
11,31.534,23570.152,23570.152,25050.415,24949.904,24416.870,598.853,34.692
12,34.288,32680.433,32680.433,31521.679,31184.799,30518.814,959.504,43.362
13,37.042,37247.464,37247.464,38030.625,37418.652,36620.569,1358.025,52.031
14,39.799,44764.994,44764.994,44553.534,43652.236,42723.777,1769.055,60.702
15,42.556,54908.994,54908.994,43745.740,41277.662,40408.735,3279.601,57.404
16,45.315,77821.744,77821.744,47782.494,38903.917,38149.509,9578.871,54.114
17,48.076,98373.337,98373.337,60459.172,36530.408,36210.545,24197.778,50.850
18,50.838,102995.869,102995.869,78127.240,34156.929,35484.526,42595.074,47.640
19,53.601,87210.588,87210.588,88388.134,31783.453,37666.562,50677.081,44.490
20,56.366,70933.963,70933.963,85634.183,29409.977,43900.447,41692.375,41.361
21,59.132,67032.306,67032.306,78672.582,27036.500,52458.827,26175.554,38.201
22,61.900,75042.649,75042.649,75947.387,24663.024,59668.138,16244.251,34.998
23,64.669,86188.242,86188.242,78287.014,22289.547,65908.783,12346.465,31.766
24,67.439,104134.617,104134.617,92346.945,19916.071,82873.818,9444.610,28.518
25,70.211,143755.304,143755.304,143467.387,17542.595,137696.777,5745.336,25.274
26,72.984,237740.335,237740.335,268947.417,16708.699,266356.025,2567.059,24.333
27,75.758,437299.335,437299.335,475480.006,15874.804,474626.740,829.636,23.630
28,78.534,721097.490,721097.490,700435.258,15040.908,700218.267,193.659,23.332
29,81.312,901172.552,901172.552,829123.831,14207.013,829067.700,32.610,23.521
30,84.090,873699.271,873699.271,793276.059,13373.118,793248.012,3.949,24.097
31,86.870,661660.115,661660.115,638522.543,12539.222,638497.396,0.343,24.804
32,89.651,456141.896,456141.896,467569.943,11705.327,467544.396,0.021,25.526
33,92.434,336115.365,336115.365,339706.636,10871.431,339679.976,0.001,26.660
34,95.218,273079.928,273079.928,250108.591,10037.536,250079.468,0.000,29.123
35,98.003,194040.709,194040.709,177326.414,9203.641,177292.565,0.000,33.849
36,100.790,111819.521,111819.521,116005.268,8369.745,115964.215,0.000,41.053
