ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
397,1166.395,0.333,0.333,0.043,0.043,0.000,0.000,0.043
398,1169.416,1.267,1.267,0.044,0.044,0.000,0.000,0.044
399,1172.437,4.800,4.800,0.045,0.045,0.000,0.000,0.045
400,1175.459,0.000,-2.933,0.046,0.046,0.000,0.000,0.046
401,1178.480,0.000,-1.333,0.047,0.047,0.000,0.000,0.047
402,1181.501,0.000,-1.700,0.048,0.048,0.000,0.000,0.048
403,1184.523,0.000,-2.333,0.048,0.048,0.000,0.000,0.048
404,1187.545,0.000,-1.833,0.049,0.049,0.000,0.000,0.049
405,1190.566,0.000,-1.133,0.050,0.050,0.000,0.000,0.050
406,1193.588,0.967,0.967,0.051,0.051,0.000,0.000,0.051
407,1196.610,0.167,0.167,0.052,0.052,0.000,0.000,0.052
408,1199.633,1.633,1.633,0.053,0.053,0.000,0.000,0.053
409,1202.655,0.000,-1.067,0.053,0.053,0.000,0.000,0.053
410,1205.677,0.000,-1.000,0.054,0.054,0.000,0.000,0.054
411,1208.700,0.000,-4.600,0.055,0.055,0.000,0.000,0.055
412,1211.723,0.000,-2.900,0.056,0.056,0.000,0.000,0.056
413,1214.745,1.033,1.033,0.057,0.057,0.000,0.000,0.057
414,1217.768,0.000,-0.133,0.058,0.058,0.000,0.000,0.058
415,1220.791,9.467,9.467,0.058,0.058,0.000,0.000,0.058
416,1223.815,0.000,-2.000,0.059,0.059,0.000,0.000,0.059
417,1226.838,0.000,-0.133,0.060,0.060,0.000,0.000,0.060
418,1229.861,9.533,9.533,0.061,0.061,0.000,0.000,0.061
419,1232.885,0.000,-0.533,0.062,0.062,0.000,0.000,0.062
420,1235.908,0.000,-1.967,0.061,0.061,0.000,0.000,0.061
421,1238.932,0.000,0.000,0.060,0.060,0.000,0.000,0.060
422,1241.956,1.233,1.233,0.060,0.060,0.000,0.000,0.060
423,1244.979,0.000,-1.067,0.059,0.059,0.000,0.000,0.059
424,1248.003,7.567,7.567,0.058,0.058,0.000,0.000,0.058
425,1251.027,0.933,0.933,0.057,0.057,0.000,0.000,0.057
426,1254.052,3.467,3.467,0.057,0.057,0.000,0.000,0.057
427,1257.076,0.000,-0.767,0.056,0.056,0.000,0.000,0.056
428,1260.100,8.733,8.733,0.055,0.055,0.000,0.000,0.055
429,1263.125,0.000,-2.567,0.054,0.054,0.000,0.000,0.054
430,1266.149,6.133,6.133,0.054,0.054,0.000,0.000,0.054
431,1269.174,3.733,3.733,0.053,0.053,0.000,0.000,0.053
432,1272.199,7.267,7.267,0.052,0.052,0.000,0.000,0.052
433,1275.223,5.200,5.200,0.052,0.052,0.000,0.000,0.052
434,1278.248,7.233,7.233,0.051,0.051,0.000,0.000,0.051
435,1281.273,1.033,1.033,0.050,0.050,0.000,0.000,0.050
436,1284.298,5.200,5.200,0.049,0.049,0.000,0.000,0.049
437,1287.323,3.367,3.367,0.049,0.049,0.000,0.000,0.049
438,1290.349,2.633,2.633,0.048,0.048,0.000,0.000,0.048
439,1293.374,0.000,-0.267,0.047,0.047,0.000,0.000,0.047
440,1296.399,3.633,3.633,0.046,0.046,0.000,0.000,0.046
