ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
346,995.944,15770.690,15770.690,15022.525,705.005,14886.712,0.000,135.814
347,998.853,15647.065,15647.065,15013.846,676.691,14858.425,0.000,155.421
348,1001.762,15810.252,15810.252,15000.860,648.377,14808.158,0.000,192.702
349,1004.672,15764.096,15764.096,14968.924,620.063,14733.062,0.000,235.862
350,1007.582,15037.158,15037.158,14862.853,591.750,14630.442,0.000,232.411
351,1010.491,14909.690,14909.690,14751.506,563.436,14497.842,0.000,253.664
352,1013.401,15048.190,15048.190,14655.673,535.122,14333.181,0.000,322.492
353,1016.311,14914.315,14914.315,14495.910,506.808,14134.835,0.000,361.075
354,1019.221,14460.252,14460.252,14267.219,478.494,13901.705,0.000,365.514
355,1022.131,14163.283,14163.283,14009.580,450.180,13633.318,0.000,376.262
356,1025.041,13753.908,13753.908,13787.935,421.866,13329.897,0.000,458.038
357,1027.951,13059.096,13059.096,13437.600,393.553,12992.403,0.000,445.197
358,1030.861,12738.034,12738.034,13093.877,365.239,12622.500,0.000,471.377
359,1033.771,12480.783,12480.783,12745.148,336.925,12222.600,0.000,522.547
360,1036.681,11768.440,11768.440,12332.485,308.611,11795.779,0.000,536.706
361,1039.591,11564.752,11564.752,11851.405,280.297,11345.694,0.000,505.711
362,1042.502,10863.315,10863.315,11373.009,251.983,10876.488,0.000,496.521
363,1045.412,10355.409,10355.409,10918.988,223.669,10392.674,0.000,526.315
364,1048.323,9773.908,9773.908,10416.644,246.576,9949.601,0.000,467.043
365,1051.233,9247.690,9247.690,9963.344,269.483,9501.456,0.000,461.888
366,1054.144,8741.033,8741.033,9513.758,292.390,9052.962,0.000,460.795
367,1057.054,8037.565,8037.565,9033.044,315.297,8608.618,0.000,424.426
368,1059.965,7758.783,7758.783,8532.093,338.204,8172.569,0.000,359.524
369,1062.876,7256.689,7256.689,8079.884,361.111,7748.514,0.000,331.370
370,1065.786,7094.627,7094.627,7661.242,384.017,7339.635,0.000,321.607
371,1068.697,6760.721,6760.721,7211.216,406.924,6948.536,0.000,262.679
372,1071.608,6321.502,6321.502,6808.345,429.831,6577.203,0.000,231.142
373,1074.519,6043.346,6043.346,6433.537,452.738,6227.040,0.000,206.497
374,1077.429,5582.908,5582.908,6088.662,475.645,5898.874,0.000,189.788
375,1080.340,5337.002,5337.002,5736.873,498.552,5593.009,0.000,143.864
376,1083.251,5194.752,5194.752,5442.544,521.459,5309.272,0.000,133.272
377,1086.162,5001.534,5001.534,5174.441,544.365,5047.119,0.000,127.322
378,1089.073,4798.315,4798.315,4913.197,567.272,4805.682,0.000,107.515
379,1091.984,4438.065,4438.065,4675.465,590.179,4583.851,0.000,91.614
380,1094.895,4382.877,4382.877,4466.649,613.086,4380.364,0.000,86.285
381,1097.806,4223.689,4223.689,4280.841,635.993,4193.869,0.000,86.972
382,1100.716,4011.252,4011.252,4101.475,658.900,4022.984,0.000,78.491
383,1103.627,3920.408,3920.408,3938.130,681.807,3866.348,0.000,71.782
384,1106.538,3924.939,3924.939,3791.485,704.713,3722.668,0.000,68.818
385,1109.449,3654.940,3654.940,3663.803,727.620,3590.752,0.000,73.050
386,1112.360,3650.158,3650.158,3535.361,750.527,3469.536,0.000,65.825
387,1115.271,3450.158,3450.158,3426.604,773.434,3358.089,0.000,68.515
388,1118.182,3362.377,3362.377,3328.235,796.341,3255.645,0.000,72.590
389,1121.093,3260.627,3260.627,3232.571,819.248,3161.602,0.000,70.969
390,1124.004,3341.096,3341.096,3142.262,842.154,3075.530,0.000,66.732
391,1126.915,3273.627,3273.627,3064.868,865.061,2997.188,0.000,67.680
392,1129.825,3084.596,3084.596,2998.914,887.968,2926.546,0.000,72.367
393,1132.736,3156.315,3156.315,2935.897,910.875,2863.809,0.000,72.088
394,1135.647,3062.908,3062.908,2878.374,933.782,2809.445,0.000,68.929
395,1138.558,2978.939,2978.939,2832.234,956.689,2764.248,0.000,67.986
396,1141.469,3012.814,3012.814,2801.499,979.596,2729.403,0.000,72.096
397,1144.379,3019.502,3019.502,2774.325,1002.502,2706.573,0.000,67.752
398,1147.290,3067.752,3067.752,2768.059,1025.409,2697.998,0.000,70.061
399,1150.201,3156.377,3156.377,2780.139,1048.316,2706.634,0.000,73.505
400,1153.111,3211.377,3211.377,2809.036,1071.223,2736.287,0.000,72.748
401,1156.022,3259.564,3259.564,2860.051,1094.130,2791.777,0.000,68.274
402,1158.933,3444.627,3444.627,2947.414,1117.037,2879.107,0.000,68.307
403,1161.843,3654.345,3654.345,3077.456,1139.944,3005.644,0.000,71.812
404,1164.754,3611.408,3611.408,3254.125,1162.850,3180.279,0.000,73.846
405,1167.664,3960.939,3960.939,3481.512,1185.757,3413.563,0.000,67.950
406,1170.574,4220.408,4220.408,3783.004,1208.664,3717.807,0.000,65.196
407,1173.485,4564.408,4564.408,4177.905,1231.571,4107.135,0.000,70.770
408,1176.395,5166.939,5166.939,4658.065,1254.478,4597.433,0.000,60.632
409,1179.305,5405.939,5405.939,5268.790,1277.385,5206.182,0.000,62.608
410,1182.216,6197.064,6197.064,6019.678,1300.292,5952.214,0.000,67.464
411,1185.126,6810.814,6810.814,6923.287,1323.198,6855.266,0.000,68.021
412,1188.036,7965.877,7965.877,7987.327,1346.105,7935.387,0.000,51.940
413,1190.946,9086.658,9086.658,9262.033,1369.012,9212.187,0.000,49.846
414,1193.856,9975.283,9975.283,10763.609,1391.919,10703.951,0.000,59.657
415,1196.766,11851.095,11851.095,12484.224,1414.826,12426.558,0.000,57.666
416,1199.676,13321.689,13321.689,14427.467,1437.733,14392.282,0.000,35.185
417,1202.585,15245.939,15245.939,16631.940,1460.640,16608.569,0.000,23.371
418,1205.495,17820.126,17820.126,19120.883,1483.546,19076.822,0.000,44.061
419,1208.405,20069.095,20069.095,21788.721,1506.453,21791.218,0.000,14.744
420,1211.314,23018.064,23018.064,24741.209,1529.360,24737.585,0.000,15.160
421,1214.224,25980.564,25980.564,27917.306,1552.267,27892.764,0.000,24.543
422,1217.133,28654.970,28654.970,31245.184,1575.174,31224.049,0.000,21.135
423,1220.042,32811.439,32811.439,34647.370,1598.081,34689.124,0.000,16.660
424,1222.952,35825.251,35825.251,38185.902,1620.988,38236.489,0.000,17.279
425,1225.861,40119.251,40119.251,41800.995,1643.894,41806.351,0.000,17.970
426,1228.770,44349.783,44349.783,45319.280,1666.801,45332.006,0.000,18.745
427,1231.679,47548.158,47548.158,48659.557,1689.708,48741.731,0.000,19.617
428,1234.588,50763.595,50763.595,51840.673,1712.615,51961.070,0.000,20.600
429,1237.497,55505.345,55505.345,54878.188,1735.522,54915.466,0.000,21.712
430,1240.405,58757.876,58757.876,57378.149,1758.429,57533.077,0.000,22.972
431,1243.314,61464.220,61464.220,59617.271,1781.336,59747.660,0.000,24.405
432,1246.223,63625.283,63625.283,61446.488,1804.242,61501.336,0.000,26.037
433,1249.131,66960.720,66960.720,62687.922,1827.149,62747.102,0.000,27.900
434,1252.039,68406.095,68406.095,63287.196,1850.056,63450.920,0.000,30.030
435,1254.948,67801.220,67801.220,63422.074,1872.963,63593.250,0.000,32.472
436,1257.856,68494.814,68494.814,63113.030,1895.870,63169.954,0.000,35.275
437,1260.764,67551.626,67551.626,62140.791,1918.777,62192.485,0.000,38.499
438,1263.672,66669.532,66669.532,60561.318,1941.683,60687.368,0.000,42.214
439,1266.579,64506.376,64506.376,58527.221,1964.590,58694.993,0.000,46.498
440,1269.487,62510.595,62510.595,56240.700,1987.497,56267.804,0.000,51.445
441,1272.395,59857.814,59857.814,53351.295,2010.404,53468.004,0.000,57.160
442,1275.302,56142.939,56142.939,50284.528,2033.311,50364.888,0.000,63.761
443,1278.210,51644.658,51644.658,47049.121,2056.218,47032.008,0.000,71.382
444,1281.117,47937.376,47937.376,43580.186,2079.125,43544.283,0.000,80.165
445,1284.024,43711.595,43711.595,39969.021,2102.031,39975.251,0.000,90.260
446,1286.931,39618.282,39618.282,36399.098,2124.938,36394.580,0.000,101.819
447,1289.838,34844.814,34844.814,32968.309,2147.845,32865.952,0.000,114.982
448,1292.745,31016.814,31016.814,29516.013,2170.752,29445.409,0.000,129.866
449,1295.651,27190.470,27190.470,26300.292,2193.659,26180.199,0.000,146.544
450,1298.558,23729.470,23729.470,23287.591,2216.566,23108.130,0.000,179.460
451,1301.464,20130.439,20130.439,20466.461,2239.473,20257.576,0.000,208.884
452,1304.370,16913.251,16913.251,17817.809,2222.382,17611.082,0.000,206.727
453,1307.276,14788.532,14788.532,15450.515,2205.291,15215.593,0.000,234.922
454,1310.182,12425.282,12425.282,13356.986,2188.201,13073.939,0.000,283.047
455,1313.088,10293.439,10293.439,11488.966,2171.110,11182.209,0.000,306.756
456,1315.994,8220.376,8220.376,9846.310,2154.019,9530.366,0.000,315.944
457,1318.900,7200.720,7200.720,8435.876,2136.929,8104.143,0.000,331.733
458,1321.805,5868.689,5868.689,7251.020,2119.838,6886.470,0.000,364.550
459,1324.710,4809.470,4809.470,6228.918,2102.748,5858.465,0.000,370.453
460,1327.616,3872.845,3872.845,5383.959,2085.657,4999.479,0.000,384.480
461,1330.521,3383.970,3383.970,4687.846,2068.566,4289.277,0.000,398.569
462,1333.425,2974.970,2974.970,4114.523,2051.476,3708.017,0.000,406.506
463,1336.330,2521.095,2521.095,3643.242,2034.385,3236.813,0.000,406.429
464,1339.235,2184.033,2184.033,3267.438,2017.294,2858.193,0.000,409.246
465,1342.139,1956.970,1956.970,2971.368,2000.204,2556.584,0.000,414.784
466,1345.043,1935.095,1935.095,2733.130,1983.113,2318.231,0.000,414.899
467,1347.947,1723.658,1723.658,2541.939,1966.022,2131.056,0.000,410.883
468,1350.851,1650.251,1650.251,2392.650,1948.932,1984.774,0.000,407.875
469,1353.755,1601.376,1601.376,2280.559,1931.841,1870.843,0.000,409.716
470,1356.659,1641.533,1641.533,2185.653,1914.751,1782.284,0.000,403.369
471,1359.562,1579.970,1579.970,2113.902,1897.660,1713.195,0.000,400.707
472,1362.466,1519.251,1519.251,2058.126,1880.569,1659.031,0.000,399.096
473,1365.369,1553.658,1553.658,2013.149,1863.479,1616.159,0.000,396.990
474,1368.272,1546.189,1546.189,1971.588,1846.388,1581.720,0.000,389.869
475,1371.175,1561.252,1561.252,1939.293,1829.297,1553.423,0.000,385.869
476,1374.077,1518.189,1518.189,1914.970,1812.207,1529.653,0.000,385.317
477,1376.980,1567.002,1567.002,1891.183,1795.116,1509.210,0.000,381.972
478,1379.882,1507.033,1507.033,1866.570,1778.025,1491.111,0.000,375.459
479,1382.784,1626.377,1626.377,1844.751,1760.935,1474.611,0.000,370.140
480,1385.686,1606.752,1606.752,1829.622,1743.844,1459.234,0.000,370.389
481,1388.588,1752.565,1752.565,1807.821,1726.754,1444.717,0.000,363.104
482,1391.490,1628.065,1628.065,1790.806,1709.663,1430.677,0.000,360.129
483,1394.391,1635.127,1635.127,1776.013,1692.572,1417.008,0.000,359.005
484,1397.292,1650.315,1650.315,1760.497,1675.482,1403.620,0.000,356.877
485,1400.193,1680.440,1680.440,1740.370,1658.391,1390.408,0.000,349.962
486,1403.094,1648.752,1648.752,1723.098,1641.300,1377.235,0.000,345.863
487,1405.995,1727.784,1727.784,1710.065,1624.210,1364.110,0.000,345.956
488,1408.896,1765.315,1765.315,1694.273,1607.119,1351.073,0.000,343.200
489,1411.796,1777.627,1777.627,1675.231,1590.028,1338.062,0.000,337.169
490,1414.696,1874.034,1874.034,1657.040,1572.938,1325.012,0.000,332.028
491,1417.596,1798.159,1798.159,1646.553,1555.847,1311.930,0.000,334.624
492,1420.496,1879.127,1879.127,1626.489,1538.757,1298.932,0.000,327.557
493,1423.395,1836.971,1836.971,1610.574,1521.666,1285.865,0.000,324.709
494,1426.295,1884.159,1884.159,1597.261,1504.575,1272.790,0.000,324.471
495,1429.194,1930.627,1930.627,1582.922,1487.485,1259.747,0.000,323.175
496,1432.093,1916.878,1916.878,1563.522,1470.394,1246.718,0.000,316.805
497,1434.992,1895.877,1895.877,1546.357,1453.303,1233.624,0.000,312.733
498,1437.891,1894.033,1894.033,1534.258,1436.213,1220.499,0.000,313.759
499,1440.789,1892.689,1892.689,1515.047,1419.122,1207.418,0.000,307.629
500,1443.687,1997.752,1997.752,1499.796,1402.032,1194.276,0.000,305.520
501,1446.585,1985.408,1985.408,1485.437,1384.941,1181.129,0.000,304.309
502,1449.483,2046.970,2046.970,1470.084,1367.850,1167.989,0.000,302.095
503,1452.381,1955.877,1955.877,1450.075,1350.760,1154.842,0.000,295.233
504,1455.278,1991.502,1991.502,1433.396,1333.669,1141.621,0.000,291.775
505,1458.175,1989.001,1989.001,1419.802,1316.578,1128.373,0.000,291.429
506,1461.072,2000.720,2000.720,1404.212,1299.488,1115.141,0.000,289.071
507,1463.969,1914.564,1914.564,1384.160,1282.397,1101.896,0.000,282.265
508,1466.866,1940.595,1940.595,1365.554,1265.306,1088.576,0.000,276.978
509,1469.762,1862.376,1862.376,1352.717,1248.216,1075.203,0.000,277.514
510,1472.658,1936.095,1936.095,1331.942,1231.125,1061.853,0.000,270.089
511,1475.554,1853.345,1853.345,1315.324,1214.035,1048.420,0.000,266.904
512,1478.450,1856.282,1856.282,1300.245,1196.944,1034.959,0.000,265.285
513,1481.345,1757.001,1757.001,1282.384,1179.853,1021.491,0.000,260.893
514,1484.241,1780.501,1780.501,1261.365,1162.763,1007.978,0.000,253.387
515,1487.136,1799.438,1799.438,1242.990,1145.672,994.382,0.000,248.609
516,1490.031,1709.063,1709.063,1228.256,1128.581,980.736,0.000,247.519
517,1492.925,1655.251,1655.251,1210.626,1111.491,967.086,0.000,243.540
518,1495.820,1600.594,1600.594,1190.242,1094.400,953.396,0.000,236.846
519,1498.714,1683.344,1683.344,1170.267,1077.309,939.633,0.000,230.634
520,1501.608,1558.282,1558.282,1155.716,1060.219,925.803,0.000,229.913
521,1504.502,1611.563,1611.563,1134.342,1043.128,911.970,0.000,222.372
522,1507.395,1557.313,1557.313,1116.193,1026.038,898.056,0.000,218.137
523,1510.289,1537.126,1537.126,1100.016,1008.947,884.098,0.000,215.918
524,1513.182,1442.719,1442.719,1082.759,991.856,870.119,0.000,212.641
525,1516.075,1495.000,1495.000,1061.470,974.766,856.105,0.000,205.365
526,1518.967,1456.532,1456.532,1041.920,957.675,842.015,0.000,199.905
527,1521.860,1408.344,1408.344,1026.944,940.584,827.868,0.000,199.076
528,1524.752,1441.563,1441.563,1006.165,923.494,813.713,0.000,192.452
529,1527.644,1332.469,1332.469,988.295,906.403,799.489,0.000,188.806
530,1530.536,1306.344,1306.344,971.235,889.312,785.228,0.000,186.007
531,1533.427,1340.282,1340.282,953.382,872.222,770.938,0.000,182.444
532,1536.318,1353.751,1353.751,932.615,855.131,756.611,0.000,176.004
533,1539.209,1307.563,1307.563,913.924,838.041,742.219,0.000,171.705
534,1542.100,1157.594,1157.594,897.517,820.950,727.784,0.000,169.733
535,1544.991,1225.719,1225.719,878.854,803.859,713.328,0.000,165.526
536,1547.881,1202.501,1202.501,858.784,786.769,698.829,0.000,159.955
537,1550.771,1096.657,1096.657,839.210,769.678,684.277,0.000,154.933
538,1553.661,1132.938,1132.938,823.575,752.587,669.677,0.000,153.899
539,1556.550,1108.438,1108.438,803.158,735.497,655.063,0.000,148.095
540,1559.440,1059.844,1059.844,784.499,718.406,640.395,0.000,144.104
541,1562.329,1060.626,1060.626,766.691,701.316,625.690,0.000,141.002
542,1565.218,1039.251,1039.251,748.613,684.225,610.954,0.000,137.659
543,1568.106,1025.688,1025.688,728.335,667.134,596.187,0.000,132.148
544,1570.995,988.032,988.032,709.025,650.044,581.371,0.000,127.653
545,1573.883,961.626,961.626,692.114,632.953,566.518,0.000,125.596
546,1576.771,939.907,939.907,672.063,615.862,551.644,0.000,120.419
547,1579.658,912.844,912.844,653.869,598.772,536.728,0.000,117.141
548,1582.546,829.157,829.157,636.175,581.681,521.786,0.000,114.389
549,1585.433,857.000,857.000,617.854,564.590,506.822,0.000,111.032
550,1588.320,824.813,824.813,597.983,547.500,491.834,0.000,106.149
551,1591.206,733.938,733.938,591.703,542.800,487.952,0.000,103.750
552,1594.093,784.751,784.751,586.749,538.101,484.065,0.000,102.685
553,1596.979,710.532,710.532,579.665,533.402,480.183,0.000,99.482
554,1599.865,678.032,678.032,573.983,528.702,476.298,0.000,97.684
555,1602.750,702.219,702.219,568.518,524.003,472.427,0.000,96.091
556,1605.636,675.250,675.250,562.899,519.303,468.577,0.000,94.322
557,1608.521,676.063,676.063,556.056,514.604,464.758,0.000,91.298
558,1611.406,647.813,647.813,550.555,509.905,460.978,0.000,89.577
559,1614.290,569.907,569.907,545.945,505.205,457.263,0.000,88.683
560,1617.174,515.125,515.125,540.407,500.506,453.639,0.000,86.767
561,1620.059,554.594,554.594,534.453,495.806,450.132,0.000,84.321
562,1622.942,539.094,539.094,529.024,491.107,446.775,0.000,82.249
563,1625.826,523.188,523.188,525.050,486.408,443.617,0.000,81.433
564,1628.709,501.407,501.407,519.831,481.708,440.723,0.000,79.109
565,1631.592,411.532,411.532,516.080,477.009,438.154,0.000,77.927
566,1634.475,424.813,424.813,513.208,472.310,436.003,0.000,77.205
567,1637.357,444.157,444.157,509.628,467.610,434.375,0.000,75.252
568,1640.240,415.157,415.157,507.078,462.911,433.389,0.000,73.690
569,1643.122,423.032,423.032,505.598,458.211,433.191,0.000,72.407
570,1646.003,422.969,422.969,505.516,453.512,433.955,0.000,71.561
571,1648.885,413.094,413.094,505.544,448.813,435.881,0.000,69.663
572,1651.766,384.844,384.844,508.148,444.113,439.190,0.000,68.959
573,1654.647,375.657,375.657,512.666,439.414,444.146,0.000,68.521
574,1657.528,435.563,435.563,518.078,434.714,451.038,0.000,67.039
575,1660.408,384.125,384.125,526.313,430.015,460.180,0.000,66.132
576,1663.288,334.876,334.876,537.343,425.316,471.922,0.000,65.421
577,1666.168,376.688,376.688,551.560,420.616,486.637,0.000,64.923
578,1669.047,334.782,334.782,568.355,415.917,504.722,0.000,63.633
579,1671.927,391.876,391.876,590.098,411.217,526.581,0.000,63.517
580,1674.806,364.688,364.688,616.144,406.518,552.637,0.000,63.507
581,1677.685,375.376,375.376,646.010,401.819,583.304,0.000,62.706
582,1680.563,394.032,394.032,681.151,397.119,618.974,0.000,62.177
583,1683.441,418.032,418.032,722.127,392.420,660.017,0.000,62.111
584,1686.319,395.563,395.563,769.315,387.720,706.757,0.000,62.558
585,1689.197,443.032,443.032,822.113,383.021,759.459,0.000,62.654
586,1692.074,425.844,425.844,880.961,378.322,818.303,0.000,62.658
587,1694.951,462.876,462.876,946.246,373.622,883.372,0.000,62.874
588,1697.828,522.657,522.657,1018.821,368.923,954.640,0.000,64.181
589,1700.705,563.000,563.000,1096.512,364.223,1031.950,0.000,64.563
590,1703.581,533.251,533.251,1180.839,359.524,1114.995,0.000,65.844
591,1706.457,603.938,603.938,1271.303,354.825,1203.321,0.000,67.982
592,1709.333,633.719,633.719,1366.088,350.125,1296.311,0.000,69.777
593,1712.208,674.438,674.438,1464.538,345.426,1393.179,0.000,71.358
594,1715.083,781.719,781.719,1566.460,340.727,1492.978,0.000,73.482
595,1717.958,774.376,774.376,1672.559,336.027,1594.609,0.000,77.949
596,1720.833,869.751,869.751,1775.649,331.328,1696.845,0.000,78.804
597,1723.707,983.969,983.969,1881.022,326.628,1798.310,0.000,82.713
598,1726.581,989.126,989.126,1985.962,321.929,1897.566,0.000,88.395
599,1729.455,1149.813,1149.813,2085.979,317.230,1993.108,0.000,92.871
600,1732.329,1262.125,1262.125,2178.938,312.530,2083.388,0.000,95.550
601,1735.202,1347.813,1347.813,2266.621,307.831,2166.867,0.000,99.754
602,1738.075,1450.907,1450.907,2350.778,303.131,2242.073,0.000,108.705
603,1740.948,1554.813,1554.813,2416.502,298.432,2307.641,0.000,108.861
604,1743.820,1666.751,1666.751,2478.172,293.733,2362.271,0.000,115.900
605,1746.692,1732.188,1732.188,2530.492,289.033,2404.911,0.000,125.581
606,1749.564,1940.876,1940.876,2567.107,284.334,2434.687,0.000,132.420
607,1752.435,2087.250,2087.250,2583.357,279.634,2450.927,0.000,132.431
608,1755.307,2176.657,2176.657,2589.937,274.935,2453.181,0.000,136.756
609,1758.178,2292.594,2292.594,2591.293,270.236,2441.324,0.000,149.970
610,1761.048,2334.407,2334.407,2562.975,265.536,2415.524,0.000,147.450
611,1763.919,2378.438,2378.438,2529.916,260.837,2376.066,0.000,153.849
612,1766.789,2544.219,2544.219,2486.192,256.137,2323.631,0.000,162.561
613,1769.659,2600.157,2600.157,2428.178,251.438,2259.094,0.000,169.084
614,1772.528,2624.344,2624.344,2346.545,246.739,2183.507,0.000,163.038
615,1775.397,2726.625,2726.625,2262.685,242.039,2098.007,0.000,164.678
616,1778.266,2572.157,2572.157,2181.226,237.340,2004.015,0.000,177.210
617,1781.135,2643.250,2643.250,2073.883,232.640,1903.085,0.000,170.798
618,1784.004,2598.469,2598.469,1968.521,227.941,1796.578,0.000,171.943
619,1786.872,2632.657,2632.657,1860.707,223.242,1686.087,0.000,174.620
620,1789.740,2553.844,2553.844,1751.065,218.542,1573.137,0.000,177.927
621,1792.607,2429.500,2429.500,1627.902,213.843,1459.188,0.000,168.714
622,1795.474,2369.500,2369.500,1512.786,209.144,1345.469,0.000,167.316
623,1798.341,2325.407,2325.407,1407.029,204.444,1233.302,0.000,173.726
624,1801.208,2161.094,2161.094,1289.802,199.745,1123.893,0.000,165.909
625,1804.074,2074.407,2074.407,1181.721,195.045,1018.040,0.000,163.680
626,1806.941,1892.500,1892.500,1079.131,190.346,916.617,0.000,162.514
627,1809.806,1698.313,1698.313,983.035,185.647,820.294,0.000,162.741
628,1812.672,1610.688,1610.688,884.938,180.947,729.595,0.000,155.343
629,1815.537,1513.782,1513.782,798.338,176.248,644.776,0.000,153.562
630,1818.402,1401.563,1401.563,721.795,171.548,566.146,0.000,155.649
631,1821.267,1195.688,1195.688,646.575,166.849,493.874,0.000,152.701
632,1824.131,1080.032,1080.032,576.891,162.150,427.901,0.000,148.990
633,1826.995,954.532,954.532,513.784,157.450,368.142,0.000,145.641
634,1829.859,876.844,876.844,461.525,152.751,314.452,0.000,147.073
635,1832.723,749.907,749.907,410.145,148.051,266.670,0.000,143.475
636,1835.586,641.750,641.750,366.397,143.352,224.460,0.000,141.937
637,1838.449,537.719,537.719,328.606,138.653,187.524,0.000,141.082
638,1841.312,434.719,434.719,294.090,133.953,155.501,0.000,138.590
639,1844.174,399.407,399.407,263.378,129.254,127.981,0.000,135.397
640,1847.036,387.844,387.844,236.386,124.554,104.547,0.000,131.839
641,1849.898,276.031,276.031,214.477,119.855,84.774,0.000,129.704
642,1852.759,221.813,221.813,194.048,115.156,68.248,0.000,125.800
643,1855.621,200.782,200.782,176.636,110.456,54.553,0.000,122.083
644,1858.481,197.063,197.063,161.396,105.757,43.303,0.000,118.093
645,1861.342,171.907,171.907,148.205,101.057,34.138,0.000,114.067
646,1864.203,129.969,129.969,136.367,96.358,26.732,0.000,109.635
647,1867.063,104.813,104.813,125.788,91.659,20.794,0.000,104.994
648,1869.922,90.125,90.125,116.709,86.959,16.069,0.000,100.641
649,1872.782,91.375,91.375,108.316,82.260,12.338,0.000,95.978
650,1875.641,72.907,72.907,100.781,77.561,9.412,0.000,91.368
651,1878.500,65.625,65.625,93.861,72.861,7.135,0.000,86.726
652,1881.359,59.782,59.782,87.512,68.162,5.375,0.000,82.138
653,1884.217,53.000,53.000,81.419,63.462,4.023,0.000,77.395
654,1887.075,40.938,40.938,75.609,58.763,2.993,0.000,72.617
655,1889.933,38.657,38.657,70.176,54.064,2.212,0.000,67.964
656,1892.790,45.563,45.563,64.900,49.364,1.625,0.000,63.275
657,1895.647,52.844,52.844,59.817,44.665,1.186,0.000,58.630
658,1898.504,42.156,42.156,54.901,39.965,0.861,0.000,54.041
659,1901.361,51.782,51.782,49.747,35.266,0.620,0.000,49.127
660,1904.217,50.719,50.719,44.959,30.567,0.444,0.000,44.514
661,1907.073,49.969,49.969,40.251,25.867,0.316,0.000,39.935
662,1909.929,52.657,52.657,40.083,25.711,0.225,0.000,39.858
663,1912.784,48.844,48.844,39.784,25.554,0.159,0.000,39.624
664,1915.640,57.031,57.031,39.649,25.398,0.112,0.000,39.537
665,1918.495,44.782,44.782,39.721,25.242,0.078,0.000,39.643
666,1921.349,45.000,45.000,39.324,25.085,0.054,0.000,39.270
667,1924.203,58.969,58.969,39.250,24.929,0.038,0.000,39.213
668,1927.058,49.219,49.219,39.245,24.773,0.026,0.000,39.220
669,1929.911,44.031,44.031,39.370,24.616,0.018,0.000,39.352
670,1932.765,44.000,44.000,38.999,24.460,0.012,0.000,38.987
671,1935.618,50.844,50.844,38.847,24.303,0.008,0.000,38.839
672,1938.471,41.657,41.657,38.998,24.147,0.005,0.000,38.992
673,1941.323,60.813,60.813,38.737,23.991,0.004,0.000,38.734
674,1944.176,48.782,48.782,38.603,23.834,0.002,0.000,38.600
675,1947.028,59.532,59.532,38.517,23.678,0.002,0.000,38.516
676,1949.879,44.969,44.969,38.810,23.521,0.001,0.000,38.809
677,1952.731,46.938,46.938,38.422,23.365,0.001,0.000,38.421
678,1955.582,39.281,39.281,38.183,23.209,0.000,0.000,38.183
679,1958.433,50.750,50.750,38.163,23.052,0.000,0.000,38.163
680,1961.284,58.500,58.500,38.034,22.896,0.000,0.000,38.034
681,1964.134,56.688,56.688,37.855,22.740,0.000,0.000,37.855
682,1966.984,49.594,49.594,37.670,22.583,0.000,0.000,37.670
683,1969.834,44.844,44.844,37.793,22.427,0.000,0.000,37.793
684,1972.683,45.719,45.719,37.414,22.270,0.000,0.000,37.414
685,1975.532,51.782,51.782,37.119,22.114,0.000,0.000,37.119
686,1978.381,51.782,51.782,36.956,21.958,0.000,0.000,36.956
687,1981.230,54.907,54.907,36.919,21.801,0.000,0.000,36.919
688,1984.078,41.844,41.844,36.670,21.645,0.000,0.000,36.670
689,1986.926,38.844,38.844,36.334,21.488,0.000,0.000,36.334
690,1989.774,43.750,43.750,36.221,21.332,0.000,0.000,36.221
691,1992.622,38.407,38.407,35.950,21.176,0.000,0.000,35.950
692,1995.469,39.875,39.875,35.651,21.019,0.000,0.000,35.651
693,1998.316,34.719,34.719,35.216,20.863,0.000,0.000,35.216
694,2001.163,44.031,44.031,35.208,20.707,0.000,0.000,35.208
695,2004.009,43.875,43.875,34.936,20.550,0.000,0.000,34.936
696,2006.855,51.875,51.875,34.506,20.394,0.000,0.000,34.506
697,2009.701,36.063,36.063,34.161,20.237,0.000,0.000,34.161
698,2012.547,36.031,36.031,33.988,20.081,0.000,0.000,33.988
699,2015.392,31.750,31.750,33.752,19.925,0.000,0.000,33.752
700,2018.237,34.657,34.657,33.154,19.768,0.000,0.000,33.154
701,2021.082,26.657,26.657,33.067,19.612,0.000,0.000,33.067
702,2023.926,41.875,41.875,32.847,19.455,0.000,0.000,32.847
703,2026.770,37.532,37.532,32.508,19.299,0.000,0.000,32.508
704,2029.614,27.094,27.094,32.011,19.143,0.000,0.000,32.011
705,2032.458,36.594,36.594,31.857,18.986,0.000,0.000,31.857
706,2035.301,28.375,28.375,31.691,18.830,0.000,0.000,31.691
707,2038.145,24.813,24.813,31.157,18.674,0.000,0.000,31.157
708,2040.987,34.875,34.875,30.851,18.517,0.000,0.000,30.851
709,2043.830,28.594,28.594,30.615,18.361,0.000,0.000,30.615
710,2046.672,35.407,35.407,30.425,18.204,0.000,0.000,30.425
711,2049.514,30.563,30.563,29.786,18.048,0.000,0.000,29.786
712,2052.356,23.844,23.844,29.681,17.892,0.000,0.000,29.681
713,2055.198,21.500,21.500,29.651,17.735,0.000,0.000,29.651
714,2058.039,29.657,29.657,29.141,17.579,0.000,0.000,29.141
