ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
34,108.860,85171.956,85171.956,78170.912,64592.490,19006.325,59308.929,206.594
35,111.574,84857.738,84857.738,86188.732,64466.272,20081.971,66175.640,206.337
36,114.291,85651.550,85651.550,95325.824,64340.054,21322.269,73976.065,206.164
37,117.008,87330.550,87330.550,104106.777,64213.835,22545.006,81536.720,206.087
38,119.727,89704.674,89704.674,111266.503,64087.617,23576.460,87766.197,206.104
39,122.447,90985.330,90985.330,116257.959,63961.399,24324.451,92103.746,206.199
40,125.168,94667.924,94667.924,119443.629,63835.180,24800.031,94634.769,206.350
41,127.891,95781.675,95781.675,120822.360,63708.962,25081.628,95857.457,206.535
42,130.615,99533.582,99533.582,121407.265,63582.744,25257.297,96333.815,206.738
43,133.340,100821.175,100821.175,121847.763,63456.526,25385.502,96464.041,206.951
44,136.066,103061.363,103061.363,121786.649,63330.307,25488.544,96450.749,207.170
45,138.794,103985.144,103985.144,121751.845,63204.089,25566.813,96372.103,207.392
46,141.523,105917.988,105917.988,121866.359,63077.871,25615.420,96260.855,207.617
47,144.253,107431.270,107431.270,121589.502,62951.652,25632.963,96142.649,207.844
48,146.984,109186.833,109186.833,121478.527,62825.434,25622.295,96040.413,208.073
49,149.717,110212.021,110212.021,121540.319,62699.216,25588.011,95968.495,208.303
50,152.451,112434.240,112434.240,121243.645,62572.997,25534.934,95930.726,208.535
51,155.186,114604.771,114604.771,121209.956,62446.779,25468.879,95922.983,208.769
52,157.922,116096.146,116096.146,121308.855,62320.561,25398.381,95936.316,209.005
53,160.659,118243.896,118243.896,121797.865,62960.111,25543.038,96515.458,211.819
54,163.398,120628.396,120628.396,122629.839,63599.661,25708.295,97097.784,214.653
55,166.138,123394.115,123394.115,123560.814,64239.211,25903.736,97687.920,217.506
56,168.879,125464.583,125464.583,124407.444,64878.762,26131.879,98306.812,220.379
57,171.621,129873.552,129873.552,125193.250,65518.312,26386.911,98989.159,223.273
58,174.365,135067.958,135067.958,126116.026,66157.862,26657.014,99771.898,226.189
59,177.109,139882.707,139882.707,127555.490,66797.412,26929.074,100677.368,229.130
60,179.855,148976.395,148976.395,128627.824,67436.962,27193.305,101698.143,232.097
61,182.602,159974.458,159974.458,129864.253,68076.513,27445.688,102790.692,235.093
62,185.350,173591.927,173591.927,131457.873,68716.063,27687.550,103882.086,238.118
63,188.099,187816.583,187816.583,132388.096,69355.613,27923.170,104888.695,241.174
64,190.849,203883.052,203883.052,133399.908,69995.163,28156.970,105740.245,244.259
65,193.601,215174.958,215174.958,134602.162,70634.713,28391.665,106399.575,247.372
66,196.354,223979.115,223979.115,134928.470,71274.264,28627.954,106870.061,250.511
67,199.107,228955.270,228955.270,135494.414,71913.814,28865.567,107188.576,253.674
68,201.862,230812.301,230812.301,136297.319,72553.364,29104.941,107408.592,256.859
69,204.618,223078.957,223078.957,136333.900,73192.914,29348.627,107581.808,260.064
70,207.376,215197.551,215197.551,136890.106,73832.465,29601.678,107745.624,263.289
71,210.134,205459.988,205459.988,137643.004,74472.015,29870.671,107919.331,266.535
72,212.893,192034.332,192034.332,138154.638,75111.565,30161.544,108107.278,269.801
73,215.654,181115.706,181115.706,138487.560,75751.115,30477.024,108305.047,273.088
74,218.415,172246.894,172246.894,138897.247,76390.665,30814.661,108505.277,276.398
75,221.178,162305.206,162305.206,139834.817,77030.216,31166.372,108701.609,279.730
76,223.942,154632.269,154632.269,140177.652,77669.766,31519.834,108890.719,283.086
77,226.707,151205.269,151205.269,140667.585,78309.316,31861.362,109072.861,286.464
78,229.473,147721.519,147721.519,141445.175,78948.866,32179.378,109251.255,289.865
79,232.240,143797.987,143797.987,141682.959,79588.417,32467.383,109430.721,293.289
80,235.008,142310.018,142310.018,142170.567,80227.967,32725.577,109616.182,296.736
81,237.777,140065.644,140065.644,142821.650,80867.517,32960.700,109811.801,300.204
82,240.547,140377.144,140377.144,140338.472,78856.384,32428.335,108136.285,293.818
83,243.319,136824.894,136824.894,138262.609,76845.252,31895.154,106481.329,287.381
84,246.091,133743.926,133743.926,136278.559,74834.119,31372.896,104853.021,280.894
85,248.865,134736.176,134736.176,134176.205,72822.987,30868.980,103259.689,274.356
86,251.639,129863.144,129863.144,131981.138,70811.854,30384.787,101710.879,267.768
87,254.414,126416.112,126416.112,129948.325,68800.722,29915.428,100215.044,261.130
88,257.191,125253.954,125253.954,128284.821,66789.589,29451.005,98776.624,254.444
89,259.969,120585.798,120585.798,126246.813,64778.457,28979.067,97393.542,247.709
90,262.747,117533.704,117533.704,124423.832,62767.324,28487.587,96056.087,240.925
91,265.527,114346.923,114346.923,122784.872,60756.192,27967.658,94747.760,234.093
92,268.307,110567.829,110567.829,120734.967,58745.059,27415.205,93448.163,227.211
93,271.089,106358.827,106358.827,118907.954,56733.926,26831.296,92137.425,220.277
94,273.872,104843.015,104843.015,117099.272,54722.794,26221.146,90801.187,213.292
95,276.655,101157.796,101157.796,115108.710,52711.661,25592.286,89434.893,206.253
