ch,keV,net,fit,model,continuum_raw,Co-60
0,3.087,0.000,0.000,0.000,0.000,0.000
1,5.830,0.000,0.000,0.238,0.238,0.238
2,8.574,0.000,0.000,0.476,0.476,0.476
3,11.320,0.000,0.000,0.714,0.714,0.714
4,14.067,0.000,0.000,0.952,0.952,0.952
5,16.816,4.125,4.125,1.190,1.190,1.190
6,19.566,31.625,31.625,1.428,1.428,1.428
7,22.318,191.250,191.250,1.666,1.666,1.666
8,25.071,1041.344,1041.344,1306.851,1306.851,1306.851
9,27.826,2316.031,2316.031,2612.036,2612.036,2612.036
10,30.582,4620.969,4620.969,3917.221,3917.221,3917.221
11,33.339,6550.156,6550.156,5222.405,5222.405,5222.405
12,36.099,8473.437,8473.437,6527.590,6527.590,6527.590
13,38.859,8778.469,8778.469,7832.775,7832.775,7832.775
14,41.621,8775.000,8775.000,9137.960,9137.960,9137.960
15,44.384,8970.000,8970.000,9288.484,9288.484,9288.484
16,47.149,9709.750,9709.750,9439.009,9439.009,9439.009
17,49.916,9693.343,9693.343,9589.534,9589.534,9589.534
18,52.683,9689.875,9689.875,9740.058,9740.058,9740.058
19,55.452,9813.593,9813.593,9890.583,9890.583,9890.583
20,58.223,9600.968,9600.968,10041.107,10041.107,10041.107
21,60.995,9353.312,9353.312,10191.632,10191.632,10191.632
22,63.768,9356.656,9356.656,10342.156,10342.156,10342.156
23,66.543,9941.250,9941.250,10492.681,10492.681,10492.681
24,69.319,9909.625,9909.625,10643.206,10643.205,10643.206
25,72.097,10133.312,10133.312,10793.733,10793.730,10793.733
26,74.876,10205.343,10205.343,10531.299,10531.267,10531.299
27,77.656,10429.343,10429.343,10269.047,10268.804,10269.047
28,80.438,10398.500,10398.500,10007.824,10006.341,10007.824
29,83.221,10375.562,10375.562,9751.324,9743.878,9751.324
30,86.005,10610.281,10610.281,9512.196,9481.415,9512.196
31,88.791,11106.124,11106.124,9324.118,9218.952,9324.118
32,91.578,11502.906,11502.906,9254.827,8956.489,9254.827
33,94.366,11637.375,11637.375,9401.124,8694.026,9401.124
34,97.156,11889.937,11889.937,9843.472,8431.563,9843.472
35,99.947,11570.718,11570.718,10571.125,8169.100,10571.125
36,102.740,11867.531,11867.531,11441.287,7906.637,11441.287
37,105.534,11932.531,11932.531,12232.835,7644.174,12232.835
38,108.329,12295.656,12295.656,12767.553,7381.711,12767.553
39,111.125,12817.312,12817.312,12996.804,7119.248,12996.804
40,113.923,12798.906,12798.906,12988.736,6856.785,12988.736
41,116.722,12763.656,12763.656,12850.340,6594.322,12850.340
42,119.522,13032.562,13032.562,13141.811,6812.865,13141.811
43,122.324,13318.156,13318.156,13416.749,7031.408,13416.749
44,125.127,13516.343,13516.343,13683.704,7249.951,13683.704
45,127.931,14046.124,14046.124,13946.155,7468.493,13946.155
46,130.737,14460.968,14460.968,14208.846,7687.036,14208.846
47,133.543,14824.249,14824.249,14474.675,7905.579,14474.675
48,136.351,14921.812,14921.812,14743.077,8124.122,14743.077
49,139.161,15072.999,15072.999,15012.041,8342.664,15012.041
50,141.971,15216.218,15216.218,15279.360,8561.207,15279.360
51,144.783,15113.749,15113.749,15541.285,8779.750,15541.285
52,147.596,15620.124,15620.124,15791.250,8998.293,15791.250
53,150.410,15728.874,15728.874,16021.416,9216.835,16021.416
54,153.226,15748.374,15748.374,16226.781,9435.378,16226.781
55,156.043,15757.093,15757.093,16408.913,9653.921,16408.913
56,158.861,15723.562,15723.562,16576.291,9872.464,16576.291
57,161.680,15991.531,15991.531,16740.777,10091.006,16740.777
58,164.500,15996.937,15996.937,16912.765,10309.549,16912.765
59,167.322,16257.687,16257.687,17098.018,10528.092,17098.018
60,170.145,16070.374,16070.374,17297.404,10746.635,17297.404
61,172.969,16617.437,16617.437,17508.791,10965.177,17508.791
62,175.794,16751.906,16751.906,17729.632,11183.720,17729.632
63,178.620,17181.562,17181.562,17958.682,11402.263,17958.682
64,181.448,17055.031,17055.031,18056.648,11481.587,18056.648
65,184.277,17420.937,17420.937,18162.120,11560.911,18162.120
66,187.106,17675.093,17675.093,18272.250,11640.235,18272.250
67,189.938,18131.249,18131.249,18382.244,11719.558,18382.244
68,192.770,18498.281,18498.281,18487.996,11798.882,18487.996
69,195.603,18614.937,18614.937,18589.477,11878.206,18589.477
70,198.438,19113.531,19113.531,18692.429,11957.530,18692.429
71,201.274,19549.968,19549.968,18806.901,12036.854,18806.901
72,204.110,20541.312,20541.312,18943.192,12116.178,18943.192
73,206.948,21814.687,21814.687,19107.291,12195.502,19107.291
74,209.788,22821.874,22821.874,19298.013,12274.826,19298.013
75,212.628,24035.187,24035.187,19506.932,12354.150,19506.932
76,215.469,26071.250,26071.250,19720.843,12433.473,19720.843
77,218.312,27935.250,27935.250,19925.516,12512.797,19925.516
78,221.155,30077.500,30077.500,20109.305,12592.121,20109.305
79,224.000,31661.968,31661.968,20265.486,12671.445,20265.486
80,226.846,33756.000,33756.000,20392.897,12750.769,20392.897
81,229.693,35179.625,35179.625,20495.086,12830.093,20495.086
82,232.541,36159.124,36159.124,20578.578,12909.417,20578.578
83,235.390,37182.875,37182.875,20650.974,12988.741,20650.974
84,238.240,36744.906,36744.906,20719.346,13068.064,20719.346
85,241.091,36381.156,36381.156,20789.173,13147.388,20789.173
86,243.944,35704.125,35704.125,20863.808,13226.712,20863.808
87,246.797,34412.093,34412.093,20944.421,13306.036,20944.421
88,249.652,32735.937,32735.937,21030.349,13385.360,21030.349
89,252.507,31151.781,31151.781,21119.695,13464.684,21119.695
90,255.364,29196.687,29196.687,21210.024,13544.008,21210.024
91,258.221,27575.906,27575.906,21298.887,13623.332,21298.887
92,261.080,25260.812,25260.812,21384.090,13702.656,21384.090
93,263.940,23844.812,23844.812,21030.880,13349.142,21030.880
94,266.801,22396.000,22396.000,20670.420,12995.628,20670.420
95,269.662,20565.781,20565.781,20301.388,12642.114,20301.388
96,272.525,19237.593,19237.593,19923.117,12288.600,19923.117
97,275.389,18320.937,18320.937,19536.012,11935.086,19536.012
98,278.254,17326.375,17326.375,19141.850,11581.572,19141.850
99,281.120,16300.781,16300.781,18743.780,11228.058,18743.780
100,283.987,15526.250,15526.250,18345.948,10874.544,18345.948
101,286.855,14585.218,14585.218,17952.816,10521.030,17952.816
102,289.723,14273.156,14273.156,17568.326,10167.516,17568.326
103,292.593,13664.250,13664.250,17195.104,9814.002,17195.104
104,295.464,13361.218,13361.218,16833.891,9460.488,16833.891
105,298.336,12805.312,12805.312,16483.320,9106.975,16483.320
106,301.209,12301.906,12301.906,16140.148,8753.461,16140.148
107,304.083,12032.187,12032.187,15799.891,8399.947,15799.891
108,306.957,12069.093,12069.093,15457.753,8046.433,15457.753
109,309.833,11366.500,11366.500,15109.609,7692.919,15109.609
110,312.710,11366.062,11366.062,14752.794,7339.405,14752.794
111,315.587,11075.218,11075.218,14386.483,6985.891,14386.483
112,318.466,10936.562,10936.562,14011.600,6632.377,14011.600
113,321.345,10642.875,10642.875,13630.337,6278.863,13630.337
114,324.226,10679.468,10679.468,13245.478,5925.349,13245.478
115,327.107,10335.312,10335.312,12859.755,5571.835,12859.755
116,329.989,10220.468,10220.468,12475.410,5218.321,12475.410
117,332.873,9915.281,9915.281,12094.003,4864.807,12094.003
118,335.757,9847.750,9847.750,11716.424,4511.294,11716.424
119,338.642,9897.718,9897.718,11343.006,4157.780,11343.006
120,341.528,9824.343,9824.343,10973.641,3804.266,10973.641
121,344.415,9573.875,9573.875,10607.876,3450.752,10607.876
122,347.303,9379.718,9379.718,10244.977,3097.238,10244.977
123,350.191,9292.375,9292.375,9884.031,2743.724,9884.031
124,353.081,9222.906,9222.906,9524.075,2390.210,9524.075
125,355.971,9527.687,9527.687,9164.268,2036.696,9164.268
126,358.863,8958.156,8958.156,8804.046,1683.182,8804.046
127,361.755,8989.250,8989.250,8443.193,1329.668,8443.193
128,364.648,8870.406,8870.406,8081.824,976.154,8081.824
129,367.542,9055.250,9055.250,8072.572,974.960,8072.572
130,370.437,8872.500,8872.500,8063.462,973.766,8063.462
131,373.333,9018.437,9018.437,8054.713,972.572,8054.713
132,376.229,8726.531,8726.531,8046.342,971.378,8046.342
133,379.127,8645.344,8645.344,8038.185,970.184,8038.185
134,382.025,8947.437,8947.437,8029.997,968.990,8029.997
135,384.924,8754.187,8754.187,8021.577,967.796,8021.577
136,387.824,8428.594,8428.594,8012.868,966.602,8012.868
137,390.725,8672.594,8672.594,8003.984,965.408,8003.984
138,393.627,8291.844,8291.844,7995.165,964.214,7995.165
139,396.529,8305.719,8305.719,7986.690,963.020,7986.690
140,399.432,8647.281,8647.281,7978.777,961.826,7978.777
