ch,keV,net,fit,model,continuum_raw,Mn-54,continuum
0,-43.745,0.000,0.000,0.000,0.000,0.000,0.000
1,-40.764,0.000,0.000,0.329,0.329,0.329,0.000
2,-37.782,0.000,0.000,0.658,0.658,0.658,0.000
3,-34.799,0.000,0.000,0.987,0.987,0.987,0.000
4,-31.815,0.000,0.000,1.316,1.316,1.316,0.000
5,-28.831,4.567,4.567,1.644,1.644,1.644,0.000
6,-25.845,34.033,34.033,1.973,1.973,1.973,0.000
7,-22.859,160.478,160.478,2.302,2.302,2.302,0.000
8,-19.872,426.511,426.511,313.340,313.340,313.340,0.000
9,-16.885,805.978,805.978,624.378,624.378,624.378,0.000
10,-13.897,1313.123,1313.123,935.416,935.416,935.416,0.000
11,-10.907,1824.312,1824.312,1246.454,1246.454,1246.454,0.000
12,-7.917,2233.012,2233.012,1557.491,1557.491,1557.491,0.000
13,-4.927,2145.412,2145.412,1868.529,1868.529,1868.529,0.000
14,-1.935,1938.912,1938.912,2179.567,2179.567,2179.567,0.000
15,1.057,1734.778,1734.778,2073.880,2073.880,2073.880,0.000
16,4.050,1664.156,1664.156,1968.193,1968.193,1968.193,0.000
17,7.044,1731.567,1731.567,1862.506,1862.506,1862.506,0.000
18,10.038,1595.856,1595.856,1756.819,1756.819,1756.819,0.000
19,13.033,1560.745,1560.745,1651.131,1651.131,1651.131,0.000
20,16.029,1549.367,1549.367,1545.444,1545.444,1545.444,0.000
21,19.026,1598.734,1598.734,1439.757,1439.757,1439.757,0.000
22,22.024,1524.323,1524.323,1491.360,1491.360,1491.360,0.000
23,25.022,1650.089,1650.089,1542.962,1542.962,1542.962,0.000
24,28.021,1633.878,1633.878,1594.565,1594.565,1594.565,0.000
25,31.021,1701.901,1701.901,1646.168,1646.168,1646.168,0.000
26,34.021,1635.512,1635.512,1697.770,1697.770,1697.770,0.000
27,37.022,1653.756,1653.756,1749.373,1749.373,1749.373,0.000
28,40.024,1768.345,1768.345,1800.978,1800.975,1800.978,0.000
29,43.027,1846.756,1846.756,1852.627,1852.578,1852.627,0.000
30,46.030,1974.356,1974.356,1904.799,1904.181,1904.799,0.000
