ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
651,1916.242,0.625,0.625,0.514,0.493,0.514,0.000
652,1919.220,0.000,-0.261,0.500,0.485,0.500,0.000
653,1922.199,1.463,1.463,0.488,0.477,0.488,0.000
654,1925.177,5.352,5.352,0.477,0.469,0.477,0.000
655,1928.155,0.000,-1.371,0.466,0.461,0.466,0.000
656,1931.134,0.000,-1.925,0.457,0.453,0.457,0.000
657,1934.112,3.407,3.407,0.447,0.445,0.447,0.000
658,1937.091,0.905,0.905,0.438,0.436,0.438,0.000
659,1940.070,0.000,-2.371,0.430,0.428,0.430,0.000
660,1943.048,0.000,-1.095,0.421,0.420,0.421,0.000
661,1946.027,0.000,-0.261,0.413,0.412,0.413,0.000
662,1949.005,4.795,4.795,0.405,0.404,0.405,0.000
663,1951.984,1.293,1.293,0.396,0.396,0.396,0.000
664,1954.963,2.407,2.407,0.388,0.388,0.388,0.000
665,1957.942,0.000,-0.316,0.380,0.380,0.380,0.000
666,1960.920,2.569,2.569,0.372,0.372,0.372,0.000
667,1963.899,0.459,0.459,0.364,0.364,0.364,0.000
668,1966.878,0.000,-1.814,0.356,0.356,0.356,0.000
669,1969.857,4.514,4.514,0.348,0.348,0.348,0.000
670,1972.836,0.000,-1.150,0.339,0.339,0.339,0.000
671,1975.815,0.795,0.795,0.331,0.331,0.331,0.000
672,1978.794,3.735,3.735,0.323,0.323,0.323,0.000
673,1981.773,0.000,-0.814,0.315,0.315,0.315,0.000
674,1984.753,0.000,-2.427,0.307,0.307,0.307,0.000
675,1987.732,0.000,-1.984,0.299,0.299,0.299,0.000
676,1990.711,1.016,1.016,0.291,0.291,0.291,0.000
677,1993.691,0.000,-0.873,0.283,0.283,0.283,0.000
678,1996.670,1.348,1.348,0.275,0.275,0.275,0.000
679,1999.650,0.000,-0.099,0.267,0.267,0.267,0.000
680,2002.630,0.000,-0.537,0.259,0.259,0.259,0.000
681,2005.609,0.016,0.016,0.251,0.251,0.251,0.000
682,2008.589,1.127,1.127,0.242,0.242,0.242,0.000
683,2011.569,0.000,-0.095,0.234,0.234,0.234,0.000
684,2014.549,1.459,1.459,0.226,0.226,0.226,0.000
685,2017.529,0.573,0.573,0.218,0.218,0.218,0.000
686,2020.509,0.850,0.850,0.210,0.210,0.210,0.000
687,2023.490,0.000,-0.537,0.202,0.202,0.202,0.000
688,2026.470,0.000,-0.541,0.194,0.194,0.194,0.000
689,2029.451,0.000,-0.486,0.186,0.186,0.186,0.000
690,2032.431,0.000,-2.537,0.178,0.178,0.178,0.000
691,2035.412,0.000,-0.099,0.170,0.170,0.170,0.000
692,2038.393,0.000,-0.261,0.162,0.162,0.162,0.000
693,2041.374,0.000,-1.593,0.154,0.154,0.154,0.000
694,2044.355,1.127,1.127,0.145,0.145,0.145,0.000
695,2047.336,0.000,-2.371,0.137,0.137,0.137,0.000
696,2050.318,0.186,0.186,0.129,0.129,0.129,0.000
697,2053.299,0.241,0.241,0.121,0.121,0.121,0.000
698,2056.281,0.000,-0.593,0.113,0.113,0.113,0.000
699,2059.262,0.000,-1.201,0.105,0.105,0.105,0.000
700,2062.244,0.854,0.854,0.097,0.097,0.097,0.000
701,2065.226,2.241,2.241,0.089,0.089,0.089,0.000
702,2068.208,1.301,1.301,0.081,0.081,0.081,0.000
