ch,keV,net,fit,model,continuum_raw,Cd-109,continuum
0,-6.702,0.000,0.000,0.000,0.000,0.000,0.000
1,-3.888,0.000,0.000,0.000,0.000,0.000,0.000
2,-1.072,0.000,0.000,0.005,0.000,0.005,0.000
3,1.745,0.000,0.000,0.684,0.000,0.684,0.000
4,4.564,0.000,0.000,5.770,0.000,5.770,0.000
5,7.384,3.125,3.125,15.143,0.000,15.143,0.000
6,10.206,155.625,155.625,30.449,0.000,30.449,0.000
7,13.029,1922.250,1922.250,546.487,0.000,546.487,0.000
8,15.854,6748.344,6748.344,5343.065,2.241,5343.065,0.000
9,18.680,8677.031,8677.031,12824.515,4.483,12824.515,0.000
10,21.508,8618.969,8618.969,9450.917,6.724,9450.917,0.000
11,24.337,6647.156,6647.156,4376.666,8.966,4376.666,0.000
12,27.168,2663.437,2663.437,1647.847,11.207,1647.847,0.000
13,30.000,498.469,498.469,353.185,13.449,353.185,0.000
14,32.834,66.000,66.000,52.312,15.690,52.312,0.000
15,35.669,65.000,65.000,52.753,49.847,52.753,0.000
16,38.506,85.750,85.750,84.604,84.003,84.604,0.000
17,41.344,101.344,101.344,118.329,118.160,118.329,0.000
18,44.184,69.875,69.875,152.345,152.316,152.345,0.000
19,47.025,118.594,118.594,186.478,186.473,186.478,0.000
20,49.868,169.969,169.969,220.650,220.629,220.650,0.000
21,52.712,255.312,255.312,254.891,254.786,254.891,0.000
22,55.557,347.656,347.656,289.347,288.942,289.347,0.000
23,58.404,313.250,313.250,324.270,323.099,324.270,0.000
24,61.253,302.625,302.625,359.918,357.255,359.918,0.000
25,64.103,340.312,340.312,336.749,331.737,336.749,0.000
26,66.954,283.344,283.344,314.618,306.219,314.618,0.000
27,69.806,311.344,311.344,294.451,280.701,294.451,0.000
28,72.660,399.500,399.500,279.728,255.182,279.728,0.000
29,75.516,397.562,397.562,280.755,229.664,280.755,0.000
30,78.373,642.281,642.281,319.875,204.146,319.875,0.000
31,81.231,1117.125,1117.125,425.826,178.628,425.826,0.000
32,84.091,2125.906,2125.906,602.467,153.109,602.467,0.000
33,86.952,3378.375,3378.375,789.916,127.591,789.916,0.000
34,89.814,4209.937,4209.937,878.577,102.073,878.577,0.000
35,92.678,3967.719,3967.719,795.736,76.555,795.736,0.000
36,95.543,3009.531,3009.531,576.235,51.036,576.235,0.000
37,98.409,1532.531,1532.531,327.914,25.518,327.914,0.000
38,101.277,577.656,577.656,137.339,0.000,137.339,0.000
39,104.146,118.312,118.312,49.215,0.000,49.215,0.000
40,107.017,9.906,9.906,13.912,0.000,13.912,0.000
41,109.889,0.000,-1.344,3.099,0.000,3.099,0.000
42,112.762,0.000,-16.438,0.543,0.000,0.543,0.000
43,115.636,0.000,-14.844,0.075,0.000,0.075,0.000
44,118.512,0.000,-11.656,0.008,0.000,0.008,0.000
45,121.389,0.000,-4.875,0.001,0.000,0.001,0.000
46,124.268,0.000,-12.031,0.000,0.000,0.000,0.000
47,127.148,0.000,-12.750,0.000,0.000,0.000,0.000
48,130.029,0.000,-21.188,0.000,0.000,0.000,0.000
49,132.911,0.000,0.000,0.000,0.000,0.000,0.000
50,135.795,0.000,-8.781,0.000,0.000,0.000,0.000
51,138.679,0.000,-11.250,0.000,0.000,0.000,0.000
52,141.566,0.000,-19.875,0.000,0.000,0.000,0.000
53,144.453,0.000,-6.125,0.000,0.000,0.000,0.000
54,147.342,0.000,-22.625,0.000,0.000,0.000,0.000
55,150.232,4.094,4.094,0.000,0.000,0.000,0.000
56,153.123,5.562,5.562,0.000,0.000,0.000,0.000
57,156.016,17.531,17.531,0.000,0.000,0.000,0.000
58,158.909,0.000,-4.063,0.000,0.000,0.000,0.000
59,161.804,0.000,-5.313,0.000,0.000,0.000,0.000
60,164.701,0.000,-11.625,0.000,0.000,0.000,0.000
61,167.598,0.000,-8.563,0.000,0.000,0.000,0.000
62,170.497,13.906,13.906,0.000,0.000,0.000,0.000
63,173.397,8.562,8.562,0.000,0.000,0.000,0.000
64,176.298,0.000,-4.969,0.000,0.000,0.000,0.000
65,179.200,0.000,-6.063,0.000,0.000,0.000,0.000
66,182.104,0.000,-1.906,0.000,0.000,0.000,0.000
67,185.008,2.250,2.250,0.000,0.000,0.000,0.000
68,187.914,0.281,0.281,0.000,0.000,0.000,0.000
69,190.822,0.937,0.937,0.000,0.000,0.000,0.000
70,193.730,0.000,-0.469,0.000,0.000,0.000,0.000
71,196.639,0.000,-16.031,0.000,0.000,0.000,0.000
72,199.550,0.000,-15.688,0.000,0.000,0.000,0.000
73,202.462,0.000,-0.313,0.000,0.000,0.000,0.000
74,205.375,0.875,0.875,0.000,0.000,0.000,0.000
