ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
756,2254.615,1.333,1.333,0.730,0.730,0.730,0.000
757,2257.605,0.000,-0.622,0.732,0.732,0.732,0.000
758,2260.594,3.422,3.422,0.735,0.735,0.735,0.000
759,2263.583,0.289,0.289,0.737,0.737,0.737,0.000
760,2266.572,2.244,2.244,0.739,0.739,0.739,0.000
761,2269.560,0.178,0.178,0.741,0.741,0.741,0.000
762,2272.547,1.511,1.511,0.743,0.743,0.743,0.000
763,2275.534,0.511,0.511,0.746,0.746,0.746,0.000
764,2278.521,0.000,-0.489,0.748,0.748,0.748,0.000
765,2281.507,0.000,-0.800,0.750,0.750,0.750,0.000
766,2284.493,0.200,0.200,0.752,0.752,0.752,0.000
767,2287.478,0.356,0.356,0.755,0.755,0.755,0.000
768,2290.463,0.444,0.444,0.757,0.757,0.757,0.000
769,2293.448,0.244,0.244,0.759,0.759,0.759,0.000
770,2296.432,0.489,0.489,0.761,0.761,0.761,0.000
771,2299.416,0.533,0.533,0.763,0.763,0.763,0.000
772,2302.399,1.556,1.556,0.766,0.766,0.766,0.000
773,2305.382,1.444,1.444,0.768,0.768,0.768,0.000
774,2308.364,1.267,1.267,0.770,0.770,0.770,0.000
775,2311.346,1.489,1.489,0.772,0.772,0.772,0.000
776,2314.327,0.000,-0.711,0.775,0.775,0.775,0.000
777,2317.308,2.378,2.378,0.777,0.777,0.777,0.000
778,2320.289,0.400,0.400,0.771,0.771,0.771,0.000
779,2323.269,0.467,0.467,0.764,0.764,0.764,0.000
780,2326.249,0.422,0.422,0.758,0.758,0.758,0.000
781,2329.228,2.311,2.311,0.752,0.752,0.752,0.000
782,2332.207,2.400,2.400,0.746,0.746,0.746,0.000
783,2335.185,1.422,1.422,0.739,0.739,0.739,0.000
784,2338.163,0.000,-0.578,0.733,0.733,0.733,0.000
785,2341.140,0.000,-0.400,0.727,0.727,0.727,0.000
786,2344.117,0.000,-0.467,0.721,0.721,0.721,0.000
787,2347.094,1.356,1.356,0.715,0.715,0.715,0.000
788,2350.070,0.000,-0.467,0.708,0.708,0.708,0.000
789,2353.045,0.000,-0.467,0.702,0.702,0.702,0.000
790,2356.020,1.600,1.600,0.696,0.696,0.696,0.000
791,2358.995,3.467,3.467,0.690,0.690,0.690,0.000
792,2361.969,2.467,2.467,0.684,0.684,0.684,0.000
793,2364.943,0.000,-0.533,0.677,0.677,0.677,0.000
794,2367.916,1.444,1.444,0.671,0.671,0.671,0.000
795,2370.889,1.667,1.667,0.665,0.665,0.665,0.000
796,2373.861,0.667,0.667,0.659,0.659,0.659,0.000
797,2376.833,0.000,-0.511,0.652,0.652,0.652,0.000
798,2379.804,0.489,0.489,0.646,0.646,0.646,0.000
799,2382.775,1.756,1.756,0.640,0.640,0.640,0.000
800,2385.745,1.667,1.667,0.634,0.634,0.634,0.000
801,2388.715,1.422,1.422,0.628,0.628,0.628,0.000
802,2391.684,2.444,2.444,0.621,0.621,0.621,0.000
803,2394.653,2.556,2.556,0.615,0.615,0.615,0.000
804,2397.621,2.422,2.422,0.609,0.609,0.609,0.000
805,2400.589,1.578,1.578,0.603,0.603,0.603,0.000
806,2403.557,0.000,-0.489,0.597,0.597,0.597,0.000
807,2406.523,2.356,2.356,0.590,0.590,0.590,0.000
808,2409.490,0.444,0.444,0.584,0.584,0.584,0.000
809,2412.456,2.467,2.467,0.578,0.578,0.578,0.000
810,2415.421,1.556,1.556,0.572,0.572,0.572,0.000
811,2418.386,1.578,1.578,0.565,0.565,0.565,0.000
812,2421.350,1.511,1.511,0.559,0.559,0.559,0.000
813,2424.314,0.578,0.578,0.553,0.553,0.553,0.000
814,2427.278,3.556,3.556,0.547,0.547,0.547,0.000
815,2430.241,0.000,-0.489,0.541,0.541,0.541,0.000
816,2433.203,1.511,1.511,0.534,0.534,0.534,0.000
817,2436.165,1.467,1.467,0.528,0.528,0.528,0.000
818,2439.126,0.000,-0.378,0.522,0.522,0.522,0.000
819,2442.087,2.667,2.667,0.516,0.516,0.516,0.000
820,2445.048,0.000,-0.400,0.510,0.510,0.510,0.000
821,2448.007,1.556,1.556,0.503,0.503,0.503,0.000
822,2450.967,2.400,2.400,0.497,0.497,0.497,0.000
823,2453.925,0.756,0.756,0.491,0.491,0.491,0.000
824,2456.884,0.822,0.822,0.485,0.485,0.485,0.000
825,2459.842,1.644,1.644,0.478,0.478,0.478,0.000
826,2462.799,0.467,0.467,0.472,0.472,0.472,0.000
