ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
99,276.224,885.600,885.600,936.182,258.601,86.318,749.492,99.473,0.085,0.000,0.802
100,279.187,938.433,938.433,953.068,251.834,126.919,719.189,106.133,0.021,0.000,0.796
101,282.151,908.300,908.300,961.922,245.067,182.691,667.913,110.514,0.005,0.000,0.789
102,285.114,941.067,941.067,968.640,238.300,250.776,605.606,111.464,0.001,0.000,0.782
103,288.078,903.967,903.967,975.983,231.533,323.798,542.826,108.573,0.000,0.000,0.775
104,291.042,935.567,935.567,981.197,224.766,390.430,487.659,102.330,0.000,0.000,0.768
105,294.006,914.367,914.367,976.885,217.999,437.946,444.210,93.959,0.000,0.000,0.760
106,296.970,946.600,946.600,954.639,211.232,456.031,412.844,85.001,0.000,0.000,0.753
107,299.934,875.867,875.867,909.426,204.465,440.306,391.513,76.851,0.000,0.000,0.746
108,302.899,904.067,904.067,842.387,197.698,393.929,377.268,70.442,0.000,0.000,0.739
109,305.863,797.467,797.467,760.707,190.931,326.465,367.357,66.142,0.000,0.000,0.733
110,308.827,763.133,763.133,674.915,184.164,250.589,359.738,63.851,0.000,0.000,0.727
111,311.792,697.100,697.100,595.192,177.397,178.169,353.130,63.160,0.000,0.000,0.723
112,314.756,585.400,585.400,528.459,170.630,117.375,346.843,63.512,0.000,0.000,0.719
113,317.721,514.033,514.033,477.259,163.863,71.678,340.549,64.307,0.000,0.000,0.715
114,320.686,441.100,441.100,440.389,157.096,40.599,334.088,64.981,0.000,0.000,0.712
115,323.651,369.867,369.867,414.492,150.328,21.348,327.355,65.072,0.000,0.000,0.708
116,326.616,410.933,410.933,395.715,143.561,10.442,320.275,64.286,0.000,0.000,0.704
117,329.581,335.733,335.733,380.847,136.794,4.775,312.819,62.544,0.000,0.000,0.700
118,332.546,337.600,337.600,367.789,130.027,2.069,305.033,59.983,0.000,0.000,0.695
119,335.511,343.567,343.567,355.512,123.260,0.881,297.040,56.892,0.000,0.000,0.690
120,338.477,322.833,322.833,343.744,116.493,0.406,289.026,53.619,0.000,0.000,0.685
121,341.442,318.667,318.667,332.616,109.726,0.242,281.207,50.479,0.000,0.000,0.679
122,344.407,350.467,350.467,322.369,102.959,0.217,273.784,47.687,0.000,0.000,0.672
123,347.373,360.167,360.167,313.185,96.192,0.269,266.907,45.338,0.000,0.000,0.663
124,350.339,320.400,320.400,305.117,89.425,0.389,260.640,43.429,0.000,0.000,0.651
125,353.305,266.033,266.033,298.086,82.658,0.591,254.961,41.891,0.000,0.000,0.635
126,356.270,258.500,258.500,291.921,75.891,0.897,249.770,40.632,0.000,0.000,0.615
