ch,keV,net,fit,model,continuum_raw,Am-241,continuum
0,-13.032,0.000,0.000,0.000,0.000,0.000,0.000
1,-10.181,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.328,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.475,0.000,0.000,0.015,0.000,0.015,0.000
4,-1.620,0.000,0.000,2.797,0.000,2.797,0.000
5,1.234,32.783,32.783,50.550,0.000,50.550,0.000
6,4.090,283.517,283.517,253.755,0.000,253.755,0.000
7,6.946,1530.239,1530.239,381.217,0.000,381.217,0.000
8,9.803,3567.256,3567.256,1216.365,211.793,1216.365,0.000
9,12.661,8357.989,8357.989,5444.584,423.586,5444.584,0.000
10,15.520,14496.561,14496.561,15383.781,635.379,15383.781,0.000
11,18.379,21450.655,21450.655,22920.249,847.172,22920.249,0.000
12,21.239,21305.505,21305.505,23840.699,1058.965,23840.699,0.000
13,24.100,15017.705,15017.705,15518.645,1270.758,15518.645,0.000
14,26.961,5485.455,5485.455,6244.404,1482.551,6244.404,0.000
15,29.824,1388.889,1388.889,2094.849,1297.232,2094.849,0.000
16,32.687,1514.078,1514.078,1410.829,1111.913,1410.829,0.000
17,35.550,2486.783,2486.783,1492.105,926.594,1492.105,0.000
18,38.415,4675.428,4675.428,1837.913,741.275,1837.913,0.000
19,41.280,8091.872,8091.872,3247.834,555.956,3247.834,0.000
20,44.146,16416.683,16416.683,10089.066,370.638,10089.066,0.000
21,47.012,39629.866,39629.866,34973.157,185.319,34973.157,0.000
22,49.880,86576.661,86576.661,87398.287,0.000,87398.287,0.000
23,52.748,136969.044,136969.044,138122.581,6.585,138122.581,0.000
24,55.616,146482.439,146482.439,135077.639,13.170,135077.639,0.000
25,58.486,93554.450,93554.450,81962.861,19.755,81962.861,0.000
26,61.356,29319.255,29319.255,30731.202,26.340,30731.202,0.000
27,64.227,4331.378,4331.378,7029.110,32.926,7029.110,0.000
28,67.098,327.172,327.172,990.028,39.511,990.028,0.000
29,69.971,51.877,51.877,121.842,46.096,121.842,0.000
30,72.844,49.677,49.677,56.184,52.681,56.184,0.000
31,75.717,51.433,51.433,59.360,59.266,59.360,0.000
32,78.592,54.922,54.922,65.853,65.851,65.853,0.000
33,81.467,55.561,55.561,72.436,72.436,72.436,0.000
34,84.343,49.839,49.839,79.021,79.021,79.021,0.000
35,87.219,61.250,61.250,74.594,74.594,74.594,0.000
36,90.096,108.694,108.694,70.166,70.166,70.166,0.000
37,92.974,121.139,121.139,65.738,65.738,0.000,65.738
38,95.853,170.944,170.944,61.311,61.311,0.000,61.311
39,98.732,151.789,151.789,56.883,56.883,0.000,56.883
40,101.612,131.578,131.578,52.455,52.455,0.000,52.455
41,104.493,63.978,63.978,48.027,48.027,0.000,48.027
42,107.374,42.333,42.333,43.600,43.600,0.000,43.600
43,110.256,40.572,40.572,39.172,39.172,0.000,39.172
44,113.139,46.255,46.255,34.744,34.744,0.000,34.744
45,116.022,62.172,62.172,30.317,30.317,0.000,30.317
46,118.906,95.039,95.039,25.889,25.889,0.000,25.889
47,121.791,80.050,80.050,21.461,21.461,0.000,21.461
48,124.677,58.583,58.583,17.033,17.033,0.000,17.033
49,127.563,40.766,40.766,12.606,12.606,0.000,12.606
50,130.449,16.311,16.311,8.178,8.178,0.000,8.178
51,133.337,6.716,6.716,7.769,7.769,0.000,7.769
52,136.225,6.389,6.389,7.360,7.360,0.000,7.360
53,139.114,10.800,10.800,6.951,6.951,0.000,6.951
54,142.003,1.072,1.072,6.542,6.542,0.000,6.542
55,144.894,0.000,-1.861,6.133,6.133,0.000,6.133
56,147.784,1.978,1.978,5.725,5.725,0.000,5.725
57,150.676,3.378,3.378,5.316,5.316,0.000,5.316
58,153.568,4.989,4.989,4.907,4.907,0.000,4.907
59,156.461,4.422,4.422,4.498,4.498,0.000,4.498
60,159.354,1.255,1.255,4.089,4.089,0.000,4.089
61,162.248,7.316,7.316,3.680,3.680,0.000,3.680
62,165.143,1.783,1.783,3.271,3.271,0.000,3.271
63,168.039,3.328,3.328,2.862,2.862,0.000,2.862
64,170.935,0.000,-3.306,2.453,2.453,0.000,2.453
65,173.831,0.000,-1.289,2.044,2.044,0.000,2.044
66,176.729,0.000,-0.578,1.636,1.636,0.000,1.636
67,179.627,0.000,-6.473,1.227,1.227,0.000,1.227
68,182.526,0.700,0.700,0.818,0.818,0.000,0.818
69,185.425,7.028,7.028,0.409,0.409,0.000,0.409
70,188.325,2.183,2.183,0.000,0.000,0.000,0.000
71,191.226,1.244,1.244,0.000,0.000,0.000,0.000
72,194.127,0.000,-2.895,0.000,0.000,0.000,0.000
73,197.029,2.461,2.461,0.000,0.000,0.000,0.000
