ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,DE-2615,SE-2615,DE-1588,Xray-W,Backscatter,SE-1631,DE-1631,Xray-NaI,Esc-NaI,continuum
40,8.241,0.000,0.000,0.070,0.070,0.018,0.009,0.025,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.002,0.006,0.003,0.000,0.000,0.001,0.001,0.000
41,8.609,0.000,0.000,0.072,0.072,0.018,0.009,0.025,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.002,0.006,0.003,0.000,0.000,0.001,0.001,0.000
42,8.978,0.000,0.000,0.074,0.074,0.019,0.010,0.026,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.002,0.006,0.003,0.000,0.000,0.001,0.001,0.000
43,9.347,0.000,0.000,0.076,0.076,0.019,0.010,0.027,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.002,0.006,0.003,0.000,0.000,0.001,0.001,0.000
44,9.716,0.000,-0.385,0.077,0.077,0.020,0.010,0.027,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.002,0.006,0.003,0.000,0.000,0.001,0.001,0.000
45,10.084,0.000,0.000,0.079,0.079,0.020,0.010,0.028,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.006,0.003,0.000,0.000,0.002,0.001,0.000
46,10.453,0.000,0.000,0.081,0.081,0.021,0.011,0.029,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
47,10.822,1.615,1.615,0.083,0.083,0.021,0.011,0.029,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
48,11.191,0.000,-1.924,0.085,0.085,0.022,0.011,0.030,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
49,11.560,2.615,2.615,0.086,0.086,0.022,0.011,0.030,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
50,11.928,1.846,1.846,0.088,0.088,0.022,0.011,0.031,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
51,12.297,0.306,0.306,0.090,0.090,0.023,0.012,0.032,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
52,12.666,0.000,-4.002,0.092,0.092,0.023,0.012,0.032,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.002,0.007,0.003,0.000,0.000,0.002,0.001,0.000
53,13.035,14.838,14.838,0.093,0.093,0.024,0.012,0.033,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.002,0.008,0.003,0.000,0.000,0.002,0.001,0.000
