ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,DE-2615,SE-2615,DE-1588,Xray-W,Backscatter,SE-1631,DE-1631,Xray-NaI,Esc-NaI,continuum
136,43.661,13358.565,13358.565,14643.262,11455.195,2984.212,1530.204,4130.600,1020.829,222.483,91.402,14.101,2.914,199.678,129.344,292.680,971.508,464.028,47.626,49.524,1.532,2490.561,0.000
137,44.030,13324.919,13324.919,14638.930,11289.178,2942.222,1508.406,4071.759,906.000,219.314,90.100,13.902,2.873,196.834,127.502,288.511,966.467,461.458,46.947,48.818,0.903,2746.880,0.000
138,44.399,13656.419,13656.419,14645.392,11123.160,2900.429,1486.616,4012.940,798.716,216.146,88.798,13.704,2.831,193.990,125.660,284.343,964.679,459.432,46.269,48.113,0.522,3002.167,0.000
139,44.768,13885.112,13885.112,14659.594,10957.143,2858.893,1464.834,3954.143,700.490,212.979,87.497,13.507,2.790,191.148,123.819,280.177,967.231,457.918,45.591,47.408,0.297,3250.837,0.000
140,45.137,13943.547,13943.547,14677.997,10791.126,2817.683,1443.061,3895.370,612.250,209.813,86.197,13.313,2.748,188.307,121.978,276.013,975.514,456.894,44.913,46.703,0.166,3487.039,0.000
141,45.506,14193.769,14193.769,14696.908,10625.108,2776.888,1421.296,3836.617,534.391,206.649,84.897,13.121,2.707,185.466,120.139,271.850,991.285,456.357,44.236,45.999,0.091,3704.885,0.000
142,45.876,14433.685,14433.685,14712.867,10459.091,2736.613,1399.538,3777.884,466.847,203.485,83.597,12.933,2.665,182.627,118.299,267.688,1016.736,456.325,43.559,45.295,0.049,3898.692,0.000
143,46.245,14360.698,14360.698,14723.064,10293.074,2696.985,1377.786,3719.167,409.177,200.323,82.298,12.752,2.624,179.789,116.461,263.528,1054.568,456.845,42.882,44.591,0.026,4063.232,0.000
144,46.614,14158.757,14158.757,14725.760,10127.056,2658.154,1356.038,3660.461,360.665,197.161,80.999,12.578,2.582,176.951,114.622,259.368,1108.065,457.999,42.205,43.887,0.014,4193.980,0.000
145,46.983,14458.915,14458.915,14720.671,9961.039,2620.294,1334.293,3601.762,320.409,193.999,79.700,12.415,2.541,174.113,112.784,255.209,1181.160,459.914,41.528,43.183,0.007,4287.329,0.000
146,47.352,14633.066,14633.066,14709.311,9795.022,2583.606,1312.548,3543.065,287.408,190.837,78.401,12.268,2.500,171.276,110.946,251.050,1278.505,462.770,40.851,42.480,0.004,4340.766,0.000
147,47.722,14755.697,14755.697,14695.243,9629.004,2548.316,1290.803,3484.367,260.632,187.676,77.102,12.143,2.458,168.438,109.108,246.891,1405.509,466.808,40.175,41.776,0.002,4353.010,0.000
148,48.091,14870.816,14870.816,14684.241,9462.987,2514.674,1269.057,3425.664,239.082,184.514,75.803,12.046,2.417,165.601,107.270,242.731,1568.367,472.339,39.498,41.072,0.001,4324.077,0.000
149,48.460,15129.656,15129.656,14684.336,9296.970,2482.951,1247.308,3366.956,221.824,181.352,74.504,11.988,2.375,162.762,105.432,238.571,1774.051,479.751,38.821,40.368,0.000,4255.292,0.000
150,48.829,15251.912,15251.912,14705.735,9130.953,2453.433,1225.558,3308.243,208.024,178.189,73.205,11.982,2.334,159.924,103.593,234.411,2030.262,489.513,38.144,39.664,0.000,4149.227,0.000
151,49.198,15838.448,15838.448,14760.620,8964.935,2426.416,1203.807,3249.529,196.954,175.027,71.906,12.043,2.293,157.086,101.755,230.251,2345.333,502.180,37.467,38.960,0.000,4009.588,0.000
152,49.568,16497.704,16497.704,14862.815,8798.918,2402.190,1182.057,3190.819,188.000,171.864,70.606,12.194,2.251,154.248,99.916,226.090,2728.073,518.389,36.790,38.256,0.000,3841.043,0.000
153,49.937,16052.911,16052.911,15027.336,8632.901,2381.033,1160.313,3132.123,180.658,168.703,69.307,12.459,2.210,151.410,98.078,221.931,3187.554,538.858,36.113,37.552,0.000,3649.006,0.000
