ch,keV,net,fit,model,continuum_raw,Am-241,continuum
0,-14.711,0.000,0.000,0.000,0.000,0.000,0.000
1,-11.724,0.000,0.000,0.000,0.000,0.000,0.000
2,-8.737,0.000,0.000,0.001,0.000,0.001,0.000
3,-5.749,0.000,0.000,1.456,0.000,1.456,0.000
4,-2.762,0.000,0.000,167.785,0.000,167.785,0.000
5,0.225,9.119,9.119,1053.498,0.000,1053.498,0.000
6,3.212,319.616,319.616,1670.901,0.000,1670.901,0.000
7,6.199,2286.232,2286.232,1974.083,0.000,1974.083,0.000
8,9.186,8147.301,8147.301,7020.893,1261.868,7020.893,0.000
9,12.173,23941.949,23941.949,28073.959,2523.735,28073.959,0.000
10,15.160,58497.816,58497.816,71644.677,3785.603,71644.677,0.000
11,18.148,82965.953,82965.953,109980.697,5047.471,109980.697,0.000
12,21.135,92234.192,92234.192,118432.112,6309.339,118432.112,0.000
13,24.122,67129.223,67129.223,84977.701,7571.206,84977.701,0.000
14,27.109,41770.726,41770.726,40150.792,8833.074,40150.792,0.000
15,30.096,15124.726,15124.726,15451.144,7949.767,15451.144,0.000
16,33.083,8273.468,8273.468,9771.284,7066.459,9771.284,0.000
17,36.070,12232.034,12232.034,9551.151,6183.152,9551.151,0.000
18,39.057,22242.568,22242.568,11153.126,5299.844,11153.126,0.000
19,42.045,42073.292,42073.292,18929.952,4416.537,18929.952,0.000
20,45.032,85203.669,85203.669,52017.208,3533.230,52017.208,0.000
21,48.019,202688.983,202688.983,155972.883,2649.922,155972.883,0.000
22,51.006,424918.310,424918.310,367883.322,1766.615,367883.322,0.000
23,53.993,615229.875,615229.875,606439.381,883.307,606439.381,0.000
24,56.980,621241.253,621241.253,671374.708,0.000,671374.708,0.000
25,59.967,522249.913,522249.913,490896.759,29.492,490896.759,0.000
26,62.954,313122.925,313122.925,234128.102,58.983,234128.102,0.000
27,65.941,115903.893,115903.893,72264.037,88.475,72264.037,0.000
28,68.929,19923.006,19923.006,14415.678,117.967,14415.678,0.000
29,71.916,1830.043,1830.043,1958.567,147.458,1958.567,0.000
30,74.903,304.767,304.767,323.204,176.950,323.204,0.000
31,77.890,245.609,245.609,213.959,206.442,213.959,0.000
32,80.877,218.383,218.383,236.179,235.933,236.179,0.000
33,83.864,204.874,204.874,265.430,265.425,265.430,0.000
34,86.851,281.446,281.446,294.917,294.917,294.917,0.000
35,89.838,260.213,260.213,324.409,324.409,324.409,0.000
36,92.826,401.025,401.025,353.900,353.900,353.900,0.000
37,95.813,495.037,495.037,383.392,383.392,383.392,0.000
38,98.800,668.182,668.182,412.884,412.884,412.884,0.000
39,101.787,740.836,740.836,391.153,391.153,0.000,391.153
40,104.774,655.428,655.428,369.422,369.422,0.000,369.422
41,107.761,532.170,532.170,347.691,347.691,0.000,347.691
42,110.748,308.050,308.050,325.961,325.961,0.000,325.961
43,113.735,178.647,178.647,304.230,304.230,0.000,304.230
