ch,keV,net,fit,model,continuum_raw,Y-88
616,1830.928,32.800,32.800,35.753,0.000,35.753
617,1833.955,48.067,48.067,36.328,0.000,36.328
618,1836.982,47.133,47.133,36.636,0.000,36.636
619,1840.009,47.733,47.733,36.672,0.000,36.672
620,1843.035,42.800,42.800,36.433,0.000,36.433
621,1846.061,37.733,37.733,35.925,0.000,35.925
622,1849.087,38.067,38.067,35.158,0.000,35.158
623,1852.113,41.867,41.867,34.150,0.000,34.150
624,1855.138,34.133,34.133,32.923,0.000,32.923
625,1858.163,34.133,34.133,31.501,0.000,31.501
626,1861.188,29.067,29.067,29.915,0.000,29.915
627,1864.213,33.867,33.867,28.196,0.000,28.196
628,1867.237,30.200,30.200,26.376,0.000,26.376
629,1870.261,30.400,30.400,24.488,0.000,24.488
630,1873.285,22.000,22.000,22.565,0.000,22.565
631,1876.308,20.267,20.267,20.636,0.000,20.636
632,1879.331,18.467,18.467,18.731,0.000,18.731
633,1882.354,19.267,19.267,16.874,0.000,16.874
634,1885.377,19.333,19.333,15.086,0.000,15.086
635,1888.399,10.333,10.333,13.387,0.000,13.387
636,1891.421,14.933,14.933,11.790,0.000,11.790
637,1894.443,14.000,14.000,10.305,0.000,10.305
638,1897.464,5.867,5.867,8.940,0.000,8.940
639,1900.485,11.667,11.667,7.697,0.000,7.697
640,1903.506,5.933,5.933,6.577,0.000,6.577
641,1906.527,5.867,5.867,5.578,0.000,5.578
642,1909.547,4.267,4.267,4.695,0.000,4.695
643,1912.567,3.533,3.533,3.922,0.000,3.922
644,1915.586,4.533,4.533,3.252,0.000,3.252
645,1918.606,2.733,2.733,2.676,0.000,2.676
646,1921.625,2.067,2.067,2.185,0.000,2.185
647,1924.643,6.400,6.400,1.771,0.000,1.771
648,1927.662,3.867,3.867,1.425,0.000,1.425
649,1930.680,0.000,0.000,1.138,0.000,1.138
650,1933.698,3.067,3.067,0.901,0.000,0.901
651,1936.715,2.400,2.400,0.709,0.000,0.709
652,1939.732,0.000,-4.067,0.553,0.000,0.553
653,1942.749,0.000,-1.533,0.429,0.000,0.429
654,1945.765,0.000,-2.533,0.329,0.000,0.329
655,1948.781,1.533,1.533,0.251,0.000,0.251
656,1951.797,0.400,0.400,0.190,0.000,0.190
657,1954.813,0.000,-1.333,0.143,0.000,0.143
658,1957.828,0.067,0.067,0.107,0.000,0.107
659,1960.843,2.667,2.667,0.079,0.000,0.079
660,1963.857,1.867,1.867,0.058,0.000,0.058
661,1966.871,0.000,-1.533,0.042,0.000,0.042
662,1969.885,0.267,0.267,0.031,0.000,0.031
663,1972.898,0.000,-3.400,0.022,0.000,0.022
664,1975.911,2.200,2.200,0.016,0.000,0.016
665,1978.924,1.867,1.867,0.011,0.000,0.011
666,1981.937,0.000,-0.133,0.008,0.000,0.008
667,1984.949,0.000,-1.333,0.005,0.000,0.005
668,1987.960,4.867,4.867,0.004,0.000,0.004
669,1990.972,0.000,-0.200,0.003,0.000,0.003
670,1993.983,1.067,1.067,0.002,0.000,0.002
671,1996.993,3.933,3.933,0.001,0.000,0.001
672,2000.004,2.133,2.133,0.001,0.000,0.001
673,2003.014,0.733,0.733,0.001,0.000,0.001
674,2006.023,0.000,-0.467,0.000,0.000,0.000
675,2009.032,0.933,0.933,0.000,0.000,0.000
676,2012.041,2.533,2.533,0.000,0.000,0.000
677,2015.050,0.000,-2.333,0.000,0.000,0.000
678,2018.058,0.000,-1.800,0.000,0.000,0.000
679,2021.065,0.133,0.133,0.000,0.000,0.000
680,2024.073,0.000,-1.733,0.000,0.000,0.000
681,2027.080,0.000,-4.200,0.000,0.000,0.000
682,2030.086,0.000,-0.667,0.000,0.000,0.000
683,2033.093,2.000,2.000,0.000,0.000,0.000
684,2036.098,2.467,2.467,0.000,0.000,0.000
685,2039.104,0.000,-0.667,0.000,0.000,0.000
686,2042.109,0.000,-3.067,0.000,0.000,0.000
687,2045.114,0.000,-0.133,0.000,0.000,0.000
688,2048.118,0.000,-2.467,0.000,0.000,0.000
689,2051.122,0.000,-1.800,0.000,0.000,0.000
690,2054.126,1.667,1.667,0.000,0.000,0.000
691,2057.129,0.000,-0.867,0.000,0.000,0.000
692,2060.131,1.600,1.600,0.000,0.000,0.000
693,2063.134,0.000,-0.333,0.000,0.000,0.000
694,2066.136,0.000,-3.267,0.000,0.000,0.000
695,2069.137,0.000,-1.733,0.000,0.000,0.000
696,2072.139,4.600,4.600,0.000,0.000,0.000
697,2075.139,0.000,-0.733,0.000,0.000,0.000
698,2078.140,0.133,0.133,0.000,0.000,0.000
699,2081.140,0.000,-0.400,0.000,0.000,0.000
700,2084.139,0.000,-1.000,0.000,0.000,0.000
701,2087.138,0.000,-0.867,0.000,0.000,0.000
702,2090.137,0.000,-2.667,0.000,0.000,0.000
703,2093.135,0.000,-2.933,0.000,0.000,0.000
704,2096.133,0.000,-1.933,0.000,0.000,0.000
705,2099.131,2.933,2.933,0.000,0.000,0.000
706,2102.128,0.000,-2.333,0.000,0.000,0.000
