ch,keV,net,fit,model,continuum_raw,Cs-137
0,-2.381,0.000,0.000,0.000,0.000,0.000
1,0.371,0.000,0.000,0.000,0.000,0.000
2,3.126,0.000,0.000,0.000,0.000,0.000
3,5.882,0.000,0.000,0.002,0.000,0.002
4,8.640,0.000,0.000,0.424,0.000,0.424
5,11.400,0.000,-1.087,18.975,0.000,18.975
6,14.162,8.064,8.064,220.486,0.000,220.486
7,16.925,64.854,64.854,886.653,0.000,886.653
8,19.690,362.130,362.130,1678.095,26.512,1678.095
9,22.458,973.948,973.948,1884.086,53.023,1884.086
10,25.227,3396.772,3396.772,2736.308,79.535,2736.308
11,27.997,8404.628,8404.628,6699.463,106.046,6699.463
12,30.770,12409.818,12409.818,12615.211,132.558,12615.211
13,33.544,11233.269,11233.269,14384.904,159.070,14384.904
14,36.320,9981.939,9981.939,10563.171,185.581,10563.171
15,39.098,6903.893,6903.893,5945.698,459.476,5945.698
16,41.878,4308.925,4308.925,3438.453,733.370,3438.453
17,44.659,3093.798,3093.798,2727.780,1007.264,2727.780
18,47.442,2790.277,2790.277,2687.739,1281.159,2687.739
19,50.227,2681.641,2681.641,2710.640,1555.053,2710.640
20,53.013,2466.877,2466.877,2620.242,1828.948,2620.242
21,55.802,2455.953,2455.953,2509.710,2102.842,2509.710
22,58.592,2615.570,2615.570,2525.241,2376.736,2525.241
23,61.383,2794.752,2794.752,2687.806,2650.631,2687.806
24,64.177,2775.897,2775.897,2930.742,2924.525,2930.742
25,66.972,2894.345,2894.345,3199.099,3198.420,3199.099
26,69.768,2722.675,2722.675,3116.437,3116.385,3116.437
27,72.567,2781.941,2781.941,3034.384,3034.351,3034.384
28,75.367,2888.583,2888.583,2952.519,2952.317,2952.519
29,78.168,2836.012,2836.012,2871.377,2870.283,2871.377
30,80.972,3024.478,3024.478,2793.113,2788.249,2793.113
31,83.777,3163.583,3163.583,2723.999,2706.215,2723.999
32,86.583,3180.132,3180.132,2677.896,2624.181,2677.896
33,89.391,3204.651,3204.651,2677.097,2542.146,2677.097
34,92.201,3115.352,3115.352,2744.765,2460.112,2744.765
35,95.013,3199.463,3199.463,2888.768,2378.078,2888.768
36,97.826,3163.545,3163.545,3089.198,2296.044,3089.198
37,100.640,3243.380,3243.380,3304.712,2214.010,3304.712
38,103.456,3449.985,3449.985,3494.626,2131.976,3494.626
39,106.274,3473.304,3473.304,3635.320,2049.941,3635.320
40,109.093,3612.978,3612.978,3718.267,1967.907,3718.267
41,111.914,3569.954,3569.954,3740.280,1885.873,3740.280
42,114.737,3681.981,3681.981,3848.958,1952.198,3848.958
43,117.561,3751.770,3751.770,3901.159,2018.523,3901.159
44,120.386,3751.242,3751.242,3909.753,2084.848,3909.753
45,123.213,3968.434,3968.434,3893.014,2151.172,3893.014
46,126.042,3924.255,3924.255,3871.684,2217.497,3871.684
47,128.872,4009.763,4009.763,3865.894,2283.822,3865.894
48,131.704,4141.441,4141.441,3890.294,2350.147,3890.294
49,134.537,4010.101,4010.101,3949.305,2416.472,3949.305
50,137.371,4225.147,4225.147,4037.034,2482.796,4037.034
51,140.207,4289.287,4289.287,4142.541,2549.121,4142.541
52,143.045,4221.769,4221.769,4255.715,2615.446,4255.715
53,145.884,4424.630,4424.630,4369.306,2681.771,4369.306
54,148.725,4454.575,4454.575,4477.709,2748.096,4477.709
55,151.566,4300.624,4300.624,4576.408,2814.420,4576.408
56,154.410,4251.522,4251.522,4664.032,2880.745,4664.032
57,157.255,4368.003,4368.003,4744.836,2947.070,4744.836
58,160.101,4375.769,4375.769,4827.840,3013.395,4827.840
59,162.949,4535.066,4535.066,4921.561,3079.720,4921.561
60,165.798,4456.203,4456.203,5027.649,3146.044,5027.649
61,168.649,4643.940,4643.940,5138.564,3212.369,5138.564
62,171.501,4513.761,4513.761,5241.574,3278.694,5241.574
63,174.354,4834.714,4834.714,5232.458,3251.152,5232.458
64,177.209,4842.452,4842.452,5202.864,3223.610,5202.864
65,180.065,5106.268,5106.268,5159.067,3196.068,5159.067
66,182.922,5202.318,5202.318,5111.460,3168.526,5111.460
67,185.781,5501.121,5501.121,5069.058,3140.983,5069.058
68,188.642,5803.684,5803.684,5036.252,3113.441,5036.252
69,191.503,5755.230,5755.230,5012.879,3085.899,5012.879
70,194.366,5878.302,5878.302,4996.444,3058.357,4996.444
71,197.231,5786.343,5786.343,4984.507,3030.815,4984.507
72,200.096,5835.521,5835.521,4975.839,3003.273,4975.839
73,202.963,5825.185,5825.185,4969.988,2975.731,4969.988
74,205.832,5649.956,5649.956,4965.941,2948.189,4965.941
75,208.701,5431.263,5431.263,4961.011,2920.647,4961.011
76,211.572,5404.400,5404.400,4950.904,2893.104,4950.904
77,214.445,5247.817,5247.817,4931.136,2865.562,4931.136
78,217.318,5143.721,5143.721,4899.034,2838.020,4899.034
79,220.193,4741.600,4741.600,4855.144,2810.478,4855.144
80,223.069,5022.880,5022.880,4803.234,2782.936,4803.234
81,225.947,4936.068,4936.068,4748.948,2755.394,4748.948
82,228.826,4722.605,4722.605,4697.956,2727.852,4697.956
83,231.706,4599.958,4599.958,4654.537,2700.310,4654.537
84,234.587,4570.807,4570.807,4621.052,2672.768,4621.052
85,237.469,4528.004,4528.004,4598.144,2645.226,4598.144
86,240.353,4392.348,4392.348,4585.145,2617.683,4585.145
87,243.238,4360.435,4360.435,4580.330,2590.141,4580.330
88,246.124,4237.828,4237.828,4581.000,2562.599,4581.000
89,249.012,4245.461,4245.461,4583.624,2535.057,4583.624
90,251.900,4131.841,4131.841,4584.253,2507.515,4584.253
91,254.790,4215.119,4215.119,4574.993,2475.770,4574.993
92,257.681,4153.958,4153.958,4557.311,2444.025,4557.311
93,260.573,4143.870,4143.870,4529.875,2412.280,4529.875
94,263.467,4197.993,4197.993,4492.809,2380.535,4492.809
95,266.361,4153.658,4153.658,4447.410,2348.790,4447.410
96,269.257,4207.735,4207.735,4395.709,2317.045,4395.709
97,272.154,4148.680,4148.680,4340.002,2285.300,4340.002
98,275.052,4126.001,4126.001,4282.448,2253.555,4282.448
99,277.952,4148.469,4148.469,4224.708,2221.810,4224.708
100,280.852,4192.593,4192.593,4167.688,2190.065,4167.688
101,283.754,4140.382,4140.382,4111.441,2158.320,4111.441
102,286.657,4140.198,4140.198,4055.321,2126.575,4055.321
103,289.560,4136.707,4136.707,3998.384,2094.830,3998.384
