ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu
0,-4.817,0.000,0.000,0.022,0.022,0.021,0.000
1,-4.449,0.000,0.000,0.056,0.056,0.056,0.001
2,-4.080,0.000,0.000,0.139,0.139,0.137,0.002
3,-3.712,0.000,0.000,0.324,0.324,0.319,0.005
4,-3.344,0.000,-0.059,0.711,0.711,0.700,0.011
5,-2.976,0.000,-0.229,1.469,1.469,1.447,0.022
6,-2.608,0.000,-1.521,2.862,2.862,2.820,0.042
7,-2.239,1.539,1.539,5.263,5.263,5.186,0.078
8,-1.871,0.000,-0.809,9.139,9.139,9.003,0.135
9,-1.503,2.374,2.374,14.993,14.993,14.771,0.222
10,-1.134,2.963,2.963,23.268,23.268,22.924,0.344
11,-0.766,0.910,0.910,34.210,34.210,33.704,0.506
12,-0.398,4.912,4.912,47.738,47.738,47.033,0.705
13,-0.029,0.000,-1.738,63.383,63.383,62.446,0.937
14,0.339,0.000,-2.266,80.321,80.321,79.134,1.187
15,0.708,0.794,0.794,97.526,97.526,96.085,1.441
16,1.076,0.000,-3.261,114.000,114.000,112.316,1.685
17,1.444,0.150,0.150,128.995,128.995,127.089,1.906
18,1.813,0.859,0.859,142.151,142.151,140.050,2.101
19,2.181,0.683,0.683,153.503,153.503,151.234,2.268
20,2.550,7.620,7.620,163.372,163.372,160.957,2.414
21,2.918,6.031,6.031,172.200,172.200,169.655,2.545
22,3.287,39.916,39.916,180.403,180.403,177.737,2.666
23,3.655,87.624,87.624,188.298,188.298,185.515,2.783
24,4.024,175.217,175.217,196.102,196.102,193.204,2.898
25,4.392,332.165,332.165,203.987,203.987,200.972,3.014
26,4.761,491.475,491.475,212.132,212.132,208.997,3.135
27,5.129,717.848,717.848,220.764,220.764,217.501,3.262
28,5.498,915.589,915.589,230.158,230.158,226.757,3.401
29,5.867,1122.925,1122.925,240.640,240.640,237.084,3.556
30,6.235,1261.143,1261.143,252.566,252.566,248.834,3.732
31,6.604,1353.998,1353.998,266.333,266.333,262.397,3.936
32,6.973,1453.806,1453.806,282.378,282.378,278.205,4.173
33,7.341,1536.362,1536.362,301.198,301.198,296.747,4.451
34,7.710,1762.908,1762.908,323.355,323.355,318.577,4.778
35,8.079,1765.094,1765.094,349.486,349.486,344.321,5.164
36,8.447,1940.327,1940.327,380.296,380.296,374.676,5.620
37,8.816,2041.973,2041.973,416.561,416.561,410.405,6.156
