ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI
0,-8.028,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.174,0.000,0.000,0.115,0.115,0.112,0.002
2,-2.319,0.000,0.000,0.229,0.229,0.224,0.005
3,0.536,0.000,0.000,0.344,0.344,0.337,0.007
4,3.392,0.000,0.000,0.458,0.458,0.449,0.010
5,6.249,80.700,80.700,0.573,0.573,0.561,0.012
6,9.106,522.100,522.100,0.694,0.687,0.680,0.014
7,11.964,1719.433,1719.433,2.050,0.802,2.033,0.017
8,14.823,3240.533,3240.533,2307.518,2252.358,2260.149,47.369
9,17.683,5607.933,5607.933,5143.624,4503.914,5048.901,94.723
10,20.543,8867.366,8867.366,9394.298,6755.469,9252.198,142.100
11,23.404,12943.933,12943.933,14568.376,9007.025,14378.785,189.591
12,26.266,21792.033,21792.033,21165.559,11258.581,20928.232,237.328
13,29.129,55207.233,55207.233,48687.994,13510.137,48402.468,285.526
14,31.992,149757.733,149757.733,150762.281,15761.693,150426.082,336.199
15,34.856,291123.333,291123.333,310817.911,14893.192,310488.519,329.392
16,37.721,342379.466,342379.466,364524.552,14024.691,364187.083,337.469
17,40.587,262071.699,262071.699,262224.506,13156.190,261871.115,353.391
18,43.453,149481.566,149481.566,151867.579,12287.689,151507.780,359.800
19,46.320,85705.233,85705.233,83343.935,11419.189,82991.786,352.149
20,49.188,39867.099,39867.099,39150.792,10550.688,38816.256,334.536
21,52.056,15083.199,15083.199,19409.542,9682.187,19099.020,310.522
22,54.925,9491.966,9491.966,13766.191,8813.686,13482.042,284.149
23,57.795,8583.266,8583.266,11631.287,7945.185,11372.402,258.886
24,60.666,8357.632,8357.632,10136.123,7607.517,9879.167,256.956
25,63.537,8486.699,8486.699,8599.827,7269.849,8329.844,269.983
26,66.409,8829.532,8829.532,7471.996,6932.181,7165.470,306.526
27,69.282,9855.266,9855.266,6855.328,6594.513,6486.147,369.180
28,72.155,10617.032,10617.032,6531.958,6256.845,6070.745,461.213
29,75.030,12177.266,12177.266,6357.053,5919.177,5736.074,620.979
30,77.904,14239.065,14239.065,6457.135,5581.509,5437.379,1019.756
31,80.780,17582.599,17582.599,7371.065,5243.841,5227.942,2143.123
32,83.656,21729.532,21729.532,10035.806,4906.173,5252.451,4783.355
33,86.533,25118.366,25118.366,14934.713,4568.505,5704.801,9229.912
34,89.411,25411.032,25411.032,20615.444,4230.837,6662.076,13953.368
35,92.289,23124.499,23124.499,23877.245,3893.169,7925.207,15952.038
36,95.168,20213.166,20213.166,23599.290,4393.265,9955.897,13643.393
37,98.048,17956.832,17956.832,20466.903,4893.361,11769.735,8697.168
38,100.928,16811.666,16811.666,17893.247,5393.458,13751.996,4141.251
39,103.810,16187.733,16187.733,18728.040,5893.554,17242.937,1485.103
40,106.691,17192.466,17192.466,25469.457,6393.650,25055.819,413.638
41,109.574,20908.866,20908.866,41265.025,6893.747,41161.326,103.699
42,112.457,33180.999,33180.999,67800.573,7393.843,67761.613,38.960
43,115.341,61256.432,61256.432,100324.299,7893.939,100293.970,30.329
44,118.226,104552.532,104552.532,125967.024,8394.036,125935.683,31.340
45,121.111,147743.032,147743.032,131032.242,8894.132,130998.337,33.906
46,123.997,162536.232,162536.232,112422.446,9394.228,112385.536,36.910
47,126.884,135315.299,135315.299,80609.624,9894.325,80569.593,40.031
48,129.771,85240.499,85240.499,50458.040,10394.421,50415.035,43.005
49,132.659,45216.599,45216.599,30525.949,10894.517,30480.231,45.718
50,135.548,25130.866,25130.866,20848.257,11394.614,20800.031,48.225
51,138.437,16949.299,16949.299,17483.381,11894.710,17432.760,50.621
52,141.327,15415.332,15415.332,16303.552,11803.978,16252.446,51.106
53,144.218,15104.799,15104.799,16070.412,11713.246,16018.894,51.519
54,147.109,15814.432,15814.432,16152.862,11622.514,16101.009,51.853
55,150.001,16336.832,16336.832,16422.278,11531.782,16370.173,52.106
56,152.894,17755.866,17755.866,16870.426,11441.050,16818.156,52.271
57,155.787,17665.266,17665.266,17449.558,11350.318,17397.224,52.335
58,158.681,19166.932,19166.932,18023.505,11259.586,17971.226,52.279
