ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI
201,578.495,641.067,641.067,661.430,150.440,661.430,0.000
202,581.474,613.067,613.067,649.733,146.793,649.733,0.000
203,584.453,581.467,581.467,636.419,143.147,636.419,0.000
204,587.432,598.600,598.600,621.901,139.501,621.901,0.000
205,590.412,613.067,613.067,606.629,135.855,606.629,0.000
206,593.392,533.067,533.067,591.066,132.208,591.066,0.000
207,596.373,536.334,536.334,575.656,128.562,575.656,0.000
208,599.355,541.400,541.400,560.807,124.916,560.807,0.000
209,602.337,512.800,512.800,546.858,121.270,546.858,0.000
210,605.319,539.534,539.534,534.070,117.623,534.070,0.000
211,608.302,589.200,589.200,522.606,113.977,522.606,0.000
212,611.285,500.600,500.600,512.536,110.331,512.536,0.000
213,614.269,581.200,581.200,503.843,106.685,503.843,0.000
214,617.253,512.534,512.534,496.442,103.038,496.442,0.000
215,620.238,488.000,488.000,490.203,99.392,490.203,0.000
216,623.223,484.267,484.267,488.464,99.231,488.464,0.000
217,626.209,462.667,462.667,487.597,99.070,487.597,0.000
218,629.195,484.000,484.000,487.490,98.909,487.490,0.000
219,632.182,461.467,461.467,488.066,98.748,488.066,0.000
220,635.169,497.000,497.000,489.300,98.587,489.300,0.000
221,638.157,481.867,481.867,491.210,98.426,491.210,0.000
222,641.145,474.734,474.734,493.855,98.265,493.855,0.000
223,644.133,514.267,514.267,497.322,98.104,497.322,0.000
224,647.122,501.467,501.467,501.708,97.943,501.708,0.000
225,650.111,522.667,522.667,507.099,97.782,507.099,0.000
226,653.101,512.133,512.133,513.547,97.621,513.547,0.000
227,656.092,498.933,498.933,521.044,97.460,521.044,0.000
228,659.082,532.133,532.133,529.496,97.300,529.496,0.000
229,662.074,541.867,541.867,538.713,97.139,538.713,0.000
230,665.065,567.133,567.133,548.389,96.978,548.389,0.000
231,668.057,559.067,559.067,558.117,96.817,558.117,0.000
232,671.050,563.800,563.800,567.405,96.656,567.405,0.000
233,674.043,579.733,579.733,575.711,96.495,575.711,0.000
234,677.036,618.667,618.667,582.494,96.334,582.494,0.000
235,680.030,589.400,589.400,587.267,96.173,587.267,0.000
236,683.024,587.800,587.800,589.655,96.012,589.655,0.000
237,686.019,626.400,626.400,589.440,95.851,589.440,0.000
238,689.014,623.200,623.200,586.586,95.690,586.586,0.000
239,692.010,626.133,626.133,581.252,95.529,581.252,0.000
240,695.006,598.600,598.600,573.770,95.368,573.770,0.000
241,698.002,588.733,588.733,564.616,95.207,564.616,0.000
242,700.999,568.133,568.133,554.361,95.046,554.361,0.000
243,703.996,573.000,573.000,543.619,94.885,543.619,0.000
244,706.994,539.267,539.267,533.005,94.724,533.005,0.000
245,709.992,571.267,571.267,523.100,94.563,523.100,0.000
246,712.991,536.000,536.000,514.447,94.402,514.447,0.000
247,715.990,550.267,550.267,507.548,94.241,507.548,0.000
248,718.989,515.800,515.800,502.899,94.080,502.899,0.000
249,721.989,557.333,557.333,501.023,93.919,501.023,0.000
250,724.989,499.067,499.067,502.505,93.758,502.505,0.000
251,727.990,531.400,531.400,508.033,93.597,508.033,0.000
252,730.991,513.267,513.267,518.406,93.436,518.406,0.000
253,733.992,570.267,570.267,534.523,93.275,534.523,0.000
254,736.994,627.333,627.333,557.337,93.114,557.337,0.000
255,739.996,590.800,590.800,587.768,92.953,587.768,0.000
256,742.999,622.133,622.133,626.578,92.792,626.578,0.000
257,746.002,648.267,648.267,674.226,92.631,674.226,0.000
258,749.005,672.400,672.400,730.698,92.470,730.698,0.000
259,752.009,749.800,749.800,795.357,92.309,795.357,0.000
260,755.013,870.400,870.400,866.822,92.148,866.822,0.000
261,758.018,952.667,952.667,942.917,91.987,942.917,0.000
262,761.023,981.733,981.733,1020.705,91.826,1020.705,0.000
263,764.028,1082.400,1082.400,1096.621,91.665,1096.621,0.000
264,767.034,1164.400,1164.400,1166.708,91.504,1166.708,0.000
265,770.040,1117.000,1117.000,1226.941,91.343,1226.941,0.000
266,773.047,1313.533,1313.533,1273.584,91.182,1273.584,0.000
267,776.053,1309.067,1309.067,1303.571,91.021,1303.571,0.000
268,779.061,1398.533,1398.533,1314.821,90.860,1314.821,0.000
269,782.068,1329.200,1329.200,1306.465,90.699,1306.465,0.000
270,785.076,1392.400,1392.400,1278.111,89.701,1278.111,0.000
271,788.085,1267.667,1267.667,1232.301,88.703,1232.301,0.000
272,791.094,1214.867,1214.867,1171.823,87.705,1171.823,0.000
273,794.103,1172.400,1172.400,1100.250,86.707,1100.250,0.000
274,797.112,1097.400,1097.400,1021.585,85.708,1021.585,0.000
275,800.122,996.200,996.200,939.891,84.710,939.891,0.000
276,803.132,862.533,862.533,858.950,83.712,858.950,0.000
277,806.143,773.600,773.600,782.004,82.714,782.004,0.000
278,809.154,718.400,718.400,711.586,81.716,711.586,0.000
279,812.165,660.533,660.533,649.459,80.717,649.459,0.000
280,815.177,559.333,559.333,596.637,79.719,596.637,0.000
281,818.189,522.200,522.200,553.487,78.721,553.487,0.000
282,821.201,519.867,519.867,519.862,77.723,519.862,0.000
283,824.214,455.800,455.800,495.251,76.725,495.251,0.000
284,827.227,456.533,456.533,478.918,75.727,478.918,0.000
285,830.240,507.867,507.867,470.006,74.728,470.006,0.000
286,833.254,459.267,459.267,467.612,73.730,467.612,0.000
287,836.268,465.600,465.600,470.823,72.732,470.823,0.000
288,839.282,502.067,502.067,478.716,71.734,478.716,0.000
289,842.297,484.733,484.733,490.351,70.736,490.351,0.000
290,845.312,518.067,518.067,504.749,69.737,504.749,0.000
291,848.328,536.733,536.733,520.874,68.739,520.874,0.000
292,851.343,553.133,553.133,537.641,67.741,537.641,0.000
293,854.360,562.467,562.467,553.927,66.743,553.927,0.000
294,857.376,553.533,553.533,568.613,65.745,568.613,0.000
295,860.393,588.733,588.733,580.642,64.746,580.642,0.000
296,863.410,552.400,552.400,589.082,63.748,589.082,0.000
297,866.427,532.667,532.667,593.192,62.750,593.192,0.000
298,869.445,551.933,551.933,592.481,61.752,592.481,0.000
299,872.463,518.600,518.600,586.749,60.754,586.749,0.000
300,875.481,522.400,522.400,576.102,59.755,576.102,0.000
301,878.500,503.533,503.533,560.943,58.757,560.943,0.000
302,881.519,503.200,503.200,541.939,57.759,541.939,0.000
303,884.538,459.867,459.867,519.965,56.761,519.965,0.000
304,887.558,441.467,441.467,496.040,55.763,496.040,0.000
305,890.578,387.133,387.133,471.252,54.764,471.252,0.000
306,893.598,424.067,424.067,446.699,53.766,446.699,0.000
307,896.619,363.400,363.400,423.426,52.768,423.426,0.000
308,899.640,395.200,395.200,402.394,51.770,402.394,0.000
309,902.661,337.733,337.733,384.462,50.772,384.462,0.000
310,905.682,321.800,321.800,370.377,49.773,370.377,0.000
311,908.704,361.467,361.467,360.788,48.775,360.788,0.000
312,911.726,335.400,335.400,356.256,47.777,356.256,0.000
313,914.748,362.133,362.133,357.270,46.779,357.270,0.000
314,917.771,389.067,389.067,364.242,45.781,364.242,0.000
315,920.794,393.600,393.600,377.504,44.782,377.504,0.000
316,923.817,401.933,401.933,397.275,43.784,397.275,0.000
317,926.841,428.467,428.467,423.624,42.786,423.624,0.000
318,929.865,489.933,489.933,456.415,41.788,456.415,0.000
319,932.889,544.400,544.400,495.252,40.790,495.252,0.000
320,935.913,562.400,562.400,539.428,39.791,539.428,0.000
321,938.938,611.467,611.467,587.893,38.793,587.893,0.000
322,941.963,731.000,731.000,639.240,37.795,639.240,0.000
323,944.988,751.133,751.133,691.738,36.797,691.738,0.000
324,948.013,732.933,732.933,743.385,35.799,743.385,0.000
325,951.039,842.667,842.667,792.009,34.800,792.009,0.000
326,954.065,864.067,864.067,835.399,33.802,835.399,0.000
327,957.091,925.267,925.267,871.447,32.804,871.447,0.000
328,960.118,955.133,955.133,898.306,31.806,898.306,0.000
329,963.145,957.600,957.600,914.529,30.808,914.529,0.000
330,966.172,952.867,952.867,919.186,29.809,919.186,0.000
331,969.199,964.400,964.400,911.940,28.811,911.940,0.000
332,972.227,904.467,904.467,893.068,27.813,893.068,0.000
333,975.255,908.400,908.400,864.117,27.494,864.117,0.000
334,978.283,805.933,805.933,825.792,27.174,825.792,0.000
335,981.311,776.200,776.200,779.873,26.855,779.873,0.000
336,984.340,756.200,756.200,728.392,26.535,728.392,0.000
337,987.369,620.733,620.733,673.485,26.216,673.485,0.000
338,990.398,592.600,592.600,617.237,25.896,617.237,0.000
339,993.427,518.400,518.400,561.558,25.577,561.558,0.000
340,996.457,511.867,511.867,508.085,25.258,508.085,0.000
341,999.487,438.533,438.533,458.117,24.938,458.117,0.000
342,1002.517,440.333,440.333,412.596,24.619,412.596,0.000
343,1005.547,289.267,289.267,372.119,24.299,372.119,0.000
344,1008.578,305.600,305.600,336.973,23.980,336.973,0.000
345,1011.609,309.067,309.067,307.203,23.660,307.203,0.000
346,1014.640,253.667,253.667,282.677,23.341,282.677,0.000
347,1017.671,241.933,241.933,263.160,23.021,263.160,0.000
348,1020.703,260.067,260.067,248.381,22.702,248.381,0.000
349,1023.735,196.267,196.267,238.091,22.382,238.091,0.000
350,1026.767,253.600,253.600,232.101,22.063,232.101,0.000
351,1029.799,239.800,239.800,230.310,21.744,230.310,0.000
352,1032.831,249.867,249.867,232.715,21.424,232.715,0.000
353,1035.864,257.667,257.667,239.405,21.105,239.405,0.000
354,1038.897,274.400,274.400,250.547,20.785,250.547,0.000
355,1041.930,257.267,257.267,266.353,20.466,266.353,0.000
356,1044.963,287.733,287.733,287.052,20.146,287.052,0.000
357,1047.997,311.133,311.133,312.844,19.827,312.844,0.000
358,1051.031,380.933,380.933,343.862,19.507,343.862,0.000
359,1054.065,407.467,407.467,380.132,19.188,380.132,0.000
360,1057.099,444.400,444.400,421.530,18.869,421.530,0.000
361,1060.133,496.733,496.733,467.760,18.549,467.760,0.000
362,1063.168,586.867,586.867,518.327,18.230,518.327,0.000
363,1066.203,608.867,608.867,572.530,17.910,572.530,0.000
364,1069.238,632.400,632.400,629.465,17.591,629.465,0.000
365,1072.273,792.867,792.867,688.040,17.271,688.040,0.000
366,1075.308,794.133,794.133,747.003,16.952,747.003,0.000
367,1078.344,894.267,894.267,804.987,16.632,804.987,0.000
368,1081.380,868.533,868.533,860.553,16.313,860.553,0.000
369,1084.416,947.133,947.133,912.250,15.994,912.250,0.000
370,1087.452,970.667,970.667,958.671,15.674,958.671,0.000
371,1090.488,1031.133,1031.133,998.512,15.355,998.512,0.000
372,1093.525,1077.933,1077.933,1030.626,15.035,1030.626,0.000
373,1096.562,1040.933,1040.933,1054.069,14.716,1054.069,0.000
374,1099.598,1119.600,1119.600,1068.142,14.396,1068.142,0.000
375,1102.636,1126.933,1126.933,1072.417,14.077,1072.417,0.000
376,1105.673,1154.933,1154.933,1066.755,13.757,1066.755,0.000
377,1108.710,1036.067,1036.067,1051.310,13.438,1051.310,0.000
378,1111.748,1090.400,1090.400,1026.523,13.119,1026.523,0.000
379,1114.786,1014.000,1014.000,993.104,12.799,993.104,0.000
