ch,keV,net,fit,model,continuum_raw,Am-241
0,-11.924,0.000,0.000,0.000,0.000,0.000
1,-9.086,0.000,0.000,0.165,0.165,0.165
2,-6.246,0.000,0.000,0.331,0.331,0.331
3,-3.406,0.000,0.000,0.496,0.496,0.496
4,-0.565,0.000,0.000,0.685,0.662,0.685
5,2.277,3.444,3.444,2.951,0.827,2.951
6,5.120,48.733,48.733,20.007,0.993,20.007
7,7.963,251.456,251.456,72.608,1.158,72.608
8,10.808,586.800,586.800,226.559,43.578,226.559
9,13.653,1351.011,1351.011,862.544,85.998,862.544
10,16.499,2050.167,2050.167,2356.089,128.418,2356.089
11,19.346,3103.478,3103.478,3321.103,170.838,3321.103
12,22.194,2758.467,2758.467,3286.936,213.257,3286.936
13,25.042,2022.311,2022.311,2089.435,255.677,2089.435
14,27.892,808.667,808.667,896.766,298.097,896.766
15,30.742,263.733,263.733,368.122,261.605,368.122
16,33.593,339.989,339.989,279.572,225.113,279.572
17,36.445,497.300,497.300,299.668,188.621,299.668
18,39.298,921.589,921.589,373.508,152.128,373.508
19,42.152,1534.300,1534.300,642.145,115.636,642.145
20,45.006,3026.644,3026.644,1839.909,79.144,1839.909
21,47.861,6513.289,6513.289,5862.124,42.652,5862.124
22,50.718,12869.744,12869.744,13595.622,6.159,13595.622
23,53.575,19372.644,19372.644,20170.198,5.646,20170.198
24,56.432,19854.844,19854.844,18679.371,5.133,18679.371
25,59.291,12710.366,12710.366,10802.260,4.620,10802.260
26,62.150,3982.155,3982.155,3885.722,4.106,3885.722
27,65.010,579.244,579.244,859.188,3.593,859.188
28,67.871,15.244,15.244,116.551,3.080,116.551
29,70.733,0.000,-11.189,11.464,2.566,11.464
30,73.596,0.000,-29.822,2.460,2.053,2.460
31,76.459,0.000,-32.767,1.551,1.540,1.551
32,79.324,0.000,-18.245,1.027,1.027,1.027
33,82.189,0.000,-24.734,0.513,0.513,0.513
34,85.055,0.000,-23.378,0.000,0.000,0.000
35,87.921,0.000,-26.889,0.000,0.000,0.000
36,90.789,0.000,-13.067,0.000,0.000,0.000
37,93.657,2.733,2.733,0.000,0.000,0.000
38,96.526,10.778,10.778,0.000,0.000,0.000
39,99.396,20.722,20.722,0.000,0.000,0.000
40,102.266,0.000,-4.522,0.000,0.000,0.000
41,105.138,0.000,-35.789,0.000,0.000,0.000
42,108.010,0.000,-11.011,0.000,0.000,0.000
43,110.883,0.000,-3.089,0.000,0.000,0.000
44,113.757,18.344,18.344,0.000,0.000,0.000
45,116.631,0.000,-4.389,0.000,0.000,0.000
46,119.507,6.478,6.478,0.000,0.000,0.000
47,122.383,0.000,-17.122,0.000,0.000,0.000
48,125.260,3.622,3.622,0.000,0.000,0.000
49,128.137,0.000,-11.156,0.000,0.000,0.000
50,131.016,0.000,-5.478,0.000,0.000,0.000
51,133.895,0.000,-9.289,0.000,0.000,0.000
52,136.775,0.000,-18.067,0.000,0.000,0.000
53,139.656,0.000,-35.589,0.000,0.000,0.000
54,142.537,0.000,-5.911,0.000,0.000,0.000
55,145.419,0.000,-4.567,0.000,0.000,0.000
56,148.303,0.000,-24.589,0.000,0.000,0.000
57,151.186,0.000,-5.367,0.000,0.000,0.000
58,154.071,0.000,-29.745,0.000,0.000,0.000
59,156.956,0.000,-10.189,0.000,0.000,0.000
60,159.842,2.122,2.122,0.000,0.000,0.000
61,162.729,1.278,1.278,0.000,0.000,0.000
62,165.617,0.000,-9.167,0.000,0.000,0.000
63,168.505,0.000,-20.867,0.000,0.000,0.000
64,171.394,13.900,13.900,0.000,0.000,0.000
65,174.284,0.000,-23.111,0.000,0.000,0.000
66,177.174,0.000,-19.300,0.000,0.000,0.000
67,180.066,11.911,11.911,0.000,0.000,0.000
68,182.958,0.000,-11.756,0.000,0.000,0.000
69,185.850,0.000,-5.956,0.000,0.000,0.000
70,188.744,27.855,27.855,0.000,0.000,0.000
71,191.638,0.000,-1.156,0.000,0.000,0.000
72,194.533,0.000,-19.167,0.000,0.000,0.000
73,197.429,0.000,-35.333,0.000,0.000,0.000
74,200.325,0.000,-12.022,0.000,0.000,0.000
75,203.222,0.000,-21.645,0.000,0.000,0.000
76,206.120,0.000,-6.922,0.000,0.000,0.000
77,209.019,0.000,-23.422,0.000,0.000,0.000
78,211.918,0.000,-11.689,0.000,0.000,0.000
79,214.818,0.000,-14.967,0.000,0.000,0.000
80,217.719,0.000,-0.622,0.000,0.000,0.000
81,220.621,0.000,-22.911,0.000,0.000,0.000
82,223.523,0.733,0.733,0.000,0.000,0.000
83,226.426,0.000,-20.133,0.000,0.000,0.000
84,229.329,0.000,-4.745,0.000,0.000,0.000
85,232.234,0.000,-7.567,0.000,0.000,0.000
86,235.139,0.000,-1.067,0.000,0.000,0.000
87,238.044,0.000,-14.411,0.000,0.000,0.000
88,240.951,0.000,-18.456,0.000,0.000,0.000
89,243.858,0.000,-1.811,0.000,0.000,0.000
90,246.766,0.467,0.467,0.000,0.000,0.000
91,249.674,0.000,-2.578,0.000,0.000,0.000
92,252.584,0.000,-9.000,0.000,0.000,0.000
93,255.494,0.000,-8.467,0.000,0.000,0.000
94,258.404,0.000,-5.722,0.000,0.000,0.000
95,261.316,0.000,-16.945,0.000,0.000,0.000
96,264.228,3.289,3.289,0.000,0.000,0.000
97,267.140,3.944,3.944,0.000,0.000,0.000
98,270.054,0.000,-10.478,0.000,0.000,0.000
99,272.968,0.000,-12.422,0.000,0.000,0.000
100,275.883,0.000,-5.856,0.000,0.000,0.000
101,278.798,0.000,-4.845,0.000,0.000,0.000
102,281.714,4.922,4.922,0.000,0.000,0.000
103,284.631,0.000,-24.567,0.000,0.000,0.000
104,287.548,0.000,-0.178,0.000,0.000,0.000
105,290.466,0.000,-2.000,0.000,0.000,0.000
106,293.385,1.867,1.867,0.000,0.000,0.000
107,296.305,0.000,-14.256,0.000,0.000,0.000
108,299.225,6.567,6.567,0.000,0.000,0.000
109,302.146,0.000,-0.556,0.000,0.000,0.000
110,305.067,2.300,2.300,0.000,0.000,0.000
111,307.989,2.744,2.744,0.000,0.000,0.000
112,310.912,6.311,6.311,0.000,0.000,0.000
113,313.835,0.000,-11.433,0.000,0.000,0.000
114,316.760,0.000,-2.478,0.000,0.000,0.000
115,319.684,0.000,-4.156,0.000,0.000,0.000
116,322.610,0.000,-8.489,0.000,0.000,0.000
117,325.536,2.244,2.244,0.000,0.000,0.000
118,328.463,3.322,3.322,0.000,0.000,0.000
119,331.390,0.000,-7.322,0.000,0.000,0.000
120,334.318,0.000,-9.533,0.000,0.000,0.000
121,337.247,0.000,-4.789,0.000,0.000,0.000
122,340.176,4.389,4.389,0.000,0.000,0.000
123,343.106,8.800,8.800,0.000,0.000,0.000
124,346.036,5.533,5.533,0.000,0.000,0.000
125,348.968,0.000,-15.233,0.000,0.000,0.000
126,351.899,0.000,-0.856,0.000,0.000,0.000
127,354.832,0.000,-2.444,0.000,0.000,0.000
128,357.765,0.000,-13.533,0.000,0.000,0.000
129,360.699,5.667,5.667,0.000,0.000,0.000
130,363.633,0.000,-3.878,0.000,0.000,0.000
131,366.568,0.000,-10.522,0.000,0.000,0.000
132,369.504,4.989,4.989,0.000,0.000,0.000
133,372.440,0.000,-0.044,0.000,0.000,0.000
134,375.377,0.000,-3.522,0.000,0.000,0.000
135,378.314,0.000,-0.378,0.000,0.000,0.000
136,381.252,0.000,-2.111,0.000,0.000,0.000
137,384.191,8.067,8.067,0.000,0.000,0.000
138,387.130,0.000,-13.000,0.000,0.000,0.000
139,390.070,0.000,-2.667,0.000,0.000,0.000
140,393.011,0.000,-4.844,0.000,0.000,0.000
141,395.952,0.000,-4.278,0.000,0.000,0.000
142,398.894,0.000,-3.900,0.000,0.000,0.000
143,401.836,0.000,-3.133,0.000,0.000,0.000
144,404.779,0.000,-1.033,0.000,0.000,0.000
145,407.722,0.000,-0.344,0.000,0.000,0.000
146,410.667,12.411,12.411,0.000,0.000,0.000
147,413.611,0.000,-6.278,0.000,0.000,0.000
148,416.557,0.000,-11.111,0.000,0.000,0.000
149,419.503,0.000,-6.022,0.000,0.000,0.000
150,422.449,0.000,-2.156,0.000,0.000,0.000
151,425.396,0.000,-1.256,0.000,0.000,0.000
152,428.344,0.000,-8.911,0.000,0.000,0.000
153,431.292,0.000,-7.533,0.000,0.000,0.000
154,434.241,0.000,-1.978,0.000,0.000,0.000
155,437.191,0.189,0.189,0.000,0.000,0.000
156,440.141,0.000,-1.056,0.000,0.000,0.000
157,443.091,1.389,1.389,0.000,0.000,0.000
158,446.042,0.000,-10.244,0.000,0.000,0.000
159,448.994,0.000,-13.067,0.000,0.000,0.000
160,451.947,0.000,-1.922,0.000,0.000,0.000
161,454.899,0.000,-4.156,0.000,0.000,0.000
162,457.853,1.267,1.267,0.000,0.000,0.000
163,460.807,4.689,4.689,0.000,0.000,0.000
164,463.762,0.000,-9.922,0.000,0.000,0.000
165,466.717,0.000,-10.356,0.000,0.000,0.000
166,469.672,0.000,-1.733,0.000,0.000,0.000
167,472.629,0.000,-4.478,0.000,0.000,0.000
168,475.586,2.800,2.800,0.000,0.000,0.000
169,478.543,0.000,-4.544,0.000,0.000,0.000
170,481.501,0.589,0.589,0.000,0.000,0.000
171,484.459,0.000,-8.856,0.000,0.000,0.000
172,487.419,0.000,-0.133,0.000,0.000,0.000
173,490.378,0.000,-1.644,0.000,0.000,0.000
174,493.338,0.000,-2.778,0.000,0.000,0.000
175,496.299,0.000,-10.189,0.000,0.000,0.000
176,499.260,0.000,-9.689,0.000,0.000,0.000
177,502.222,0.000,-9.456,0.000,0.000,0.000
178,505.184,1.233,1.233,0.000,0.000,0.000
179,508.147,0.000,-6.078,0.000,0.000,0.000
180,511.111,0.000,-6.400,0.000,0.000,0.000
181,514.075,0.000,-3.900,0.000,0.000,0.000
182,517.039,0.000,-2.311,0.000,0.000,0.000
183,520.004,0.000,-1.500,0.000,0.000,0.000
184,522.970,0.000,-9.911,0.000,0.000,0.000
185,525.936,0.000,-2.789,0.000,0.000,0.000
186,528.902,0.000,-3.656,0.000,0.000,0.000
187,531.869,0.000,-4.367,0.000,0.000,0.000
188,534.837,0.000,-1.078,0.000,0.000,0.000
189,537.805,0.000,-3.278,0.000,0.000,0.000
190,540.774,0.000,-3.811,0.000,0.000,0.000
191,543.743,0.000,-6.456,0.000,0.000,0.000
192,546.713,3.856,3.856,0.000,0.000,0.000
193,549.683,1.000,1.000,0.000,0.000,0.000
194,552.654,0.011,0.011,0.000,0.000,0.000
195,555.625,0.289,0.289,0.000,0.000,0.000
196,558.597,1.356,1.356,0.000,0.000,0.000
197,561.569,0.000,-5.200,0.000,0.000,0.000
198,564.542,0.000,-4.189,0.000,0.000,0.000
199,567.515,0.000,-7.889,0.000,0.000,0.000
200,570.489,2.578,2.578,0.000,0.000,0.000
201,573.463,4.178,4.178,0.000,0.000,0.000
202,576.438,0.000,-5.822,0.000,0.000,0.000
203,579.413,0.000,-5.756,0.000,0.000,0.000
204,582.389,0.000,-8.400,0.000,0.000,0.000
205,585.365,0.000,-8.156,0.000,0.000,0.000
206,588.342,0.000,-3.322,0.000,0.000,0.000
207,591.319,0.000,-4.278,0.000,0.000,0.000
208,594.297,0.000,-8.100,0.000,0.000,0.000
209,597.275,0.000,-5.533,0.000,0.000,0.000
210,600.254,0.000,-15.078,0.000,0.000,0.000
211,603.233,0.000,-1.133,0.000,0.000,0.000
212,606.212,0.000,-8.233,0.000,0.000,0.000
213,609.192,0.000,-6.467,0.000,0.000,0.000
214,612.173,0.000,-0.744,0.000,0.000,0.000
215,615.154,5.000,5.000,0.000,0.000,0.000
216,618.135,0.000,-1.956,0.000,0.000,0.000
217,621.117,0.000,-2.389,0.000,0.000,0.000
218,624.100,2.667,2.667,0.000,0.000,0.000
219,627.083,0.000,-0.089,0.000,0.000,0.000
220,630.066,0.000,-1.000,0.000,0.000,0.000
221,633.050,0.311,0.311,0.000,0.000,0.000
222,636.034,0.000,-8.544,0.000,0.000,0.000
223,639.019,0.044,0.044,0.000,0.000,0.000
224,642.004,7.411,7.411,0.000,0.000,0.000
225,644.990,5.611,5.611,0.000,0.000,0.000
226,647.976,2.356,2.356,0.000,0.000,0.000
227,650.963,0.322,0.322,0.000,0.000,0.000
228,653.950,2.356,2.356,0.000,0.000,0.000
229,656.937,3.311,3.311,0.000,0.000,0.000
230,659.925,0.000,-2.644,0.000,0.000,0.000
231,662.914,1.511,1.511,0.000,0.000,0.000
232,665.902,1.967,1.967,0.000,0.000,0.000
233,668.892,0.000,-4.378,0.000,0.000,0.000
234,671.881,3.944,3.944,0.000,0.000,0.000
235,674.871,0.000,-0.267,0.000,0.000,0.000
236,677.862,0.000,-0.200,0.000,0.000,0.000
237,680.853,0.000,-1.600,0.000,0.000,0.000
238,683.844,1.033,1.033,0.000,0.000,0.000
239,686.836,0.000,-1.644,0.000,0.000,0.000
240,689.828,0.000,-2.567,0.000,0.000,0.000
241,692.821,0.000,-7.044,0.000,0.000,0.000
242,695.814,0.689,0.689,0.000,0.000,0.000
243,698.808,1.333,1.333,0.000,0.000,0.000
244,701.802,0.000,-0.956,0.000,0.000,0.000
245,704.796,0.211,0.211,0.000,0.000,0.000
246,707.791,0.000,-3.500,0.000,0.000,0.000
247,710.786,0.000,-3.122,0.000,0.000,0.000
248,713.782,0.000,-4.367,0.000,0.000,0.000
249,716.778,0.722,0.722,0.000,0.000,0.000
250,719.774,3.344,3.344,0.000,0.000,0.000
251,722.771,1.233,1.233,0.000,0.000,0.000
