ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
0,6.945,0.000,0.000,0.000,0.000,0.000,0.000
1,9.715,0.000,0.000,0.173,0.173,0.044,0.129
2,12.486,0.000,0.000,0.345,0.345,0.088,0.258
3,15.258,0.000,0.000,0.518,0.518,0.131,0.386
4,18.030,0.000,0.000,0.690,0.690,0.175,0.515
5,20.803,25.567,25.567,0.863,0.863,0.219,0.644
6,23.577,348.033,348.033,1.035,1.035,0.263,0.773
7,26.352,1750.478,1750.478,1.208,1.208,0.306,0.902
8,29.127,4316.511,4316.511,2116.707,2116.707,536.728,1579.979
9,31.903,7900.978,7900.978,4232.206,4232.206,1073.151,3159.056
10,34.680,11205.122,11205.122,6347.705,6347.705,1609.573,4738.132
11,37.458,12782.311,12782.311,8463.204,8463.204,2145.995,6317.209
12,40.236,13705.011,13705.011,10578.703,10578.703,2682.417,7896.286
13,43.015,13632.411,13632.411,12694.202,12694.202,3218.839,9475.363
14,45.795,14096.911,14096.911,14809.701,14809.701,3755.261,11054.440
15,48.575,14045.778,14045.778,14943.300,14943.300,3789.137,11154.163
16,51.356,14290.156,14290.156,15076.899,15076.899,3823.014,11253.885
17,54.138,14339.567,14339.567,15210.498,15210.498,3856.890,11353.608
18,56.920,14203.856,14203.856,15344.097,15344.097,3890.767,11453.330
19,59.703,14203.745,14203.745,15477.696,15477.696,3924.643,11553.053
20,62.487,14524.367,14524.367,15611.295,15611.295,3958.519,11652.775
21,65.272,14515.733,14515.733,15744.894,15744.894,3992.396,11752.498
22,68.057,14425.322,14425.322,15878.493,15878.493,4026.272,11852.221
23,70.843,14624.089,14624.089,16012.092,16012.092,4060.148,11951.943
24,73.630,14597.878,14597.878,16145.691,16145.691,4094.025,12051.666
25,76.417,14855.900,14855.900,15445.223,15445.216,3916.408,11528.815
26,79.205,14837.511,14837.511,14744.811,14744.742,3738.798,11006.013
27,81.994,15119.756,15119.756,14044.843,14044.268,3561.243,10483.600
28,84.784,15611.345,15611.345,13347.622,13343.793,3384.027,9963.595
29,87.574,15500.756,15500.756,12663.676,12643.319,3208.462,9455.214
30,90.364,15556.356,15556.356,12029.665,11942.844,3039.139,8990.526
31,93.156,15499.867,15499.867,11540.895,11242.370,2888.098,8652.797
32,95.948,15907.845,15907.845,11374.712,10541.896,2778.017,8596.694
33,98.741,15815.122,15815.122,11742.247,9841.421,2736.502,9005.746
34,101.535,15986.678,15986.678,12730.948,9140.947,2776.245,9954.703
35,104.329,15945.500,15945.500,14140.662,8440.473,2873.424,11267.238
36,107.124,16040.389,16040.389,15517.659,7739.998,2970.495,12547.164
37,109.919,16312.278,16312.278,16425.807,7039.524,3010.089,13415.719
38,112.716,16656.889,16656.889,16706.250,6339.049,2969.652,13736.598
39,115.512,16872.578,16872.578,16484.920,5638.575,2864.793,13620.127
40,118.310,17568.156,17568.156,17277.257,6227.566,3055.305,14221.952
41,121.108,17617.956,17617.956,17960.741,6816.557,3235.942,14724.800
42,123.907,18483.667,18483.667,18605.496,7405.548,3415.115,15190.381
43,126.707,18593.145,18593.145,19221.200,7994.539,3591.230,15629.970
44,129.507,19075.511,19075.511,19804.052,8583.530,3760.387,16043.665
45,132.308,19234.345,19234.345,20364.914,9172.520,3921.678,16443.236
46,135.110,19754.078,19754.078,20930.611,9761.511,4078.009,16852.602
47,137.912,20059.100,20059.100,21525.185,10350.502,4233.219,17291.967
48,140.715,20233.167,20233.167,22150.882,10939.493,4388.483,17762.398
49,143.518,20252.534,20252.534,22787.547,11528.484,4541.423,18246.124
