ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
0,-7.971,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.137,0.000,0.000,0.002,0.002,0.000,0.001
2,-2.302,0.000,0.000,0.124,0.124,0.035,0.089
3,0.534,0.000,0.000,1.054,1.054,0.296,0.758
4,3.370,0.000,0.000,1.275,1.275,0.358,0.917
5,6.208,13.333,13.333,1.794,1.794,0.503,1.291
6,9.046,62.199,62.199,1.186,1.186,0.333,0.853
7,11.885,375.363,375.363,1.528,1.528,0.429,1.100
8,14.726,1060.392,1060.392,578.127,578.127,162.187,415.940
9,17.566,1951.020,1951.020,1154.544,1154.544,323.894,830.650
10,20.408,2903.481,2903.481,1731.038,1731.038,485.623,1245.415
11,23.251,3473.411,3473.411,2307.490,2307.490,647.340,1660.150
12,26.094,3664.375,3664.375,2883.900,2883.900,809.045,2074.855
13,28.939,3678.907,3678.907,3460.377,3460.377,970.769,2489.608
14,31.784,3840.973,3840.973,4036.938,4036.938,1132.516,2904.422
15,34.630,3726.171,3726.171,4057.640,4057.640,1138.324,2919.316
16,37.476,3795.936,3795.936,4078.347,4078.347,1144.133,2934.214
17,40.324,3883.867,3883.867,4099.193,4099.193,1149.981,2949.211
18,43.173,3902.730,3902.730,4119.950,4119.950,1155.804,2964.145
19,46.022,3938.859,3938.859,4140.534,4140.534,1161.579,2978.955
20,48.872,4032.889,4032.889,4161.054,4161.054,1167.336,2993.718
21,51.723,3982.816,3982.816,4181.643,4181.643,1173.112,3008.531
22,54.575,3933.178,3933.178,4202.343,4202.343,1178.919,3023.424
23,57.427,4026.871,4026.871,4223.117,4223.117,1184.747,3038.370
24,60.281,4232.463,4232.463,4149.550,4149.550,1164.108,2985.442
25,63.135,4158.022,4158.022,4075.942,4075.942,1143.458,2932.483
26,65.990,4174.380,4174.380,4002.241,4002.240,1122.782,2879.458
27,68.846,4341.640,4341.640,3928.566,3928.552,1102.113,2826.454
28,71.702,4462.629,4462.629,3855.112,3854.956,1081.492,2773.620
29,74.560,4679.322,4679.322,3782.650,3781.380,1061.052,2721.599
30,77.418,4473.419,4473.419,3715.500,3707.728,1041.536,2673.965
31,80.277,4512.585,4512.585,3670.125,3633.984,1025.723,2644.402
32,83.137,4596.152,4596.152,3688.988,3560.166,1020.462,2668.525
33,85.998,4636.685,4636.685,3841.940,3486.260,1036.185,2805.754
34,88.859,4841.751,4841.751,4183.512,3412.244,1079.286,3104.226
35,91.721,4847.219,4847.219,4677.216,3338.159,1140.743,3536.473
36,94.584,4662.687,4662.687,5258.217,3344.560,1218.537,4039.680
37,97.448,4891.089,4891.089,5689.840,3351.066,1267.395,4422.445
38,100.313,4962.225,4962.225,5918.180,3357.691,1283.408,4634.773
39,103.178,5005.058,5005.058,5992.607,3364.399,1278.883,4713.724
40,106.045,5339.328,5339.328,5989.310,3371.144,1268.355,4720.955
41,108.912,5333.527,5333.527,5963.990,3377.903,1260.684,4703.306
42,111.779,5573.861,5573.861,5948.428,3384.665,1259.230,4689.198
43,114.648,5657.628,5657.628,5952.939,3391.427,1263.700,4689.238
44,117.517,5644.931,5644.931,5969.302,3398.189,1272.025,4697.277
45,120.388,5681.733,5681.733,5983.956,3404.951,1282.913,4701.043
46,123.259,5922.334,5922.334,5991.278,3411.713,1297.425,4693.854
47,126.130,6100.534,6100.534,5993.326,3418.475,1317.683,4675.643
48,129.003,6039.770,6039.770,5992.295,3425.238,1343.693,4648.602
49,131.876,6088.440,6088.440,5988.514,3432.000,1371.334,4617.180
50,134.750,6350.472,6350.472,5984.771,3438.762,1393.881,4590.890
51,137.625,6375.043,6375.043,5990.497,3445.524,1406.501,4583.996
52,140.500,6474.710,6474.710,6115.968,3548.255,1437.680,4678.288
53,143.377,6471.145,6471.145,6274.629,3650.985,1465.792,4808.837
54,146.254,6441.181,6441.181,6459.954,3753.716,1496.841,4963.113
55,149.132,6498.217,6498.217,6649.307,3856.447,1532.177,5117.129
56,152.010,6599.151,6599.151,6817.765,3959.177,1568.367,5249.398
57,154.890,6599.820,6599.820,6954.337,4061.908,1601.356,5352.981
58,157.770,6804.688,6804.688,7066.648,4164.639,1630.585,5436.063
59,160.651,7062.357,7062.357,7171.780,4267.369,1659.395,5512.385
60,163.532,7094.293,7094.293,7282.458,4370.100,1692.057,5590.401
61,166.415,7578.762,7578.762,7399.327,4472.830,1730.468,5668.859
62,169.298,8003.429,8003.429,7513.662,4575.561,1773.031,5740.631
63,172.182,8302.331,8302.331,7616.806,4678.292,1815.910,5800.896
64,175.067,8564.632,8564.632,7707.974,4781.022,1855.111,5852.862
65,177.952,8755.599,8755.599,7794.230,4883.753,1887.877,5906.353
66,180.838,8547.034,8547.034,7884.150,4986.484,1913.147,5971.003
67,183.725,8851.667,8851.667,7982.157,5089.214,1931.716,6050.441
68,186.613,8887.668,8887.668,8088.144,5191.945,1946.291,6141.853
69,189.501,8631.072,8631.072,8200.501,5294.675,1960.967,6239.534
