ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
120,335.683,46537.184,46537.184,43204.307,6505.942,43204.307,0.000
121,338.601,59261.609,59261.609,54095.676,6316.896,54095.676,0.000
122,341.520,75363.445,75363.445,66614.662,6127.849,66614.662,0.000
123,344.440,90583.290,90583.290,79746.858,5938.803,79746.858,0.000
124,347.361,104226.075,104226.075,92181.275,5749.757,92181.275,0.000
125,350.283,118002.062,118002.062,102488.556,5560.710,102488.556,0.000
126,353.205,123974.638,123974.638,109377.284,5371.664,109377.284,0.000
127,356.128,129713.953,129713.953,111962.484,5182.617,111962.484,0.000
128,359.053,125543.200,125543.200,109965.023,4993.571,109965.023,0.000
129,361.978,119449.036,119449.036,103775.635,4804.525,103775.635,0.000
130,364.904,109125.237,109125.237,94359.064,4615.478,94359.064,0.000
131,367.831,95732.027,95732.027,83026.350,4426.432,83026.350,0.000
132,370.759,80476.064,80476.064,71145.084,4237.385,71145.084,0.000
133,373.687,66087.073,66087.073,59872.435,4048.339,59872.435,0.000
134,376.617,55168.471,55168.471,49979.780,3859.293,49979.780,0.000
135,379.547,43129.992,43129.992,41800.332,3670.246,41800.332,0.000
136,382.478,35304.997,35304.997,35289.123,3481.200,35289.123,0.000
137,385.410,30316.997,30316.997,30153.985,3292.154,30153.985,0.000
138,388.343,25346.837,25346.837,26005.402,3103.107,26005.402,0.000
139,391.277,21863.500,21863.500,22481.168,2914.061,22481.168,0.000
140,394.212,18781.668,18781.668,19321.310,2725.014,19321.310,0.000
141,397.147,16075.030,16075.030,16389.971,2535.968,16389.971,0.000
142,400.083,13043.030,13043.030,13656.699,2346.922,13656.699,0.000
143,403.020,10889.290,10889.290,11156.578,2157.875,11156.578,0.000
144,405.958,8429.445,8429.445,8947.657,1968.829,8947.657,0.000
145,408.897,6342.294,6342.294,7078.171,1779.782,7078.171,0.000
146,411.836,4704.386,4704.386,5568.693,1590.736,5568.693,0.000
147,414.776,3482.583,3482.583,4408.230,1401.690,4408.230,0.000
148,417.717,2567.126,2567.126,3559.838,1212.643,3559.838,0.000
149,420.659,2202.319,2202.319,2970.449,1023.597,2970.449,0.000
150,423.602,1905.487,1905.487,2580.682,834.550,2580.682,0.000
151,426.545,1778.533,1778.533,2332.260,645.504,2332.260,0.000
152,429.489,1824.062,1824.062,2172.437,456.458,2172.437,0.000
153,432.434,2048.268,2048.268,2056.045,267.411,2056.045,0.000
154,435.380,2047.045,2047.045,1946.168,78.365,1946.168,0.000
