ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
0,-3.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-0.687,0.000,0.000,0.152,0.152,0.077,0.056,0.012,0.004,0.002,0.000
2,2.066,0.000,0.000,0.303,0.303,0.154,0.113,0.024,0.009,0.003,0.000
3,4.820,0.000,0.000,0.455,0.455,0.232,0.169,0.036,0.013,0.005,0.000
4,7.576,0.000,0.000,0.606,0.606,0.309,0.226,0.048,0.017,0.006,0.000
5,10.333,0.000,-0.639,0.758,0.758,0.386,0.282,0.060,0.021,0.008,0.000
6,13.093,13.252,13.252,0.948,0.909,0.463,0.339,0.110,0.026,0.009,0.000
7,15.855,108.335,108.335,2.377,1.061,0.540,0.395,1.400,0.030,0.011,0.001
8,18.618,571.823,571.823,478.306,457.854,233.220,170.501,56.673,12.880,4.780,0.248
9,21.383,1237.835,1237.835,1071.325,914.647,465.907,340.613,229.022,25.731,9.548,0.496
10,24.150,2430.286,2430.286,1980.315,1371.440,698.687,510.792,717.175,38.586,14.319,0.743
11,26.918,2877.151,2877.151,3082.003,1828.233,931.899,681.288,1397.243,51.466,19.098,0.991
12,29.689,4034.530,4034.530,3940.390,2285.026,1166.021,852.449,1832.367,64.396,23.896,1.240
13,32.461,4958.296,4958.296,4651.933,2741.819,1401.157,1024.365,2118.800,77.381,28.715,1.490
14,35.235,5943.219,5943.219,5600.509,3198.612,1637.391,1197.197,2640.170,90.425,33.555,1.741
15,38.011,6920.340,6920.340,6754.404,3365.530,1726.992,1263.680,3631.136,95.347,35.381,1.836
16,40.788,7630.966,7630.966,8116.088,3532.448,1823.256,1341.138,4812.090,100.391,37.248,1.933
17,43.567,7681.885,7681.885,9078.062,3699.365,1966.694,1490.686,5473.686,105.755,39.171,2.033
18,46.348,8174.476,8174.476,9492.032,3866.283,2440.450,2038.057,4857.067,113.078,41.198,2.135
19,49.131,7767.921,7767.921,9338.748,4033.200,3648.792,3145.207,2371.468,127.354,43.616,2.238
20,51.916,7532.862,7532.862,8705.744,4200.118,4285.808,3349.851,878.251,142.881,46.533,2.342
21,54.702,7491.989,7491.989,8057.376,4367.036,4283.790,3045.074,520.460,155.542,49.991,2.445
22,57.489,7663.430,7663.430,7743.708,4533.953,4248.254,2842.427,427.151,168.584,54.674,2.547
23,60.279,8384.570,8384.570,7828.828,4700.871,4375.179,2802.181,404.656,182.545,61.548,2.648
24,63.070,9461.176,9461.176,8583.787,4867.789,4974.114,2925.089,414.697,195.739,71.328,2.750
25,65.863,11966.564,11966.564,10925.634,5034.706,6895.449,3286.005,448.203,207.927,85.122,2.854
26,68.658,16230.794,16230.794,16064.373,4997.107,11363.071,3888.373,487.475,216.275,106.255,2.848
27,71.454,24130.089,24130.089,24928.298,4959.508,19295.261,4710.242,528.761,234.989,156.108,2.856
28,74.252,36676.446,36676.446,35763.219,4921.909,29278.599,5375.948,549.217,279.169,277.310,2.888
29,77.051,44751.462,44751.462,44191.355,4884.310,37261.910,5497.567,537.048,365.284,526.503,2.953
30,79.852,48908.905,48908.905,46242.801,4846.711,39252.476,5072.764,504.728,491.607,918.087,3.050
31,82.655,45937.811,45937.811,41833.501,4809.111,34919.062,4468.911,475.558,619.746,1346.969,3.169
32,85.460,37807.939,37807.939,34446.503,4771.512,27681.264,4008.453,461.757,690.157,1601.486,3.301
33,88.266,28295.759,28295.759,27525.108,4733.913,21136.546,3730.715,460.488,671.761,1522.055,3.459
34,91.073,21587.990,21587.990,22073.746,4696.314,16330.953,3531.631,463.885,590.357,1153.168,3.670
35,93.883,16887.440,16887.440,17503.280,4658.715,12480.723,3353.721,466.474,498.458,699.864,3.959
36,96.694,13286.853,13286.853,13465.436,4621.116,9014.202,3207.144,466.136,427.138,346.423,4.311
37,99.506,9620.602,9620.602,10281.134,4583.517,6181.166,3108.633,462.938,375.603,148.044,4.669
38,102.320,7241.849,7241.849,8253.842,4545.918,4339.592,3053.418,458.214,333.414,64.164,4.961
39,105.136,6310.580,6310.580,7248.462,4508.319,3430.314,3025.371,453.723,297.101,36.732,5.141
40,107.953,5993.199,5993.199,6877.849,4470.719,3113.400,3010.342,450.773,268.403,29.635,5.216
41,110.772,6152.388,6152.388,6798.035,4433.120,3067.315,2999.529,449.764,247.578,28.545,5.223
42,113.592,6357.895,6357.895,6912.209,4506.175,3139.564,3042.216,458.468,236.072,30.525,5.284
43,116.414,6914.871,6914.871,7001.500,4579.230,3180.376,3084.182,468.318,227.528,35.679,5.335
44,119.237,7254.706,7254.706,7019.619,4652.285,3141.346,3126.897,478.822,221.042,46.046,5.385
45,122.062,7273.144,7273.144,6971.608,4725.339,3024.568,3171.363,489.492,216.899,63.764,5.439
46,124.889,7360.747,7360.747,6899.064,4798.394,2872.189,3216.889,499.889,215.357,89.156,5.500
47,127.716,7447.115,7447.115,6847.596,4871.449,2735.550,3262.015,509.726,215.966,118.683,5.571
48,130.546,7655.642,7655.642,6837.083,4944.503,2644.530,3305.601,518.808,217.757,144.651,5.650
49,133.377,7941.113,7941.113,6857.578,5017.558,2600.273,3346.825,526.825,219.803,158.035,5.730
50,136.209,7677.887,7677.887,6887.641,5090.613,2588.340,3385.084,533.305,221.612,153.406,5.807
51,139.043,7343.114,7343.114,6913.712,5163.668,2593.861,3420.430,537.851,223.122,132.482,5.879
52,141.879,7383.188,7383.188,6935.811,5236.722,2607.764,3453.869,540.447,224.473,103.226,5.944
53,144.716,7003.338,7003.338,6961.409,5309.777,2625.849,3486.773,541.611,225.800,75.289,5.999
54,147.554,7037.113,7037.113,6997.505,5382.832,2646.574,3519.734,542.289,227.195,55.586,6.041
55,150.394,7166.794,7166.794,7047.553,5455.887,2670.268,3551.964,543.554,228.795,46.813,6.071
56,153.235,7050.584,7050.584,7112.789,5528.941,2699.012,3581.950,546.237,230.850,48.553,6.097
57,156.078,7070.552,7070.552,7194.007,5601.996,2735.801,3608.786,550.675,233.684,58.840,6.131
58,158.922,7238.930,7238.930,7291.268,5675.051,2782.954,3633.062,556.650,237.555,74.772,6.184
59,161.768,7442.380,7442.380,7402.288,5748.106,2840.722,3656.736,563.569,242.524,92.386,6.259
60,164.615,7454.700,7454.700,7521.748,5821.160,2906.918,3682.339,570.747,248.411,106.886,6.354
61,167.463,7784.466,7784.466,7642.771,5894.215,2977.680,3712.150,577.660,254.864,113.861,6.462
62,170.313,7728.068,7728.068,7759.636,5967.270,3048.784,3747.591,584.085,261.489,111.013,6.577
63,173.164,7912.870,7912.870,7649.825,5820.438,3028.114,3682.119,574.134,260.197,98.635,6.530
64,176.017,8122.636,8122.636,7533.627,5673.606,3002.224,3621.328,564.020,258.549,80.924,6.486
65,178.871,7644.118,7644.118,7413.095,5526.775,2970.557,3563.109,554.024,256.460,62.409,6.442
66,181.726,7787.905,7787.905,7290.821,5379.943,2934.186,3505.126,544.340,253.938,46.746,6.391
67,184.583,7250.135,7250.135,7169.953,5233.111,2895.997,3445.629,535.015,251.092,35.802,6.327
68,187.441,7250.622,7250.622,7054.805,5086.280,2860.584,3383.895,525.949,248.159,29.885,6.243
69,190.300,6816.842,6816.842,6950.907,4939.448,2833.466,3320.132,516.941,245.509,28.636,6.134
70,193.161,6735.016,6735.016,6863.871,4792.616,2819.575,3254.991,507.755,243.590,31.872,6.001
71,196.023,6372.775,6372.775,6797.635,4645.784,2821.684,3189.033,498.212,242.806,39.968,5.846
