ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
0,-6.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-6.131,0.000,0.000,58.643,58.643,49.743,7.941,0.800,0.159
2,-5.750,0.000,0.000,117.286,117.286,99.486,15.882,1.600,0.318
3,-5.370,0.000,0.000,175.929,175.929,149.229,23.824,2.400,0.476
4,-4.989,0.000,-0.716,234.572,234.572,198.972,31.765,3.200,0.635
5,-4.608,7.614,7.614,293.215,293.215,248.715,39.706,4.000,0.794
6,-4.228,0.859,0.859,351.858,351.858,298.458,47.647,4.800,0.953
7,-3.847,7.401,7.401,410.501,410.501,348.200,55.589,5.600,1.112
8,-3.467,27.757,27.757,469.144,469.144,397.943,63.530,6.400,1.270
9,-3.086,33.209,33.209,527.786,527.786,447.686,71.471,7.200,1.429
10,-2.705,88.196,88.196,586.429,586.429,497.429,79.412,8.000,1.588
11,-2.325,37.958,37.958,645.072,645.072,547.172,87.354,8.800,1.747
12,-1.944,81.784,81.784,703.715,703.715,596.915,95.295,9.600,1.906
13,-1.563,137.255,137.255,762.358,762.358,646.658,103.236,10.400,2.064
14,-1.183,217.810,217.810,821.001,821.001,696.401,111.177,11.200,2.223
15,-0.802,393.352,393.352,879.644,879.644,746.144,119.119,11.999,2.382
16,-0.421,598.288,598.288,938.287,938.287,795.887,127.060,12.799,2.541
17,-0.040,931.301,931.301,987.740,996.930,845.630,135.001,13.599,2.700
18,0.340,1290.546,1290.546,1032.228,1055.573,895.373,142.942,14.399,2.858
19,0.721,1637.398,1637.398,1090.870,1114.216,945.116,150.884,15.199,3.017
20,1.102,1982.030,1982.030,1149.513,1172.859,994.858,158.825,15.999,3.176
21,1.482,2535.042,2535.042,1208.155,1231.502,1044.601,166.766,16.799,3.335
22,1.863,3397.436,3397.436,1266.797,1290.145,1094.344,174.707,17.599,3.494
23,2.244,5557.682,5557.682,1325.440,1348.788,1144.087,182.649,18.399,3.652
24,2.625,9605.321,9605.321,1384.082,1407.431,1193.830,190.590,19.199,3.811
25,3.006,16667.909,16667.909,1442.724,1466.073,1243.573,198.531,19.999,3.970
26,3.386,27158.924,27158.924,1501.366,1524.716,1293.316,206.472,20.799,4.129
27,3.767,40101.307,40101.307,1560.009,1583.359,1343.059,214.414,21.599,4.288
28,4.148,54936.421,54936.421,1426.283,1642.002,1392.802,222.355,22.399,4.446
29,4.529,69996.000,69996.000,1460.871,1700.645,1442.545,230.296,23.199,4.605
30,4.910,84221.147,84221.147,1519.508,1759.288,1492.288,238.237,23.999,4.764
31,5.291,97228.041,97228.041,1578.144,1817.931,1542.031,246.179,24.799,4.923
32,5.672,107879.175,107879.175,1636.780,1876.574,1591.774,254.120,25.599,5.082
33,6.052,115664.010,115664.010,1695.417,1935.217,1641.517,262.061,26.399,5.240
34,6.433,122015.716,122015.716,1754.053,1993.860,1691.259,270.003,27.199,5.399
35,6.814,126358.994,126358.994,1812.689,2052.503,1741.002,277.944,27.999,5.558
36,7.195,131409.033,131409.033,1871.326,2111.146,1790.745,285.885,28.799,5.717
37,7.576,135296.910,135296.910,1929.962,2169.789,1840.488,293.826,29.599,5.876
38,7.957,140717.662,140717.662,1948.160,2228.432,1890.231,301.768,30.399,6.034
39,8.338,146184.069,146184.069,1942.779,2287.075,1939.974,309.709,31.199,6.193
40,8.719,152918.360,152918.360,2001.413,2345.718,1989.717,317.651,31.999,6.352
41,9.100,158137.457,158137.457,2060.047,2404.361,2039.460,325.593,32.799,6.511
42,9.481,165742.227,165742.227,2118.683,2463.003,2089.203,333.536,33.599,6.670
43,9.862,171892.216,171892.216,2177.320,2521.646,2138.947,341.480,34.399,6.828
44,10.243,178433.059,178433.059,2235.961,2580.289,2188.691,349.428,35.199,6.987
45,10.624,181230.432,181230.432,2294.608,2638.932,2238.436,357.381,35.998,7.146
46,11.005,184661.579,184661.579,2353.267,2697.575,2288.183,365.344,36.798,7.305
47,11.386,184891.545,184891.545,2411.948,2756.218,2337.933,373.325,37.598,7.464
48,11.767,184114.937,184114.937,2470.668,2814.861,2387.691,381.337,38.398,7.622
49,12.148,180870.018,180870.018,2530.595,2873.504,2437.462,389.405,39.198,7.781
50,12.529,176105.313,176105.313,2589.645,2932.147,2487.256,397.569,39.998,7.940
51,12.910,170429.944,170429.944,2648.757,2990.790,2537.093,405.894,40.798,8.099
52,13.291,164346.642,164346.642,2708.217,3049.433,2587.006,414.491,41.598,8.258
53,13.672,157553.255,157553.255,2768.256,3108.076,2637.053,423.535,42.398,8.416
54,14.053,152296.631,152296.631,2829.253,3166.719,2687.330,433.305,43.198,8.575
55,14.435,145633.622,145633.622,2891.806,3225.362,2738.003,444.236,43.998,8.734
56,14.816,141468.052,141468.052,2956.859,3284.005,2789.343,456.999,44.798,8.893
57,15.197,136571.799,136571.799,3025.868,3342.648,2841.797,472.606,45.598,9.052
58,15.578,133562.209,133562.209,3101.060,3401.290,2896.079,492.566,46.398,9.210
59,15.959,131553.955,131553.955,3217.632,3459.933,2953.329,519.086,47.198,9.369
60,16.340,129794.582,129794.582,3366.090,3518.576,3015.330,555.343,47.998,9.528
61,16.721,128433.348,128433.348,3487.038,3577.219,3084.836,605.833,48.798,9.687
62,17.103,128139.823,128139.823,3640.164,3635.862,3166.036,676.807,49.598,9.846
63,17.484,128115.684,128115.684,3840.290,3694.505,3265.213,776.804,50.398,10.004
64,17.865,129348.910,129348.910,5775.009,5420.007,4805.546,1142.987,73.937,14.677
65,18.246,130699.416,130699.416,7806.047,7145.509,6386.659,1564.707,97.476,19.350
66,18.628,131059.159,131059.159,9972.224,8871.011,8027.925,2061.412,121.015,24.022
67,19.009,133481.554,133481.554,12325.486,10596.513,9756.691,2657.703,144.556,28.695
68,19.390,136330.268,136330.268,14934.290,12322.015,11610.948,3384.041,168.098,33.369
69,19.771,139240.466,139240.466,17887.472,14047.517,13642.641,4277.319,191.643,38.042
70,20.153,142673.438,142673.438,21165.914,15773.019,15921.631,5381.155,215.191,42.717
71,20.534,147687.068,147687.068,25162.743,17498.521,18540.303,6745.813,238.746,47.393
72,20.915,152990.073,152990.073,29951.164,19224.023,21618.719,8427.589,262.308,52.070
73,21.296,159698.498,159698.498,35730.778,20949.525,25310.140,10487.540,285.883,56.750
74,21.678,167722.013,167722.013,42757.397,22675.027,29806.574,12989.461,309.474,61.433
75,22.059,178198.915,178198.915,51330.605,24400.529,35343.921,15997.031,333.089,66.121
76,22.440,190166.261,190166.261,61794.212,26126.031,42206.088,19570.140,356.737,70.815
77,22.822,204500.410,204500.410,74534.193,27851.533,50727.331,23760.494,380.429,75.518
78,23.203,223238.448,223238.448,89973.449,29577.036,61291.961,28606.665,404.179,80.232
79,23.584,242827.880,242827.880,108562.749,31302.538,74330.483,34128.896,428.008,84.963
80,23.966,267768.479,267768.479,130529.440,33028.040,90311.282,40324.021,451.936,89.713
81,24.347,296357.549,296357.549,156469.263,34753.542,109727.060,47160.972,475.994,94.488
82,24.729,328870.162,328870.162,187263.129,36479.044,133075.544,54577.354,500.215,99.296
83,25.110,367808.252,367808.252,222951.338,38204.546,160834.306,62477.554,524.639,104.144
84,25.491,410463.219,410463.219,263831.978,39930.048,193430.137,70732.818,549.313,109.043
85,25.873,458032.710,458032.710,310086.449,41655.550,231203.969,79183.546,574.293,114.001
86,26.254,509644.677,509644.677,361746.303,43381.052,274373.078,87643.940,599.639,119.033
87,26.636,566840.710,566840.710,418661.982,45106.554,322992.922,95908.903,625.420,124.150
88,27.017,626480.122,626480.122,480476.048,46832.056,376921.560,103762.849,651.711,129.369
89,27.399,687273.541,687273.541,546603.703,48557.558,435789.957,110989.917,678.592,134.705
90,27.780,750060.012,750060.012,616223.308,50283.060,498981.605,117384.874,706.149,140.175
91,28.162,813929.902,813929.902,687139.107,52008.562,565624.636,122763.894,734.469,145.797
92,28.543,875110.334,875110.334,760264.851,53734.064,634599.008,126974.386,763.641,151.588
93,28.925,930210.580,930210.580,833190.934,55459.566,704560.376,129903.073,793.752,157.565
94,29.306,982165.928,982165.928,904227.417,57185.068,773980.974,131481.706,824.885,163.745
95,29.688,1027734.805,1027734.805,971699.619,58910.570,841206.362,131689.953,857.116,170.143
96,30.069,1064757.212,1064757.212,1033923.945,60636.072,904525.353,130555.327,890.509,176.772
97,30.451,1093485.992,1093485.992,1089283.915,62361.574,962249.029,128150.207,925.115,183.642
98,30.832,1110327.521,1110327.521,1136307.504,64087.076,1012793.588,124586.325,960.969,190.759
99,31.214,1116775.708,1116775.708,1173740.391,65812.578,1054761.121,120007.258,998.083,198.127
100,31.596,1110941.140,1110941.140,1200609.757,67538.080,1087012.219,114579.605,1036.450,205.743
101,31.977,1098859.534,1098859.534,1216501.821,69263.582,1108724.828,108483.604,1076.036,213.601
102,32.359,1074636.818,1074636.818,1220970.857,70989.084,1119434.744,101903.912,1116.781,221.689
103,32.740,1045204.941,1045204.941,1213758.153,72714.586,1119054.696,95021.181,1158.601,229.990
104,33.122,1004441.309,1004441.309,1195609.180,74440.088,1107870.764,88004.908,1201.387,238.484
105,33.504,957543.933,957543.933,1167310.480,76165.590,1086516.841,81007.898,1245.008,247.143
106,33.885,908218.495,908218.495,1129930.955,77891.092,1055929.703,74162.456,1289.314,255.938
107,34.267,854658.462,854658.462,1084759.551,79616.594,1017288.794,67578.279,1334.145,264.837
108,34.649,799123.585,799123.585,1033234.398,81342.096,971945.921,61341.893,1379.328,273.806
109,35.030,744098.250,744098.250,976868.874,83067.598,921350.605,55517.361,1424.693,282.811
110,35.412,688096.444,688096.444,917179.951,84793.100,866976.746,50147.958,1470.071,291.819
111,35.794,634879.314,634879.314,855623.579,86518.602,810255.674,45258.491,1515.305,300.799
112,36.175,584463.741,584463.741,794410.898,88244.104,752519.622,40857.974,1560.251,309.721
113,36.557,535738.288,535738.288,733023.972,89969.606,694958.299,36942.400,1604.784,318.561
114,36.939,489899.224,489899.224,673263.285,91695.108,638589.854,33497.426,1648.800,327.298
115,37.321,447000.669,447000.669,615974.959,93420.610,584246.092,30500.852,1692.214,335.916
116,37.702,408174.025,408174.025,561774.679,95146.112,532570.645,27924.800,1734.968,344.403
117,38.084,371745.321,371745.321,511095.138,96871.614,484027.933,25737.592,1777.021,352.751
118,38.466,340384.160,340384.160,464204.624,98597.116,438920.185,23905.314,1818.352,360.955
119,38.848,311599.792,311599.792,421230.517,100322.618,397409.655,22393.094,1858.955,369.016
120,39.230,286095.367,286095.367,382184.986,102048.120,359543.297,21166.140,1898.842,376.933
121,39.611,263639.677,263639.677,346990.578,103773.622,325277.534,20190.548,1938.031,384.713
122,39.993,241709.728,241709.728,315754.916,105499.124,294501.324,19433.944,1976.553,392.359
123,40.375,223624.431,223624.431,288057.034,107224.626,267056.303,18865.955,2014.442,399.881
124,40.757,208946.109,208946.109,263391.390,108950.128,242753.367,18458.553,2051.740,407.285
125,41.139,196015.096,196015.096,241795.378,110675.630,221385.598,18186.273,2088.489,414.580
126,41.521,184409.871,184409.871,223031.032,112401.133,202737.761,18026.334,2124.733,421.774
127,41.902,174479.155,174479.155,206861.378,114126.635,186592.909,17958.652,2160.517,428.878
128,42.284,165659.884,165659.884,193054.709,115852.137,172736.716,17965.795,2195.885,435.898
129,42.666,159054.497,159054.497,179721.386,115911.848,159579.602,17785.530,2199.275,436.571
130,43.048,152377.303,152377.303,168312.703,115971.559,148300.634,17652.221,2202.280,437.168
131,43.430,147347.032,147347.032,158624.387,116031.271,138705.797,17555.545,2204.955,437.699
132,43.812,143934.232,143934.232,150463.675,116090.982,130610.003,17487.069,2207.347,438.174
133,44.194,139749.723,139749.723,143740.066,116150.694,123837.834,17440.006,2209.501,438.601
134,44.576,137101.485,137101.485,138097.823,116210.405,118224.284,17408.976,2211.455,438.989
135,44.958,134932.265,134932.265,133471.980,116270.117,113615.495,17389.784,2213.243,439.343
136,45.340,133395.388,133395.388,129717.325,116329.828,109869.444,17379.206,2214.895,439.670
137,45.722,130940.091,130940.091,126701.819,116389.540,106856.498,17374.804,2216.437,439.976
138,46.104,130361.858,130361.858,124306.785,116449.251,104459.770,17374.763,2217.890,440.263
139,46.486,129331.091,129331.091,122426.885,116508.963,102575.227,17377.754,2219.275,440.536
140,46.868,128145.188,128145.188,120969.836,116568.674,101111.525,17382.818,2220.606,440.797
141,47.250,127920.137,127920.137,119855.887,116628.386,99989.578,17389.277,2221.898,441.050
142,47.632,127459.188,127459.188,119017.069,116688.097,99141.874,17396.656,2223.164,441.296
143,48.014,126797.065,126797.065,118394.281,116747.809,98511.609,17404.632,2224.416,441.537
144,48.396,126787.510,126787.510,117942.455,116807.520,98051.670,17412.987,2225.664,441.773
145,48.778,126379.104,126379.104,117624.398,116867.232,97723.538,17421.576,2226.921,442.007
146,49.160,125195.452,125195.452,117407.269,116926.943,97496.174,17430.307,2228.198,442.238
147,49.542,126298.032,126298.032,117266.361,116986.655,97344.914,17439.122,2229.511,442.468
148,49.924,125431.807,125431.807,117182.335,117046.366,97250.436,17447.983,2230.879,442.697
149,50.306,124743.019,124743.019,117140.267,117106.078,97197.813,17456.869,2232.325,442.924
150,50.688,125320.897,125320.897,117128.801,117165.789,97175.672,17465.768,2233.880,443.152
151,51.070,124929.464,124929.464,117139.421,117225.501,97175.464,17474.672,2235.582,443.378
152,51.452,124399.684,124399.684,117165.833,117285.212,97190.848,17483.578,2237.483,443.605
153,51.835,125322.109,125322.109,117207.310,117344.923,97217.187,17492.485,2239.648,443.831
154,52.217,124913.303,124913.303,117306.196,117404.635,97251.132,17501.391,2242.163,444.057
155,52.599,124384.206,124384.206,117357.461,117464.346,97290.294,17510.297,2245.138,444.283
156,52.981,124030.102,124030.102,117412.864,117524.058,97332.995,17519.202,2248.712,444.509
157,53.363,124919.367,124919.367,117471.417,117583.769,97378.070,17528.107,2253.062,444.735
158,53.745,124194.181,124194.181,117532.543,117643.481,97424.718,17537.012,2258.412,444.961
159,54.128,124499.864,124499.864,117595.982,117703.192,97472.399,17545.918,2265.042,445.187
160,54.510,124240.812,124240.812,117661.721,117762.904,97520.752,17554.825,2273.299,445.413
161,54.892,124276.554,124276.554,117729.952,117822.615,97569.539,17563.733,2283.612,445.639
162,55.274,124684.058,124684.058,117801.046,117882.327,97618.608,17572.644,2296.505,445.865
163,55.657,124307.058,124307.058,117875.547,117942.038,97667.860,17581.557,2312.618,446.091
164,56.039,123797.316,123797.316,117970.536,118001.750,97717.236,17590.473,2332.720,446.318
165,56.421,124179.897,124179.897,118064.997,118061.461,97766.700,17599.394,2357.736,446.544
166,56.803,124450.406,124450.406,118154.706,118121.173,97816.234,17608.321,2388.762,446.771
167,57.186,124117.889,124117.889,118251.789,118180.884,97865.830,17617.255,2427.091,446.997
168,57.568,124320.528,124320.528,118357.760,118240.596,97915.489,17626.197,2474.236,447.224
169,57.950,124039.702,124039.702,118474.380,118300.307,97965.216,17635.151,2531.951,447.451
170,58.333,123722.664,123722.664,118603.679,118360.019,98015.022,17644.118,2602.252,447.679
171,58.715,124087.019,124087.019,118747.972,118419.730,98064.922,17653.101,2687.437,447.907
172,59.097,123371.232,123371.232,118909.876,118479.442,98114.935,17662.105,2790.099,448.135
173,59.480,125011.096,125011.096,119092.316,118539.153,98165.083,17671.132,2913.137,448.364
174,59.862,123824.419,123824.419,119306.767,118598.864,98215.393,17680.189,3059.760,448.594
175,60.244,123980.961,123980.961,119591.269,118658.576,98265.895,17689.280,3233.477,448.825
176,60.627,124058.587,124058.587,119855.976,118718.287,98316.626,17698.412,3438.090,449.056
177,61.009,123803.697,123803.697,120155.960,118777.999,98367.628,17707.593,3677.660,449.289
178,61.392,124331.697,124331.697,120495.557,118837.710,98418.946,17716.831,3956.467,449.524
179,61.774,124136.794,124136.794,120879.278,118897.422,98470.633,17726.136,4278.962,449.760
180,62.156,124290.659,124290.659,121311.737,118957.133,98522.748,17735.517,4649.688,449.998
181,62.539,124354.375,124354.375,121797.565,119016.845,98575.355,17744.987,5073.200,450.238
182,62.921,124459.408,124459.408,122341.307,119076.556,98628.525,17754.559,5553.958,450.481
183,63.304,124965.569,124965.569,122947.304,119136.268,98682.336,17764.245,6096.213,450.727
184,63.686,125422.252,125422.252,123619.561,119195.979,98736.870,17774.062,6703.871,450.976
185,64.069,125176.349,125176.349,124329.773,119255.691,98792.216,17784.025,7380.352,451.229
186,64.451,125289.763,125289.763,125129.477,119315.402,98848.468,17794.151,8128.435,451.486
187,64.834,125893.157,125893.157,126018.962,119375.114,98905.723,17804.458,8950.099,451.747
188,65.216,125792.131,125792.131,126984.358,119434.825,98964.081,17814.963,9846.368,452.014
189,65.599,126469.996,126469.996,128025.698,119494.537,99023.644,17825.686,10817.152,452.286
190,65.981,127353.919,127353.919,129141.760,119554.248,99084.517,17836.644,11861.108,452.564
191,66.364,127221.435,127221.435,130329.942,119613.960,99146.800,17847.856,12975.513,452.848
192,66.746,128564.325,128564.325,131586.153,119673.671,99210.592,17859.339,14156.160,453.140
193,67.129,129146.435,129146.435,132904.740,119733.383,99275.987,17871.111,15397.284,453.438
194,67.511,129999.727,129999.727,134278.450,119793.094,99343.071,17883.187,16691.530,453.745
195,67.894,130928.681,130928.681,135689.987,119852.805,99411.921,17895.581,18029.950,454.059
196,68.277,131675.243,131675.243,137116.401,119912.517,99482.604,17908.305,19402.056,454.382
197,68.659,132415.404,132415.404,138596.217,119972.228,99555.172,17921.368,20795.913,454.713
198,69.042,134292.895,134292.895,140086.826,120031.940,99629.663,17934.778,22198.285,455.054
199,69.424,134316.128,134316.128,141573.908,120091.651,99706.096,17948.537,23594.829,455.403
200,69.807,136120.890,136120.890,143042.250,120151.363,99784.474,17962.646,24970.331,455.761
201,70.190,136439.452,136439.452,144476.028,120211.074,99864.776,17977.102,26308.988,456.128
202,70.572,138363.568,138363.568,145859.117,120270.786,99946.963,17991.896,27594.723,456.503
203,70.955,138974.925,138974.925,147175.435,120330.497,100030.974,18007.020,28811.527,456.887
204,71.338,140153.725,140153.725,148409.300,120390.209,100116.726,18022.456,29943.815,457.278
205,71.720,142009.518,142009.518,149545.796,120449.920,100204.114,18038.187,30976.796,457.677
206,72.103,142920.812,142920.812,150497.834,120509.632,100293.014,18054.191,31896.827,458.083
207,72.486,145359.572,145359.572,151377.709,120569.343,100383.281,18070.440,32691.759,458.496
208,72.868,146291.837,146291.837,152145.549,120629.055,100474.755,18086.907,33351.247,458.914
209,73.251,147346.220,147346.220,152770.898,120688.766,100567.260,18103.559,33867.023,459.336
210,73.634,148627.226,148627.226,153247.562,120748.478,100660.606,18120.363,34233.116,459.762
211,74.017,149040.484,149040.484,153571.792,120808.189,100754.598,18137.282,34446.011,460.192
212,74.399,151043.892,151043.892,153742.387,120867.901,100849.030,18154.281,34504.751,460.623
213,74.782,152286.944,152286.944,153760.724,120927.612,100943.696,18171.323,34410.954,461.055
214,75.165,152386.777,152386.777,153630.709,120987.324,101038.389,18188.369,34168.773,461.488
215,75.548,152842.332,152842.332,153358.676,121047.035,101132.910,18205.384,33784.779,461.920
216,75.931,153920.391,153920.391,152954.436,121106.746,101227.062,18222.333,33267.775,462.350
217,76.313,154351.797,154351.797,152428.740,121166.458,101320.663,18239.182,32628.557,462.777
218,76.696,154455.354,154455.354,151789.816,121226.169,101413.542,18255.902,31879.617,463.201
219,77.079,154537.946,154537.946,151053.981,121285.881,101505.545,18272.464,31034.803,463.622
220,77.462,153692.787,153692.787,150235.916,121345.592,101596.536,18288.843,30108.957,464.037
221,77.845,154915.541,154915.541,149350.929,121405.304,101686.397,18305.020,29117.527,464.448
222,78.228,153398.753,153398.753,148414.572,121465.015,101775.034,18320.976,28076.180,464.853
223,78.610,152701.096,152701.096,147442.260,121524.727,101862.370,18336.697,27000.417,465.251
224,78.993,152369.684,152369.684,146448.905,121584.438,101948.351,18352.175,25905.216,465.644
225,79.376,151463.728,151463.728,145385.218,121580.775,101979.785,18357.834,24804.299,465.788
226,79.759,150961.449,150961.449,144327.539,121577.113,102009.781,18363.234,23711.093,465.925
227,80.142,149482.457,149482.457,143273.856,121573.450,102038.345,18368.375,22637.195,466.055
228,80.525,149606.618,149606.618,142259.439,121569.787,102065.498,18373.263,21592.635,466.179
229,80.908,147955.380,147955.380,141283.075,121566.124,102091.276,18377.904,20585.742,466.297
230,81.291,147143.385,147143.385,140349.365,121562.461,102115.727,18382.305,19623.075,466.409
231,81.674,145727.385,145727.385,139463.151,121558.799,102138.906,18386.478,18709.409,466.514
232,82.057,144293.488,144293.488,138627.537,121555.136,102160.879,18390.433,17847.773,466.615
233,82.440,142354.687,142354.687,137843.978,121551.473,102181.713,18394.184,17039.541,466.710
234,82.823,141918.644,141918.644,137112.403,121547.810,102201.479,18397.742,16284.558,466.800
235,83.206,141019.396,141019.396,136431.384,121544.147,102220.247,18401.120,15581.313,466.886
236,83.589,140223.931,140223.931,135798.326,121540.485,102238.086,18404.332,14927.130,466.967
237,83.972,139292.002,139292.002,135229.702,121536.822,102255.061,18407.387,14318.378,467.045
238,84.355,139121.757,139121.757,134708.121,121533.159,102271.233,18410.299,13750.698,467.119
239,84.738,138400.951,138400.951,134194.915,121529.496,102286.657,18413.075,13219.227,467.189
240,85.121,137757.511,137757.511,133711.937,121525.833,102301.381,18415.726,12718.813,467.257
241,85.504,137127.911,137127.911,133254.008,121522.170,102315.445,18418.257,12244.229,467.321
242,85.887,136518.834,136518.834,132816.046,121518.508,102328.885,18420.677,11790.352,467.382
243,86.270,135493.755,135493.755,132393.238,121514.845,102341.726,18422.988,11352.337,467.441
244,86.653,134915.742,134915.742,131981.175,121511.182,102353.991,18425.196,10925.751,467.497
245,87.036,134311.916,134311.916,131575.963,121507.519,102365.692,18427.303,10506.683,467.550
246,87.419,134082.916,134082.916,131174.308,121503.856,102376.840,18429.309,10091.827,467.601
247,87.803,133246.277,133246.277,130773.565,121500.194,102387.439,18431.217,9678.535,467.650
248,88.186,132296.044,132296.044,130385.401,121496.531,102397.489,18433.027,9264.836,467.696
249,88.569,132015.594,132015.594,129981.464,121492.868,102406.989,18434.737,8849.437,467.739
250,88.952,131722.154,131722.154,129574.316,121489.205,102415.935,18436.347,8431.697,467.780
251,89.335,131393.431,131393.431,129164.130,121485.542,102424.323,18437.857,8011.579,467.818
252,89.718,130060.502,130060.502,128751.409,121481.880,102432.148,18439.266,7589.594,467.854
253,90.102,130345.507,130345.507,128337.126,121478.217,102439.406,18440.572,7166.718,467.887
254,90.485,128932.249,128932.249,127922.646,121474.554,102446.095,18441.776,6744.319,467.918
255,90.868,128449.817,128449.817,127509.634,121470.891,102452.215,18442.878,6324.063,467.946
256,91.251,128536.218,128536.218,127099.972,121467.228,102457.766,18443.877,5907.830,467.971
257,91.634,127602.681,127602.681,126695.669,121463.565,102462.754,18444.775,5497.623,467.994
258,92.018,127033.876,127033.876,126293.756,121459.903,102467.185,18445.573,5095.494,468.014
259,92.401,125826.978,125826.978,125902.138,121456.240,102471.071,18446.272,4703.461,468.032
260,92.784,125275.152,125275.152,125526.093,121452.577,102474.423,18446.876,4323.450,468.047
261,93.167,124755.365,124755.365,125163.230,121448.914,102477.257,18447.386,3957.234,468.060
262,93.551,123798.912,123798.912,124815.148,121445.251,102479.593,18447.806,3606.391,468.071
263,93.934,123150.648,123150.648,124483.222,121441.589,102481.449,18448.141,3272.271,468.079
264,94.317,122968.674,122968.674,124168.573,121437.926,102482.849,18448.393,2955.968,468.085
265,94.701,122157.196,122157.196,123872.060,121434.263,102483.817,18448.567,2658.314,468.090
266,95.084,121947.209,121947.209,123594.275,121430.600,102484.377,18448.668,2379.871,468.092
267,95.467,121011.751,121011.751,123335.548,121426.937,102484.556,18448.700,2120.938,468.093
268,95.851,119988.086,119988.086,123100.322,121423.274,102484.379,18448.668,1881.562,468.092
269,96.234,119615.782,119615.782,122914.967,121419.612,102483.875,18448.577,1661.557,468.090
270,96.617,119408.672,119408.672,122712.981,121415.949,102483.069,18448.432,1460.530,468.086
271,97.001,118950.388,118950.388,122529.064,121412.286,102481.987,18448.237,1277.899,468.081
272,97.384,117910.762,117910.762,122362.512,121408.623,102480.653,18447.997,1112.931,468.075
273,97.767,117891.234,117891.234,122212.491,121404.960,102479.094,18447.717,964.761,468.068
274,98.151,117742.910,117742.910,122078.066,121401.298,102477.330,18447.399,832.428,468.060
275,98.534,117537.079,117537.079,121958.230,121397.635,102475.385,18447.049,714.902,468.051
276,98.918,116452.181,116452.181,121851.932,121393.972,102473.278,18446.670,611.104,468.042
277,99.301,117169.427,117169.427,121758.095,121390.309,102471.028,18446.265,519.936,468.031
278,99.685,116574.677,116574.677,121675.641,121386.646,102468.652,18445.837,440.300,468.021
279,100.068,115514.478,115514.478,121594.083,121382.984,102466.167,18445.390,371.116,468.009
280,100.451,115882.606,115882.606,121526.754,121379.321,102463.587,18444.925,311.337,467.997
281,100.835,115583.923,115583.923,121472.221,121375.658,102460.924,18444.446,259.963,467.985
282,101.218,115664.941,115664.941,121425.064,121371.995,102458.190,18443.954,216.048,467.973
283,101.602,115776.361,115776.361,121384.410,121368.332,102455.396,18443.451,178.709,467.960
284,101.985,115769.928,115769.928,121349.455,121364.669,102452.551,18442.938,147.129,467.947
285,102.369,115476.851,115476.851,121319.460,121361.007,102449.662,18442.418,120.560,467.934
286,102.753,115756.025,115756.025,121293.755,121357.344,102446.736,18441.892,98.325,467.920
287,103.136,114822.877,114822.877,121271.737,121353.681,102443.780,18441.359,79.814,467.907
288,103.520,115265.432,115265.432,121252.870,121350.018,102440.798,18440.823,64.484,467.893
289,103.903,115176.289,115176.289,121243.670,121346.355,102437.795,18440.282,51.853,467.880
290,104.287,115163.908,115163.908,121250.993,121342.693,102434.774,18439.738,41.500,467.866
291,104.670,114780.141,114780.141,121238.953,121339.030,102431.739,18439.192,33.058,467.852
292,105.054,114816.534,114816.534,121228.492,121335.367,102428.693,18438.644,26.209,467.838
293,105.438,114982.205,114982.205,121219.341,121331.704,102425.637,18438.094,20.682,467.824
294,105.821,115464.077,115464.077,121211.269,121328.041,102422.573,18437.542,16.243,467.810
295,106.205,114674.908,114674.908,121204.083,121324.379,102419.504,18436.989,12.697,467.796
296,106.588,115353.806,115353.806,121197.619,121320.716,102416.429,18436.436,9.879,467.782
297,106.972,115630.128,115630.128,121191.740,121317.053,102413.351,18435.882,7.650,467.768
298,107.356,115640.773,115640.773,121186.332,121313.390,102410.269,18435.327,5.896,467.754
299,107.739,115112.780,115112.780,121181.302,121309.727,102407.185,18434.772,4.522,467.740
300,108.123,115351.463,115351.463,121157.106,121306.064,102404.100,18434.217,3.453,467.726
301,108.507,115849.972,115849.972,121148.361,121302.402,102401.012,18433.661,2.624,467.712
302,108.890,115816.476,115816.476,121144.059,121298.739,102397.924,18433.105,1.984,467.698
303,109.274,116073.921,116073.921,121139.904,121295.076,102394.835,18432.549,1.494,467.683
304,109.658,116273.857,116273.857,121135.865,121291.413,102391.745,18431.992,1.119,467.669
305,110.042,116476.282,116476.282,121131.915,121287.750,102388.654,18431.436,0.834,467.655
306,110.425,115922.824,115922.824,121128.035,121284.088,102385.563,18430.880,0.619,467.641
307,110.809,116338.624,116338.624,121124.207,121280.425,102382.472,18430.323,0.457,467.627
308,111.193,116536.412,116536.412,121120.419,121276.762,102379.380,18429.767,0.336,467.613
309,111.577,116523.928,116523.928,121116.662,121273.099,102376.289,18429.210,0.246,467.599
310,111.960,116332.366,116332.366,121120.824,121269.436,102373.197,18428.654,0.179,467.585
311,112.344,116787.476,116787.476,121129.114,121265.774,102370.105,18428.097,0.130,467.570
312,112.728,116890.760,116890.760,121125.411,121262.111,102367.013,18427.540,0.094,467.556
313,113.112,117546.959,117546.959,121121.718,121258.448,102363.921,18426.984,0.067,467.542
314,113.496,117567.437,117567.437,121118.033,121254.785,102360.829,18426.427,0.048,467.528
