ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
3244,1280.210,119.317,119.317,127.113,53.394,0.000,0.000,0.000,127.113
3245,1280.621,118.575,118.575,126.988,53.268,0.000,0.000,0.000,126.988
3246,1281.032,118.033,118.033,126.864,53.142,0.000,0.000,0.000,126.864
3247,1281.443,110.020,110.020,126.739,53.016,0.000,0.000,0.000,126.739
3248,1281.854,107.995,107.995,126.614,52.890,0.000,0.000,0.000,126.614
3249,1282.265,103.440,103.440,126.490,52.764,0.000,0.000,0.000,126.490
3250,1282.676,121.007,121.007,126.365,52.638,0.000,0.000,0.000,126.365
3251,1283.087,113.440,113.440,126.240,52.512,0.000,0.000,0.000,126.240
3252,1283.498,106.304,106.304,126.115,52.386,0.000,0.000,0.000,126.115
3253,1283.909,103.897,103.897,130.250,52.260,0.000,0.000,0.000,130.250
3254,1284.320,116.330,116.330,141.155,52.134,0.000,0.000,0.000,141.155
3255,1284.731,129.859,129.859,141.031,52.008,0.000,0.000,0.000,141.031
3256,1285.142,126.169,126.169,140.906,51.882,0.000,0.000,0.000,140.906
3257,1285.553,133.007,133.007,140.782,51.756,0.000,0.000,0.000,140.782
3258,1285.964,101.846,101.846,140.657,51.630,0.000,0.000,0.000,140.657
3259,1286.375,119.156,119.156,140.533,51.504,0.000,0.000,0.000,140.533
3260,1286.787,133.872,133.872,140.409,51.378,0.000,0.000,0.000,140.409
3261,1287.198,124.588,124.588,140.284,51.252,0.000,0.000,0.000,140.284
3262,1287.609,134.588,134.588,140.160,51.126,0.000,0.000,0.000,140.160
3263,1288.020,115.872,115.872,149.524,51.000,0.000,0.000,0.000,149.524
3264,1288.431,112.143,112.143,157.213,50.874,0.000,0.000,0.000,157.213
3265,1288.842,144.885,144.885,157.089,50.748,0.000,0.000,0.000,157.089
3266,1289.253,128.020,128.020,156.965,50.622,0.000,0.000,0.000,156.965
3267,1289.664,125.846,125.846,156.841,50.496,0.000,0.000,0.000,156.841
3268,1290.076,131.317,131.317,156.717,50.370,0.000,0.000,0.000,156.717
3269,1290.487,134.020,134.020,156.592,50.244,0.000,0.000,0.000,156.592
3270,1290.898,120.440,120.440,156.468,50.118,0.000,0.000,0.000,156.468
3271,1291.309,116.859,116.859,156.344,49.992,0.000,0.000,0.000,156.344
3272,1291.720,112.982,112.982,156.220,49.866,0.000,0.000,0.000,156.220
3273,1292.132,129.440,129.440,171.685,49.740,0.000,0.000,0.000,171.685
3274,1292.543,121.995,121.995,174.986,49.614,0.000,0.000,0.000,174.986
3275,1292.954,110.562,110.562,174.862,49.488,0.000,0.000,0.000,174.862
3276,1293.365,119.291,119.291,174.738,49.362,0.000,0.000,0.000,174.738
3277,1293.776,137.588,137.588,174.615,49.236,0.000,0.000,0.000,174.615
3278,1294.188,129.736,129.736,174.491,49.110,0.000,0.000,0.000,174.491
3279,1294.599,139.143,139.143,174.367,48.984,0.000,0.000,0.000,174.367
3280,1295.010,148.614,148.614,174.243,48.858,0.000,0.000,0.000,174.243
3281,1295.421,147.588,147.588,174.119,48.732,0.000,0.000,0.000,174.119
3282,1295.833,168.465,168.465,175.862,48.606,0.000,0.000,0.000,175.862
3283,1296.244,139.169,139.169,193.943,48.480,0.000,0.000,0.000,193.943
3284,1296.655,136.562,136.562,193.820,48.354,0.000,0.000,0.000,193.820
3285,1297.066,143.452,143.452,193.696,48.228,0.000,0.000,0.000,193.696
3286,1297.478,152.440,152.440,193.573,48.102,0.000,0.000,0.000,193.573
3287,1297.889,168.046,168.046,193.449,47.976,0.000,0.000,0.000,193.449
3288,1298.300,166.465,166.465,193.326,47.850,0.000,0.000,0.000,193.326
3289,1298.712,139.440,139.440,193.202,47.724,0.000,0.000,0.000,193.202
3290,1299.123,146.452,146.452,193.079,47.598,0.000,0.000,0.000,193.079
3291,1299.534,161.724,161.724,192.955,47.472,0.000,0.000,0.000,192.955
3292,1299.946,126.846,126.846,200.315,47.346,0.000,0.000,0.000,200.315
3293,1300.357,190.317,190.317,213.056,47.220,0.000,0.000,0.000,213.056
3294,1300.768,147.601,147.601,212.933,47.094,0.000,0.000,0.000,212.933
3295,1301.180,157.885,157.885,212.809,46.968,0.000,0.000,0.000,212.809
3296,1301.591,161.872,161.872,212.686,46.842,0.000,0.000,0.000,212.686
3297,1302.002,179.033,179.033,212.563,46.716,0.000,0.000,0.000,212.563
3298,1302.414,138.872,138.872,212.440,46.590,0.000,0.000,0.000,212.440
3299,1302.825,176.343,176.343,212.317,46.464,0.000,0.000,0.000,212.317
3300,1303.237,182.749,182.749,212.194,46.338,0.000,0.000,0.000,212.194
3301,1303.648,170.452,170.452,212.071,46.212,0.000,0.000,0.000,212.071
3302,1304.059,158.711,158.711,224.512,46.086,0.000,0.000,0.000,224.512
3303,1304.471,163.749,163.749,231.330,45.960,0.000,0.000,0.000,231.330
3304,1304.882,163.181,163.181,231.207,45.834,0.000,0.000,0.000,231.207
3305,1305.294,199.910,199.910,231.084,45.708,0.000,0.000,0.000,231.084
3306,1305.705,202.601,202.601,230.961,45.582,0.000,0.000,0.000,230.961
3307,1306.116,169.033,169.033,230.838,45.456,0.000,0.000,0.000,230.838
3308,1306.528,201.169,201.169,230.716,45.330,0.000,0.000,0.000,230.716
3309,1306.939,178.885,178.885,230.593,45.204,0.000,0.000,0.000,230.593
3310,1307.351,202.181,202.181,230.470,45.078,0.000,0.000,0.000,230.470
3311,1307.762,198.317,198.317,230.347,44.952,0.000,0.000,0.000,230.347
3312,1308.174,194.724,194.724,246.505,44.826,0.000,0.000,0.000,246.505
3313,1308.585,233.169,233.169,247.755,44.700,0.000,0.000,0.000,247.755
3314,1308.997,180.291,180.291,247.633,44.574,0.000,0.000,0.000,247.633
3315,1309.408,217.749,217.749,247.510,44.448,0.000,0.000,0.000,247.510
3316,1309.820,214.452,214.452,247.388,44.322,0.000,0.000,0.000,247.388
3317,1310.231,222.897,222.897,247.265,44.196,0.000,0.000,0.000,247.265
3318,1310.643,230.626,230.626,247.143,44.070,0.000,0.000,0.000,247.143
3319,1311.054,215.601,215.601,247.020,43.944,0.000,0.000,0.000,247.020
3320,1311.466,204.736,204.736,246.898,43.818,0.000,0.000,0.000,246.898
3321,1311.877,235.033,235.033,249.749,43.692,0.000,0.000,0.000,249.749
3322,1312.289,222.169,222.169,261.384,43.566,0.000,0.000,0.000,261.384
3323,1312.700,217.601,217.601,261.261,43.440,0.000,0.000,0.000,261.261
3324,1313.112,237.317,237.317,261.139,43.314,0.000,0.000,0.000,261.139
3325,1313.524,210.465,210.465,261.017,43.188,0.000,0.000,0.000,261.017
3326,1313.935,201.156,201.156,260.895,43.062,0.000,0.000,0.000,260.895
3327,1314.347,197.046,197.046,260.772,42.936,0.000,0.000,0.000,260.772
3328,1314.758,225.588,225.588,260.650,42.810,0.000,0.000,0.000,260.650
3329,1315.170,254.465,254.465,260.528,42.684,0.000,0.000,0.000,260.528
3330,1315.581,230.601,230.601,260.405,42.558,0.000,0.000,0.000,260.405
3331,1315.993,236.614,236.614,265.504,42.432,0.000,0.000,0.000,265.504
3332,1316.405,207.330,207.330,270.966,42.306,0.000,0.000,0.000,270.966
3333,1316.816,239.330,239.330,270.844,42.180,0.000,0.000,0.000,270.844
3334,1317.228,226.614,226.614,270.722,42.054,0.000,0.000,0.000,270.722
3335,1317.640,239.749,239.749,270.600,41.928,0.000,0.000,0.000,270.600
3336,1318.051,222.749,222.749,270.477,41.802,0.000,0.000,0.000,270.477
3337,1318.463,253.343,253.343,270.355,41.676,0.000,0.000,0.000,270.355
3338,1318.875,239.452,239.452,270.233,41.550,0.000,0.000,0.000,270.233
3339,1319.286,219.020,219.020,270.111,41.424,0.000,0.000,0.000,270.111
3340,1319.698,253.478,253.478,269.989,41.298,0.000,0.000,0.000,269.989
3341,1320.110,230.317,230.317,274.365,41.172,0.000,0.000,0.000,274.365
3342,1320.521,235.872,235.872,275.617,41.046,0.000,0.000,0.000,275.617
3343,1320.933,262.181,262.181,275.495,40.920,0.000,0.000,0.000,275.495
3344,1321.345,287.059,287.059,275.372,40.794,0.000,0.000,0.000,275.372
3345,1321.756,274.614,274.614,275.250,40.668,0.000,0.000,0.000,275.250
3346,1322.168,231.304,231.304,275.128,40.542,0.000,0.000,0.000,275.128
3347,1322.580,232.156,232.156,275.006,40.416,0.000,0.000,0.000,275.006
3348,1322.991,249.885,249.885,274.884,40.290,0.000,0.000,0.000,274.884
3349,1323.403,270.452,270.452,274.762,40.164,0.000,0.000,0.000,274.762
3350,1323.815,256.910,256.910,274.674,40.038,0.000,0.000,0.000,274.674
3351,1324.227,255.207,255.207,275.181,39.912,0.000,0.000,0.000,275.181
3352,1324.638,289.910,289.910,275.059,39.786,0.000,0.000,0.000,275.059
3353,1325.050,287.330,287.330,274.937,39.660,0.000,0.000,0.000,274.937
3354,1325.462,281.614,281.614,274.815,39.534,0.000,0.000,0.000,274.815
3355,1325.874,264.465,264.465,274.693,39.408,0.000,0.000,0.000,274.693
3356,1326.286,274.762,274.762,274.571,39.282,0.000,0.000,0.000,274.571
3357,1326.697,310.059,310.059,274.449,39.156,0.000,0.000,0.000,274.449
3358,1327.109,277.762,277.762,274.327,39.030,0.000,0.000,0.000,274.327
3359,1327.521,274.181,274.181,274.205,38.904,0.000,0.000,0.000,274.205
3360,1327.933,273.614,273.614,272.525,38.778,0.000,0.000,0.000,272.525
3361,1328.345,264.194,264.194,269.334,38.652,0.000,0.000,0.000,269.334
3362,1328.756,239.169,239.169,269.212,38.526,0.000,0.000,0.000,269.212
3363,1329.168,273.478,273.478,269.090,38.400,0.000,0.000,0.000,269.090
3364,1329.580,264.626,264.626,268.967,38.274,0.000,0.000,0.000,268.967
3365,1329.992,269.465,269.465,268.845,38.148,0.000,0.000,0.000,268.845
3366,1330.404,307.614,307.614,268.723,38.022,0.000,0.000,0.000,268.723
