ch,keV,net,fit,model,continuum_raw,Cs-137,pile-up
465,1356.108,14.969,14.969,14.653,2.629,0.000,14.653
466,1359.087,19.094,19.094,13.304,2.578,0.000,13.304
467,1362.066,8.656,8.656,11.399,2.528,0.000,11.399
468,1365.045,11.250,11.250,9.937,2.477,0.000,9.937
469,1368.024,17.375,17.375,8.949,2.426,0.000,8.949
470,1371.003,9.531,9.531,7.889,2.376,0.000,7.889
471,1373.982,6.969,6.969,6.530,2.325,0.000,6.530
472,1376.960,12.250,12.250,5.726,2.275,0.000,5.726
473,1379.938,8.656,8.656,5.120,2.224,0.000,5.120
474,1382.917,8.188,8.188,4.506,2.174,0.000,4.506
475,1385.895,9.250,9.250,3.769,2.123,0.000,3.769
476,1388.872,0.188,0.188,3.387,2.073,0.000,3.387
477,1391.850,1.000,1.000,3.088,2.022,0.000,3.088
478,1394.827,2.031,2.031,2.795,1.971,0.000,2.795
479,1397.805,5.375,5.375,2.465,1.921,0.000,2.465
480,1400.782,1.750,1.750,2.291,1.870,0.000,2.291
481,1403.758,0.000,-0.437,2.158,1.820,0.000,2.158
482,1406.735,0.000,-2.937,2.030,1.769,0.000,2.030
483,1409.712,1.125,1.125,1.886,1.719,0.000,1.886
484,1412.688,6.313,6.313,1.797,1.668,0.000,1.797
485,1415.664,0.000,-3.562,1.728,1.618,0.000,1.728
486,1418.640,0.000,-7.250,1.662,1.567,0.000,1.662
487,1421.616,0.000,-0.219,1.582,1.517,0.000,1.582
488,1424.592,0.000,-2.687,1.520,1.466,0.000,1.520
489,1427.567,4.625,4.625,1.464,1.415,0.000,1.464
490,1430.542,10.031,10.031,1.409,1.365,0.000,1.409
491,1433.517,0.000,-1.844,1.360,1.314,0.000,1.360
492,1436.492,0.000,-1.875,1.305,1.264,0.000,1.305
493,1439.467,0.969,0.969,1.254,1.213,0.000,1.254
494,1442.441,2.156,2.156,1.205,1.163,0.000,1.205
495,1445.415,0.000,-0.375,1.154,1.112,0.000,1.154
496,1448.389,0.000,-3.125,1.100,1.062,0.000,1.100
497,1451.363,3.875,3.875,1.050,1.011,0.000,1.050
498,1454.337,1.031,1.031,1.003,0.960,0.000,1.003
499,1457.310,0.000,-1.312,0.954,0.910,0.000,0.954
500,1460.283,7.750,7.750,0.896,0.859,0.000,0.896
501,1463.256,5.406,5.406,0.845,0.809,0.000,0.845
502,1466.229,0.969,0.969,0.803,0.758,0.000,0.803
503,1469.202,3.875,3.875,0.750,0.708,0.000,0.750
504,1472.174,0.000,-2.500,0.700,0.657,0.000,0.700
505,1475.146,4.000,4.000,0.650,0.607,0.000,0.650
506,1478.118,4.719,4.719,0.599,0.556,0.000,0.599
507,1481.090,5.563,5.563,0.549,0.506,0.000,0.549
508,1484.062,0.000,-1.406,0.500,0.455,0.000,0.500
509,1487.033,1.375,1.375,0.450,0.404,0.000,0.450
510,1490.004,3.094,3.094,0.399,0.354,0.000,0.399
511,1492.975,2.344,2.344,0.350,0.303,0.000,0.350
512,1495.946,4.281,4.281,0.298,0.253,0.000,0.298
513,1498.916,2.000,2.000,0.247,0.202,0.000,0.247
514,1501.886,0.000,-1.500,0.200,0.152,0.000,0.200
515,1504.856,4.438,4.438,0.147,0.101,0.000,0.147
516,1507.826,0.000,-0.937,0.099,0.051,0.000,0.099
517,1510.796,0.000,-1.750,0.051,0.000,0.000,0.051
518,1513.765,0.000,-1.406,0.048,0.000,0.000,0.048
519,1516.734,0.000,-1.656,0.048,0.000,0.000,0.048
520,1519.703,1.281,1.281,0.048,0.000,0.000,0.048
521,1522.672,1.563,1.563,0.047,0.000,0.000,0.047
522,1525.640,0.000,-0.687,0.047,0.000,0.000,0.047
523,1528.608,0.000,-1.875,0.047,0.000,0.000,0.047
524,1531.576,2.719,2.719,0.046,0.000,0.000,0.046
525,1534.544,1.000,1.000,0.046,0.000,0.000,0.046
526,1537.511,0.531,0.531,0.045,0.000,0.000,0.045
527,1540.479,0.000,-0.656,0.045,0.000,0.000,0.045
528,1543.446,0.000,-1.437,0.044,0.000,0.000,0.044
529,1546.413,0.469,0.469,0.043,0.000,0.000,0.043
530,1549.379,1.344,1.344,0.041,0.000,0.000,0.041
531,1552.345,0.000,-0.719,0.041,0.000,0.000,0.041
532,1555.311,0.000,-0.250,0.041,0.000,0.000,0.041
533,1558.277,0.000,-1.437,0.041,0.000,0.000,0.041
534,1561.243,0.594,0.594,0.038,0.000,0.000,0.038
535,1564.208,0.719,0.719,0.037,0.000,0.000,0.037
536,1567.173,0.500,0.500,0.036,0.000,0.000,0.036
537,1570.138,0.000,-1.344,0.037,0.000,0.000,0.037
538,1573.103,2.938,2.938,0.033,0.000,0.000,0.033
539,1576.067,0.000,-0.562,0.033,0.000,0.000,0.033
540,1579.031,0.000,-1.156,0.033,0.000,0.000,0.033
541,1581.995,0.625,0.625,0.032,0.000,0.000,0.032
542,1584.959,0.000,-1.750,0.032,0.000,0.000,0.032
543,1587.922,0.688,0.688,0.031,0.000,0.000,0.031
544,1590.885,0.000,-0.969,0.030,0.000,0.000,0.030
545,1593.848,0.000,-0.375,0.030,0.000,0.000,0.030
546,1596.810,1.906,1.906,0.026,0.000,0.000,0.026
