ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
0,-20.654,0.000,0.000,0.000,0.000,0.000,0.000
1,-17.859,0.000,0.000,0.105,0.105,0.103,0.001
2,-15.063,0.000,0.000,0.210,0.210,0.207,0.003
3,-12.265,0.000,0.000,0.315,0.315,0.310,0.004
4,-9.465,0.000,0.000,0.420,0.420,0.414,0.006
5,-6.664,0.922,0.922,0.571,0.571,0.563,0.008
6,-3.862,29.306,29.306,8.936,8.936,8.810,0.126
7,-1.058,217.612,217.612,193.441,193.441,190.706,2.735
8,1.747,803.799,803.799,1595.203,1595.203,1572.652,22.551
9,4.554,1525.021,1525.021,2719.251,2719.251,2680.810,38.442
10,7.363,3393.390,3393.390,3573.571,3573.571,3523.052,50.519
11,10.173,4703.764,4703.764,4459.216,4459.216,4396.176,63.039
12,12.984,6059.486,6059.486,5290.277,5290.277,5215.490,74.788
13,15.797,6695.524,6695.524,6181.248,6181.248,6093.865,87.383
14,18.612,7257.018,7257.018,7054.194,7054.194,6954.470,99.724
15,21.428,7302.018,7302.018,7121.230,7121.230,7020.558,100.672
16,24.245,7075.478,7075.478,7225.514,7225.514,7123.367,102.146
17,27.064,7034.049,7034.049,7295.170,7295.170,7192.039,103.131
18,29.884,7002.704,7002.704,7338.457,7338.457,7234.715,103.743
19,32.706,7454.589,7454.589,7410.212,7410.212,7305.455,104.757
20,35.529,7508.051,7508.051,7494.732,7494.732,7388.780,105.952
21,38.354,7510.314,7510.314,7571.993,7571.993,7464.949,107.044
22,41.180,7587.041,7587.041,7631.672,7631.672,7523.784,107.888
23,44.007,7585.612,7585.612,7685.443,7685.443,7576.795,108.648
24,46.836,7493.074,7493.074,7656.326,7656.326,7548.090,108.236
25,49.667,7518.761,7518.761,7630.153,7630.153,7522.286,107.866
26,52.498,7448.103,7448.103,7607.878,7607.878,7500.327,107.552
27,55.331,7710.942,7710.942,7590.463,7590.454,7483.158,107.306
28,58.166,8355.510,8355.510,7575.502,7575.403,7468.407,107.095
29,61.002,8435.658,8435.658,7564.108,7563.262,7457.162,106.946
30,63.839,8566.544,8566.544,7553.931,7548.386,7447.056,106.875
31,66.678,8557.351,8557.351,7551.204,7523.117,7444.016,107.188
