ch,keV,net,fit,model,continuum_raw,Co-60
0,-13.057,0.000,0.000,0.000,0.000,0.000
1,-10.200,0.000,0.000,0.000,0.000,0.000
2,-7.342,0.000,0.000,0.000,0.000,0.000
3,-4.483,0.000,0.000,0.054,0.054,0.054
4,-1.624,0.000,0.000,2.338,2.338,2.338
5,1.237,7.133,7.133,19.153,19.153,19.153
6,4.098,129.067,129.067,21.889,21.889,21.889
7,6.959,592.956,592.956,24.779,24.779,24.779
8,9.822,1462.022,1462.022,829.531,829.531,829.531
9,12.685,2934.956,2934.956,1634.133,1634.133,1634.133
10,15.549,4115.245,4115.245,2441.066,2441.066,2441.066
11,18.414,4728.622,4728.622,3246.470,3246.470,3246.470
12,21.279,5102.022,5102.022,4053.855,4053.855,4053.855
13,24.145,5075.822,5075.822,4859.597,4859.597,4859.597
14,27.012,5307.822,5307.822,5664.447,5664.447,5664.447
15,29.880,5167.556,5167.556,5636.251,5636.251,5636.251
16,32.748,5145.311,5145.311,5608.177,5608.177,5608.177
17,35.618,5210.133,5210.133,5580.922,5580.922,5580.922
18,38.487,5360.711,5360.711,5553.315,5553.315,5553.315
19,41.358,5234.489,5234.489,5526.136,5526.136,5526.136
20,44.229,5315.733,5315.733,5499.083,5499.083,5499.083
21,47.101,5294.467,5294.467,5471.438,5471.438,5471.438
22,49.974,5350.645,5350.645,5443.566,5443.566,5443.566
23,52.847,5235.178,5235.178,5401.188,5401.188,5401.188
24,55.721,5406.756,5406.756,5359.038,5359.038,5359.038
25,58.596,5572.800,5572.800,5316.970,5316.970,5316.970
26,61.472,5602.022,5602.022,5274.678,5274.677,5274.678
27,64.348,5684.511,5684.511,5232.111,5232.099,5232.111
28,67.225,5989.689,5989.689,5189.487,5189.335,5189.487
29,70.103,6067.511,6067.511,5148.099,5146.734,5148.099
30,72.981,6006.711,6006.711,5113.577,5104.481,5113.577
31,75.860,6066.734,6066.734,5107.369,5062.254,5107.369
32,78.740,6015.689,6015.689,5187.404,5019.274,5187.404
33,81.621,6388.245,6388.245,5451.197,4974.637,5451.197
34,84.502,6151.356,6151.356,5972.164,4927.881,5972.164
35,87.384,6331.000,6331.000,6642.538,4832.745,6642.538
36,90.267,6508.778,6508.778,7299.742,4737.797,7299.742
37,93.150,6710.556,6710.556,7739.606,4644.558,7739.606
38,96.034,6570.778,6570.778,7915.915,4553.302,7915.915
39,98.919,6756.156,6756.156,7919.252,4463.356,7919.252
40,101.804,6983.311,6983.311,7857.546,4373.984,7857.546
41,104.690,6930.911,6930.911,7788.850,4284.787,7788.850
42,107.577,6931.333,6931.333,7726.774,4195.628,7726.774
43,110.464,7301.289,7301.289,7667.084,4106.475,7667.084
44,113.353,7265.022,7265.022,7605.036,4017.322,7605.036
45,116.241,7454.689,7454.689,7540.219,3928.170,7540.219
46,119.131,7850.156,7850.156,7474.469,3839.018,7474.469
47,122.021,7931.200,7931.200,7409.490,3749.865,7409.490
48,124.912,7935.333,7935.333,7347.507,3660.713,7347.507
49,127.804,8161.067,8161.067,7290.929,3571.561,7290.929
50,130.696,8429.245,8429.245,7237.762,3482.408,7237.762
51,133.589,8178.867,8178.867,7500.608,3715.610,7500.608
52,136.482,8680.556,8680.556,7743.953,3948.812,7743.953
53,139.377,8402.200,8402.200,7960.823,4182.014,7960.823
54,142.272,8511.289,8511.289,8156.449,4415.216,8156.449
55,145.167,8533.556,8533.556,8345.342,4648.418,8345.342
56,148.064,8592.911,8592.911,8542.146,4881.620,8542.146
57,150.960,8625.511,8625.511,8753.879,5114.822,8753.879
58,153.858,8723.956,8723.956,8978.774,5348.024,8978.774
59,156.756,8660.689,8660.689,9210.389,5581.226,9210.389
60,159.655,8845.022,8845.022,9442.473,5814.428,9442.473
61,162.555,8971.267,8971.267,9672.351,6047.630,9672.351
62,165.455,9074.133,9074.133,9902.530,6280.832,9902.530
63,168.356,9125.311,9125.311,10139.094,6514.034,10139.094
64,171.258,9431.778,9431.778,10386.487,6747.236,10386.487
65,174.160,9556.845,9556.845,10642.602,6980.438,10642.602
66,177.063,9525.689,9525.689,10899.258,7213.640,10899.258
67,179.966,9890.111,9890.111,11148.098,7446.842,11148.098
68,182.870,9867.800,9867.800,11386.885,7680.044,11386.885
69,185.775,10148.111,10148.111,11621.582,7913.246,11621.582
70,188.681,10329.733,10329.733,11863.500,8146.448,11863.500
71,191.587,10284.978,10284.978,11825.104,8080.907,11825.104
