ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511
643,1905.008,0.000,-0.403,0.000,0.000,0.000,0.000
644,1907.980,0.921,0.921,0.000,0.000,0.000,0.000
645,1910.953,0.000,-0.259,0.000,0.000,0.000,0.000
646,1913.925,0.813,0.813,0.000,0.000,0.000,0.000
647,1916.896,0.000,-0.367,0.000,0.000,0.000,0.000
648,1919.868,2.993,2.993,0.000,0.000,0.000,0.000
649,1922.839,0.000,-0.871,0.000,0.000,0.000,0.000
650,1925.809,1.741,1.741,0.000,0.000,0.000,0.000
651,1928.780,2.417,2.417,0.000,0.000,0.000,0.000
652,1931.750,1.597,1.597,0.000,0.000,0.000,0.000
653,1934.720,0.849,0.849,0.000,0.000,0.000,0.000
654,1937.690,0.777,0.777,0.000,0.000,0.000,0.000
655,1940.659,0.000,-0.547,0.000,0.000,0.000,0.000
656,1943.628,0.000,-1.655,0.000,0.000,0.000,0.000
657,1946.596,2.669,2.669,0.000,0.000,0.000,0.000
658,1949.565,0.029,0.029,0.000,0.000,0.000,0.000
659,1952.533,0.000,-1.403,0.000,0.000,0.000,0.000
660,1955.501,0.000,-0.475,0.000,0.000,0.000,0.000
661,1958.468,0.000,-1.187,0.000,0.000,0.000,0.000
662,1961.435,0.000,-0.547,0.000,0.000,0.000,0.000
663,1964.402,0.000,-1.331,0.000,0.000,0.000,0.000
664,1967.369,2.885,2.885,0.000,0.000,0.000,0.000
665,1970.335,0.000,-1.403,0.000,0.000,0.000,0.000
666,1973.301,0.000,-1.151,0.000,0.000,0.000,0.000
667,1976.267,0.000,-0.187,0.000,0.000,0.000,0.000
668,1979.232,1.101,1.101,0.000,0.000,0.000,0.000
669,1982.197,2.885,2.885,0.000,0.000,0.000,0.000
670,1985.162,0.000,-1.151,0.000,0.000,0.000,0.000
671,1988.127,0.669,0.669,0.000,0.000,0.000,0.000
672,1991.091,0.000,-1.547,0.000,0.000,0.000,0.000
673,1994.055,0.000,-0.367,0.000,0.000,0.000,0.000
674,1997.018,0.000,-1.403,0.000,0.000,0.000,0.000
675,1999.982,0.000,-0.691,0.000,0.000,0.000,0.000
676,2002.945,1.813,1.813,0.000,0.000,0.000,0.000
677,2005.907,0.000,-0.223,0.000,0.000,0.000,0.000
678,2008.870,1.173,1.173,0.000,0.000,0.000,0.000
679,2011.832,0.000,-1.439,0.000,0.000,0.000,0.000
680,2014.794,0.000,-1.727,0.000,0.000,0.000,0.000
681,2017.755,1.489,1.489,0.000,0.000,0.000,0.000
682,2020.717,0.000,-0.619,0.000,0.000,0.000,0.000
683,2023.678,0.000,-1.331,0.000,0.000,0.000,0.000
684,2026.638,0.000,-0.475,0.000,0.000,0.000,0.000
685,2029.599,0.000,-0.403,0.000,0.000,0.000,0.000
686,2032.559,2.597,2.597,0.000,0.000,0.000,0.000
687,2035.519,2.741,2.741,0.000,0.000,0.000,0.000
688,2038.478,0.000,-1.331,0.000,0.000,0.000,0.000
689,2041.437,0.000,-1.331,0.000,0.000,0.000,0.000
690,2044.396,0.000,-0.439,0.000,0.000,0.000,0.000
691,2047.355,0.000,-1.835,0.000,0.000,0.000,0.000
692,2050.313,0.000,-0.295,0.000,0.000,0.000,0.000
693,2053.271,3.525,3.525,0.000,0.000,0.000,0.000
694,2056.229,0.000,-1.115,0.000,0.000,0.000,0.000
695,2059.187,0.000,-0.295,0.000,0.000,0.000,0.000
696,2062.144,0.705,0.705,0.000,0.000,0.000,0.000
697,2065.101,0.000,-1.079,0.000,0.000,0.000,0.000
698,2068.057,1.885,1.885,0.000,0.000,0.000,0.000
699,2071.014,0.000,-1.439,0.000,0.000,0.000,0.000
700,2073.970,0.453,0.453,0.000,0.000,0.000,0.000
701,2076.925,0.000,-0.547,0.000,0.000,0.000,0.000
702,2079.881,2.705,2.705,0.000,0.000,0.000,0.000
703,2082.836,3.309,3.309,0.000,0.000,0.000,0.000
704,2085.791,1.957,1.957,0.000,0.000,0.000,0.000
705,2088.746,0.381,0.381,0.000,0.000,0.000,0.000
706,2091.700,0.000,-0.871,0.000,0.000,0.000,0.000
707,2094.654,0.633,0.633,0.000,0.000,0.000,0.000
708,2097.608,0.000,-1.295,0.000,0.000,0.000,0.000
709,2100.561,0.381,0.381,0.000,0.000,0.000,0.000
710,2103.514,0.000,-0.835,0.000,0.000,0.000,0.000
711,2106.467,0.000,-1.655,0.000,0.000,0.000,0.000
712,2109.420,0.000,-0.331,0.000,0.000,0.000,0.000
713,2112.372,0.000,-0.727,0.000,0.000,0.000,0.000
714,2115.325,0.453,0.453,0.000,0.000,0.000,0.000
715,2118.276,0.000,-0.475,0.000,0.000,0.000,0.000
716,2121.228,0.000,-0.691,0.000,0.000,0.000,0.000
717,2124.179,0.000,-0.511,0.000,0.000,0.000,0.000
718,2127.130,0.000,-1.439,0.000,0.000,0.000,0.000
719,2130.081,0.000,-0.799,0.000,0.000,0.000,0.000
720,2133.031,0.633,0.633,0.000,0.000,0.000,0.000
721,2135.981,0.633,0.633,0.000,0.000,0.000,0.000
722,2138.931,0.000,-1.295,0.000,0.000,0.000,0.000
723,2141.881,3.273,3.273,0.000,0.000,0.000,0.000
724,2144.830,0.921,0.921,0.000,0.000,0.000,0.000
725,2147.779,0.000,-0.439,0.000,0.000,0.000,0.000
726,2150.728,0.381,0.381,0.000,0.000,0.000,0.000
727,2153.677,0.000,-0.295,0.000,0.000,0.000,0.000
728,2156.625,1.237,1.237,0.000,0.000,0.000,0.000
729,2159.573,0.633,0.633,0.000,0.000,0.000,0.000
730,2162.521,2.561,2.561,0.000,0.000,0.000,0.000
731,2165.468,3.921,3.921,0.000,0.000,0.000,0.000
732,2168.415,0.000,-0.259,0.000,0.000,0.000,0.000
733,2171.362,0.525,0.525,0.000,0.000,0.000,0.000
734,2174.309,0.000,-1.259,0.000,0.000,0.000,0.000
735,2177.255,0.000,-0.863,0.000,0.000,0.000,0.000
736,2180.202,0.000,-1.367,0.000,0.000,0.000,0.000
737,2183.147,0.561,0.561,0.000,0.000,0.000,0.000
738,2186.093,0.417,0.417,0.000,0.000,0.000,0.000
739,2189.038,0.000,-1.403,0.000,0.000,0.000,0.000
740,2191.984,4.633,4.633,0.000,0.000,0.000,0.000
741,2194.928,0.000,-1.439,0.000,0.000,0.000,0.000
742,2197.873,0.000,-1.439,0.000,0.000,0.000,0.000
743,2200.817,0.000,-0.583,0.000,0.000,0.000,0.000
744,2203.761,0.000,-0.079,0.000,0.000,0.000,0.000
745,2206.705,0.597,0.597,0.000,0.000,0.000,0.000
746,2209.649,0.000,-0.619,0.000,0.000,0.000,0.000
747,2212.592,1.165,1.165,0.000,0.000,0.000,0.000
748,2215.535,0.885,0.885,0.000,0.000,0.000,0.000
749,2218.478,0.000,-0.583,0.000,0.000,0.000,0.000
750,2221.421,3.597,3.597,0.000,0.000,0.000,0.000
751,2224.363,1.137,1.137,0.000,0.000,0.000,0.000
752,2227.305,0.000,-0.151,0.000,0.000,0.000,0.000
753,2230.247,0.669,0.669,0.000,0.000,0.000,0.000
754,2233.188,0.849,0.849,0.000,0.000,0.000,0.000
755,2236.130,0.525,0.525,0.000,0.000,0.000,0.000
756,2239.071,0.000,-0.043,0.000,0.000,0.000,0.000
757,2242.012,1.101,1.101,0.000,0.000,0.000,0.000
758,2244.952,0.101,0.101,0.000,0.000,0.000,0.000
759,2247.892,0.000,-0.971,0.000,0.000,0.000,0.000
760,2250.833,0.000,-0.223,0.000,0.000,0.000,0.000
761,2253.772,0.000,-1.043,0.000,0.000,0.000,0.000
762,2256.712,0.281,0.281,0.000,0.000,0.000,0.000
763,2259.651,0.000,-1.187,0.000,0.000,0.000,0.000
764,2262.591,0.000,-1.295,0.000,0.000,0.000,0.000
765,2265.530,0.000,-0.827,0.000,0.000,0.000,0.000
766,2268.468,0.921,0.921,0.000,0.000,0.000,0.000
767,2271.407,0.000,-1.151,0.000,0.000,0.000,0.000
768,2274.345,0.000,-0.079,0.000,0.000,0.000,0.000
769,2277.283,2.065,2.065,0.000,0.000,0.000,0.000
770,2280.221,0.741,0.741,0.000,0.000,0.000,0.000
771,2283.158,0.000,-0.935,0.000,0.000,0.000,0.000
772,2286.096,0.000,-0.187,0.000,0.000,0.000,0.000
773,2289.033,1.209,1.209,0.000,0.000,0.000,0.000
774,2291.969,1.173,1.173,0.000,0.000,0.000,0.000
775,2294.906,0.000,-0.683,0.000,0.000,0.000,0.000
776,2297.843,0.460,0.460,0.000,0.000,0.000,0.000
777,2300.779,1.993,1.993,0.000,0.000,0.000,0.000
778,2303.715,0.000,-0.295,0.000,0.000,0.000,0.000
779,2306.650,0.000,-1.115,0.000,0.000,0.000,0.000
780,2309.586,0.245,0.245,0.000,0.000,0.000,0.000
781,2312.521,0.000,-0.899,0.000,0.000,0.000,0.000
782,2315.456,0.065,0.065,0.000,0.000,0.000,0.000
783,2318.391,0.000,-0.151,0.000,0.000,0.000,0.000
784,2321.326,0.317,0.317,0.000,0.000,0.000,0.000
785,2324.260,0.000,-0.007,0.000,0.000,0.000,0.000
786,2327.195,0.000,-0.007,0.000,0.000,0.000,0.000
787,2330.129,1.101,1.101,0.000,0.000,0.000,0.000
788,2333.062,0.137,0.137,0.000,0.000,0.000,0.000
789,2335.996,0.000,-0.683,0.000,0.000,0.000,0.000
790,2338.929,0.352,0.352,0.000,0.000,0.000,0.000
791,2341.863,0.000,-0.648,0.000,0.000,0.000,0.000
792,2344.796,0.000,-0.899,0.000,0.000,0.000,0.000
793,2347.728,1.029,1.029,0.000,0.000,0.000,0.000
794,2350.661,0.000,-0.827,0.000,0.000,0.000,0.000
795,2353.594,0.000,-0.683,0.000,0.000,0.000,0.000
796,2356.526,0.065,0.065,0.000,0.000,0.000,0.000
797,2359.458,0.000,-0.007,0.000,0.000,0.000,0.000
798,2362.390,0.065,0.065,0.000,0.000,0.000,0.000
799,2365.321,0.065,0.065,0.000,0.000,0.000,0.000
800,2368.253,1.352,1.352,0.000,0.000,0.000,0.000
801,2371.184,0.101,0.101,0.000,0.000,0.000,0.000
802,2374.115,0.000,-0.755,0.000,0.000,0.000,0.000
803,2377.046,0.209,0.209,0.000,0.000,0.000,0.000
804,2379.976,0.000,-0.719,0.000,0.000,0.000,0.000
805,2382.907,0.604,0.604,0.000,0.000,0.000,0.000
806,2385.837,0.000,-0.755,0.000,0.000,0.000,0.000
807,2388.767,0.000,-0.863,0.000,0.000,0.000,0.000
808,2391.697,0.000,-0.791,0.000,0.000,0.000,0.000
809,2394.627,1.137,1.137,0.000,0.000,0.000,0.000
810,2397.557,0.101,0.101,0.000,0.000,0.000,0.000
811,2400.486,0.000,-0.612,0.000,0.000,0.000,0.000
812,2403.415,0.000,-0.683,0.000,0.000,0.000,0.000
813,2406.344,0.000,-1.115,0.000,0.000,0.000,0.000
814,2409.273,0.000,-0.935,0.000,0.000,0.000,0.000
815,2412.202,0.000,-0.863,0.000,0.000,0.000,0.000
816,2415.130,1.245,1.245,0.000,0.000,0.000,0.000
817,2418.059,0.209,0.209,0.000,0.000,0.000,0.000
818,2420.987,0.424,0.424,0.000,0.000,0.000,0.000
819,2423.915,1.885,1.885,0.000,0.000,0.000,0.000
820,2426.843,0.000,-0.719,0.000,0.000,0.000,0.000
821,2429.771,1.604,1.604,0.000,0.000,0.000,0.000
822,2432.698,0.000,-0.612,0.000,0.000,0.000,0.000
823,2435.626,0.000,-0.719,0.000,0.000,0.000,0.000
824,2438.553,0.000,-0.935,0.000,0.000,0.000,0.000
825,2441.480,0.000,-0.007,0.000,0.000,0.000,0.000
826,2444.407,0.209,0.209,0.000,0.000,0.000,0.000
827,2447.334,0.245,0.245,0.000,0.000,0.000,0.000
828,2450.260,0.000,-0.791,0.000,0.000,0.000,0.000
829,2453.187,0.424,0.424,0.000,0.000,0.000,0.000
830,2456.113,0.000,-0.576,0.000,0.000,0.000,0.000
831,2459.039,0.000,-0.719,0.000,0.000,0.000,0.000
832,2461.965,1.676,1.676,0.000,0.000,0.000,0.000
833,2464.891,0.496,0.496,0.000,0.000,0.000,0.000
834,2467.817,0.245,0.245,0.000,0.000,0.000,0.000
835,2470.743,0.000,-0.827,0.000,0.000,0.000,0.000
836,2473.668,0.317,0.317,0.000,0.000,0.000,0.000
837,2476.594,0.568,0.568,0.000,0.000,0.000,0.000
838,2479.519,0.352,0.352,0.000,0.000,0.000,0.000
839,2482.444,0.209,0.209,0.000,0.000,0.000,0.000
840,2485.369,0.424,0.424,0.000,0.000,0.000,0.000
841,2488.294,0.000,-0.648,0.000,0.000,0.000,0.000
842,2491.218,0.000,-0.683,0.000,0.000,0.000,0.000
843,2494.143,0.000,-0.648,0.000,0.000,0.000,0.000
844,2497.067,0.993,0.993,0.000,0.000,0.000,0.000
845,2499.992,0.000,-0.827,0.000,0.000,0.000,0.000
846,2502.916,0.460,0.460,0.000,0.000,0.000,0.000
847,2505.840,0.460,0.460,0.000,0.000,0.000,0.000
848,2508.764,0.000,-0.719,0.000,0.000,0.000,0.000
849,2511.688,0.000,-0.683,0.000,0.000,0.000,0.000
850,2514.612,0.137,0.137,0.000,0.000,0.000,0.000
851,2517.535,0.000,-0.755,0.000,0.000,0.000,0.000
852,2520.459,0.957,0.957,0.000,0.000,0.000,0.000
853,2523.382,0.000,-0.971,0.000,0.000,0.000,0.000
854,2526.306,0.209,0.209,0.000,0.000,0.000,0.000
855,2529.229,0.352,0.352,0.000,0.000,0.000,0.000
856,2532.152,1.209,1.209,0.000,0.000,0.000,0.000
857,2535.075,0.000,-0.935,0.000,0.000,0.000,0.000
858,2537.998,1.137,1.137,0.000,0.000,0.000,0.000
859,2540.921,0.000,-0.827,0.000,0.000,0.000,0.000
860,2543.844,0.000,-1.223,0.000,0.000,0.000,0.000
861,2546.766,0.885,0.885,0.000,0.000,0.000,0.000
862,2549.689,0.000,-1.043,0.000,0.000,0.000,0.000
863,2552.611,0.000,-0.223,0.000,0.000,0.000,0.000
864,2555.534,0.000,-0.727,0.000,0.000,0.000,0.000
865,2558.456,1.525,1.525,0.000,0.000,0.000,0.000
866,2561.378,0.000,-0.151,0.000,0.000,0.000,0.000
867,2564.300,0.000,-0.223,0.000,0.000,0.000,0.000
868,2567.222,0.000,-1.511,0.000,0.000,0.000,0.000
869,2570.144,0.000,-0.079,0.000,0.000,0.000,0.000
870,2573.066,0.525,0.525,0.000,0.000,0.000,0.000
871,2575.988,0.000,-0.727,0.000,0.000,0.000,0.000
872,2578.910,0.597,0.597,0.000,0.000,0.000,0.000
873,2581.832,0.000,-1.619,0.000,0.000,0.000,0.000
874,2584.753,0.000,-0.223,0.000,0.000,0.000,0.000
875,2587.675,1.705,1.705,0.000,0.000,0.000,0.000
876,2590.596,0.000,-1.583,0.000,0.000,0.000,0.000
877,2593.518,0.000,-0.079,0.000,0.000,0.000,0.000
878,2596.439,0.000,-0.583,0.000,0.000,0.000,0.000
879,2599.360,0.000,-0.223,0.000,0.000,0.000,0.000
880,2602.282,0.000,-0.583,0.000,0.000,0.000,0.000
881,2605.203,0.000,-0.223,0.000,0.000,0.000,0.000
882,2608.124,0.000,-0.259,0.000,0.000,0.000,0.000
883,2611.045,1.101,1.101,0.000,0.000,0.000,0.000
884,2613.966,0.000,-0.763,0.000,0.000,0.000,0.000
885,2616.887,0.000,-1.583,0.000,0.000,0.000,0.000
886,2619.808,0.000,-1.295,0.000,0.000,0.000,0.000
887,2622.729,0.000,-1.115,0.000,0.000,0.000,0.000
888,2625.650,0.000,-0.403,0.000,0.000,0.000,0.000
889,2628.571,0.000,-0.899,0.000,0.000,0.000,0.000
890,2631.492,1.281,1.281,0.000,0.000,0.000,0.000
891,2634.413,0.000,-0.223,0.000,0.000,0.000,0.000
892,2637.334,0.000,-1.079,0.000,0.000,0.000,0.000
893,2640.255,1.065,1.065,0.000,0.000,0.000,0.000
894,2643.175,1.173,1.173,0.000,0.000,0.000,0.000
895,2646.096,1.281,1.281,0.000,0.000,0.000,0.000
896,2649.017,0.000,-0.683,0.000,0.000,0.000,0.000
897,2651.937,0.496,0.496,0.000,0.000,0.000,0.000
898,2654.858,0.000,-0.612,0.000,0.000,0.000,0.000
899,2657.779,0.209,0.209,0.000,0.000,0.000,0.000
900,2660.699,0.532,0.532,0.000,0.000,0.000,0.000
901,2663.620,0.000,-0.540,0.000,0.000,0.000,0.000
902,2666.541,0.000,-0.648,0.000,0.000,0.000,0.000
903,2669.461,0.000,-0.683,0.000,0.000,0.000,0.000
904,2672.382,1.317,1.317,0.000,0.000,0.000,0.000
905,2675.303,0.000,-0.540,0.000,0.000,0.000,0.000
906,2678.223,2.352,2.352,0.000,0.000,0.000,0.000
907,2681.144,0.676,0.676,0.000,0.000,0.000,0.000
908,2684.065,0.000,-0.324,0.000,0.000,0.000,0.000
909,2686.985,0.532,0.532,0.000,0.000,0.000,0.000
910,2689.906,0.000,-0.504,0.000,0.000,0.000,0.000
911,2692.827,0.460,0.460,0.000,0.000,0.000,0.000
912,2695.748,1.496,1.496,0.000,0.000,0.000,0.000
913,2698.668,0.000,-0.288,0.000,0.000,0.000,0.000
914,2701.589,0.676,0.676,0.000,0.000,0.000,0.000
915,2704.510,0.000,-0.504,0.000,0.000,0.000,0.000
916,2707.431,0.000,-0.468,0.000,0.000,0.000,0.000
917,2710.352,0.000,-0.288,0.000,0.000,0.000,0.000
918,2713.272,0.000,-0.432,0.000,0.000,0.000,0.000
919,2716.193,0.000,-0.216,0.000,0.000,0.000,0.000
920,2719.114,0.000,-0.432,0.000,0.000,0.000,0.000
921,2722.035,0.748,0.748,0.000,0.000,0.000,0.000
922,2724.956,0.000,-0.468,0.000,0.000,0.000,0.000
923,2727.877,0.640,0.640,0.000,0.000,0.000,0.000
924,2730.799,0.000,-0.396,0.000,0.000,0.000,0.000
925,2733.720,0.000,-0.252,0.000,0.000,0.000,0.000
926,2736.641,0.784,0.784,0.000,0.000,0.000,0.000
927,2739.562,0.000,-0.288,0.000,0.000,0.000,0.000
928,2742.484,0.000,-0.468,0.000,0.000,0.000,0.000
929,2745.405,0.676,0.676,0.000,0.000,0.000,0.000
930,2748.326,0.000,-0.216,0.000,0.000,0.000,0.000
931,2751.248,0.000,-0.144,0.000,0.000,0.000,0.000
932,2754.170,0.000,-0.288,0.000,0.000,0.000,0.000
933,2757.091,0.000,-0.396,0.000,0.000,0.000,0.000
934,2760.013,0.000,-0.396,0.000,0.000,0.000,0.000
935,2762.935,0.000,-0.252,0.000,0.000,0.000,0.000
936,2765.857,0.568,0.568,0.000,0.000,0.000,0.000
937,2768.779,0.000,-0.360,0.000,0.000,0.000,0.000
938,2771.701,0.000,-0.468,0.000,0.000,0.000,0.000
939,2774.623,0.000,-0.324,0.000,0.000,0.000,0.000
940,2777.545,0.000,-0.324,0.000,0.000,0.000,0.000
941,2780.467,0.604,0.604,0.000,0.000,0.000,0.000
942,2783.390,0.000,-0.396,0.000,0.000,0.000,0.000
943,2786.312,0.000,-0.324,0.000,0.000,0.000,0.000
944,2789.235,0.000,-0.360,0.000,0.000,0.000,0.000
945,2792.158,0.000,-0.576,0.000,0.000,0.000,0.000
946,2795.080,0.748,0.748,0.000,0.000,0.000,0.000
947,2798.003,0.820,0.820,0.000,0.000,0.000,0.000
948,2800.926,0.000,-0.216,0.000,0.000,0.000,0.000
949,2803.850,0.000,-0.324,0.000,0.000,0.000,0.000
950,2806.773,0.000,-0.324,0.000,0.000,0.000,0.000
951,2809.696,0.000,-0.180,0.000,0.000,0.000,0.000
952,2812.620,0.676,0.676,0.000,0.000,0.000,0.000
953,2815.543,0.000,-0.144,0.000,0.000,0.000,0.000
954,2818.467,0.000,-0.396,0.000,0.000,0.000,0.000
955,2821.391,0.604,0.604,0.000,0.000,0.000,0.000
956,2824.315,0.000,-0.144,0.000,0.000,0.000,0.000
957,2827.239,0.000,-0.324,0.000,0.000,0.000,0.000
958,2830.163,0.000,-0.324,0.000,0.000,0.000,0.000
959,2833.088,1.748,1.748,0.000,0.000,0.000,0.000
960,2836.012,0.000,-0.216,0.000,0.000,0.000,0.000
961,2838.937,0.000,-0.288,0.000,0.000,0.000,0.000
962,2841.862,0.000,-0.324,0.000,0.000,0.000,0.000
963,2844.787,0.000,-0.216,0.000,0.000,0.000,0.000
964,2847.712,0.000,-0.288,0.000,0.000,0.000,0.000
965,2850.637,0.000,-0.360,0.000,0.000,0.000,0.000
966,2853.563,0.000,-0.252,0.000,0.000,0.000,0.000
967,2856.488,0.000,-0.252,0.000,0.000,0.000,0.000
968,2859.414,0.000,-0.288,0.000,0.000,0.000,0.000
969,2862.340,0.676,0.676,0.000,0.000,0.000,0.000
970,2865.266,0.000,-0.468,0.000,0.000,0.000,0.000
971,2868.193,0.748,0.748,0.000,0.000,0.000,0.000
972,2871.119,0.000,-0.396,0.000,0.000,0.000,0.000
973,2874.046,0.000,-0.252,0.000,0.000,0.000,0.000
974,2876.973,0.000,-0.216,0.000,0.000,0.000,0.000
975,2879.900,0.000,-0.396,0.000,0.000,0.000,0.000
976,2882.827,0.000,-0.288,0.000,0.000,0.000,0.000
977,2885.754,0.000,-0.288,0.000,0.000,0.000,0.000
978,2888.682,0.000,-0.252,0.000,0.000,0.000,0.000
979,2891.610,0.000,-0.144,0.000,0.000,0.000,0.000
980,2894.538,0.000,-0.468,0.000,0.000,0.000,0.000
981,2897.466,0.000,-0.468,0.000,0.000,0.000,0.000
982,2900.394,0.000,-0.216,0.000,0.000,0.000,0.000
983,2903.323,0.000,-0.360,0.000,0.000,0.000,0.000
984,2906.252,0.000,-0.252,0.000,0.000,0.000,0.000
985,2909.181,0.000,-0.396,0.000,0.000,0.000,0.000
986,2912.110,0.000,-0.252,0.000,0.000,0.000,0.000
987,2915.040,0.000,-0.324,0.000,0.000,0.000,0.000
988,2917.969,0.000,-0.180,0.000,0.000,0.000,0.000
989,2920.899,0.000,-0.144,0.000,0.000,0.000,0.000
990,2923.829,0.000,-0.180,0.000,0.000,0.000,0.000
991,2926.760,0.676,0.676,0.000,0.000,0.000,0.000
992,2929.690,0.000,-0.288,0.000,0.000,0.000,0.000
993,2932.621,0.640,0.640,0.000,0.000,0.000,0.000
994,2935.552,0.000,-0.324,0.000,0.000,0.000,0.000
995,2938.484,0.000,-0.180,0.000,0.000,0.000,0.000
996,2941.415,0.000,-0.360,0.000,0.000,0.000,0.000
997,2944.347,0.000,-0.324,0.000,0.000,0.000,0.000
998,2947.279,0.000,-0.252,0.000,0.000,0.000,0.000
999,2950.212,0.000,-0.288,0.000,0.000,0.000,0.000
1000,2953.144,0.000,-0.144,0.000,0.000,0.000,0.000
1001,2956.077,0.000,-0.144,0.000,0.000,0.000,0.000
1002,2959.010,0.748,0.748,0.000,0.000,0.000,0.000
1003,2961.944,0.640,0.640,0.000,0.000,0.000,0.000
1004,2964.878,0.000,-0.396,0.000,0.000,0.000,0.000
1005,2967.812,0.000,-0.252,0.000,0.000,0.000,0.000
1006,2970.746,0.000,-0.180,0.000,0.000,0.000,0.000
1007,2973.680,0.000,-0.288,0.000,0.000,0.000,0.000
1008,2976.615,0.000,-0.216,0.000,0.000,0.000,0.000
1009,2979.550,0.000,-0.144,0.000,0.000,0.000,0.000
1010,2982.486,0.000,-0.432,0.000,0.000,0.000,0.000
1011,2985.422,0.000,-0.288,0.000,0.000,0.000,0.000
1012,2988.358,0.000,-0.396,0.000,0.000,0.000,0.000
1013,2991.294,0.000,-0.252,0.000,0.000,0.000,0.000
1014,2994.231,0.000,-0.108,0.000,0.000,0.000,0.000
1015,2997.167,0.784,0.784,0.000,0.000,0.000,0.000
1016,3000.105,0.000,-0.288,0.000,0.000,0.000,0.000
1017,3003.042,0.640,0.640,0.000,0.000,0.000,0.000
1018,3005.980,0.000,-0.504,0.000,0.000,0.000,0.000
1019,3008.918,0.000,-0.324,0.000,0.000,0.000,0.000
1020,3011.857,0.000,-0.324,0.000,0.000,0.000,0.000
1021,3014.796,0.000,-0.324,0.000,0.000,0.000,0.000
1022,3017.735,0.000,-0.180,0.000,0.000,0.000,0.000
1023,3020.675,0.000,-0.216,0.000,0.000,0.000,0.000
