ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
0,-15.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-12.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-10.001,0.000,0.000,0.018,0.018,0.010,0.006,0.001,0.001,0.000,0.000
3,-7.189,0.000,0.000,0.319,0.319,0.175,0.106,0.025,0.009,0.004,0.000
4,-4.375,0.000,0.000,1.186,1.186,0.651,0.393,0.093,0.034,0.014,0.001
5,-1.560,13.616,13.616,1.435,1.435,0.787,0.476,0.112,0.041,0.017,0.001
6,1.257,303.253,303.253,1.640,1.601,0.879,0.531,0.164,0.046,0.019,0.001
7,4.075,2526.506,2526.506,5.254,1.354,0.743,0.449,4.006,0.039,0.016,0.001
8,6.895,11300.862,11300.862,10118.964,9977.086,5476.776,3311.220,920.306,286.145,119.562,4.876
9,9.717,25733.660,25733.660,22116.035,19952.640,10952.765,6621.965,3720.040,572.249,239.107,9.752
10,12.540,51818.515,51818.515,43318.164,29927.963,16429.848,9933.372,15722.994,858.409,358.676,14.628
11,15.364,72362.226,72362.226,73053.277,39903.122,21916.326,13250.458,36243.153,1145.061,478.450,19.513
12,18.190,94755.918,94755.918,93510.149,49878.507,27427.164,16582.273,47444.156,1432.986,598.756,24.420
13,21.018,104545.003,104545.003,107311.073,59854.127,32963.192,19929.318,51946.902,1722.226,719.612,29.349
14,23.847,127476.826,127476.826,122815.035,69829.808,38521.563,23289.916,58115.119,2012.632,840.954,34.298
15,26.677,152060.826,152060.826,142059.587,71658.765,39605.298,23945.915,75538.725,2069.219,864.598,35.262
16,29.509,183384.420,183384.420,178906.091,73487.723,40726.841,24635.302,110490.893,2127.337,888.880,36.252
17,32.342,207401.413,207401.413,217562.841,75316.681,42017.720,25555.231,146848.963,2188.601,914.424,37.294
18,35.177,211808.860,211808.860,242241.018,77145.639,44704.248,28576.200,165723.976,2256.073,941.453,38.394
19,38.014,199551.819,199551.819,248178.237,78974.597,59186.038,46340.125,139271.002,2369.773,970.699,39.538
20,40.851,174727.841,174727.841,232397.381,80803.554,95771.114,79406.283,53500.610,2668.761,1008.125,40.701
21,43.691,156861.152,156861.152,203617.829,82632.512,106838.432,75551.143,17137.923,2991.583,1055.174,41.853
22,46.531,158981.914,158981.914,179765.077,84461.470,102794.068,62532.840,10010.261,3267.476,1116.008,42.968
23,49.373,172427.907,172427.907,168446.106,86290.428,99705.894,55641.968,8266.503,3575.568,1210.801,44.052
24,52.217,194558.929,194558.929,163574.653,83866.602,98150.590,52565.208,7723.864,3778.239,1312.557,42.944
25,55.062,220641.178,220641.178,177519.349,81442.775,109954.543,54331.934,7771.039,3930.979,1487.790,41.826
26,57.908,287297.088,287297.088,243046.492,79018.949,164914.251,63951.438,8359.274,4021.140,1758.381,40.726
27,60.756,442968.463,442968.463,411732.912,76595.122,311155.128,84599.586,9525.638,4137.685,2273.761,39.718
28,63.605,769149.814,769149.814,709287.605,74171.296,578796.498,111504.632,10777.635,4557.911,3610.429,38.948
29,66.455,1168424.084,1168424.084,1067487.070,71747.470,914047.481,129134.113,11142.969,5855.175,7267.072,38.602
30,69.307,1434423.043,1434423.043,1323046.209,69323.643,1163232.349,125289.094,10226.034,8686.287,15572.002,38.802
31,72.161,1383213.617,1383213.617,1338519.606,66899.817,1181485.798,105936.781,8767.934,12951.011,29337.065,39.487
32,75.015,1119755.296,1119755.296,1136030.830,64475.991,980434.351,86715.216,7695.408,17010.575,44133.414,40.449
33,77.871,794319.748,794319.748,870346.737,62052.164,718553.094,74839.066,7214.551,18566.710,51130.317,41.658
34,80.729,625770.006,625770.006,662398.395,59628.338,526095.654,67193.940,7051.090,16920.124,45092.619,43.677
35,83.588,504704.960,504704.960,514729.172,57204.511,403850.792,59947.700,6968.360,13673.611,30239.914,47.555
36,86.448,378789.449,378789.449,385433.726,54780.685,299157.463,52996.119,6881.907,10809.211,15533.887,53.952
37,89.310,252283.899,252283.899,273286.922,58353.770,200294.777,50309.862,7175.329,9129.651,6309.545,66.549
38,92.172,168252.415,168252.415,191084.382,61926.856,123769.611,49594.468,7448.150,7934.804,2257.037,79.069
39,95.037,131839.478,131839.478,146845.649,65499.941,80981.945,50248.193,7700.692,6855.948,968.189,89.400
40,97.902,124340.371,124340.371,131067.722,69073.027,64844.278,51566.853,7944.450,5948.660,665.430,96.727
41,100.769,125608.965,125608.965,130136.213,72646.112,62770.199,53118.217,8191.109,5339.955,613.751,101.614
