ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI,continuum
614,1813.037,39.164,39.164,22.957,22.957,0.000,0.000,22.957
615,1816.009,36.816,36.816,22.850,22.850,0.000,0.000,22.850
616,1818.981,42.730,42.730,22.744,22.744,0.000,0.000,22.744
617,1821.953,35.947,35.947,22.637,22.637,0.000,0.000,22.637
618,1824.924,45.454,45.454,22.531,22.531,0.000,0.000,22.531
619,1827.895,49.888,49.888,22.425,22.425,0.000,0.000,22.425
620,1830.865,43.007,43.007,22.318,22.318,0.000,0.000,22.318
621,1833.836,34.526,34.526,22.212,22.212,0.000,0.000,22.212
622,1836.805,20.526,20.526,22.106,22.106,0.000,0.000,22.106
623,1839.775,24.309,24.309,21.999,21.999,0.000,0.000,21.999
624,1842.745,37.586,37.586,21.893,21.893,0.000,0.000,21.893
625,1845.714,24.309,24.309,21.787,21.787,0.000,0.000,21.787
626,1848.682,26.526,26.526,21.680,21.680,0.000,0.000,21.680
627,1851.651,20.092,20.092,21.574,21.574,0.000,0.000,21.574
628,1854.619,49.961,49.961,21.468,21.468,0.000,0.000,21.468
629,1857.587,26.178,26.178,21.361,21.361,0.000,0.000,21.361
630,1860.555,25.671,25.671,21.255,21.255,0.000,0.000,21.255
631,1863.522,21.961,21.961,21.149,21.149,0.000,0.000,21.149
632,1866.489,24.441,24.441,21.042,21.042,0.000,0.000,21.042
633,1869.456,28.599,28.599,20.936,20.936,0.000,0.000,20.936
634,1872.422,29.322,29.322,20.830,20.830,0.000,0.000,20.830
635,1875.388,37.467,37.467,20.723,20.723,0.000,0.000,20.723
636,1878.354,25.105,25.105,20.617,20.617,0.000,0.000,20.617
637,1881.319,22.033,22.033,20.510,20.510,0.000,0.000,20.510
638,1884.285,18.033,18.033,20.404,20.404,0.000,0.000,20.404
639,1887.250,23.309,23.309,20.298,20.298,0.000,0.000,20.298
640,1890.214,21.322,21.322,20.191,20.191,0.000,0.000,20.191
641,1893.178,25.757,25.757,20.085,20.085,0.000,0.000,20.085
642,1896.142,20.250,20.250,19.979,19.979,0.000,0.000,19.979
643,1899.106,26.178,26.178,19.872,19.872,0.000,0.000,19.872
644,1902.070,28.829,28.829,19.766,19.766,0.000,0.000,19.766
645,1905.033,15.467,15.467,19.660,19.660,0.000,0.000,19.660
646,1907.995,22.612,22.612,19.553,19.553,0.000,0.000,19.553
647,1910.958,21.250,21.250,19.447,19.447,0.000,0.000,19.447
648,1913.920,24.974,24.974,19.341,19.341,0.000,0.000,19.341
649,1916.882,23.237,23.237,19.234,19.234,0.000,0.000,19.234
650,1919.844,22.467,22.467,19.128,19.128,0.000,0.000,19.128
651,1922.805,24.816,24.816,19.022,19.022,0.000,0.000,19.022
652,1925.766,11.178,11.178,18.915,18.915,0.000,0.000,18.915
653,1928.727,18.684,18.684,18.809,18.809,0.000,0.000,18.809
654,1931.687,34.539,34.539,18.703,18.703,0.000,0.000,18.703
655,1934.647,15.888,15.888,18.596,18.596,0.000,0.000,18.596
656,1937.607,18.671,18.671,18.490,18.490,0.000,0.000,18.490
657,1940.567,22.322,22.322,18.383,18.383,0.000,0.000,18.383
658,1943.526,20.046,20.046,18.277,18.277,0.000,0.000,18.277
659,1946.485,21.178,21.178,18.171,18.171,0.000,0.000,18.171
660,1949.444,23.033,23.033,18.064,18.064,0.000,0.000,18.064
661,1952.402,13.612,13.612,17.958,17.958,0.000,0.000,17.958
662,1955.360,12.888,12.888,17.852,17.852,0.000,0.000,17.852
663,1958.318,15.322,15.322,17.745,17.745,0.000,0.000,17.745
664,1961.275,19.757,19.757,17.639,17.639,0.000,0.000,17.639
665,1964.232,15.178,15.178,17.533,17.533,0.000,0.000,17.533
666,1967.189,12.684,12.684,17.426,17.426,0.000,0.000,17.426
667,1970.146,18.612,18.612,17.320,17.320,0.000,0.000,17.320
668,1973.102,14.191,14.191,17.214,17.214,0.000,0.000,17.214
669,1976.058,25.757,25.757,17.107,17.107,0.000,0.000,17.107
670,1979.014,22.684,22.684,17.001,17.001,0.000,0.000,17.001
671,1981.969,11.322,11.322,16.895,16.895,0.000,0.000,16.895
672,1984.924,17.888,17.888,16.788,16.788,0.000,0.000,16.788
673,1987.879,21.250,21.250,16.682,16.682,0.000,0.000,16.682
674,1990.833,12.178,12.178,16.576,16.576,0.000,0.000,16.576
675,1993.788,9.599,9.599,16.469,16.469,0.000,0.000,16.469
676,1996.741,13.612,13.612,16.363,16.363,0.000,0.000,16.363
677,1999.695,22.539,22.539,16.256,16.256,0.000,0.000,16.256
678,2002.648,16.336,16.336,16.150,16.150,0.000,0.000,16.150
679,2005.601,16.105,16.105,16.044,16.044,0.000,0.000,16.044
680,2008.554,9.526,9.526,15.937,15.937,0.000,0.000,15.937
681,2011.507,13.961,13.961,15.831,15.831,0.000,0.000,15.831
682,2014.459,15.743,15.743,15.725,15.725,0.000,0.000,15.725
683,2017.411,13.322,13.322,15.618,15.618,0.000,0.000,15.618
684,2020.362,14.033,14.033,15.512,15.512,0.000,0.000,15.512
685,2023.313,14.178,14.178,15.406,15.406,0.000,0.000,15.406
686,2026.264,8.178,8.178,15.299,15.299,0.000,0.000,15.299
687,2029.215,15.467,15.467,15.193,15.193,0.000,0.000,15.193
688,2032.165,15.322,15.322,15.087,15.087,0.000,0.000,15.087
689,2035.115,9.322,9.322,14.980,14.980,0.000,0.000,14.980
690,2038.065,10.105,10.105,14.874,14.874,0.000,0.000,14.874
691,2041.015,10.309,10.309,14.768,14.768,0.000,0.000,14.768
692,2043.964,11.395,11.395,14.661,14.661,0.000,0.000,14.661
693,2046.913,14.033,14.033,14.555,14.555,0.000,0.000,14.555
694,2049.862,17.757,17.757,14.449,14.449,0.000,0.000,14.449
695,2052.810,10.395,10.395,14.342,14.342,0.000,0.000,14.342
696,2055.758,6.395,6.395,14.236,14.236,0.000,0.000,14.236
697,2058.706,12.829,12.829,14.129,14.129,0.000,0.000,14.129
698,2061.653,16.757,16.757,14.023,14.023,0.000,0.000,14.023
699,2064.601,18.105,18.105,13.917,13.917,0.000,0.000,13.917
700,2067.548,16.888,16.888,13.810,13.810,0.000,0.000,13.810
701,2070.494,10.888,10.888,13.704,13.704,0.000,0.000,13.704
702,2073.441,13.395,13.395,13.598,13.598,0.000,0.000,13.598
703,2076.387,16.599,16.599,13.491,13.491,0.000,0.000,13.491
704,2079.332,19.901,19.901,13.385,13.385,0.000,0.000,13.385
705,2082.278,12.743,12.743,13.279,13.279,0.000,0.000,13.279
706,2085.223,12.237,12.237,13.172,13.172,0.000,0.000,13.172
707,2088.168,16.250,16.250,13.066,13.066,0.000,0.000,13.066
708,2091.113,17.395,17.395,12.960,12.960,0.000,0.000,12.960
709,2094.057,14.743,14.743,12.853,12.853,0.000,0.000,12.853
710,2097.001,6.309,6.309,12.747,12.747,0.000,0.000,12.747
711,2099.945,17.671,17.671,12.641,12.641,0.000,0.000,12.641
712,2102.889,7.322,7.322,12.534,12.534,0.000,0.000,12.534
713,2105.832,10.526,10.526,12.428,12.428,0.000,0.000,12.428
714,2108.775,16.888,16.888,12.322,12.322,0.000,0.000,12.322
715,2111.718,14.033,14.033,12.215,12.215,0.000,0.000,12.215
716,2114.660,19.599,19.599,12.109,12.109,0.000,0.000,12.109
717,2117.602,10.961,10.961,12.003,12.003,0.000,0.000,12.003
718,2120.544,15.105,15.105,11.896,11.896,0.000,0.000,11.896
719,2123.486,18.382,18.382,11.790,11.790,0.000,0.000,11.790
720,2126.427,15.250,15.250,11.683,11.683,0.000,0.000,11.683
721,2129.368,15.250,15.250,11.577,11.577,0.000,0.000,11.577
722,2132.309,11.395,11.395,11.471,11.471,0.000,0.000,11.471
723,2135.250,12.526,12.526,11.364,11.364,0.000,0.000,11.364
724,2138.190,12.829,12.829,11.258,11.258,0.000,0.000,11.258
725,2141.130,16.105,16.105,11.152,11.152,0.000,0.000,11.152
726,2144.070,11.743,11.743,11.045,11.045,0.000,0.000,11.045
727,2147.009,17.395,17.395,10.939,10.939,0.000,0.000,10.939
728,2149.948,11.454,11.454,10.833,10.833,0.000,0.000,10.833
729,2152.887,11.250,11.250,10.760,10.760,0.000,0.000,10.760
730,2155.826,17.105,17.105,10.688,10.688,0.000,0.000,10.688
731,2158.764,12.829,12.829,10.616,10.616,0.000,0.000,10.616
732,2161.702,19.467,19.467,10.544,10.544,0.000,0.000,10.544
733,2164.640,12.033,12.033,10.471,10.471,0.000,0.000,10.471
734,2167.578,11.467,11.467,10.399,10.399,0.000,0.000,10.399
735,2170.515,14.263,14.263,10.327,10.327,0.000,0.000,10.327
736,2173.452,20.250,20.250,10.254,10.254,0.000,0.000,10.254
737,2176.389,5.105,5.105,10.182,10.182,0.000,0.000,10.182
738,2179.326,9.816,9.816,10.110,10.110,0.000,0.000,10.110
739,2182.262,15.178,15.178,10.037,10.037,0.000,0.000,10.037
740,2185.198,15.250,15.250,9.965,9.965,0.000,0.000,9.965
741,2188.134,10.105,10.105,9.893,9.893,0.000,0.000,9.893
742,2191.069,10.105,10.105,9.821,9.821,0.000,0.000,9.821
743,2194.004,12.816,12.816,9.748,9.748,0.000,0.000,9.748
744,2196.939,12.829,12.829,9.676,9.676,0.000,0.000,9.676
745,2199.874,11.178,11.178,9.604,9.604,0.000,0.000,9.604
746,2202.809,6.743,6.743,9.531,9.531,0.000,0.000,9.531
747,2205.743,9.309,9.309,9.459,9.459,0.000,0.000,9.459
748,2208.677,15.757,15.757,9.387,9.387,0.000,0.000,9.387
749,2211.611,11.816,11.816,9.315,9.315,0.000,0.000,9.315
750,2214.544,10.178,10.178,9.242,9.242,0.000,0.000,9.242
751,2217.477,15.263,15.263,9.170,9.170,0.000,0.000,9.170
752,2220.410,12.684,12.684,9.098,9.098,0.000,0.000,9.098
753,2223.343,6.322,6.322,9.025,9.025,0.000,0.000,9.025
754,2226.276,14.684,14.684,8.953,8.953,0.000,0.000,8.953
755,2229.208,12.033,12.033,8.881,8.881,0.000,0.000,8.881
756,2232.140,8.901,8.901,8.809,8.809,0.000,0.000,8.809
757,2235.072,13.191,13.191,8.736,8.736,0.000,0.000,8.736
758,2238.003,7.191,7.191,8.664,8.664,0.000,0.000,8.664
759,2240.934,4.046,4.046,8.592,8.592,0.000,0.000,8.592
760,2243.866,7.539,7.539,8.519,8.519,0.000,0.000,8.519
761,2246.796,10.901,10.901,8.447,8.447,0.000,0.000,8.447
762,2249.727,12.553,12.553,8.375,8.375,0.000,0.000,8.375
763,2252.657,5.612,5.612,8.303,8.303,0.000,0.000,8.303
764,2255.587,7.395,7.395,8.230,8.230,0.000,0.000,8.230
765,2258.517,11.336,11.336,8.158,8.158,0.000,0.000,8.158
766,2261.447,6.829,6.829,8.086,8.086,0.000,0.000,8.086
767,2264.376,5.684,5.684,8.013,8.013,0.000,0.000,8.013
768,2267.305,8.829,8.829,7.941,7.941,0.000,0.000,7.941
769,2270.234,9.118,9.118,7.869,7.869,0.000,0.000,7.869
770,2273.163,9.467,9.467,7.796,7.796,0.000,0.000,7.796
771,2276.092,6.118,6.118,7.724,7.724,0.000,0.000,7.724
772,2279.020,2.612,2.612,7.652,7.652,0.000,0.000,7.652
773,2281.948,3.408,3.408,7.580,7.580,0.000,0.000,7.580
774,2284.876,7.336,7.336,7.507,7.507,0.000,0.000,7.507
775,2287.803,9.625,9.625,7.435,7.435,0.000,0.000,7.435
776,2290.731,7.914,7.914,7.363,7.363,0.000,0.000,7.363
777,2293.658,3.974,3.974,7.290,7.290,0.000,0.000,7.290
778,2296.585,6.395,6.395,7.218,7.218,0.000,0.000,7.218
779,2299.511,5.757,5.757,7.146,7.146,0.000,0.000,7.146
780,2302.438,8.480,8.480,7.074,7.074,0.000,0.000,7.074
781,2305.364,7.191,7.191,7.001,7.001,0.000,0.000,7.001
782,2308.290,6.118,6.118,6.929,6.929,0.000,0.000,6.929
783,2311.216,3.684,3.684,6.857,6.857,0.000,0.000,6.857
784,2314.142,8.625,8.625,6.784,6.784,0.000,0.000,6.784
785,2317.067,5.974,5.974,6.712,6.712,0.000,0.000,6.712
786,2319.992,7.974,7.974,6.640,6.640,0.000,0.000,6.640
787,2322.917,2.191,2.191,6.568,6.568,0.000,0.000,6.568
788,2325.842,6.263,6.263,6.495,6.495,0.000,0.000,6.495
789,2328.767,3.625,3.625,6.423,6.423,0.000,0.000,6.423
790,2331.691,6.697,6.697,6.351,6.351,0.000,0.000,6.351
791,2334.615,0.697,0.697,6.278,6.278,0.000,0.000,6.278
792,2337.539,7.191,7.191,6.206,6.206,0.000,0.000,6.206
793,2340.463,6.046,6.046,6.134,6.134,0.000,0.000,6.134
794,2343.386,6.336,6.336,6.062,6.062,0.000,0.000,6.062
795,2346.310,8.625,8.625,5.989,5.989,0.000,0.000,5.989
796,2349.233,9.118,9.118,5.917,5.917,0.000,0.000,5.917
797,2352.156,6.974,6.974,5.845,5.845,0.000,0.000,5.845
798,2355.079,16.118,16.118,5.772,5.772,0.000,0.000,5.772
799,2358.001,8.118,8.118,5.700,5.700,0.000,0.000,5.700
800,2360.924,12.697,12.697,5.628,5.628,0.000,0.000,5.628
801,2363.846,6.191,6.191,5.555,5.555,0.000,0.000,5.555
802,2366.768,1.480,1.480,5.483,5.483,0.000,0.000,5.483
803,2369.690,0.000,-0.592,5.411,5.411,0.000,0.000,5.411
804,2372.611,7.553,7.553,5.339,5.339,0.000,0.000,5.339
805,2375.533,9.204,9.204,5.266,5.266,0.000,0.000,5.266
806,2378.454,11.480,11.480,5.194,5.194,0.000,0.000,5.194
807,2381.375,9.263,9.263,5.122,5.122,0.000,0.000,5.122
808,2384.296,6.408,6.408,5.049,5.049,0.000,0.000,5.049
809,2387.217,8.263,8.263,4.977,4.977,0.000,0.000,4.977
810,2390.137,4.191,4.191,4.905,4.905,0.000,0.000,4.905
811,2393.058,9.770,9.770,4.833,4.833,0.000,0.000,4.833
812,2395.978,5.625,5.625,4.760,4.760,0.000,0.000,4.760
813,2398.898,4.757,4.757,4.688,4.688,0.000,0.000,4.688
814,2401.818,7.118,7.118,4.616,4.616,0.000,0.000,4.616
815,2404.738,6.263,6.263,4.543,4.543,0.000,0.000,4.543
816,2407.657,3.480,3.480,4.471,4.471,0.000,0.000,4.471
817,2410.576,7.408,7.408,4.399,4.399,0.000,0.000,4.399
818,2413.496,3.842,3.842,4.327,4.327,0.000,0.000,4.327
819,2416.415,2.757,2.757,4.254,4.254,0.000,0.000,4.254
820,2419.334,2.553,2.553,4.182,4.182,0.000,0.000,4.182
821,2422.252,6.204,6.204,4.110,4.110,0.000,0.000,4.110
822,2425.171,9.770,9.770,4.037,4.037,0.000,0.000,4.037
823,2428.089,6.553,6.553,3.965,3.965,0.000,0.000,3.965
824,2431.007,4.118,4.118,3.893,3.893,0.000,0.000,3.893
825,2433.926,7.974,7.974,3.821,3.821,0.000,0.000,3.821
826,2436.843,3.408,3.408,3.748,3.748,0.000,0.000,3.748
827,2439.761,2.480,2.480,3.676,3.676,0.000,0.000,3.676
828,2442.679,4.408,4.408,3.604,3.604,0.000,0.000,3.604
829,2445.596,7.842,7.842,3.531,3.531,0.000,0.000,3.531
830,2448.514,1.842,1.842,3.459,3.459,0.000,0.000,3.459
831,2451.431,2.553,2.553,3.387,3.387,0.000,0.000,3.387
832,2454.348,2.349,2.349,3.314,3.314,0.000,0.000,3.314
833,2457.265,2.987,2.987,3.242,3.242,0.000,0.000,3.242
834,2460.181,4.480,4.480,3.170,3.170,0.000,0.000,3.170
835,2463.098,3.336,3.336,3.098,3.098,0.000,0.000,3.098
836,2466.015,1.625,1.625,3.025,3.025,0.000,0.000,3.025
837,2468.931,6.132,6.132,2.953,2.953,0.000,0.000,2.953
838,2471.847,6.697,6.697,2.881,2.881,0.000,0.000,2.881
839,2474.763,4.408,4.408,2.808,2.808,0.000,0.000,2.808
840,2477.679,2.842,2.842,2.736,2.736,0.000,0.000,2.736
841,2480.595,4.697,4.697,2.664,2.664,0.000,0.000,2.664
842,2483.511,5.625,5.625,2.592,2.592,0.000,0.000,2.592
843,2486.426,5.697,5.697,2.519,2.519,0.000,0.000,2.519
844,2489.342,5.974,5.974,2.447,2.447,0.000,0.000,2.447
845,2492.257,4.336,4.336,2.375,2.375,0.000,0.000,2.375
846,2495.172,3.914,3.914,2.302,2.302,0.000,0.000,2.302
847,2498.087,4.914,4.914,2.230,2.230,0.000,0.000,2.230
848,2501.002,3.553,3.553,2.158,2.158,0.000,0.000,2.158
849,2503.917,2.625,2.625,2.086,2.086,0.000,0.000,2.086
850,2506.832,9.263,9.263,2.013,2.013,0.000,0.000,2.013
851,2509.747,9.480,9.480,1.941,1.941,0.000,0.000,1.941
852,2512.661,7.901,7.901,1.869,1.869,0.000,0.000,1.869
853,2515.576,3.046,3.046,1.796,1.796,0.000,0.000,1.796
854,2518.490,3.408,3.408,1.724,1.724,0.000,0.000,1.724
855,2521.404,2.697,2.697,1.652,1.652,0.000,0.000,1.652
856,2524.318,4.408,4.408,1.580,1.580,0.000,0.000,1.580
857,2527.232,2.118,2.118,1.507,1.507,0.000,0.000,1.507
858,2530.146,2.263,2.263,1.435,1.435,0.000,0.000,1.435
859,2533.060,5.336,5.336,1.363,1.363,0.000,0.000,1.363
860,2535.974,1.539,1.539,1.353,1.353,0.000,0.000,1.353
861,2538.887,2.757,2.757,1.344,1.344,0.000,0.000,1.344
862,2541.801,1.901,1.901,1.334,1.334,0.000,0.000,1.334
863,2544.714,4.539,4.539,1.325,1.325,0.000,0.000,1.325
864,2547.628,1.526,1.526,1.316,1.316,0.000,0.000,1.316
865,2550.541,4.033,4.033,1.306,1.306,0.000,0.000,1.306
866,2553.454,3.684,3.684,1.297,1.297,0.000,0.000,1.297
867,2556.367,0.539,0.539,1.287,1.287,0.000,0.000,1.287
868,2559.280,0.000,-1.039,1.278,1.278,0.000,0.000,1.278
869,2562.193,6.829,6.829,1.269,1.269,0.000,0.000,1.269
870,2565.106,2.033,2.033,1.259,1.259,0.000,0.000,1.259
871,2568.019,0.000,-1.474,1.250,1.250,0.000,0.000,1.250
872,2570.932,4.178,4.178,1.240,1.240,0.000,0.000,1.240
873,2573.845,4.743,4.743,1.231,1.231,0.000,0.000,1.231
874,2576.757,0.539,0.539,1.222,1.222,0.000,0.000,1.222
875,2579.670,2.395,2.395,1.212,1.212,0.000,0.000,1.212
876,2582.582,1.816,1.816,1.203,1.203,0.000,0.000,1.203
877,2585.495,0.000,-2.171,1.193,1.193,0.000,0.000,1.193
878,2588.407,6.816,6.816,1.184,1.184,0.000,0.000,1.184
879,2591.320,0.000,-0.461,1.175,1.175,0.000,0.000,1.175
880,2594.232,0.000,-0.184,1.165,1.165,0.000,0.000,1.165
881,2597.144,1.539,1.539,1.156,1.156,0.000,0.000,1.156
882,2600.056,2.467,2.467,1.147,1.147,0.000,0.000,1.147
883,2602.968,4.191,4.191,1.137,1.137,0.000,0.000,1.137
884,2605.880,2.454,2.454,1.128,1.128,0.000,0.000,1.128
885,2608.793,3.816,3.816,1.118,1.118,0.000,0.000,1.118
886,2611.705,0.000,-0.605,1.109,1.109,0.000,0.000,1.109
887,2614.616,5.757,5.757,1.100,1.100,0.000,0.000,1.100
888,2617.528,1.178,1.178,1.090,1.090,0.000,0.000,1.090
889,2620.440,3.191,3.191,1.081,1.081,0.000,0.000,1.081
890,2623.352,0.553,0.553,1.071,1.071,0.000,0.000,1.071
891,2626.264,0.000,-0.461,1.062,1.062,0.000,0.000,1.062
892,2629.176,2.829,2.829,1.053,1.053,0.000,0.000,1.053
893,2632.088,3.118,3.118,1.043,1.043,0.000,0.000,1.043
894,2634.999,0.336,0.336,1.034,1.034,0.000,0.000,1.034
895,2637.911,0.000,-0.447,1.024,1.024,0.000,0.000,1.024
896,2640.823,5.625,5.625,1.015,1.015,0.000,0.000,1.015
897,2643.735,0.000,-0.013,1.006,1.006,0.000,0.000,1.006
898,2646.646,2.770,2.770,0.996,0.996,0.000,0.000,0.996
899,2649.558,6.408,6.408,0.987,0.987,0.000,0.000,0.987
900,2652.470,5.059,5.059,0.977,0.977,0.000,0.000,0.977
901,2655.381,0.914,0.914,0.968,0.968,0.000,0.000,0.968
902,2658.293,3.697,3.697,0.959,0.959,0.000,0.000,0.959
903,2661.205,2.625,2.625,0.949,0.949,0.000,0.000,0.949
904,2664.116,2.625,2.625,0.940,0.940,0.000,0.000,0.940
905,2667.028,4.914,4.914,0.930,0.930,0.000,0.000,0.930
906,2669.939,1.697,1.697,0.921,0.921,0.000,0.000,0.921
907,2672.851,0.349,0.349,0.912,0.912,0.000,0.000,0.912
908,2675.763,0.349,0.349,0.902,0.902,0.000,0.000,0.902
909,2678.675,4.059,4.059,0.893,0.893,0.000,0.000,0.893
910,2681.586,0.987,0.987,0.883,0.883,0.000,0.000,0.883
911,2684.498,0.914,0.914,0.874,0.874,0.000,0.000,0.874
912,2687.410,0.987,0.987,0.865,0.865,0.000,0.000,0.865
913,2690.321,0.000,-0.579,0.855,0.855,0.000,0.000,0.855
914,2693.233,3.349,3.349,0.846,0.846,0.000,0.000,0.846
915,2696.145,0.987,0.987,0.836,0.836,0.000,0.000,0.836
916,2699.057,1.059,1.059,0.827,0.827,0.000,0.000,0.827
917,2701.969,1.421,1.421,0.818,0.818,0.000,0.000,0.818
918,2704.881,1.132,1.132,0.808,0.808,0.000,0.000,0.808
919,2707.792,0.566,0.566,0.799,0.799,0.000,0.000,0.799
920,2710.704,0.132,0.132,0.789,0.789,0.000,0.000,0.789
921,2713.616,1.493,1.493,0.780,0.780,0.000,0.000,0.780
922,2716.528,0.000,-0.941,0.771,0.771,0.000,0.000,0.771
923,2719.441,1.276,1.276,0.761,0.761,0.000,0.000,0.761
924,2722.353,4.204,4.204,0.752,0.752,0.000,0.000,0.752
925,2725.265,0.493,0.493,0.742,0.742,0.000,0.000,0.742
926,2728.177,0.566,0.566,0.733,0.733,0.000,0.000,0.733
927,2731.089,0.000,-0.579,0.724,0.724,0.000,0.000,0.724
928,2734.002,0.059,0.059,0.714,0.714,0.000,0.000,0.714
929,2736.914,0.349,0.349,0.705,0.705,0.000,0.000,0.705
930,2739.827,0.566,0.566,0.695,0.695,0.000,0.000,0.695
931,2742.739,3.711,3.711,0.686,0.686,0.000,0.000,0.686
932,2745.652,2.421,2.421,0.677,0.677,0.000,0.000,0.677
933,2748.564,0.000,-0.796,0.667,0.667,0.000,0.000,0.667
934,2751.477,0.000,-0.796,0.658,0.658,0.000,0.000,0.658
935,2754.390,1.493,1.493,0.648,0.648,0.000,0.000,0.648
936,2757.303,0.000,-0.868,0.639,0.639,0.000,0.000,0.639
937,2760.216,3.276,3.276,0.630,0.630,0.000,0.000,0.630
938,2763.129,2.059,2.059,0.620,0.620,0.000,0.000,0.620
939,2766.042,0.000,-0.651,0.611,0.611,0.000,0.000,0.611
940,2768.955,1.349,1.349,0.601,0.601,0.000,0.000,0.601
941,2771.869,0.000,-0.796,0.592,0.592,0.000,0.000,0.592
942,2774.782,0.000,-0.796,0.583,0.583,0.000,0.000,0.583
943,2777.695,0.349,0.349,0.573,0.573,0.000,0.000,0.573
944,2780.609,0.000,-0.724,0.564,0.564,0.000,0.000,0.564
945,2783.523,0.000,-1.158,0.554,0.554,0.000,0.000,0.554
946,2786.437,0.000,-0.507,0.545,0.545,0.000,0.000,0.545
947,2789.350,0.638,0.638,0.536,0.536,0.000,0.000,0.536
948,2792.264,0.000,-0.434,0.526,0.526,0.000,0.000,0.526
949,2795.179,0.349,0.349,0.517,0.517,0.000,0.000,0.517
950,2798.093,1.349,1.349,0.507,0.507,0.000,0.000,0.507
951,2801.007,0.638,0.638,0.498,0.498,0.000,0.000,0.498
952,2803.922,0.349,0.349,0.489,0.489,0.000,0.000,0.489
953,2806.836,0.711,0.711,0.479,0.479,0.000,0.000,0.479
954,2809.751,1.204,1.204,0.470,0.470,0.000,0.000,0.470
955,2812.666,0.000,-0.796,0.460,0.460,0.000,0.000,0.460
956,2815.581,0.000,-0.289,0.451,0.451,0.000,0.000,0.451
957,2818.496,2.349,2.349,0.442,0.442,0.000,0.000,0.442
958,2821.411,0.349,0.349,0.432,0.432,0.000,0.000,0.432
959,2824.327,0.000,-0.507,0.423,0.423,0.000,0.000,0.423
960,2827.242,1.566,1.566,0.413,0.413,0.000,0.000,0.413
961,2830.158,2.421,2.421,0.404,0.404,0.000,0.000,0.404
962,2833.074,1.349,1.349,0.395,0.395,0.000,0.000,0.395
963,2835.990,0.566,0.566,0.385,0.385,0.000,0.000,0.385
964,2838.906,0.421,0.421,0.376,0.376,0.000,0.000,0.376
965,2841.822,1.276,1.276,0.367,0.367,0.000,0.000,0.367
966,2844.739,1.493,1.493,0.357,0.357,0.000,0.000,0.357
967,2847.655,0.000,-0.507,0.348,0.348,0.000,0.000,0.348
968,2850.572,0.421,0.421,0.338,0.338,0.000,0.000,0.338
969,2853.489,0.000,-0.651,0.329,0.329,0.000,0.000,0.329
970,2856.406,0.059,0.059,0.320,0.320,0.000,0.000,0.320
971,2859.323,0.000,-0.507,0.310,0.310,0.000,0.000,0.310
972,2862.241,0.204,0.204,0.301,0.301,0.000,0.000,0.301
973,2865.159,1.493,1.493,0.291,0.291,0.000,0.000,0.291
974,2868.076,0.000,-0.434,0.282,0.282,0.000,0.000,0.282
975,2870.994,1.204,1.204,0.273,0.273,0.000,0.000,0.273
976,2873.913,0.000,-0.579,0.263,0.263,0.000,0.000,0.263
977,2876.831,2.421,2.421,0.254,0.254,0.000,0.000,0.254
978,2879.750,0.493,0.493,0.244,0.244,0.000,0.000,0.244
979,2882.668,2.711,2.711,0.235,0.235,0.000,0.000,0.235
980,2885.587,2.059,2.059,0.226,0.226,0.000,0.000,0.226
981,2888.506,0.059,0.059,0.216,0.216,0.000,0.000,0.216
982,2891.426,0.566,0.566,0.207,0.207,0.000,0.000,0.207
983,2894.345,0.276,0.276,0.197,0.197,0.000,0.000,0.197
984,2897.265,0.493,0.493,0.188,0.188,0.000,0.000,0.188
985,2900.185,1.204,1.204,0.179,0.179,0.000,0.000,0.179
986,2903.106,3.493,3.493,0.169,0.169,0.000,0.000,0.169
987,2906.026,1.349,1.349,0.160,0.160,0.000,0.000,0.160
988,2908.947,1.638,1.638,0.150,0.150,0.000,0.000,0.150
989,2911.868,0.000,-0.289,0.141,0.141,0.000,0.000,0.141
990,2914.789,0.000,-0.362,0.132,0.132,0.000,0.000,0.132
991,2917.710,1.349,1.349,0.122,0.122,0.000,0.000,0.122
992,2920.632,0.000,-0.579,0.113,0.113,0.000,0.000,0.113
993,2923.554,0.276,0.276,0.103,0.103,0.000,0.000,0.103
994,2926.476,0.000,-0.651,0.094,0.094,0.000,0.000,0.094
995,2929.398,0.638,0.638,0.085,0.085,0.000,0.000,0.085
996,2932.321,0.000,-0.724,0.075,0.075,0.000,0.000,0.075
997,2935.243,0.000,-0.651,0.066,0.066,0.000,0.000,0.066
998,2938.166,0.493,0.493,0.056,0.056,0.000,0.000,0.056
999,2941.090,0.000,-0.579,0.047,0.047,0.000,0.000,0.047
1000,2944.013,0.000,-0.289,0.038,0.038,0.000,0.000,0.038
1001,2946.937,0.711,0.711,0.028,0.028,0.000,0.000,0.028
1002,2949.861,0.000,-0.507,0.019,0.019,0.000,0.000,0.019
1003,2952.786,0.000,-0.724,0.009,0.009,0.000,0.000,0.009
1004,2955.710,0.000,-0.796,0.000,0.000,0.000,0.000,0.000
1005,2958.635,0.000,-0.507,0.000,0.000,0.000,0.000,0.000
1006,2961.561,0.000,-0.362,0.000,0.000,0.000,0.000,0.000
1007,2964.486,0.000,-0.579,0.000,0.000,0.000,0.000,0.000
1008,2967.412,0.000,-0.434,0.000,0.000,0.000,0.000,0.000
1009,2970.338,0.000,-0.289,0.000,0.000,0.000,0.000,0.000
1010,2973.264,0.000,-0.868,0.000,0.000,0.000,0.000,0.000
