ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI,continuum
338,984.531,35797.783,35797.783,34727.511,2695.263,34727.511,0.000,0.000
339,987.544,33465.638,33465.638,32785.420,2680.085,32785.420,0.000,0.000
340,990.556,29168.796,29168.796,30742.087,2664.906,30742.087,0.000,0.000
341,993.569,28796.421,28796.421,28660.621,2649.728,28660.621,0.000,0.000
342,996.582,26563.158,26563.158,26599.252,2634.549,26599.252,0.000,0.000
343,999.595,24357.842,24357.842,24609.049,2619.371,24609.049,0.000,0.000
344,1002.609,20883.257,20883.257,22732.498,2604.192,22732.498,0.000,0.000
345,1005.622,20362.868,20362.868,21002.929,2589.014,21002.929,0.000,0.000
346,1008.635,19168.434,19168.434,19444.753,2573.835,19444.753,0.000,0.000
347,1011.649,17938.987,17938.987,18074.349,2558.657,18074.349,0.000,0.000
348,1014.663,16644.421,16644.421,16901.423,2543.478,16901.423,0.000,0.000
349,1017.676,14800.059,14800.059,15930.640,2528.300,15930.640,0.000,0.000
350,1020.690,15091.520,15091.520,15163.312,2513.121,15163.312,0.000,0.000
351,1023.704,14874.434,14874.434,14598.983,2497.943,14598.983,0.000,0.000
352,1026.718,14354.592,14354.592,14236.743,2482.764,14236.743,0.000,0.000
353,1029.732,13696.882,13696.882,14076.194,2467.586,14076.194,0.000,0.000
354,1032.746,14344.737,14344.737,14118.005,2452.407,14118.005,0.000,0.000
355,1035.760,14591.809,14591.809,14364.035,2437.229,14364.035,0.000,0.000
356,1038.774,15611.941,15611.941,14817.076,2422.050,14817.076,0.000,0.000
357,1041.789,16012.375,16012.375,15480.242,2406.872,15480.242,0.000,0.000
358,1044.803,16837.914,16837.914,16356.105,2391.693,16356.105,0.000,0.000
359,1047.818,17818.967,17818.967,17445.656,2376.515,17445.656,0.000,0.000
360,1050.832,19538.855,19538.855,18747.183,2361.336,18747.183,0.000,0.000
361,1053.847,21179.579,21179.579,20255.186,2346.158,20255.186,0.000,0.000
362,1056.861,22446.882,22446.882,21959.391,2330.979,21959.391,0.000,0.000
363,1059.876,24507.783,24507.783,23843.968,2315.801,23843.968,0.000,0.000
364,1062.891,26804.941,26804.941,25887.019,2300.623,25887.019,0.000,0.000
365,1065.905,28756.434,28756.434,28060.375,2285.444,28060.375,0.000,0.000
366,1068.920,31293.230,31293.230,30329.758,2270.266,30329.758,0.000,0.000
367,1071.935,33713.145,33713.145,32655.294,2255.087,32655.294,0.000,0.000
368,1074.950,36409.651,36409.651,34992.383,2239.909,34992.383,0.000,0.000
369,1077.965,38347.750,38347.750,37292.884,2224.730,37292.884,0.000,0.000
370,1080.980,40882.289,40882.289,39506.566,2209.552,39506.566,0.000,0.000
371,1083.995,43017.822,43017.822,41582.742,2194.373,41582.742,0.000,0.000
372,1087.010,44423.000,44423.000,43472.027,2179.195,43472.027,0.000,0.000
373,1090.025,46964.954,46964.954,45128.104,2164.016,45128.104,0.000,0.000
374,1093.040,47644.941,47644.941,46509.432,2148.838,46509.432,0.000,0.000
375,1096.055,49128.842,49128.842,47580.795,2133.659,47580.795,0.000,0.000
376,1099.070,49530.895,49530.895,48314.622,2118.481,48314.622,0.000,0.000
377,1102.085,49670.072,49670.072,48692.014,2103.302,48692.014,0.000,0.000
378,1105.100,50156.882,50156.882,48703.433,2088.124,48703.433,0.000,0.000
379,1108.116,49619.303,49619.303,48349.011,2072.945,48349.011,0.000,0.000
380,1111.131,48759.184,48759.184,47638.478,2057.767,47638.478,0.000,0.000
381,1114.146,47974.750,47974.750,46590.713,2042.588,46590.713,0.000,0.000
382,1117.161,46521.421,46521.421,45232.930,2027.410,45232.930,0.000,0.000
383,1120.176,44683.099,44683.099,43599.553,2012.231,43599.553,0.000,0.000
384,1123.192,42324.329,42324.329,41730.833,1997.053,41730.833,0.000,0.000
385,1126.207,40462.013,40462.013,39671.260,1981.874,39671.260,0.000,0.000
386,1129.222,37723.520,37723.520,37467.870,1966.696,37467.870,0.000,0.000
387,1132.237,35047.835,35047.835,35168.518,1951.517,35168.518,0.000,0.000
388,1135.252,33103.026,33103.026,32820.192,1936.339,32820.192,0.000,0.000
389,1138.267,30566.605,30566.605,30467.475,1921.160,30467.475,0.000,0.000
390,1141.283,28203.691,28203.691,28151.193,1905.982,28151.193,0.000,0.000
391,1144.298,25718.605,25718.605,25907.328,1890.803,25907.328,0.000,0.000
392,1147.313,23470.533,23470.533,23766.233,1875.625,23766.233,0.000,0.000
393,1150.328,21510.882,21510.882,21752.146,1860.446,21752.146,0.000,0.000
394,1153.343,19404.257,19404.257,19883.033,1845.268,19883.033,0.000,0.000
