ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
0,-2.595,0.000,0.000,0.000,0.000,0.000,0.000
1,0.155,0.000,0.000,0.063,0.063,0.062,0.001
2,2.907,0.000,0.000,0.126,0.126,0.124,0.002
3,5.661,0.000,0.000,0.189,0.189,0.186,0.003
4,8.417,0.000,0.000,0.252,0.252,0.248,0.004
5,11.175,0.000,-0.765,0.315,0.315,0.310,0.005
6,13.934,6.671,6.671,0.378,0.378,0.372,0.006
7,16.696,21.189,21.189,0.441,0.441,0.434,0.007
8,19.459,112.357,112.357,138.414,138.414,136.267,2.147
9,22.224,247.609,247.609,276.387,276.387,272.099,4.288
10,24.991,513.496,513.496,414.359,414.359,407.931,6.429
11,27.759,692.710,692.710,552.332,552.332,543.763,8.569
12,30.529,809.136,809.136,690.305,690.305,679.595,10.710
13,33.302,920.835,920.835,828.278,828.278,815.427,12.850
14,36.075,852.257,852.257,966.250,966.250,951.259,14.991
15,38.851,988.064,988.064,984.823,984.823,969.544,15.279
16,41.628,1032.399,1032.399,1003.396,1003.396,987.829,15.567
17,44.408,1011.076,1011.076,1021.969,1021.969,1006.113,15.855
18,47.188,907.504,907.504,1040.542,1040.542,1024.398,16.144
19,49.971,1048.451,1048.451,1059.115,1059.115,1042.683,16.432
20,52.755,1039.056,1039.056,1077.687,1077.687,1060.968,16.720
21,55.541,949.998,949.998,1096.260,1096.260,1079.252,17.008
22,58.329,1017.015,1017.015,1114.833,1114.833,1097.537,17.296
23,61.119,1091.200,1091.200,1133.406,1133.406,1115.822,17.584
24,63.910,1143.438,1143.438,1151.979,1151.979,1134.106,17.873
25,66.702,1167.550,1167.550,1170.552,1170.552,1152.391,18.161
26,69.497,1180.565,1180.565,1155.338,1155.337,1137.414,17.925
27,72.293,1163.924,1163.924,1140.134,1140.121,1122.445,17.689
28,75.091,1088.058,1088.058,1124.992,1124.906,1107.536,17.455
29,77.890,1236.692,1236.692,1110.153,1109.691,1092.922,17.231
30,80.691,1183.267,1183.267,1096.518,1094.476,1079.474,17.044
31,83.494,1208.505,1208.505,1086.656,1079.260,1069.679,16.978
32,86.298,1323.802,1323.802,1086.104,1064.045,1068.894,17.210
33,89.104,1245.778,1245.778,1103.337,1048.830,1085.314,18.023
34,91.912,1243.521,1243.521,1146.084,1033.615,1126.397,19.687
35,94.721,1168.400,1168.400,1214.241,1018.400,1192.011,22.230
36,97.532,1265.539,1265.539,1295.061,1003.184,1269.783,25.278
37,100.344,1338.241,1338.241,1367.320,987.969,1339.149,28.172
38,103.158,1490.972,1490.972,1413.276,972.754,1382.949,30.328
39,105.974,1458.304,1458.304,1428.691,957.539,1397.160,31.531
40,108.791,1307.327,1307.327,1423.224,942.323,1391.298,31.926
41,111.609,1376.214,1376.214,1412.831,927.108,1381.009,31.822
42,114.430,1470.928,1470.928,1450.434,951.623,1418.316,32.118
43,117.251,1455.442,1455.442,1500.912,976.139,1468.519,32.393
44,120.075,1509.219,1509.219,1559.448,1000.654,1526.732,32.716
45,122.899,1610.218,1610.218,1615.802,1025.169,1582.735,33.067
46,125.726,1654.067,1654.067,1660.698,1049.684,1627.308,33.390
47,128.554,1631.792,1631.792,1690.564,1074.199,1656.913,33.651
48,131.383,1648.426,1648.426,1708.032,1098.715,1674.181,33.851
49,134.214,1630.597,1630.597,1719.165,1123.230,1685.146,34.019
50,137.046,1822.785,1822.785,1730.212,1147.745,1696.023,34.189
51,139.880,1825.961,1825.961,1745.577,1172.260,1711.166,34.412
52,142.715,1830.980,1830.980,1766.920,1196.775,1732.169,34.751
53,145.552,1823.391,1823.391,1793.088,1221.291,1757.826,35.262
54,148.390,1867.952,1867.952,1821.068,1245.806,1785.117,35.951
55,151.230,1807.751,1807.751,1847.782,1270.321,1811.018,36.763
56,154.071,1744.114,1744.114,1871.729,1294.836,1834.133,37.596
57,156.914,1764.129,1764.129,1893.448,1319.351,1855.096,38.352
58,159.758,1904.538,1904.538,1914.674,1343.867,1875.696,38.978
