node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
81,207.918,3000000,0.692,30.162,219850,130804,62.697,719,0.205
82,217.710,3000000,0.676,30.161,216354,130918,62.301,503,0.145
83,227.964,3000000,0.677,30.225,213291,131202,61.914,674,0.196
84,238.700,3000000,0.670,30.289,209294,130079,61.671,1050,0.309
85,249.942,3000000,0.664,30.184,204538,131073,60.945,503,0.150
86,261.714,3000000,0.678,29.921,200121,132110,60.235,298,0.090
87,274.039,3000000,0.705,30.066,194485,132774,59.428,405,0.124
88,286.946,3000000,0.730,30.127,189354,133873,58.582,783,0.242
89,300.460,3000000,0.751,29.869,183890,135567,57.563,499,0.156
90,314.610,3000000,0.783,29.765,178407,136895,56.583,527,0.167
91,329.427,3000000,0.807,29.242,171981,138304,55.427,109,0.035
92,344.942,3000000,0.827,29.263,166413,139153,54.461,442,0.145
93,361.188,3000000,0.823,29.136,159304,140666,53.107,29,0.010
94,378.198,3000000,0.811,29.167,153832,142827,51.855,224,0.076
95,396.010,3000000,0.805,29.516,148423,143397,50.861,156,0.053
96,414.661,3000000,0.798,28.924,141693,144589,49.494,236,0.082
97,434.190,3000000,0.793,28.794,136741,145709,48.412,156,0.055
98,454.639,3000000,0.782,28.591,130784,147856,46.937,170,0.061
99,476.051,3000000,0.781,28.597,125113,148875,45.664,91,0.033
100,498.471,3000000,0.779,28.650,120103,149490,44.550,124,0.046
101,521.947,3000000,0.777,28.211,115642,150523,43.447,73,0.027
102,546.529,3000000,0.774,27.940,110124,150934,42.184,109,0.042
103,572.269,3000000,0.767,27.775,106011,152871,40.950,78,0.030
104,599.221,3000000,0.769,27.482,101744,152344,40.043,8,0.003
105,627.442,3000000,0.767,27.396,96856,153305,38.717,15,0.006
106,656.992,3000000,0.776,27.148,93062,153293,37.776,78,0.032
107,687.934,3000000,0.784,27.049,89946,153933,36.881,22,0.009
108,720.333,3000000,0.796,26.915,86233,153530,35.966,39,0.016
109,754.259,3000000,0.808,26.676,82044,153355,34.853,32,0.014
110,789.782,3000000,0.821,26.410,78233,153864,33.707,14,0.006
111,826.977,3000000,0.833,26.018,75797,153420,33.068,42,0.018
112,865.925,3000000,0.849,26.142,72258,152885,32.094,13,0.006
113,906.707,3000000,0.864,25.731,69834,153066,31.330,37,0.017
114,949.410,3000000,0.876,25.337,66894,151761,30.593,6,0.003
115,994.124,3000000,0.890,25.429,64249,151871,29.728,19,0.009
116,1040.944,3000000,0.910,25.477,60722,150705,28.720,23,0.011
117,1089.968,3000000,0.921,25.158,59776,149253,28.597,6,0.003
118,1141.302,3000000,0.941,24.933,57007,149001,27.672,4,0.002
119,1195.053,3000000,0.955,24.642,54006,148333,26.691,0,0.000
120,1251.336,3000000,0.978,24.935,52185,147210,26.172,2,0.001
121,1310.270,3000000,0.991,24.819,50283,146144,25.599,10,0.005
122,1371.979,3000000,1.001,24.498,48097,145370,24.861,2,0.001
123,1436.594,3000000,1.016,24.508,46185,144397,24.234,11,0.006
124,1504.253,3000000,1.027,24.577,44016,143922,23.420,10,0.005
125,1575.098,3000000,1.058,24.904,42656,143470,22.918,0,0.000
126,1649.279,3000000,1.087,24.796,40556,141837,22.236,2,0.001
127,1726.954,3000000,1.104,25.011,38712,141601,21.469,9,0.005
128,1808.288,3000000,1.121,24.937,37429,141148,20.960,1,0.001
129,1893.452,3000000,1.139,25.011,35837,140803,20.288,2,0.001
130,1982.627,3000000,1.144,24.834,34045,141060,19.443,11,0.006
131,2076.001,3000000,1.168,25.052,32512,139953,18.851,4,0.002
132,2173.774,3000000,1.162,25.103,30970,139199,18.200,1,0.001
133,2276.151,3000000,1.184,24.921,29562,138870,17.551,2,0.001
134,2383.350,3000000,1.183,25.112,28303,139284,16.889,2,0.001
135,2495.597,3000000,1.200,25.400,26895,138560,16.255,0,0.000
136,2613.131,3000000,1.248,25.257,25770,138652,15.673,1,0.001
137,2736.200,3000000,1.283,25.632,24277,138319,14.931,1,0.001
138,2865.065,3000000,1.347,25.924,23134,139291,14.243,0,0.000
139,3000.000,3000000,1.390,26.333,21866,139215,13.575,1,0.001
