геометрия: AS80_point0: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — точка, 0.0 мм, Air, dry
ключи физики: КАК У СТРОИТЕЛЯ СКЛАДА (--store): SplitXrayShells=True, KDipLight=1 → LightSubKevCurve=True, LightCascadeSplit=True
энергии: 42 узлов сетки склада в полосе 10.0…70.0 кэВ (бин склада 2.0 кэВ)
кривая света: NaI:Tl
историй 400000, бин 2.00 кэВ, ПШПВ(662) геометрии 7.65 %
допуск пика: ПОЛУБИН (--peakb, `AMBER16` — решение Amber 11.09.2026 «Допуск по БИНУ»): класс обязан быть пуст
бин света: ЕДИНЫЙ (--binof, ключ LightBinUnified, `A267`) — свет в бин веса; «свет/E» обязан совпасть с «единое» плеча без ключа

     E, кэВ   допуск   свет/E     единое     сдвиг %   класс: историй    вес/пик %
     10.441     1.00   1.048080   1.048080     0.000              200        0.000
     10.933     1.00   1.055381   1.055381     0.000              445        0.000
     11.448     1.00   1.059069   1.059069     0.000                0        0.000
     11.987     1.00   1.068354   1.068354     0.000                0        0.000
     12.552     1.00   1.068746   1.068746     0.000              357        0.000
     13.143     1.00   1.072551   1.072551     0.000                0        0.000
     13.762     1.00   1.073931   1.073931     0.000                0        0.000
     14.410     1.00   1.076062   1.076062     0.000              694        0.003
     15.089     1.00   1.078749   1.078749     0.000                0        0.000
     15.799     1.00   1.080016   1.080016     0.000                0        0.000
     16.543     1.00   1.081079   1.081079     0.000             1589        0.055
     17.323     1.00   1.081744   1.081744     0.000                0        0.000
     18.138     1.00   1.081739   1.081739     0.000             1172        0.042
     18.993     1.00   1.081666   1.081666     0.000             4263        0.168
     19.887     1.00   1.081369   1.081369     0.000                0        0.000
     20.824     1.00   1.080663   1.080663     0.000             6055        0.393
     21.804     1.00   1.080052   1.080052     0.000                0        0.000
     22.831     1.00   1.078822   1.078822     0.000             8342        0.769
     23.907     1.00   1.077734   1.077734     0.000                0        0.000
     25.033     1.00   1.077152   1.077152     0.000                0        0.000
     26.211     1.00   1.074741   1.074741     0.000             3402        0.541
     27.446     1.00   1.073748   1.073748     0.000                0        0.000
     28.739     1.00   1.071351   1.071351     0.000            10150        1.850
     30.092     1.00   1.069521   1.069521     0.000             1513        0.310
     31.509     1.00   1.068181   1.068181     0.000                0        0.000
     32.993     1.00   1.065686   1.065686     0.000            12452        2.821
     34.547     1.00   1.048585   1.048585     0.000             6128        1.908
     36.174     1.00   1.056156   1.056156     0.000             1861        0.586
     37.878     1.00   1.062122   1.062122     0.000                0        0.000
     39.662     1.00   1.066602   1.066602     0.000                0        0.000
     41.530     1.00   1.069501   1.069501     0.000                0        0.000
     43.486     1.00   1.071323   1.071323     0.000                0        0.000
     45.534     1.00   1.072107   1.072107     0.000                0        0.000
     47.678     1.00   1.072282   1.072282     0.000                0        0.000
     49.923     1.00   1.071664   1.071664     0.000                0        0.000
     52.275     1.00   1.070713   1.070713     0.000             2178        0.698
     54.737     1.00   1.069365   1.069365     0.000             5455        1.778
     57.315     1.00   1.067949   1.067949     0.000                0        0.000
     60.014     1.00   1.065950   1.065950     0.000               89        0.027
     62.840     1.00   1.063836   1.063836     0.000             5312        1.639
     65.800     1.00   1.061723   1.061723     0.000                0        0.000
     68.899     1.00   1.059578   1.059578     0.000             5194        1.522

наибольший сдвиг якоря: 0.000 % на 0.000 кэВ; класс непуст на 20 узлах из 42.
КЛЮЧ ДЕЙСТВУЕТ: с --binof обе оценки якоря совпали на всех 42 узлах; переложено историй на 20 узлах. Приёмка — сверить столбец «свет/E» с «единое» плеча без ключа на том же зерне.
