P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=1
RESULT decays=4000000
RESULT any=515839 eps_total=1.289598e-01
RESULT window=661.657 counts=243164 eps=6.079100e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=4000000
HIST 383 531
HIST 384 481
HIST 385 515
HIST 386 456
HIST 387 508
HIST 388 458
HIST 389 466
HIST 390 499
HIST 391 469
HIST 392 485
HIST 393 486
HIST 394 473
HIST 395 475
HIST 396 461
HIST 397 428
HIST 398 431
HIST 399 464
HIST 400 439
HIST 401 514
HIST 402 441
HIST 403 490
HIST 404 450
HIST 405 466
HIST 406 467
HIST 407 466
HIST 408 507
HIST 409 484
HIST 410 472
HIST 411 495
HIST 412 507
HIST 413 468
HIST 414 480
HIST 415 473
HIST 416 478
HIST 417 511
HIST 418 470
HIST 419 482
HIST 420 489
HIST 421 493
HIST 422 511
HIST 423 462
HIST 424 490
HIST 425 481
HIST 426 524
HIST 427 485
HIST 428 452
HIST 429 528
HIST 430 507
HIST 431 478
HIST 432 478
HIST 433 505
HIST 434 484
HIST 435 504
HIST 436 506
HIST 437 491
HIST 438 521
HIST 439 526
HIST 440 501
HIST 441 517
HIST 442 521
HIST 443 525
HIST 444 506
HIST 445 506
HIST 446 523
HIST 447 463
HIST 448 546
HIST 449 475
HIST 450 516
HIST 451 519
HIST 452 535
HIST 453 527
HIST 454 571
HIST 455 519
HIST 456 538
HIST 457 561
HIST 458 580
HIST 459 544
HIST 460 584
HIST 461 552
HIST 462 543
HIST 463 595
HIST 464 589
HIST 465 590
HIST 466 543
HIST 467 568
HIST 468 568
HIST 469 580
HIST 470 560
HIST 471 578
HIST 472 558
HIST 473 564
HIST 474 546
HIST 475 492
HIST 476 484
HIST 477 474
HIST 478 362
HIST 479 332
HIST 480 322
HIST 481 279
HIST 482 286
HIST 483 274
HIST 484 288
HIST 485 245
HIST 486 251
HIST 487 238
HIST 488 219
HIST 489 231
HIST 490 202
HIST 491 208
HIST 492 195
HIST 493 203
HIST 494 197
HIST 495 182
HIST 496 199
HIST 497 202
HIST 498 215
HIST 499 165
HIST 500 196
HIST 501 181
HIST 502 165
HIST 503 158
HIST 504 150
HIST 505 154
HIST 506 145
HIST 507 135
HIST 508 147
HIST 509 149
HIST 510 139
HIST 511 133
HIST 512 157
HIST 513 140
HIST 514 133
HIST 515 132
HIST 516 147
HIST 517 132
HIST 518 123
HIST 519 132
HIST 520 128
HIST 521 131
HIST 522 124
HIST 523 120
HIST 524 115
HIST 525 118
HIST 526 101
HIST 527 113
HIST 528 109
HIST 529 113
HIST 530 109
HIST 531 116
HIST 532 99
HIST 533 108
HIST 534 96
HIST 535 93
HIST 536 113
HIST 537 90
HIST 538 104
HIST 539 108
HIST 540 105
HIST 541 104
HIST 542 95
HIST 543 84
HIST 544 112
HIST 545 92
HIST 546 93
HIST 547 82
HIST 548 97
HIST 549 88
HIST 550 98
HIST 551 95
HIST 552 75
HIST 553 87
HIST 554 90
HIST 555 74
HIST 556 89
HIST 557 86
HIST 558 94
HIST 559 85
HIST 560 83
HIST 561 85
HIST 562 83
HIST 563 84
HIST 564 92
HIST 565 75
HIST 566 92
HIST 567 73
HIST 568 83
HIST 569 70
HIST 570 84
HIST 571 59
HIST 572 84
HIST 573 73
HIST 574 96
HIST 575 79
HIST 576 89
HIST 577 90
HIST 578 81
HIST 579 101
HIST 580 86
HIST 581 85
HIST 582 75
HIST 583 79
HIST 584 85
HIST 585 76
HIST 586 84
HIST 587 93
HIST 588 82
HIST 589 79
HIST 590 64
HIST 591 88
HIST 592 81
HIST 593 87
HIST 594 75
HIST 595 70
HIST 596 67
HIST 597 66
HIST 598 78
HIST 599 62
HIST 600 80
HIST 601 51
HIST 602 60
HIST 603 62
HIST 604 71
HIST 605 62
HIST 606 57
HIST 607 58
HIST 608 75
HIST 609 67
HIST 610 50
HIST 611 57
HIST 612 54
HIST 613 72
HIST 614 72
HIST 615 58
HIST 616 61
HIST 617 64
HIST 618 57
HIST 619 71
HIST 620 68
HIST 621 53
HIST 622 65
HIST 623 62
HIST 624 63
HIST 625 51
HIST 626 46
HIST 627 43
HIST 628 47
HIST 629 274
HIST 630 61
HIST 631 66
HIST 632 54
HIST 633 668
HIST 634 71
HIST 635 58
HIST 636 54
HIST 637 55
HIST 638 58
HIST 639 67
HIST 640 51
HIST 641 57
HIST 642 54
HIST 643 54
HIST 644 51
HIST 645 54
HIST 646 55
HIST 647 52
HIST 648 54
HIST 649 46
HIST 650 55
HIST 651 48
HIST 652 61
HIST 653 52
HIST 654 47
HIST 655 55
HIST 656 55
HIST 657 38
HIST 658 43
HIST 659 55
HIST 660 58
HIST 661 40
HIST 662 243152
HISTEND
