P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=4000000
RESULT any=404226 eps_total=1.010565e-01
RESULT window=1460.820 counts=123161 eps=3.079025e-02
HISTBEGIN bins=1462 bin_kev=1.000000 decays=4000000
HIST 383 214
HIST 384 235
HIST 385 220
HIST 386 241
HIST 387 226
HIST 388 215
HIST 389 213
HIST 390 222
HIST 391 224
HIST 392 245
HIST 393 226
HIST 394 223
HIST 395 221
HIST 396 226
HIST 397 229
HIST 398 186
HIST 399 231
HIST 400 203
HIST 401 217
HIST 402 219
HIST 403 234
HIST 404 197
HIST 405 202
HIST 406 234
HIST 407 233
HIST 408 211
HIST 409 210
HIST 410 223
HIST 411 224
HIST 412 222
HIST 413 245
HIST 414 193
HIST 415 205
HIST 416 244
HIST 417 217
HIST 418 188
HIST 419 187
HIST 420 203
HIST 421 231
HIST 422 207
HIST 423 199
HIST 424 223
HIST 425 209
HIST 426 215
HIST 427 207
HIST 428 237
HIST 429 184
HIST 430 213
HIST 431 186
HIST 432 201
HIST 433 200
HIST 434 204
HIST 435 210
HIST 436 201
HIST 437 207
HIST 438 192
HIST 439 1033
HIST 440 200
HIST 441 208
HIST 442 214
HIST 443 234
HIST 444 187
HIST 445 237
HIST 446 199
HIST 447 195
HIST 448 205
HIST 449 213
HIST 450 226
HIST 451 235
HIST 452 211
HIST 453 210
HIST 454 216
HIST 455 220
HIST 456 214
HIST 457 178
HIST 458 209
HIST 459 203
HIST 460 213
HIST 461 205
HIST 462 208
HIST 463 216
HIST 464 212
HIST 465 196
HIST 466 203
HIST 467 203
HIST 468 213
HIST 469 196
HIST 470 198
HIST 471 221
HIST 472 183
HIST 473 211
HIST 474 225
HIST 475 174
HIST 476 215
HIST 477 206
HIST 478 175
HIST 479 211
HIST 480 220
HIST 481 200
HIST 482 221
HIST 483 212
HIST 484 183
HIST 485 209
HIST 486 201
HIST 487 167
HIST 488 172
HIST 489 198
HIST 490 197
HIST 491 213
HIST 492 187
HIST 493 201
HIST 494 216
HIST 495 194
HIST 496 193
HIST 497 201
HIST 498 202
HIST 499 198
HIST 500 218
HIST 501 198
HIST 502 190
HIST 503 211
HIST 504 206
HIST 505 203
HIST 506 206
HIST 507 189
HIST 508 191
HIST 509 192
HIST 510 195
HIST 511 326
HIST 512 213
HIST 513 179
HIST 514 181
HIST 515 208
HIST 516 181
HIST 517 204
HIST 518 202
HIST 519 203
HIST 520 199
HIST 521 202
HIST 522 195
HIST 523 193
HIST 524 189
HIST 525 207
HIST 526 161
HIST 527 175
HIST 528 189
HIST 529 187
HIST 530 210
HIST 531 185
HIST 532 199
HIST 533 207
HIST 534 196
HIST 535 191
HIST 536 176
HIST 537 207
HIST 538 204
HIST 539 204
HIST 540 182
HIST 541 176
HIST 542 202
HIST 543 204
HIST 544 171
HIST 545 199
HIST 546 227
HIST 547 176
HIST 548 187
HIST 549 201
HIST 550 183
HIST 551 179
HIST 552 180
HIST 553 151
HIST 554 187
HIST 555 184
HIST 556 216
HIST 557 198
HIST 558 186
HIST 559 210
HIST 560 169
HIST 561 178
HIST 562 168
HIST 563 194
HIST 564 202
HIST 565 203
HIST 566 186
HIST 567 179
HIST 568 188
HIST 569 175
HIST 570 201
HIST 571 194
HIST 572 199
HIST 573 182
HIST 574 178
HIST 575 190
HIST 576 177
HIST 577 204
HIST 578 218
