P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_4
RESULT decays=8000000
RESULT any=702273 eps_total=8.778413e-02
RESULT window=2614.511 counts=124478 eps=1.555975e-02
HISTBEGIN bins=2616 bin_kev=1.000000 decays=8000000
HIST 376 288
HIST 377 306
HIST 378 339
HIST 379 296
HIST 380 311
HIST 381 304
HIST 382 306
HIST 383 302
HIST 384 287
HIST 385 273
HIST 386 338
HIST 387 311
HIST 388 286
HIST 389 284
HIST 390 286
HIST 391 283
HIST 392 311
HIST 393 286
HIST 394 313
HIST 395 299
HIST 396 302
HIST 397 274
HIST 398 287
HIST 399 266
HIST 400 278
HIST 401 289
HIST 402 310
HIST 403 336
HIST 404 274
HIST 405 292
HIST 406 307
HIST 407 273
HIST 408 292
HIST 409 277
HIST 410 280
HIST 411 261
HIST 412 282
HIST 413 262
HIST 414 272
HIST 415 281
HIST 416 251
HIST 417 280
HIST 418 274
HIST 419 261
HIST 420 279
HIST 421 247
HIST 422 258
HIST 423 290
HIST 424 255
HIST 425 298
HIST 426 282
HIST 427 277
HIST 428 251
HIST 429 270
HIST 430 267
HIST 431 260
HIST 432 281
HIST 433 245
HIST 434 265
HIST 435 242
HIST 436 229
HIST 437 274
HIST 438 256
HIST 439 247
HIST 440 241
HIST 441 240
HIST 442 247
HIST 443 262
HIST 444 247
HIST 445 268
HIST 446 294
HIST 447 237
HIST 448 286
HIST 449 255
HIST 450 240
HIST 451 259
HIST 452 246
HIST 453 229
HIST 454 276
HIST 455 228
HIST 456 237
HIST 457 248
HIST 458 242
HIST 459 227
HIST 460 228
HIST 461 232
HIST 462 254
HIST 463 291
HIST 464 233
HIST 465 229
HIST 466 201
HIST 467 250
HIST 468 243
HIST 469 233
HIST 470 211
HIST 471 269
HIST 472 220
HIST 473 276
HIST 474 233
HIST 475 231
HIST 476 244
HIST 477 229
HIST 478 258
HIST 479 213
HIST 480 243
HIST 481 236
HIST 482 242
HIST 483 250
HIST 484 241
HIST 485 235
HIST 486 241
HIST 487 256
HIST 488 251
HIST 489 216
HIST 490 239
HIST 491 246
HIST 492 251
HIST 493 241
HIST 494 246
HIST 495 206
HIST 496 222
HIST 497 241
HIST 498 227
HIST 499 239
HIST 500 243
HIST 501 226
HIST 502 204
HIST 503 211
HIST 504 222
HIST 505 220
HIST 506 212
HIST 507 198
HIST 508 201
HIST 509 216
HIST 510 212
HIST 511 12265
HIST 512 207
HIST 513 228
HIST 514 194
HIST 515 215
HIST 516 210
HIST 517 195
HIST 518 206
HIST 519 206
HIST 520 192
HIST 521 196
HIST 522 230
HIST 523 189
HIST 524 178
HIST 525 204
HIST 526 206
HIST 527 226
HIST 528 237
HIST 529 209
HIST 530 215
HIST 531 212
HIST 532 220
HIST 533 205
HIST 534 205
HIST 535 203
HIST 536 198
HIST 537 182
HIST 538 217
HIST 539 231
HIST 540 199
HIST 541 223
HIST 542 217
HIST 543 211
HIST 544 211
HIST 545 229
HIST 546 187
HIST 547 197
HIST 548 212
HIST 549 202
HIST 550 204
HIST 551 211
HIST 552 219
HIST 553 174
HIST 554 187
HIST 555 198
HIST 556 193
HIST 557 203
HIST 558 198
HIST 559 205
HIST 560 209
HIST 561 212
HIST 562 188
HIST 563 199
HIST 564 182
HIST 565 180
HIST 566 209
HIST 567 178
HIST 568 197
HIST 569 174
HIST 570 185
HIST 571 200
HIST 572 183
HIST 573 198
HIST 574 202
HIST 575 189
HIST 576 204
HIST 577 205
HIST 578 198
HIST 579 210
HIST 580 192
HIST 581 198
HIST 582 215
HIST 583 443
HIST 584 183
HIST 585 185
HIST 586 201
HIST 587 183
HIST 588 177
HIST 589 188
HIST 590 191
HIST 591 196
HIST 592 192
HIST 593 193
HIST 594 176
HIST 595 187
HIST 596 200
HIST 597 169
HIST 598 207
HIST 599 191
HIST 600 188
HIST 601 208
HIST 602 203
HIST 603 179
HIST 604 172
HIST 605 208
HIST 606 194
HIST 607 200
HIST 608 176
HIST 609 150
HIST 610 196
HIST 611 179
HIST 612 186
HIST 613 185
HIST 614 194
HIST 615 175
HIST 616 180
HIST 617 165
HIST 618 157
HIST 619 166
HIST 620 178
HIST 621 206
HIST 622 185
HIST 623 188
HIST 624 193
HIST 625 217
HIST 626 183
HIST 627 205
HIST 628 169
HIST 629 200
HIST 630 166
HIST 631 171
HIST 632 176
HIST 633 169
HIST 634 168
HIST 635 170
HIST 636 220
HIST 637 169
HIST 638 157
HIST 639 182
HIST 640 194
HIST 641 190
HIST 642 188
HIST 643 184
HIST 644 161
HIST 645 174
HIST 646 185
HIST 647 178
HIST 648 155
HIST 649 183
HIST 650 170
HIST 651 190
HIST 652 180
HIST 653 177
HIST 654 169
HIST 655 197
HIST 656 166
HIST 657 172
HIST 658 200
HIST 659 189
HIST 660 173
HIST 661 156
HIST 662 179
HIST 663 178
HIST 664 179
HIST 665 154
HIST 666 170
HIST 667 180
HIST 668 157
HIST 669 189
HIST 670 186
HIST 671 175
HIST 672 162
HIST 673 183
HIST 674 168
HIST 675 179
HIST 676 184
HIST 677 199
HIST 678 194
HIST 679 168
HIST 680 183
HIST 681 181
HIST 682 174
HIST 683 171
HIST 684 154
HIST 685 175
HIST 686 180
HIST 687 167
HIST 688 162
HIST 689 171
HIST 690 163
HIST 691 164
HIST 692 165
HIST 693 185
HIST 694 171
HIST 695 170
HIST 696 152
HIST 697 158
HIST 698 172
HIST 699 196
HIST 700 176
HIST 701 153
HIST 702 149
HIST 703 195
HIST 704 145
HIST 705 152
HIST 706 164
HIST 707 157
HIST 708 153
HIST 709 171
HIST 710 178
HIST 711 187
HIST 712 158
HIST 713 175
HIST 714 163
HIST 715 166
HIST 716 197
HIST 717 185
HIST 718 154
HIST 719 147
HIST 720 171
HIST 721 203
HIST 722 166
HIST 723 169
HIST 724 185
HIST 725 167
HIST 726 171
HIST 727 201
HIST 728 147
HIST 729 169
HIST 730 161
HIST 731 173
HIST 732 148
HIST 733 163
HIST 734 181
HIST 735 175
HIST 736 185
HIST 737 161
HIST 738 174
HIST 739 174
HIST 740 166
HIST 741 192
HIST 742 173
HIST 743 153
HIST 744 178
HIST 745 156
HIST 746 178
HIST 747 169
HIST 748 185
HIST 749 162
HIST 750 232
HIST 751 153
HIST 752 167
HIST 753 171
HIST 754 161
HIST 755 157
HIST 756 189
HIST 757 145
HIST 758 140
HIST 759 165
HIST 760 170
HIST 761 162
HIST 762 154
HIST 763 174
HIST 764 152
HIST 765 161
HIST 766 171
HIST 767 163
HIST 768 152
HIST 769 173
HIST 770 167
HIST 771 168
HIST 772 174
HIST 773 152
HIST 774 152
HIST 775 147
HIST 776 140
HIST 777 162
HIST 778 149
HIST 779 174
HIST 780 173
HIST 781 181
HIST 782 153
HIST 783 169
HIST 784 168
HIST 785 149
HIST 786 158
HIST 787 168
HIST 788 177
HIST 789 157
HIST 790 159
HIST 791 136
HIST 792 162
HIST 793 135
HIST 794 137
HIST 795 183
HIST 796 148
HIST 797 142
HIST 798 169
HIST 799 160
HIST 800 140
HIST 801 143
HIST 802 151
HIST 803 161
HIST 804 160
HIST 805 153
HIST 806 169
HIST 807 173
HIST 808 177
HIST 809 189
HIST 810 169
HIST 811 166
HIST 812 167
HIST 813 174
HIST 814 159
HIST 815 156
HIST 816 146
HIST 817 151
HIST 818 173
HIST 819 179
HIST 820 146
HIST 821 164
HIST 822 180
HIST 823 157
HIST 824 169
HIST 825 157
