P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=40000000
RESULT any=1410796 eps_total=3.526990e-02
RESULT window=2614.511 counts=40001 eps=1.000025e-03
HISTBEGIN bins=2616 bin_kev=1.000000 decays=40000000
HIST 379 606
HIST 380 608
HIST 381 663
HIST 382 630
HIST 383 639
HIST 384 613
HIST 385 601
HIST 386 605
HIST 387 644
HIST 388 582
HIST 389 628
HIST 390 597
HIST 391 638
HIST 392 594
HIST 393 655
HIST 394 631
HIST 395 592
HIST 396 642
HIST 397 602
HIST 398 602
HIST 399 590
HIST 400 601
HIST 401 604
HIST 402 634
HIST 403 601
HIST 404 592
HIST 405 594
HIST 406 596
HIST 407 628
HIST 408 610
HIST 409 600
HIST 410 614
HIST 411 593
HIST 412 572
HIST 413 595
HIST 414 541
HIST 415 608
HIST 416 605
HIST 417 600
HIST 418 597
HIST 419 563
HIST 420 593
HIST 421 605
HIST 422 597
HIST 423 599
HIST 424 554
HIST 425 599
HIST 426 570
HIST 427 555
HIST 428 591
HIST 429 599
HIST 430 580
HIST 431 621
HIST 432 590
HIST 433 601
HIST 434 582
HIST 435 593
HIST 436 603
HIST 437 603
HIST 438 568
HIST 439 608
HIST 440 574
HIST 441 604
HIST 442 547
HIST 443 581
HIST 444 555
HIST 445 611
HIST 446 556
HIST 447 579
HIST 448 561
HIST 449 617
HIST 450 559
HIST 451 622
HIST 452 568
HIST 453 598
HIST 454 598
HIST 455 592
HIST 456 579
HIST 457 578
HIST 458 613
HIST 459 575
HIST 460 605
HIST 461 530
HIST 462 612
HIST 463 551
HIST 464 612
HIST 465 611
HIST 466 543
HIST 467 529
HIST 468 542
HIST 469 515
HIST 470 578
HIST 471 541
HIST 472 562
HIST 473 545
HIST 474 579
HIST 475 618
HIST 476 588
HIST 477 505
HIST 478 591
HIST 479 528
HIST 480 536
HIST 481 566
HIST 482 603
HIST 483 522
HIST 484 542
HIST 485 539
HIST 486 561
HIST 487 555
HIST 488 545
HIST 489 607
HIST 490 561
HIST 491 597
HIST 492 514
HIST 493 572
HIST 494 539
HIST 495 584
HIST 496 575
HIST 497 549
HIST 498 596
HIST 499 549
HIST 500 502
HIST 501 562
HIST 502 590
HIST 503 513
HIST 504 537
HIST 505 578
HIST 506 516
HIST 507 564
HIST 508 528
HIST 509 572
HIST 510 558
HIST 511 1556
HIST 512 548
HIST 513 553
HIST 514 564
HIST 515 593
HIST 516 549
HIST 517 542
HIST 518 560
HIST 519 539
HIST 520 572
HIST 521 559
HIST 522 547
HIST 523 545
HIST 524 523
HIST 525 528
HIST 526 563
HIST 527 538
HIST 528 552
HIST 529 579
HIST 530 507
HIST 531 582
HIST 532 556
HIST 533 503
HIST 534 590
HIST 535 550
HIST 536 538
HIST 537 551
HIST 538 539
HIST 539 530
HIST 540 574
HIST 541 517
HIST 542 530
HIST 543 571
HIST 544 517
HIST 545 528
HIST 546 545
HIST 547 566
HIST 548 560
HIST 549 495
HIST 550 548
HIST 551 524
HIST 552 552
HIST 553 552
HIST 554 574
HIST 555 572
HIST 556 531
HIST 557 569
HIST 558 520
HIST 559 522
HIST 560 523
HIST 561 560
HIST 562 576
HIST 563 512
HIST 564 547
HIST 565 567
HIST 566 558
HIST 567 528
HIST 568 520
HIST 569 549
HIST 570 563
HIST 571 547
HIST 572 542
HIST 573 551
HIST 574 577
HIST 575 513
HIST 576 528
HIST 577 520
HIST 578 517
HIST 579 533
HIST 580 566
HIST 581 524
HIST 582 553
HIST 583 517
HIST 584 512
HIST 585 520
HIST 586 540
HIST 587 514
HIST 588 520
HIST 589 550
HIST 590 502
HIST 591 537
HIST 592 513
HIST 593 577
HIST 594 499
HIST 595 531
HIST 596 518
HIST 597 522
HIST 598 524
HIST 599 512
HIST 600 512
HIST 601 518
HIST 602 551
HIST 603 532
HIST 604 502
HIST 605 502
HIST 606 459
HIST 607 536
HIST 608 486
HIST 609 518
HIST 610 468
HIST 611 511
HIST 612 488
HIST 613 546
HIST 614 476
HIST 615 515
HIST 616 514
HIST 617 551
HIST 618 498
HIST 619 525
HIST 620 551
HIST 621 528
HIST 622 515
HIST 623 538
HIST 624 522
HIST 625 545
HIST 626 507
HIST 627 534
HIST 628 486
HIST 629 481
HIST 630 522
HIST 631 495
HIST 632 489
HIST 633 475
HIST 634 499
HIST 635 506
HIST 636 528
HIST 637 519
HIST 638 527
HIST 639 507
HIST 640 550
HIST 641 510
HIST 642 488
HIST 643 511
HIST 644 505
HIST 645 519
HIST 646 502
HIST 647 522
HIST 648 523
HIST 649 509
HIST 650 520
HIST 651 506
HIST 652 531
HIST 653 502
HIST 654 537
HIST 655 519
HIST 656 481
HIST 657 515
HIST 658 491
HIST 659 481
HIST 660 496
HIST 661 504
HIST 662 519
HIST 663 504
HIST 664 483
HIST 665 521
HIST 666 478
HIST 667 498
HIST 668 480
HIST 669 483
HIST 670 487
HIST 671 503
HIST 672 509
HIST 673 503
HIST 674 511
HIST 675 531
HIST 676 540
HIST 677 487
HIST 678 518
HIST 679 519
HIST 680 518
HIST 681 527
HIST 682 519
HIST 683 490
HIST 684 515
HIST 685 489
HIST 686 490
HIST 687 495
HIST 688 507
HIST 689 522
HIST 690 476
HIST 691 477
HIST 692 481
HIST 693 508
HIST 694 508
HIST 695 483
HIST 696 521
HIST 697 493
HIST 698 494
HIST 699 482
HIST 700 507
HIST 701 512
HIST 702 479
HIST 703 490
HIST 704 473
HIST 705 529
HIST 706 488
HIST 707 501
HIST 708 489
HIST 709 544
HIST 710 491
HIST 711 494
HIST 712 530
HIST 713 502
HIST 714 456
HIST 715 487
HIST 716 467
HIST 717 476
HIST 718 479
HIST 719 494
HIST 720 525
HIST 721 499
HIST 722 518
HIST 723 484
HIST 724 457
HIST 725 492
HIST 726 509
HIST 727 495
HIST 728 496
HIST 729 493
HIST 730 506
HIST 731 504
HIST 732 510
HIST 733 464
HIST 734 513
HIST 735 485
HIST 736 495
HIST 737 487
HIST 738 497
HIST 739 497
HIST 740 460
HIST 741 498
HIST 742 490
HIST 743 464
HIST 744 494
HIST 745 504
HIST 746 479
HIST 747 498
HIST 748 539
HIST 749 500
HIST 750 507
HIST 751 465
HIST 752 489
HIST 753 460
HIST 754 490
HIST 755 482
HIST 756 505
HIST 757 511
HIST 758 474
HIST 759 463
HIST 760 489
HIST 761 487
HIST 762 486
HIST 763 519
HIST 764 494
HIST 765 495
HIST 766 506
HIST 767 460
HIST 768 484
HIST 769 507
HIST 770 456
HIST 771 475
HIST 772 469
HIST 773 505
HIST 774 505
HIST 775 496
HIST 776 513
HIST 777 499
HIST 778 475
HIST 779 509
HIST 780 458
HIST 781 487
HIST 782 444
HIST 783 501
HIST 784 505
HIST 785 477
HIST 786 448
HIST 787 491
HIST 788 488
HIST 789 452
HIST 790 494
HIST 791 478
HIST 792 464
HIST 793 468
HIST 794 484
HIST 795 510
HIST 796 486
HIST 797 474
HIST 798 469
HIST 799 495
HIST 800 513
HIST 801 470
HIST 802 482
HIST 803 497
HIST 804 463
HIST 805 467
HIST 806 493
HIST 807 493
HIST 808 515
HIST 809 503
HIST 810 481
HIST 811 479
HIST 812 498
HIST 813 477
HIST 814 502
HIST 815 470
HIST 816 502
HIST 817 467
HIST 818 504
HIST 819 495
HIST 820 465
HIST 821 487
HIST 822 511
HIST 823 459
HIST 824 495
HIST 825 493
HIST 826 489
HIST 827 465
HIST 828 467
HIST 829 484
HIST 830 502
HIST 831 450
HIST 832 483
HIST 833 449
HIST 834 458
HIST 835 480
HIST 836 435
HIST 837 507
HIST 838 491
HIST 839 489
HIST 840 434
HIST 841 468
HIST 842 493
HIST 843 464
HIST 844 471
HIST 845 500
HIST 846 453
HIST 847 463
HIST 848 444
HIST 849 440
HIST 850 448
HIST 851 500
HIST 852 453
HIST 853 462
HIST 854 510
HIST 855 486
HIST 856 457
HIST 857 459
HIST 858 442
HIST 859 452
HIST 860 473
HIST 861 461
HIST 862 471
HIST 863 466
HIST 864 477
HIST 865 503
HIST 866 450
HIST 867 502
HIST 868 516
HIST 869 473
HIST 870 443
HIST 871 472
HIST 872 447
HIST 873 435
HIST 874 472
