P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=1
RESULT decays=4000000
RESULT any=404226 eps_total=1.010565e-01
RESULT window=1460.820 counts=123161 eps=3.079025e-02
HISTBEGIN bins=1462 bin_kev=1.000000 decays=4000000
HIST 0 60
HIST 1 163
HIST 2 199
HIST 3 175
HIST 4 199
HIST 5 233
HIST 6 226
HIST 7 203
HIST 8 243
HIST 9 222
HIST 10 209
HIST 11 213
HIST 12 194
HIST 13 220
HIST 14 226
HIST 15 218
HIST 16 213
HIST 17 227
HIST 18 242
HIST 19 237
HIST 20 262
HIST 21 218
HIST 22 215
HIST 23 218
HIST 24 232
HIST 25 233
HIST 26 239
HIST 27 244
HIST 28 240
HIST 29 213
HIST 30 220
HIST 31 235
HIST 32 223
HIST 33 244
HIST 34 237
HIST 35 211
HIST 36 247
HIST 37 200
HIST 38 234
HIST 39 228
HIST 40 220
HIST 41 218
HIST 42 215
HIST 43 199
HIST 44 236
HIST 45 226
HIST 46 238
HIST 47 202
HIST 48 235
HIST 49 235
HIST 50 206
HIST 51 237
HIST 52 235
HIST 53 238
HIST 54 220
HIST 55 233
HIST 56 220
HIST 57 189
HIST 58 229
HIST 59 228
HIST 60 225
HIST 61 218
HIST 62 205
HIST 63 221
HIST 64 231
HIST 65 226
HIST 66 228
HIST 67 210
HIST 68 174
HIST 69 211
HIST 70 228
HIST 71 218
HIST 72 198
HIST 73 190
HIST 74 208
HIST 75 202
HIST 76 211
HIST 77 225
HIST 78 213
HIST 79 203
HIST 80 198
HIST 81 193
HIST 82 216
HIST 83 217
HIST 84 235
HIST 85 231
HIST 86 207
HIST 87 247
HIST 88 192
HIST 89 211
HIST 90 203
HIST 91 193
HIST 92 214
HIST 93 208
HIST 94 233
HIST 95 203
HIST 96 213
HIST 97 213
HIST 98 210
HIST 99 209
HIST 100 200
HIST 101 209
HIST 102 199
HIST 103 232
HIST 104 214
HIST 105 194
HIST 106 197
HIST 107 216
HIST 108 211
HIST 109 216
HIST 110 194
HIST 111 214
HIST 112 195
HIST 113 218
HIST 114 199
HIST 115 189
HIST 116 202
HIST 117 195
HIST 118 212
HIST 119 230
HIST 120 205
HIST 121 214
HIST 122 221
HIST 123 219
HIST 124 216
HIST 125 194
HIST 126 222
HIST 127 240
HIST 128 195
HIST 129 197
HIST 130 223
HIST 131 223
HIST 132 207
HIST 133 207
HIST 134 205
HIST 135 214
HIST 136 214
HIST 137 241
HIST 138 223
HIST 139 242
HIST 140 193
HIST 141 236
HIST 142 219
HIST 143 208
HIST 144 244
HIST 145 211
HIST 146 233
HIST 147 224
HIST 148 215
HIST 149 236
HIST 150 220
HIST 151 218
HIST 152 203
HIST 153 227
HIST 154 221
HIST 155 261
HIST 156 240
HIST 157 228
HIST 158 214
HIST 159 209
HIST 160 212
HIST 161 219
HIST 162 201
HIST 163 230
HIST 164 221
HIST 165 239
HIST 166 225
HIST 167 212
HIST 168 212
HIST 169 235
HIST 170 211
HIST 171 214
HIST 172 216
HIST 173 190
HIST 174 246
HIST 175 227
HIST 176 212
HIST 177 212
HIST 178 216
HIST 179 229
HIST 180 202
HIST 181 202
HIST 182 235
HIST 183 213
HIST 184 207
HIST 185 212
HIST 186 202
HIST 187 185
HIST 188 202
HIST 189 194
HIST 190 188
HIST 191 221
HIST 192 229
HIST 193 223
HIST 194 200
HIST 195 210
HIST 196 194
HIST 197 210
HIST 198 213
HIST 199 203
HIST 200 209
HIST 201 191
HIST 202 196
HIST 203 220
HIST 204 238
HIST 205 238
HIST 206 193
HIST 207 223
HIST 208 198
HIST 209 191
HIST 210 233
HIST 211 203
HIST 212 199
HIST 213 201
HIST 214 216
HIST 215 196
HIST 216 237
HIST 217 206
HIST 218 225
HIST 219 242
HIST 220 241
HIST 221 271
HIST 222 257
HIST 223 254
HIST 224 248
HIST 225 228
HIST 226 267
HIST 227 251
HIST 228 237
HIST 229 244
HIST 230 252
HIST 231 246
HIST 232 250
HIST 233 282
HIST 234 266
HIST 235 280
HIST 236 282
HIST 237 260
HIST 238 292
HIST 239 284
HIST 240 277
HIST 241 259
HIST 242 256
HIST 243 297
HIST 244 256
HIST 245 270
HIST 246 284
HIST 247 274
HIST 248 249
HIST 249 278
HIST 250 292
HIST 251 294
HIST 252 285
HIST 253 273
HIST 254 286
HIST 255 262
HIST 256 285
HIST 257 275
HIST 258 260
HIST 259 282
HIST 260 279
HIST 261 253
HIST 262 279
HIST 263 264
HIST 264 272
HIST 265 254
HIST 266 274
HIST 267 274
HIST 268 294
HIST 269 283
HIST 270 283
HIST 271 291
HIST 272 243
HIST 273 269
HIST 274 294
HIST 275 296
HIST 276 295
HIST 277 272
HIST 278 252
HIST 279 268
HIST 280 261
HIST 281 287
HIST 282 259
HIST 283 321
HIST 284 272
HIST 285 276
