P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=1
RESULT decays=40000000
RESULT any=1410787 eps_total=3.526968e-02
RESULT window=2614.511 counts=40001 eps=1.000025e-03
HISTBEGIN bins=2616 bin_kev=1.000000 decays=40000000
HIST 0 522
HIST 1 1156
HIST 2 1160
HIST 3 1141
HIST 4 1097
HIST 5 1128
HIST 6 1290
HIST 7 1326
HIST 8 1181
HIST 9 1217
HIST 10 1189
HIST 11 1243
HIST 12 1190
HIST 13 1208
HIST 14 1259
HIST 15 1221
HIST 16 1252
HIST 17 1186
HIST 18 1243
HIST 19 1181
HIST 20 1151
HIST 21 1192
HIST 22 1228
HIST 23 1224
HIST 24 1169
HIST 25 1162
HIST 26 1234
HIST 27 1271
HIST 28 1171
HIST 29 1166
HIST 30 1172
HIST 31 1170
HIST 32 1066
HIST 33 1165
HIST 34 1143
HIST 35 1126
HIST 36 1100
HIST 37 1090
HIST 38 1109
HIST 39 1126
HIST 40 1119
HIST 41 1097
HIST 42 1095
HIST 43 1138
HIST 44 1074
HIST 45 1057
HIST 46 1045
HIST 47 1075
HIST 48 1076
HIST 49 1039
HIST 50 1029
HIST 51 977
HIST 52 1029
HIST 53 979
HIST 54 1061
HIST 55 1034
HIST 56 996
HIST 57 1022
HIST 58 974
HIST 59 1007
HIST 60 952
HIST 61 1006
HIST 62 958
HIST 63 947
HIST 64 945
HIST 65 937
HIST 66 957
HIST 67 1006
HIST 68 941
HIST 69 974
HIST 70 995
HIST 71 971
HIST 72 901
HIST 73 932
HIST 74 955
HIST 75 916
HIST 76 945
HIST 77 944
HIST 78 956
HIST 79 898
HIST 80 915
HIST 81 921
HIST 82 859
HIST 83 913
HIST 84 901
HIST 85 876
HIST 86 944
HIST 87 928
HIST 88 861
HIST 89 920
HIST 90 927
HIST 91 913
HIST 92 871
HIST 93 890
HIST 94 877
HIST 95 876
HIST 96 904
HIST 97 860
HIST 98 816
HIST 99 870
HIST 100 930
HIST 101 860
HIST 102 900
HIST 103 847
HIST 104 878
HIST 105 846
HIST 106 811
HIST 107 803
HIST 108 862
HIST 109 890
HIST 110 902
HIST 111 848
HIST 112 931
HIST 113 857
HIST 114 861
HIST 115 840
HIST 116 839
HIST 117 852
HIST 118 847
HIST 119 840
HIST 120 828
HIST 121 858
HIST 122 846
HIST 123 862
HIST 124 811
HIST 125 870
HIST 126 862
HIST 127 835
HIST 128 831
HIST 129 827
HIST 130 804
HIST 131 816
HIST 132 866
HIST 133 766
HIST 134 825
HIST 135 796
HIST 136 826
HIST 137 794
HIST 138 788
HIST 139 833
HIST 140 847
HIST 141 791
HIST 142 788
HIST 143 771
HIST 144 755
HIST 145 799
HIST 146 863
HIST 147 844
HIST 148 781
HIST 149 839
HIST 150 773
HIST 151 839
HIST 152 810
HIST 153 774
HIST 154 789
HIST 155 816
HIST 156 890
HIST 157 761
HIST 158 782
HIST 159 806
HIST 160 791
HIST 161 750
HIST 162 783
HIST 163 754
HIST 164 788
HIST 165 792
HIST 166 794
HIST 167 704
HIST 168 734
HIST 169 772
HIST 170 756
HIST 171 817
HIST 172 810
HIST 173 741
HIST 174 774
HIST 175 799
HIST 176 752
HIST 177 749
HIST 178 800
HIST 179 722
HIST 180 737
HIST 181 741
HIST 182 777
HIST 183 753
HIST 184 692
HIST 185 729
HIST 186 772
HIST 187 761
HIST 188 729
HIST 189 742
HIST 190 714
HIST 191 734
