RESULT decays=4000000
RESULT any=156661 eps_total=3.916525e-02
RESULT window=1460.820 counts=12183 eps=3.045750e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=4000000
HIST 388 121
HIST 389 102
HIST 390 113
HIST 391 109
HIST 392 113
HIST 393 116
HIST 394 102
HIST 395 135
HIST 396 127
HIST 397 107
HIST 398 112
HIST 399 119
HIST 400 105
HIST 401 98
HIST 402 104
HIST 403 114
HIST 404 122
HIST 405 101
HIST 406 97
HIST 407 108
HIST 408 109
HIST 409 100
HIST 410 114
HIST 411 99
HIST 412 114
HIST 413 112
HIST 414 100
HIST 415 97
HIST 416 111
HIST 417 111
HIST 418 98
HIST 419 90
HIST 420 111
HIST 421 98
HIST 422 97
HIST 423 111
HIST 424 112
HIST 425 87
HIST 426 112
HIST 427 99
HIST 428 88
HIST 429 109
HIST 430 83
HIST 431 85
HIST 432 102
HIST 433 113
HIST 434 109
HIST 435 95
HIST 436 99
HIST 437 98
HIST 438 103
HIST 439 1658
HIST 440 116
HIST 441 108
HIST 442 87
HIST 443 95
HIST 444 100
HIST 445 115
HIST 446 99
HIST 447 109
HIST 448 110
HIST 449 122
HIST 450 106
HIST 451 121
HIST 452 109
HIST 453 96
HIST 454 86
HIST 455 106
HIST 456 110
HIST 457 88
HIST 458 103
HIST 459 122
HIST 460 110
HIST 461 89
HIST 462 110
HIST 463 99
HIST 464 103
HIST 465 118
HIST 466 95
HIST 467 106
HIST 468 109
HIST 469 104
HIST 470 104
HIST 471 104
HIST 472 84
HIST 473 103
HIST 474 101
HIST 475 111
HIST 476 106
HIST 477 113
HIST 478 117
HIST 479 101
HIST 480 112
HIST 481 91
HIST 482 109
HIST 483 115
HIST 484 104
HIST 485 111
HIST 486 92
HIST 487 97
HIST 488 107
HIST 489 110
HIST 490 84
HIST 491 96
HIST 492 91
HIST 493 104
HIST 494 95
HIST 495 120
HIST 496 98
HIST 497 99
HIST 498 102
HIST 499 96
HIST 500 92
HIST 501 101
HIST 502 117
HIST 503 97
HIST 504 109
HIST 505 96
HIST 506 115
HIST 507 96
HIST 508 97
HIST 509 103
HIST 510 102
HIST 511 118
HIST 512 87
HIST 513 88
HIST 514 106
HIST 515 101
HIST 516 94
HIST 517 98
HIST 518 94
HIST 519 119
HIST 520 99
HIST 521 89
HIST 522 109
HIST 523 85
HIST 524 99
HIST 525 91
HIST 526 95
HIST 527 103
HIST 528 111
HIST 529 88
HIST 530 106
HIST 531 96
HIST 532 104
HIST 533 93
HIST 534 87
HIST 535 94
HIST 536 85
HIST 537 98
HIST 538 86
HIST 539 117
HIST 540 78
HIST 541 72
HIST 542 109
HIST 543 95
HIST 544 86
HIST 545 86
HIST 546 99
HIST 547 102
HIST 548 90
HIST 549 93
HIST 550 100
HIST 551 93
HIST 552 100
HIST 553 90
HIST 554 80
HIST 555 85
HIST 556 96
HIST 557 105
HIST 558 89
HIST 559 92
HIST 560 112
HIST 561 85
HIST 562 84
HIST 563 93
HIST 564 87
HIST 565 111
HIST 566 107
HIST 567 98
HIST 568 92
HIST 569 87
HIST 570 92
HIST 571 100
HIST 572 104
HIST 573 74
HIST 574 110
HIST 575 103
HIST 576 113
HIST 577 114
HIST 578 98
HIST 579 97
HIST 580 74
HIST 581 89
HIST 582 82
HIST 583 104
HIST 584 73
HIST 585 106
HIST 586 118
HIST 587 87
HIST 588 93
HIST 589 91
HIST 590 100
HIST 591 100
HIST 592 100
HIST 593 107
HIST 594 99
HIST 595 92
HIST 596 101
HIST 597 86
HIST 598 86
HIST 599 99
HIST 600 91
HIST 601 89
HIST 602 93
HIST 603 89
HIST 604 88
HIST 605 90
HIST 606 93
HIST 607 90
HIST 608 80
HIST 609 93
HIST 610 97
HIST 611 95
HIST 612 109
HIST 613 96
HIST 614 99
HIST 615 90
HIST 616 92
HIST 617 111
HIST 618 79
HIST 619 96
HIST 620 100
HIST 621 91
HIST 622 100
HIST 623 94
HIST 624 94
HIST 625 86
HIST 626 110
HIST 627 85
HIST 628 79
HIST 629 103
HIST 630 94
HIST 631 79
HIST 632 84
HIST 633 96
HIST 634 89
HIST 635 85
HIST 636 99
HIST 637 99
HIST 638 95
HIST 639 88
HIST 640 90
HIST 641 102
HIST 642 75
HIST 643 90
HIST 644 83
HIST 645 108
HIST 646 103
HIST 647 92
HIST 648 100
HIST 649 89
HIST 650 84
HIST 651 93
HIST 652 85
HIST 653 111
HIST 654 84
HIST 655 89
HIST 656 111
HIST 657 97
HIST 658 95
HIST 659 79
HIST 660 96
HIST 661 93
HIST 662 112
HIST 663 88
HIST 664 96
HIST 665 87
HIST 666 101
HIST 667 108
HIST 668 93
HIST 669 97
HIST 670 91
HIST 671 80
HIST 672 95
HIST 673 90
HIST 674 94
HIST 675 97
HIST 676 79
HIST 677 99
HIST 678 83
HIST 679 74
HIST 680 108
HIST 681 99
HIST 682 108
HIST 683 84
HIST 684 85
HIST 685 103
HIST 686 70
HIST 687 91
HIST 688 104
HIST 689 97
HIST 690 85
HIST 691 99
HIST 692 80
HIST 693 105
HIST 694 75
HIST 695 80
HIST 696 100
HIST 697 78
HIST 698 92
HIST 699 79
HIST 700 79
HIST 701 99
HIST 702 94
HIST 703 92
HIST 704 84
HIST 705 92
HIST 706 95
HIST 707 88
HIST 708 90
HIST 709 96
HIST 710 89
HIST 711 101
HIST 712 82
HIST 713 100
HIST 714 92
HIST 715 76
HIST 716 91
HIST 717 100
HIST 718 84
HIST 719 86
HIST 720 92
HIST 721 87
HIST 722 91
HIST 723 99
HIST 724 86
HIST 725 98
HIST 726 96
HIST 727 90
HIST 728 64
HIST 729 95
HIST 730 83
HIST 731 86
HIST 732 68
HIST 733 88
HIST 734 86
HIST 735 102
HIST 736 97
HIST 737 103
HIST 738 104
HIST 739 99
HIST 740 96
HIST 741 84
HIST 742 79
HIST 743 81
HIST 744 92
HIST 745 91
HIST 746 81
HIST 747 89
HIST 748 95
HIST 749 100
HIST 750 94
HIST 751 85
HIST 752 87
HIST 753 95
HIST 754 104
HIST 755 74
HIST 756 111
HIST 757 92
HIST 758 95
HIST 759 87
HIST 760 101
HIST 761 72
HIST 762 90
HIST 763 92
HIST 764 92
HIST 765 88
HIST 766 82
HIST 767 95
HIST 768 108
HIST 769 93
HIST 770 106
HIST 771 74
HIST 772 91
HIST 773 103
HIST 774 96
HIST 775 93
HIST 776 74
HIST 777 87
HIST 778 71
HIST 779 94
HIST 780 85
HIST 781 92
HIST 782 83
HIST 783 74
HIST 784 88
HIST 785 86
HIST 786 81
HIST 787 98
HIST 788 91
HIST 789 85
HIST 790 79
HIST 791 96
HIST 792 97
HIST 793 88
HIST 794 72
HIST 795 92
HIST 796 101
HIST 797 98
HIST 798 92
HIST 799 91
HIST 800 82
HIST 801 77
HIST 802 96
HIST 803 82
HIST 804 76
HIST 805 85
HIST 806 118
HIST 807 75
HIST 808 89
HIST 809 91
HIST 810 112
HIST 811 87
HIST 812 92
HIST 813 89
HIST 814 87
HIST 815 91
HIST 816 86
HIST 817 75
HIST 818 96
HIST 819 88
HIST 820 98
HIST 821 98
HIST 822 77
HIST 823 99
HIST 824 90
HIST 825 109
HIST 826 77
HIST 827 93
