P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=8000000
RESULT any=461174 eps_total=5.764675e-02
RESULT window=661.657 counts=134435 eps=1.680437e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=8000000
HIST 0 154
HIST 1 512
HIST 2 568
HIST 3 619
HIST 4 573
HIST 5 643
HIST 6 653
HIST 7 677
HIST 8 706
HIST 9 624
HIST 10 659
HIST 11 683
HIST 12 626
HIST 13 688
HIST 14 696
HIST 15 723
HIST 16 712
HIST 17 696
HIST 18 658
HIST 19 747
HIST 20 734
HIST 21 702
HIST 22 822
HIST 23 815
HIST 24 837
HIST 25 710
HIST 26 878
HIST 27 675
HIST 28 683
HIST 29 700
HIST 30 689
HIST 31 686
HIST 32 689
HIST 33 761
HIST 34 639
HIST 35 685
HIST 36 716
HIST 37 669
HIST 38 694
HIST 39 670
HIST 40 655
HIST 41 635
HIST 42 682
HIST 43 662
HIST 44 694
HIST 45 664
HIST 46 652
HIST 47 662
HIST 48 747
HIST 49 722
HIST 50 728
HIST 51 751
HIST 52 759
HIST 53 2021
HIST 54 3064
HIST 55 702
HIST 56 684
HIST 57 693
HIST 58 679
HIST 59 727
HIST 60 678
HIST 61 1731
HIST 62 706
HIST 63 893
HIST 64 645
HIST 65 606
HIST 66 676
HIST 67 632
HIST 68 673
HIST 69 621
HIST 70 607
HIST 71 661
HIST 72 630
HIST 73 634
HIST 74 648
HIST 75 632
HIST 76 647
HIST 77 614
HIST 78 613
HIST 79 614
HIST 80 618
HIST 81 642
HIST 82 592
HIST 83 626
HIST 84 633
HIST 85 675
HIST 86 663
HIST 87 612
HIST 88 606
HIST 89 593
HIST 90 605
HIST 91 639
HIST 92 643
HIST 93 612
HIST 94 609
HIST 95 601
HIST 96 610
HIST 97 604
HIST 98 605
HIST 99 604
HIST 100 625
HIST 101 612
HIST 102 617
HIST 103 634
HIST 104 644
HIST 105 582
HIST 106 625
HIST 107 611
HIST 108 585
HIST 109 626
HIST 110 606
HIST 111 582
HIST 112 579
HIST 113 609
HIST 114 632
HIST 115 632
HIST 116 672
HIST 117 605
HIST 118 631
HIST 119 637
HIST 120 643
HIST 121 630
HIST 122 691
HIST 123 648
HIST 124 612
HIST 125 644
HIST 126 615
HIST 127 593
HIST 128 629
HIST 129 662
HIST 130 642
HIST 131 647
HIST 132 637
HIST 133 614
HIST 134 610
HIST 135 642
HIST 136 630
HIST 137 650
HIST 138 595
HIST 139 597
HIST 140 685
HIST 141 606
HIST 142 630
HIST 143 644
HIST 144 602
HIST 145 619
HIST 146 603
HIST 147 576
HIST 148 621
HIST 149 632
HIST 150 642
HIST 151 648
HIST 152 626
HIST 153 658
HIST 154 631
HIST 155 612
HIST 156 627
HIST 157 573
HIST 158 671
HIST 159 587
HIST 160 609
HIST 161 572
HIST 162 591
HIST 163 613
HIST 164 595
HIST 165 680
HIST 166 625
HIST 167 671
HIST 168 595
HIST 169 658
HIST 170 639
HIST 171 674
HIST 172 644
HIST 173 624
HIST 174 653
HIST 175 653
HIST 176 652
HIST 177 626
HIST 178 623
HIST 179 646
HIST 180 636
HIST 181 670
HIST 182 672
HIST 183 675
HIST 184 690
HIST 185 752
HIST 186 787
HIST 187 797
HIST 188 831
HIST 189 833
HIST 190 805
HIST 191 850
HIST 192 801
HIST 193 802
HIST 194 851
HIST 195 816
HIST 196 888
HIST 197 834
HIST 198 801
HIST 199 823
HIST 200 875
HIST 201 843
HIST 202 860
HIST 203 840
HIST 204 859
HIST 205 836
HIST 206 835
HIST 207 826
HIST 208 809
HIST 209 856
HIST 210 843
HIST 211 822
HIST 212 786
HIST 213 782
HIST 214 812
HIST 215 794
HIST 216 838
HIST 217 816
HIST 218 768
HIST 219 829
HIST 220 813
HIST 221 780
HIST 222 762
HIST 223 765
