P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=1 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_3
RESULT decays=40000000
RESULT any=2230596 eps_total=5.576490e-02
RESULT window=661.657 counts=493975 eps=1.234937e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=40000000
HIST 334 2935
HIST 335 2911
HIST 336 2825
HIST 337 2904
HIST 338 2922
HIST 339 2870
HIST 340 2939
HIST 341 2951
HIST 342 2884
HIST 343 2919
HIST 344 2969
HIST 345 2832
HIST 346 2907
HIST 347 2994
HIST 348 2971
HIST 349 2915
HIST 350 2745
HIST 351 2924
HIST 352 2918
HIST 353 2869
HIST 354 2956
HIST 355 2933
HIST 356 2893
HIST 357 2991
HIST 358 2838
HIST 359 2880
HIST 360 2938
HIST 361 2901
HIST 362 2949
HIST 363 2896
HIST 364 2931
HIST 365 2872
HIST 366 2906
HIST 367 2825
HIST 368 2900
HIST 369 3015
HIST 370 2926
HIST 371 2915
HIST 372 3075
HIST 373 2925
HIST 374 2913
HIST 375 2969
HIST 376 2960
HIST 377 2953
HIST 378 2982
HIST 379 2926
HIST 380 2954
HIST 381 3048
HIST 382 2995
HIST 383 3030
HIST 384 3046
HIST 385 2977
HIST 386 3012
HIST 387 3124
HIST 388 2972
HIST 389 2994
HIST 390 2987
HIST 391 2920
HIST 392 3085
HIST 393 3050
HIST 394 2951
HIST 395 3029
HIST 396 3030
HIST 397 3062
HIST 398 2982
HIST 399 3129
HIST 400 3033
HIST 401 3049
HIST 402 3066
HIST 403 2999
HIST 404 3061
HIST 405 3168
HIST 406 3219
HIST 407 3058
HIST 408 3114
HIST 409 3085
HIST 410 3072
HIST 411 3098
HIST 412 3151
HIST 413 3023
HIST 414 3281
HIST 415 3114
HIST 416 3073
HIST 417 3131
HIST 418 3212
HIST 419 3183
HIST 420 3168
HIST 421 3212
HIST 422 3256
HIST 423 3120
HIST 424 3181
HIST 425 3314
HIST 426 3183
HIST 427 3221
HIST 428 3289
HIST 429 3370
HIST 430 3323
HIST 431 3309
HIST 432 3283
HIST 433 3286
HIST 434 3286
HIST 435 3423
HIST 436 3352
HIST 437 3247
HIST 438 3314
HIST 439 3238
HIST 440 3336
HIST 441 3315
HIST 442 3377
HIST 443 3388
HIST 444 3413
HIST 445 3335
HIST 446 3385
HIST 447 3342
HIST 448 3507
HIST 449 3543
HIST 450 3471
HIST 451 3388
HIST 452 3438
HIST 453 3417
HIST 454 3515
HIST 455 3493
HIST 456 3550
HIST 457 3537
HIST 458 3546
HIST 459 3594
HIST 460 3445
HIST 461 3537
HIST 462 3512
HIST 463 3611
HIST 464 3500
HIST 465 3608
HIST 466 3581
HIST 467 3489
HIST 468 3563
HIST 469 3578
HIST 470 3507
HIST 471 3464
HIST 472 3491
HIST 473 3384
HIST 474 3347
HIST 475 3302
HIST 476 2990
HIST 477 2593
HIST 478 2142
HIST 479 1867
HIST 480 1644
HIST 481 1443
HIST 482 1373
HIST 483 1285
HIST 484 1245
