P55 flags: vacuum=1 nofluct=1 nodelta=0 lowcut=0 killesc=0
RESULT decays=40000000
RESULT any=1563685 eps_total=3.909212e-02
RESULT window=1460.820 counts=120345 eps=3.008625e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=40000000
HIST 340 1142
HIST 341 1124
HIST 342 1196
HIST 343 1151
HIST 344 1136
HIST 345 1154
HIST 346 1163
HIST 347 1090
HIST 348 1191
HIST 349 1123
HIST 350 1142
HIST 351 1148
HIST 352 1133
HIST 353 1108
HIST 354 1093
HIST 355 1092
HIST 356 1106
HIST 357 1060
HIST 358 1154
HIST 359 1111
HIST 360 1106
HIST 361 1138
HIST 362 1123
HIST 363 1145
HIST 364 1092
HIST 365 1117
HIST 366 1105
HIST 367 1042
HIST 368 1113
HIST 369 1132
HIST 370 1083
HIST 371 1130
HIST 372 1070
HIST 373 1072
HIST 374 1144
HIST 375 1101
HIST 376 1090
HIST 377 1119
HIST 378 1086
HIST 379 1127
HIST 380 1082
HIST 381 1091
HIST 382 1093
HIST 383 1061
HIST 384 1065
HIST 385 1046
HIST 386 1084
HIST 387 1048
HIST 388 1092
HIST 389 1056
HIST 390 1043
HIST 391 1038
HIST 392 1065
HIST 393 1028
HIST 394 1077
HIST 395 1086
HIST 396 1050
HIST 397 1057
HIST 398 1041
HIST 399 1118
HIST 400 1087
HIST 401 1086
HIST 402 1063
HIST 403 1065
HIST 404 1010
HIST 405 1056
HIST 406 995
HIST 407 1081
HIST 408 1058
HIST 409 1049
HIST 410 1072
HIST 411 1019
HIST 412 1039
HIST 413 1068
HIST 414 1053
HIST 415 1013
HIST 416 1030
HIST 417 1057
HIST 418 1035
HIST 419 1137
HIST 420 1003
HIST 421 1043
HIST 422 1073
HIST 423 1091
HIST 424 1063
HIST 425 1048
HIST 426 1016
HIST 427 1093
HIST 428 1014
HIST 429 1097
HIST 430 1034
HIST 431 986
HIST 432 1044
HIST 433 1007
HIST 434 1098
HIST 435 995
HIST 436 971
HIST 437 1051
HIST 438 1018
HIST 439 16183
HIST 440 1038
HIST 441 1069
HIST 442 1000
HIST 443 1050
HIST 444 1029
HIST 445 1013
HIST 446 1037
HIST 447 997
HIST 448 1046
HIST 449 1067
HIST 450 1007
HIST 451 1026
HIST 452 1029
HIST 453 995
HIST 454 984
HIST 455 1036
HIST 456 1049
HIST 457 1004
HIST 458 1006
HIST 459 1092
HIST 460 1051
HIST 461 1007
HIST 462 1028
HIST 463 1034
HIST 464 1042
HIST 465 1017
HIST 466 985
HIST 467 970
HIST 468 1088
HIST 469 1019
HIST 470 1006
HIST 471 1042
HIST 472 1000
HIST 473 1034
HIST 474 1000
HIST 475 1030
HIST 476 1028
HIST 477 966
HIST 478 1021
HIST 479 994
HIST 480 936
HIST 481 952
HIST 482 975
HIST 483 1029
HIST 484 969
HIST 485 1016
HIST 486 1058
HIST 487 966
HIST 488 968
HIST 489 997
HIST 490 972
HIST 491 977
HIST 492 996
HIST 493 1011
HIST 494 961
HIST 495 1033
HIST 496 1083
HIST 497 991
HIST 498 1048
HIST 499 997
HIST 500 1036
HIST 501 1019
HIST 502 1006
HIST 503 1036
HIST 504 965
HIST 505 1018
HIST 506 1005
HIST 507 946
HIST 508 970
HIST 509 927
HIST 510 1021
HIST 511 1132
HIST 512 991
HIST 513 962
HIST 514 990
HIST 515 999
HIST 516 989
HIST 517 1003
HIST 518 961
HIST 519 1001
HIST 520 970
HIST 521 924
HIST 522 1035
HIST 523 1009
HIST 524 1033
HIST 525 1004
HIST 526 964
HIST 527 976
HIST 528 1003
HIST 529 1019
HIST 530 989
HIST 531 980
HIST 532 1026
HIST 533 965
