P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_3
RESULT decays=40000000
RESULT any=1564548 eps_total=3.911370e-02
RESULT window=1460.820 counts=120553 eps=3.013825e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=40000000
HIST 334 1140
HIST 335 1174
HIST 336 1159
HIST 337 1094
HIST 338 1164
HIST 339 1197
HIST 340 1142
HIST 341 1135
HIST 342 1190
HIST 343 1160
HIST 344 1139
HIST 345 1134
HIST 346 1139
HIST 347 1119
HIST 348 1151
HIST 349 1138
HIST 350 1146
HIST 351 1159
HIST 352 1143
HIST 353 1120
HIST 354 1095
HIST 355 1116
HIST 356 1134
HIST 357 1063
HIST 358 1166
HIST 359 1137
HIST 360 1058
HIST 361 1130
HIST 362 1128
HIST 363 1137
HIST 364 1104
HIST 365 1098
HIST 366 1131
HIST 367 1049
HIST 368 1085
HIST 369 1127
HIST 370 1071
HIST 371 1123
HIST 372 1067
HIST 373 1086
HIST 374 1118
HIST 375 1085
HIST 376 1091
HIST 377 1113
HIST 378 1068
HIST 379 1072
HIST 380 1071
HIST 381 1076
HIST 382 1081
HIST 383 1095
HIST 384 1064
HIST 385 1045
HIST 386 1065
HIST 387 1065
HIST 388 1084
HIST 389 1055
HIST 390 1092
HIST 391 1072
HIST 392 1079
HIST 393 1063
HIST 394 1073
HIST 395 1077
HIST 396 1059
HIST 397 1088
HIST 398 1055
HIST 399 1115
HIST 400 1095
HIST 401 1031
HIST 402 1061
HIST 403 1078
HIST 404 1088
HIST 405 1045
HIST 406 1000
HIST 407 1055
HIST 408 1010
HIST 409 1046
HIST 410 1052
HIST 411 972
HIST 412 1039
HIST 413 1081
HIST 414 1032
HIST 415 1013
HIST 416 1042
HIST 417 1040
HIST 418 1040
HIST 419 1091
HIST 420 999
HIST 421 1019
HIST 422 1001
HIST 423 1086
HIST 424 1093
HIST 425 1024
HIST 426 1056
HIST 427 1056
HIST 428 992
HIST 429 1049
HIST 430 1019
HIST 431 986
HIST 432 1044
HIST 433 1009
HIST 434 1082
HIST 435 964
HIST 436 1016
HIST 437 1069
HIST 438 1028
HIST 439 16093
HIST 440 1042
HIST 441 1043
HIST 442 997
HIST 443 1076
HIST 444 1060
HIST 445 1060
HIST 446 1033
HIST 447 1004
HIST 448 1011
HIST 449 1051
HIST 450 990
HIST 451 1017
HIST 452 1000
HIST 453 1034
HIST 454 1021
HIST 455 1024
HIST 456 1038
HIST 457 973
HIST 458 994
HIST 459 1123
HIST 460 1016
HIST 461 1039
HIST 462 997
HIST 463 1043
HIST 464 1023
HIST 465 1054
HIST 466 980
HIST 467 990
HIST 468 1071
HIST 469 1047
HIST 470 998
HIST 471 1011
HIST 472 990
HIST 473 1068
