A: store_backup/G1S_point5.rmx  формат 9  phys=18;a56b959512b93db3  узлов 140  каналов 6  bin 2
B: store/G1S_point5.rmx  формат 9  phys=19;ff25f22d4fe5ee31  узлов 140  каналов 6  bin 2
тело: РАЗОШЛОСЬ
        E     полоса      пик       q0       q1       q2       q3    0-100
     60.0     A доля   0.8322   0.0034   0.0514   0.0646   0.0485   0.1678
             B/A-1 %    +0.02    -2.37    -0.75    -0.67    -0.02    -0.54   сумма -0.07 %
    657.0     A доля   0.4729   0.1644   0.1731   0.1619   0.0276   0.0978
             B/A-1 %    -0.11    +1.45    +0.00    +0.24    -2.30    +1.95   сумма +0.16 %
   1436.6     A доля   0.2845   0.1815   0.1818   0.2115   0.1407   0.0477
             B/A-1 %    -0.11    +2.72    -0.87    -0.60    -1.64    +5.58   сумма -0.05 %
   2613.1     A доля   0.1798   0.1668   0.1577   0.2308   0.2649   0.0242
             B/A-1 %    -0.19    +2.97    -2.30    -0.42    -0.11   +10.46   сумма -0.03 %
