A: store_backup/RC103_point0.rmx  формат 9  phys=18;3ecd6580980b9e8d  узлов 140  каналов 6  bin 2
B: store/RC103_point0.rmx  формат 9  phys=19;5ddea4b59ab723a2  узлов 140  каналов 6  bin 2
тело: РАЗОШЛОСЬ
        E     полоса      пик       q0       q1       q2       q3    0-100
     60.0     A доля   0.7917   0.0044   0.1019   0.0370   0.0650   0.2083
             B/A-1 %    -0.04    -5.23    +0.62    -0.73    +0.14    +0.11   сумма -0.01 %
    657.0     A доля   0.2192   0.2700   0.2668   0.2226   0.0214   0.1685
             B/A-1 %    +0.09    +1.85    -2.74    -1.10    +4.15    +2.37   сумма -0.37 %
   1436.6     A доля   0.0772   0.3147   0.2452   0.2258   0.1371   0.0902
             B/A-1 %    -0.14    +5.39    -5.05    -2.58    -1.71   +15.08   сумма -0.37 %
   2613.1     A доля   0.0302   0.2954   0.2241   0.2769   0.1733   0.0594
             B/A-1 %    -1.90   +22.16    -3.31    -3.12    -2.36   +31.78   сумма +4.47 %
