contact_cal0809_s1__AS80_p67_contact_r38__eq             код 0     158 с  chi2/ndf 2.052, невязка модели 26.4 %, суммирование да
edge93__AS80_p67_edge93_r38__asis                        код 0     161 с  chi2/ndf 1.226, невязка модели 8.4 %, суммирование да
edge93__AS80_p67_edge93_r38__noeqasis                    код 0     164 с  chi2/ndf 1.196, невязка модели 7.8 %, суммирование да
edge93__AS80_p67_edge93_r38__eq                          код 0     167 с  chi2/ndf 1.283, невязка модели 54.4 %, суммирование да
edge93_s1__AS80_p67_edge93_r38__asis                     код 0     170 с  chi2/ndf 4.397, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r38__noeqasis                 код 0     173 с  chi2/ndf 4.289, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r38__eq                       код 0     177 с  chi2/ndf 1.462, невязка модели 54.5 %, суммирование да
edge1709__AS80_p67_edge93_r38__asis                      код 0     180 с  chi2/ndf 1.763, невязка модели 10.3 %, суммирование да
edge1709__AS80_p67_edge93_r38__noeqasis                  код 0     183 с  chi2/ndf 1.670, невязка модели 9.3 %, суммирование да
edge1709__AS80_p67_edge93_r38__eq                        код 0     186 с  chi2/ndf 1.715, невязка модели 10.0 %, суммирование да
edge1709_s1__AS80_p67_edge93_r38__asis                   код 0     189 с  chi2/ndf 7.795, невязка модели 48.2 %, суммирование да
edge1709_s1__AS80_p67_edge93_r38__noeqasis               код 0     193 с  chi2/ndf 7.569, невязка модели 47.8 %, суммирование да
edge1709_s1__AS80_p67_edge93_r38__eq                     код 0     196 с  chi2/ndf 1.932, невязка модели 10.4 %, суммирование да
contact52k__AS80_p67_contact_r42__asis                   код 0     199 с  chi2/ndf 13.430, невязка модели 21.1 %, суммирование да
contact52k__AS80_p67_contact_r42__noeqasis               код 0     202 с  chi2/ndf 11.884, невязка модели 17.2 %, суммирование да
contact52k__AS80_p67_contact_r42__eq                     код 0     205 с  chi2/ndf 7.300, невязка модели 19.6 %, суммирование да
contact_cal0809__AS80_p67_contact_r42__asis              код 0     208 с  chi2/ndf 2.121, невязка модели 17.8 %, суммирование да
contact_cal0809__AS80_p67_contact_r42__noeqasis          код 0     211 с  chi2/ndf 2.184, невязка модели 17.6 %, суммирование да
