call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,34,23,1020,0,23,0,1.021430332670859E-08,102.1430332670859,-521215.90645199205,-2.4827266534698491E-08,-2.4306372877903084,8.943601415012381E-10,0
2,34,23,1020,0,23,0,1.021430332670859E-08,102.1430332670859,-521215.90645199205,-2.4827266534698491E-08,-2.4306372877903084,8.943601415012381E-10,0
3,34,22,1020,0,21,0,1.0073440987750754E-08,100.73440987750753,-378418.05824660853,-3.7704077822771948E-09,-0.37429194124053428,2.4812862875478459E-10,0
4,34,23,1020,0,20,0,1.0100273842866209E-08,101.00273842866208,-436210.54288879025,-2.1131389829148443E-09,-0.20921600897062287,2.3107560309654218E-10,0
5,25,21,750,0,21,0,1.021430332670859E-08,102.1430332670859,-520098.97624434816,-0.00015376986932371607,-15054.366842781646,1.7703882804198656E-10,0
6,25,21,750,0,20,0,1.0066883595595727E-08,100.66883595595726,-378562.300434054,-1.4697477790928166E-05,-1459.9828885831489,1.9189627664673026E-10,0
7,25,22,750,0,19,0,1.0100914534928914E-08,101.00914534928913,-437216.45339147252,-7.4326162183225916E-06,-735.83596738895676,2.8400393148331204E-11,0
