# П110 19.09.2026: файлы спектров Amber (C:\Users\moroz\YandexDisk\Спектры\, 698 xml, только чтение), в которых встречается Guid матрицы склада
guid;файл спектра
04cb27d4-6b6e-4c6c-b665-b6175d78bdcb;!AS80x80\калибровка 08.09.2026\Th-232.xml
41dc6e6a-c186-474f-96d3-4cc500538ab7;!ASN16\KCl в дерервне маринелли.xml
42333387-5295-4665-8c82-6e85c8498a18;!ASN16\Радон деревня.xml
42333387-5295-4665-8c82-6e85c8498a18;!ASN16\Чароит в домике.xml
4c5aa26d-d776-481f-96d8-c01022590f39;!AS80x80\калибровка 08.09.2026\Am-241.xml
4c5aa26d-d776-481f-96d8-c01022590f39;!AS80x80\калибровка 08.09.2026\Cs-137.xml
50a57c5a-3237-4154-b269-b9fd1a2c7d88;!AS80x80\Соль Пермского периода.xml
50a57c5a-3237-4154-b269-b9fd1a2c7d88;!AS80x80\калибровка 08.09.2026\Lu-176.xml
57512f8b-1ef0-40af-9aae-aa26f7e51463;!AS80x80\Lu-176.xml
57512f8b-1ef0-40af-9aae-aa26f7e51463;!AS80x80\Th232(WT-20).xml
5cb11287-beed-4fa3-bf52-21453effbdc8;!AS80x80\калибровка 08.09.2026\Cs-137 - point 92 mm.xml
755bbe16-49f5-465c-8407-0e2520d106fd;!КОТ-103\Th-232 WT-20.xml
aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;!ASN16\Lu176.xml
aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;!ASN16\Th232_29.07.2022.xml
c482e3bc-e2a8-491f-8759-5df93827eaef;!ASN16\Cs 137 в домике 24.11.2022.xml
