# П94 — «ДО» на живой сцене RC103 (зазор 3.5 мм) при 662 и 59.5: ВЫКЛ (П92 живую при 662/59.5 не считала).
ours;RC103_point0;661.657;40000000;off;
ours;RC103_point0;59.541;40000000;off;
